Episode Number,Episode Title,Fact Number,Presenter,Fact,Start Time,Publish Date,Episode Slug
,1: No Such Thing As A Pilot Fish,1,James Harkin,"The Large Hadron Collider was almost turned off because they found a piece of baguette in the machinery, which made the temperature go up by seven degrees.",00:00:55,2022-07-25T09:36:31.000Z,1-no-such-thing-as-a-pilot-fish
,1: No Such Thing As A Pilot Fish,2,Anna Ptaszynski,"For the last month of his life, US President James Garfield ate everything through his anus.",00:09:41,2022-07-25T09:36:31.000Z,1-no-such-thing-as-a-pilot-fish
,1: No Such Thing As A Pilot Fish,3,Dan Schreiber,"In 2013, six people in the US named their child Mushroom.",00:16:18,2022-07-25T09:36:31.000Z,1-no-such-thing-as-a-pilot-fish
,1: No Such Thing As A Pilot Fish,4,Andrew Hunter Murray,"Historians were excited about the potential discovery of Alfred the Great's bones, but it turned out to be just a pelvis bone, and they are not sure if it is his.",00:23:52,2022-07-25T09:36:31.000Z,1-no-such-thing-as-a-pilot-fish
,10: No Such Thing As A Soggy Monk,1,Eric Lampaert,"In 1923, Jockey Frank Hayes won a race in Belmont Park in New York, despite being dead.",00:01:46,2022-07-25T10:31:45.000Z,10-no-such-thing-as-a-soggy-monk
,10: No Such Thing As A Soggy Monk,2,Dan Schreiber,Some Buddhist monks run marathons to achieve enlightenment.,00:10:28,2022-07-25T10:31:45.000Z,10-no-such-thing-as-a-soggy-monk
,10: No Such Thing As A Soggy Monk,3,James Harkin,The Slovakian and Slovenian embassies in Washington meet once a month to exchange wrongly-addressed mail.,00:21:54,2022-07-25T10:31:45.000Z,10-no-such-thing-as-a-soggy-monk
,10: No Such Thing As A Soggy Monk,4,Andrew Hunter Murray,"In the 18th century, there were genuine medicines called Alan's nipple liniment, Grimston's eye snuff, Miller's worm plums, and Italian bussam friend.",00:28:02,2022-07-25T10:31:45.000Z,10-no-such-thing-as-a-soggy-monk
,100: No Such Thing As A Zillion And One,1,Corey Taylor,A million seconds is 11.5 days; a billion seconds is 32 years.,00:01:03,2022-07-25T15:28:38.000Z,100-no-such-thing-as-a-zillion-and-one
,100: No Such Thing As A Zillion And One,2,Anna Ptaszynski,Star Trek was almost not commissioned because the pilot was considered too erotic.,00:10:45,2022-07-25T15:28:38.000Z,100-no-such-thing-as-a-zillion-and-one
,100: No Such Thing As A Zillion And One,3,James Harkin,The Swiss city of Lausanne has banned silent discos for being too loud.,00:20:20,2022-07-25T15:28:38.000Z,100-no-such-thing-as-a-zillion-and-one
,100: No Such Thing As A Zillion And One,4,Andrew Hunter Murray,"The giant squid's brain is wrapped around its throat, so if it eats anything too large, it risks brain injury.",00:32:04,2022-07-25T15:28:38.000Z,100-no-such-thing-as-a-zillion-and-one
,101: No Such Thing As A Giant Robot Michael Jackson,1,James Harkin,"In 2005, there were plans to make a 50-foot tall robot Michael Jackson that would roam around the Nevada desert.",00:00:43,2022-07-25T15:29:12.000Z,101-no-such-thing-as-a-giant-robot-michael-jackson
,101: No Such Thing As A Giant Robot Michael Jackson,2,Andrew Hunter Murray,"In the 16th century, people disliked hedgehogs because it was believed that they sucked cows' udders.",00:08:43,2022-07-25T15:29:12.000Z,101-no-such-thing-as-a-giant-robot-michael-jackson
,101: No Such Thing As A Giant Robot Michael Jackson,3,Anna Ptaszynski,"The English philosopher Herbert Spencer had an angry suit specially made, which he wore only when he was feeling irritable.",00:14:50,2022-07-25T15:29:12.000Z,101-no-such-thing-as-a-giant-robot-michael-jackson
,101: No Such Thing As A Giant Robot Michael Jackson,4,Dan Schreiber,"In order for Spider-Man to climb buildings, he would need size 89 feet.",00:24:31,2022-07-25T15:29:12.000Z,101-no-such-thing-as-a-giant-robot-michael-jackson
,102: No Such Thing As A Water Mortar,1,James Harkin,The first water balloons were made out of socks.,00:01:01,2022-07-25T15:29:39.000Z,102-no-such-thing-as-a-water-mortar
,102: No Such Thing As A Water Mortar,2,Dan Schreiber,You can't write in French on French computer keyboards.,00:10:00,2022-07-25T15:29:39.000Z,102-no-such-thing-as-a-water-mortar
,102: No Such Thing As A Water Mortar,3,Andrew Hunter Murray,Archers at the Battle of Agincourt had three arrows in the air at any given moment.,00:15:17,2022-07-25T15:29:39.000Z,102-no-such-thing-as-a-water-mortar
,102: No Such Thing As A Water Mortar,4,Anna Ptaszynski,Right-handed marmosets are braver than left-handed marmosets.,00:21:36,2022-07-25T15:29:39.000Z,102-no-such-thing-as-a-water-mortar
,103: No Such Thing As A Boa Constructor,1,Dan Schreiber,Tchaikovsky used to hold his head when conducting because he was afraid it would fall off.,00:00:41,2022-07-25T15:30:00.000Z,103-no-such-thing-as-a-boa-constructor
,103: No Such Thing As A Boa Constructor,2,James Harkin,Asthmatic otters can be taught to use inhalers.,00:09:02,2022-07-25T15:30:00.000Z,103-no-such-thing-as-a-boa-constructor
,103: No Such Thing As A Boa Constructor,3,Anna Ptaszynski,"Your appendix can be turned into a sphincter, if you like.",00:17:47,2022-07-25T15:30:00.000Z,103-no-such-thing-as-a-boa-constructor
,103: No Such Thing As A Boa Constructor,4,Andrew Hunter Murray,The founder of Crufts designed special train carriages for celebrity dogs.,00:24:46,2022-07-25T15:30:00.000Z,103-no-such-thing-as-a-boa-constructor
,104: No Such Thing As A Herd Of Koalas,1,Dan Schreiber,"When something thought to be a meteorite actually turns out to be an ordinary rock, it's called a meteor wrong.",00:00:42,2022-07-25T15:30:31.000Z,104-no-such-thing-as-a-herd-of-koalas
,104: No Such Thing As A Herd Of Koalas,2,Andrew Hunter Murray,Brown Falcons commit arson.,00:08:07,2022-07-25T15:30:31.000Z,104-no-such-thing-as-a-herd-of-koalas
,104: No Such Thing As A Herd Of Koalas,3,Anna Ptaszynski,"In 1461, the mayor of Jaén in Spain donated 10,000 eggs to his citizens so they could have a huge food fight.",00:17:22,2022-07-25T15:30:31.000Z,104-no-such-thing-as-a-herd-of-koalas
,104: No Such Thing As A Herd Of Koalas,4,James Harkin,"In 1951, Australia's football team played against England and lost 17-0; the goalkeeper was called Norman Conquest.",00:23:08,2022-07-25T15:30:31.000Z,104-no-such-thing-as-a-herd-of-koalas
,11: No Such Thing As A Door Knob In Vancouver,1,Andrew Hunter Murray,"The words ""tory"" and ""prime minister"" both started out as being insults.",00:00:49,2022-07-25T10:32:26.000Z,11-no-such-thing-as-a-door-knob-in-vancouver
,11: No Such Thing As A Door Knob In Vancouver,2,Anna Ptaszynski,"In a 2005 questionnaire about substance abuse, almost one in five respondents admitted to taking a drug that doesn't exist.",00:07:37,2022-07-25T10:32:26.000Z,11-no-such-thing-as-a-door-knob-in-vancouver
,11: No Such Thing As A Door Knob In Vancouver,3,Dan Schreiber,Sea otters have a secret pocket in their armpit which they like to keep their favourite stones in.,00:12:38,2022-07-25T10:32:26.000Z,11-no-such-thing-as-a-door-knob-in-vancouver
,11: No Such Thing As A Door Knob In Vancouver,4,James Harkin,Door knobs have been made illegal in Vancouver.,00:19:08,2022-07-25T10:32:26.000Z,11-no-such-thing-as-a-door-knob-in-vancouver
,12: No Such Thing As A 164ft Tall Gorilla-Whale,1,James Harkin,"If the new Godzilla existed, it would produce 12.9 million gallons of urine a day.",00:00:52,2022-07-25T10:33:06.000Z,12-no-such-thing-as-a-164ft-tall-gorilla-whale
,12: No Such Thing As A 164ft Tall Gorilla-Whale,2,Anna Ptaszynski,The real Long John Silver from Treasure Island was father to the real Wendy Darling from Peter Pan.,00:08:20,2022-07-25T10:33:06.000Z,12-no-such-thing-as-a-164ft-tall-gorilla-whale
,12: No Such Thing As A 164ft Tall Gorilla-Whale,3,Dan Schreiber,The tinfoil hats that conspiracy theorists wear in order to stop the government from sending messages into their brain actually does the opposite; it amplifies the signal.,00:14:49,2022-07-25T10:33:06.000Z,12-no-such-thing-as-a-164ft-tall-gorilla-whale
,12: No Such Thing As A 164ft Tall Gorilla-Whale,4,Andrew Hunter Murray,"Geese sometimes fly upside down to lose height quickly when they're coming into land, rather than doing a long, slow descent.",00:21:04,2022-07-25T10:33:06.000Z,12-no-such-thing-as-a-164ft-tall-gorilla-whale
,13: No Such Thing As A Funny Nazi,1,Leven Scheiren,"During the Second World War, the Nazis employed two official Nazi comedians.",00:01:36,2022-07-25T10:33:59.000Z,13-no-such-thing-as-a-funny-nazi
