start_hhmmss,end_hhmmss,text
00:00:00,00:00:01,"Hi everyone, just before we start this episode,"
00:00:01,00:00:04,wanted to drop in that it's our 100th birthday.
00:00:04,00:00:07,We have been going for 100 years.
00:00:07,00:00:08,Time has flown.
00:00:08,00:00:10,"No, it's our 100th episode."
00:00:10,00:00:12,And so happy birthday to us.
00:00:12,00:00:15,Thanks so much for sticking with us for our 100 full episodes.
00:00:15,00:00:18,And this is just the 100th.
00:00:18,00:00:18,Where's that 100 to many times?
00:00:18,00:00:20,"There's no big deals, just a 100."
00:00:20,00:00:21,Just a 100. Just a 100.
00:00:21,00:00:22,100. For all the show.
00:00:22,00:00:32,[MUSIC]
00:00:32,00:00:36,"Hello and welcome to another episode of ""No Such Thing as a Fish"""
00:00:36,00:00:40,a weekly podcast coming to you from the QI offices in Covent Garden.
00:00:40,00:00:41,My name is Dan Schreiber.
00:00:41,00:00:43,"I'm sitting here with Andy Murray,"
00:00:43,00:00:46,"Ange Zinski, James Harkin, and a special guest"
00:00:46,00:00:50,making his second appearance as first being as a secret track on our vinyl.
00:00:50,00:00:54,It's Stone Sour and Slipknot's frontman Corey Taylor.
00:00:54,00:00:56,"And once again, we've gathered around the microphones"
00:00:56,00:00:58,with our four favorite facts from the last seven days.
00:00:58,00:01:01,"And in no particular order, here we go."
00:01:01,00:01:02,"Starting with you, Corey."
00:01:02,00:01:03,"Oh, the honors, yes."
00:01:03,00:01:09,My fact is a million seconds is 11.5 days.
00:01:09,00:01:13,A billion seconds is 32 years.
00:01:13,00:01:18,"So that is bizarre because just basically because of the vast difference,"
00:01:18,00:01:21,you think that a billion is a bit more than a million.
00:01:21,00:01:23,"And when we talk about billions and trillions,"
00:01:23,00:01:25,"when you hear about trillion dollar debt or billion dollar debt,"
00:01:25,00:01:28,you kind of think they're essentially the same thing.
00:01:28,00:01:29,And yeah.
00:01:29,00:01:32,I know. I know. So I only just found out there's no zillion.
00:01:32,00:01:34,I thought that was a thing.
00:01:34,00:01:36,"I know it's a billion, billion, zillion."
00:01:36,00:01:37,Not a thing at all.
00:01:37,00:01:40,"It jumps to, I think there's one in between,"
00:01:40,00:01:44,"but there's a Google and then there's a Google Place, is that right?"
00:01:44,00:01:45,"That's a massive, yeah."
00:01:45,00:01:46,Which are quite large.
00:01:46,00:01:51,So a Google is one with a hundred zeros and a Googleplex is one with a Google zeros.
