start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:15,- Hello and welcome to another episode
00:00:15,00:00:18,"of ""No Such Thing as a Fish"" a weekly podcast."
00:00:18,00:00:20,This week coming to you live from Leeds.
00:00:20,00:00:22,My name is Dan Troiber and please welcome to the stage.
00:00:22,00:00:26,"It's Aniches Innski, James Harkin and Andy Murray."
00:00:26,00:00:29,(audience cheering)
00:00:30,00:00:32,(audience cheering)
00:00:32,00:00:36,"And once again, we have gathered around the microphones"
00:00:36,00:00:38,with our four favorite facts from the last seven days
00:00:38,00:00:41,"and in no particular order, here we go."
00:00:41,00:00:44,Starting with fact number one and that is my fact.
00:00:44,00:00:47,My fact this week is that Chikovsky used to hold his head
00:00:47,00:00:50,when conducting because he was afraid it would fall off.
00:00:50,00:00:51,(audience laughing)
00:00:51,00:00:54,So this is apparently he used to get so nervous
00:00:54,00:00:56,when he was going on stage and there was so much going
00:00:56,00:00:58,"on in his head that he genuinely thought,"
00:00:58,00:01:01,"""No, this is definitely gonna fly off halfway through the game."""
00:01:01,00:01:03,So he would sit there or stand there rather
00:01:03,00:01:04,and have his hand just resting.
00:01:04,00:01:06,"- Yeah, I thought that it wasn't true"
00:01:06,00:01:08,and I went on the internet and a few people said
00:01:08,00:01:09,that they thought it wasn't true
00:01:09,00:01:12,but then I found one of his best friends actually said
00:01:12,00:01:13,that he did do this so.
00:01:13,00:01:16,"- Although, less you'd trust Dan too far"
00:01:16,00:01:17,when you first told this to me last week
00:01:17,00:01:19,and he told me where you'd read it.
00:01:19,00:01:20,"It wasn't a book of fiction, wasn't it?"
00:01:20,00:01:23,(audience laughing)
00:01:23,00:01:25,"- It was in a movie called ""Still Crazy"""
00:01:25,00:01:27,which stars Bill Nighy and Billy Conley
00:01:27,00:01:28,and he said that.
00:01:28,00:01:31,"But yeah, so it turns out a lot of people do say"
00:01:31,00:01:32,that it might not be true
00:01:32,00:01:34,and they only say it because Tchaikovsky is one of those guys
00:01:34,00:01:37,where people love to build myths around him
00:01:37,00:01:38,for some reason and create stories about him
00:01:38,00:01:41,"and that was one possibly, but as James says,"
00:01:41,00:01:42,we found a source.
00:01:42,00:01:44,"- Well, he was a massive star, wasn't he?"
00:01:44,00:01:46,He was one of those classical musicians in the 19th century
00:01:46,00:01:48,that was the equivalent of what's the famous band?
00:01:48,00:01:51,- Just in Beaver of his day.
00:01:51,00:01:52,- The Justin Beaver of his day.
00:01:52,00:01:54,"Yeah, when he went to America to perform,"
00:01:54,00:01:55,"a few performances in New York,"
00:01:55,00:01:58,people used to cut out the pictures of his face
00:01:58,00:01:59,and newspapers and send them to him
00:01:59,00:02:01,"and say, ""Please sign this."""
00:02:01,00:02:03,"And which is really creepy, but whatever."
00:02:03,00:02:06,- Got a guy who thinks his head's gonna fall off as well together.
00:02:06,00:02:09,(audience laughing)
00:02:09,00:02:12,"- Yeah, you're right, that was harsh, it was harsh."
00:02:12,00:02:13,"He was a troubled person,"
00:02:13,00:02:15,but I think the clues were there.
00:02:15,00:02:17,"So when he was first going to America,"
00:02:17,00:02:19,he was writing this diary of a questions
00:02:19,00:02:20,he had to ask when he got there
00:02:20,00:02:23,to make sure that he didn't screw up or die.
00:02:23,00:02:25,And there were three questions
00:02:25,00:02:28,"and it was, is it safe to drink the water for a question?"
00:02:28,00:02:30,Where can I do my laundry for a question?
00:02:30,00:02:32,What sort of hats do people wear?
00:02:32,00:02:34,(audience laughing)
00:02:34,00:02:37,"- Wow, but that's interesting because his death"
00:02:37,00:02:39,"is to do with a glass of water, isn't it?"
00:02:39,00:02:40,"- Yeah, really, yeah."
00:02:40,00:02:42,"He's supposedly died of cholera, didn't he?"
00:02:42,00:02:43,- Yeah.
00:02:43,00:02:44,"- That's what they think, hold on,"
00:02:44,00:02:46,maybe he committed suicide?
00:02:46,00:02:47,"- Yeah, they're not sure."
00:02:47,00:02:49,"- Or it might be that he, so I think,"
00:02:49,00:02:51,'cause he was really paranoid about drinking
00:02:51,00:02:53,about clean water as evidence by his to-do list
00:02:53,00:02:54,"when he got to America,"
00:02:54,00:02:56,really paranoid about clean as the water's whole life.
00:02:56,00:02:58,And then he suddenly drunk a glass of tap water
00:02:58,00:03:00,in the middle of a cholera outbreak.
00:03:00,00:03:02,So people think maybe he did that on purpose.
00:03:02,00:03:03,- There was one of the time when he supposedly tried
00:03:03,00:03:07,to commit suicide by walking into the Moscow River
00:03:07,00:03:09,and trying to catch pneumonia that way.
00:03:09,00:03:11,"- Yeah, sure, isn't it?"
00:03:11,00:03:14,"- Evelyn wore, tried to kill himself by swimming out to sea,"
00:03:14,00:03:16,but then he got stung by a jellyfish.
00:03:16,00:03:17,(audience laughing)
00:03:17,00:03:19,"He didn't like that, one bit."
00:03:19,00:03:20,(audience laughing)
00:03:20,00:03:23,"So I think he thought, ""Dying's probably even worse than this."""
00:03:23,00:03:25,(audience laughing)
00:03:25,00:03:27,So he swam back.
00:03:27,00:03:28,That was before he wrote anything as well.
00:03:28,00:03:31,He wouldn't have any even more of that.
