start_hhmmss,end_hhmmss,text
00:00:00,00:00:01,We run it on QI a few years ago.
00:00:01,00:00:02,Yeah.
00:00:02,00:00:04,"And which was, there's no such thing as a fish."
00:00:04,00:00:05,"It's kind of a nice, such thing as a fish."
00:00:05,00:00:10,"No, seriously, it's in the Oxford Dictionary of Underwater Life."
00:00:10,00:00:12,"It says it, ""Ride that first paragraph, no such thing as a fish."""
00:00:12,00:00:25,"Hello, and welcome to another edition of ""No Such Thing as a Fish,"""
00:00:25,00:00:29,a weekly podcast coming to you from the QI offices in Colbert Garden.
00:00:29,00:00:31,My name is Dan Schriver.
00:00:31,00:00:36,"I'm sitting here with the regular 3Ls, James Harkin, Andy Murray, and Anna Chazinski."
00:00:36,00:00:39,"And once again, we've gathered around the microphones with our favorite facts from the week,"
00:00:39,00:00:42,and we're about to go over them in no particular order.
00:00:42,00:00:43,Here we go.
00:00:43,00:00:46,Starting with back number one.
00:00:46,00:00:49,And that is Andy's.
00:00:49,00:00:49,Yeah.
00:00:49,00:00:56,"My fact this week is that the words ""tory"" and ""prime minister"" both started out as being insults."
00:00:56,00:01:00,"Wait, so what was a prime minister called prior to a prime minister?"
00:01:00,00:01:03,"Well, a prime minister was originally not called that."
00:01:03,00:01:06,He was called the First Lord of the Treasury.
00:01:06,00:01:08,"And the term ""prime minister"" was thought to be an insult,"
00:01:08,00:01:15,because it was as though the First Lord of the Treasury was putting himself above other ministers
00:01:15,00:01:18,and marking himself out of this in some way better.
00:01:18,00:01:21,"So the one we call the first prime minister, Robert Walpole,"
00:01:21,00:01:24,didn't actually call himself prime minister ever in lifetime.
00:01:24,00:01:26,And it took a very long time.
00:01:26,00:01:31,I think it was 1905 before the phrase was actually officially recognised.
00:01:31,00:01:33,So I really like that a lot.
00:01:33,00:01:33,Yeah.
00:01:33,00:01:37,"And a ""tory"" used to be a word for a brigand or an outlaw in Ireland"
00:01:37,00:01:40,who noted for outrageous and savage cruelty.
00:01:40,00:01:43,"Well, that's quite a change of meaning, isn't it?"
00:01:43,00:01:46,"Yeah, most of them are not Irish anymore."
00:01:46,00:01:50,"But it was, yeah, ""tory"" is older than conservative,"
00:01:50,00:01:54,"which I always thought was strange, because ""tory"" sounds like the slang term for the conservative."
00:01:54,00:01:56,"Wick was also an insult, I think, wasn't it?"
00:01:56,00:01:57,What's that?
00:01:57,00:01:59,"Yeah, Wick meant a cattle driver."
00:01:59,00:02:02,So it seems like all the names that we give to our politicians
00:02:02,00:02:06,"and political parties are actually negative, have negative connotations."
00:02:06,00:02:08,But this got me onto unparliamentary language.
00:02:08,00:02:09,"Oh, yeah."
00:02:09,00:02:11,What you can and can't get away with in the House of Commons.
00:02:11,00:02:14,"So M.P. should not call other members liars,"
00:02:14,00:02:19,"suggest they have false motives, misrepresent what another person has said,"
00:02:19,00:02:24,"use abusive or insulting language, or describe another member as drunk."
00:02:24,00:02:27,You can't do that.
00:02:27,00:02:28,But you can't get away with loads of stuff.
00:02:28,00:02:32,"So Tony Banks, Labour MP, said that Margaret Attractor acted"
00:02:32,00:02:35,with the sensitivity of a sex-starved bower constrictor.
00:02:35,00:02:40,"He also described Tory MP Terry Dix as ""living proof that a pig's bladder"
00:02:40,00:02:42,"on the end of a stick can be elected to parliament."""
00:02:42,00:02:44,LAUGHTER
00:02:44,00:02:47,"Which is pretty rude, not to be called up on it."
00:02:47,00:02:53,"So was the famous one, was it Dennis Skinner said that half of Tory MPs,"
00:02:53,00:02:56,"thieves and criminals, and he was told to take it back."
00:02:56,00:02:59,"And he said, ""All right, then half of Tory MPs are not thieves and criminals."""
00:02:59,00:03:01,"Oh, that's such a good one."
00:03:01,00:03:03,I don't know when we don't have more fun political.
00:03:03,00:03:06,"I guess we have the Monster Raving Looney party, although I don't know what's happened to that."
00:03:06,00:03:08,But are the countries have some super fun political parties?
00:03:08,00:03:10,Like the Polish beer lovers party?
00:03:10,00:03:10,"Oh, yeah."
00:03:10,00:03:12,Poland actually has some really good parties.
