start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,- We run it on QI a few years ago. - Yeah.
00:00:02,00:00:04,"- Which was, there's no such thing as a fish."
00:00:04,00:00:05,- It ended up not such thing as a fish.
00:00:05,00:00:08,"- No, seriously, it's in the Oxford Dictionary"
00:00:08,00:00:10,of Underwater Life.
00:00:10,00:00:11,"He says it right there, first paragraph."
00:00:11,00:00:12,No such thing as a fish.
00:00:12,00:00:15,(upbeat music)
00:00:15,00:00:27,Hello and welcome to another episode
00:00:27,00:00:29,"of no such thing as a fish,"
00:00:29,00:00:31,a weekly QI podcast coming to you
00:00:31,00:00:33,from our offices in Coverns Garden.
00:00:33,00:00:34,"My name is Dan Schreiber,"
00:00:34,00:00:36,and the three other elves joining me today
00:00:36,00:00:39,"are James Harkin, Energy Zenski, and Annie Murray."
00:00:39,00:00:41,"Once again, we're gathering around the microphone"
00:00:41,00:00:42,and we're gonna share with each other
00:00:42,00:00:44,our favorite facts from the last seven days.
00:00:44,00:00:46,"So, in no particular order,"
00:00:46,00:00:48,we're the best things we found out this week.
00:00:48,00:00:50,(upbeat music)
00:00:50,00:00:52,"James, we're gonna start with you, fact number one."
00:00:52,00:00:54,"- Okay, my fact this week is,"
00:00:54,00:00:56,"if the new Godzilla existed,"
00:00:56,00:01:00,it would produce 12.9 million gallons of urine a day.
00:01:00,00:01:04,That's more urine than the Exxon Valdez spilled oil.
00:01:04,00:01:06,- How many times does Godzilla go a day?
00:01:06,00:01:08,"That's not one bash, is it?"
00:01:08,00:01:10,"- Well, some animals go all the time,"
00:01:10,00:01:13,"like voles, I think, just urinate the whole time."
00:01:13,00:01:14,- Really? They're just consistently urinating?
00:01:14,00:01:17,"- Well, actually, you're consistently urinating,"
00:01:17,00:01:19,"but it's, your kidneys trickle out"
00:01:19,00:01:22,"a milliliter of urine every minute,"
00:01:22,00:01:24,"but obviously you can store it in your bladder,"
00:01:24,00:01:28,"but voles, I'm pretty sure they just always let it go."
00:01:28,00:01:32,"And birds of prey can sometimes see these tracks of urine,"
00:01:32,00:01:33,and that's what helps them find the voles.
00:01:33,00:01:36,"- Ah, 'cause they're just constantly living,"
00:01:36,00:01:37,"leaving a piss trail, basically."
00:01:37,00:01:38,"- Yeah, what's weird though, right?"
