start_hhmmss,end_hhmmss,text
00:00:00,00:00:01,We run it on QI a few years ago.
00:00:01,00:00:02,Yeah.
00:00:02,00:00:04,"Which was, there's no such thing as a fish."
00:00:04,00:00:05,"You did a nice, such thing as a fish."
00:00:05,00:00:08,"No, seriously, it's in the Oxford Dictionary"
00:00:08,00:00:10,of Underwater Life.
00:00:10,00:00:11,"It says it right there, first paragraph."
00:00:11,00:00:12,No such thing as a fish.
00:00:12,00:00:15,[MUSIC PLAYING]
00:00:15,00:00:25,"Hello, and welcome to another episode of No Such Thing"
00:00:25,00:00:27,"as a Fish, a weekly podcast coming"
00:00:27,00:00:30,to you from the QI Offices in Covenant Garden.
00:00:30,00:00:31,My name is Dan Treurer.
00:00:31,00:00:34,"I'm sitting here with three other QI Elves, Andy Murray,"
00:00:34,00:00:37,"Anichezinski, and on our fact-checking duty today,"
00:00:37,00:00:38,James Harkin.
00:00:38,00:00:40,"Once again, we're gathering around the microphone"
00:00:40,00:00:42,to share our favorite facts from the last seven days.
00:00:42,00:00:47,"And joining us today is a special guest, a comedian from Belgium,"
00:00:47,00:00:48,Leven Scheiren.
00:00:48,00:00:49,"Hi, hi."
00:00:49,00:00:50,How's it going?
00:00:50,00:00:53,"Well, very good, I'm here, so that's great."
00:00:53,00:00:54,"Yeah, we're very excited to have you here."
00:00:54,00:00:57,Leven is basically the Stephen Fry Belgium.
00:00:57,00:00:59,"We have a show out there called Skyra in the Creation,"
00:00:59,00:01:02,"which is a panel show in which you have sort of comedians,"
00:01:02,00:01:05,"as well as interesting guests, from all sorts of categories,"
00:01:05,00:01:05,wine tasters.
00:01:05,00:01:06,That's the one I saw.
00:01:06,00:01:08,"Yeah, yeah, it's a panel show."
00:01:08,00:01:10,"It's much like QI, you know."
00:01:10,00:01:13,I think I secretly want to make QI in Belgium.
00:01:13,00:01:15,And now I have to find a channel that wants to host it.
00:01:15,00:01:18,"Just remember, you got to headline the gig at CERN, right?"
00:01:18,00:01:21,"Yes, that was last summer I was performing at CERN,"
00:01:21,00:01:24,which was absolutely amazing being a physicist
00:01:24,00:01:25,standard comedian.
00:01:25,00:01:29,I could do all my geeky jokes.
00:01:29,00:01:30,That's great.
00:01:30,00:01:31,"All right, should we kick into it?"
00:01:31,00:01:32,Should we get fact number one on the way?
00:01:32,00:01:34,"OK, fact number one."
00:01:34,00:01:36,"We're going to start with you, Leven."
00:01:36,00:01:39,"Yes, my fact is that during the Second World War,"
00:01:39,00:01:43,the Nazis employed two official Nazi comedians.
00:01:43,00:01:44,"That's a starter, Shig."
00:01:44,00:01:46,"Yeah, they were called Trann und Heller."
00:01:46,00:01:47,And they did funny sketches.
00:01:47,00:01:50,And I think Trann was the fat stupid one.
00:01:50,00:01:53,And then Heller would be the perfect man.
00:01:53,00:01:55,There's a few still on YouTube.
00:01:55,00:01:59,"But I must warn you, they are utterly not funny."
00:01:59,00:02:01,"And so surprising, Nazis."
00:02:01,00:02:05,"And well, they all have this war propaganda scenarios."
00:02:05,00:02:09,"Like, I remember one where Trann was sitting in his living room"
00:02:09,00:02:11,and he was reading a biography of Churchill
00:02:11,00:02:14,that was given to him by his Jewish neighbor.
00:02:14,00:02:17,"But luckily, Heller arrived and said, Trann, what are you doing?"
00:02:17,00:02:18,That's all lies.
00:02:18,00:02:20,And that was about it.
00:02:20,00:02:21,That's the punchline.
00:02:21,00:02:22,That's the punchline.
00:02:22,00:02:23,This is why central government shouldn't
00:02:23,00:02:25,get involved in comedy writing.
00:02:25,00:02:25,"Yes, that's right."
00:02:25,00:02:26,That works.
00:02:26,00:02:30,But they stopped this shows before the end of the war
00:02:30,00:02:32,because the German people watching this
00:02:32,00:02:35,were all sympathizing with the stupid fat guy
00:02:35,00:02:38,and not with this impossibly perfect Heller.
00:02:38,00:02:41,And they were even the stupid comedian
00:02:41,00:02:44,"was banned from the Nazi party because of this, yeah."
00:02:44,00:02:46,"Yeah, they're really not funny, are they?"
