start_hhmmss,end_hhmmss,text
00:00:00,00:00:01,We run it on QI a few years ago.
00:00:01,00:00:02,Yeah.
00:00:02,00:00:04,"Um, which was, there's no such thing as a fish."
00:00:04,00:00:05,It's kind of a nice such thing as a fish.
00:00:05,00:00:09,"No, seriously, it's in the Oxford Dictionary of Underwater Life."
00:00:09,00:00:11,"It says it right there, first paragraph."
00:00:11,00:00:12,No such thing as a fish.
00:00:12,00:00:23,"Hello, and welcome to another edition of ""No Such Thing as a Fish"""
00:00:23,00:00:26,coming to you from the QI offices in Covenant Garden.
00:00:26,00:00:27,My name is Dan Triber.
00:00:27,00:00:29,I'm sitting here with three other elves
00:00:29,00:00:32,"and it's Zinsky, James Arkin, and Anne Miller."
00:00:32,00:00:36,"And we've got on fact checking duties today, Alex Bell."
00:00:36,00:00:38,"And once again, we've gathered around the microphone"
00:00:38,00:00:40,to share our favorite facts from the last seven days.
00:00:40,00:00:42,"So in no particular order, here we go."
00:00:42,00:00:48,"Fact number one, James."
00:00:48,00:00:52,"OK, my fact is the world record for most kicks to one's own head"
00:00:52,00:00:55,is 127 in a minute.
00:00:55,00:00:57,"Jeez, so more than two a second."
00:00:57,00:00:58,That's more than two a second.
00:00:58,00:01:00,That's a lot of kicks.
00:01:00,00:01:01,How did he do it?
00:01:01,00:01:05,"Well, there's a video on the Guinness Book of Records website, I think."
00:01:05,00:01:08,"It's, I think he's like kind of a martial arts guy"
00:01:08,00:01:12,and he's very supple and fast and--
00:01:12,00:01:13,Possibly stupid.
00:01:13,00:01:15,And possibly slightly mental.
00:01:15,00:01:20,"But that means for him to do that speed, he has to be going, like, literally--"
00:01:20,00:01:21,Pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa.
00:01:21,00:01:25,"Is he related to Roy Kirby, who I know is the guy who's"
00:01:25,00:01:30,"spoken the Guinness World Record, he's also a martial arts guy for the hardest kick to the groin."
00:01:30,00:01:31,"Oh, no!"
00:01:31,00:01:38,I think he took a 22 mile an hour kick to the groin with 1100 pounds of force
00:01:38,00:01:40,"and didn't register any pain at all, he said."
00:01:40,00:01:41,Yeah.
00:01:41,00:01:42,He's built up a pain threshold.
00:01:42,00:01:44,Apparently they do it in a certain type of martial art.
00:01:44,00:01:47,"And I can't remember what it's called, where basically you run hard objects"
00:01:47,00:01:51,over your muscles every day and it sort of pulverises the nerve fibers
00:01:51,00:01:53,and causes fractures to the bone.
00:01:53,00:01:57,"And then when they heal, the body compensates by adding extra calcium to you,"
00:01:57,00:01:59,which means that you stop feeling pain.
00:01:59,00:02:04,"Here's a newspaper article that I found, which is somewhat related to Anna's fact."
00:02:04,00:02:05,Yeah.
00:02:05,00:02:10,A 28-year-old man who claimed to be acting out of curiosity when he asked seven women
00:02:10,00:02:14,to kick him in the groin was sentenced yesterday to 60 days in jail.
00:02:14,00:02:18,"One of the women, afraid of what he might do if she refused, kicked him repeatedly."
00:02:18,00:02:19,Oh my god.
00:02:19,00:02:22,The guy thanked her and left on his bicycle.
00:02:22,00:02:25,Which I have no seat.
00:02:25,00:02:29,So the court asked his wife what she thought about it.
00:02:29,00:02:32,And she told the court that she was at a loss to explain his consult.
00:02:32,00:02:36,"And she said, ""I can honestly say I find this as odd and peculiar"
00:02:36,00:02:39,"and disturbing as everyone else."""
00:02:39,00:02:42,"I wanted to look more into this guy, Joel Lindecker."
00:02:42,00:02:45,He's the guy who kicked himself in the head 127 times.
00:02:45,00:02:47,He's broken his own record a number of times.
00:02:47,00:02:51,"So on one of the occasions, he was interviewed by someone"
00:02:51,00:02:54,"and they said, ""Can I see an example of you doing this?"""
00:02:54,00:02:56,"And he said, ""Yeah, sure."""
00:02:56,00:02:57,And so he did it.
00:02:57,00:02:58,He only managed 80.
00:02:58,00:03:00,But what was great was the interview afterwards.
