start_hhmmss,end_hhmmss,text
00:00:00,00:00:01,We run it on QI a few years ago.
00:00:01,00:00:02,Yeah.
00:00:02,00:00:04,"Um, which was, there's no such thing as a fish."
00:00:04,00:00:05,"It isn't nice, there's nothing as a fish."
00:00:05,00:00:09,"No, seriously, it's in the Oxford Dictionary of Underwater Life."
00:00:09,00:00:12,"It says it, ""Right there, first paragraph, no such thing as a fish."""
00:00:12,00:00:23,"Hello, and welcome to another episode of No Such Thing as a Fish, a weekly podcast"
00:00:23,00:00:26,coming to you from the QI offices in Covenant Garden.
00:00:26,00:00:29,"My name is Dan Schreiber, I'm sitting here with the three regular elves"
00:00:29,00:00:32,"and it's Zinsky, James Harkin and Andy Murray."
00:00:32,00:00:36,"And once again, we've gathered around the microphones with our four favorite facts"
00:00:36,00:00:39,"from the last week, and here they are in no particular order."
00:00:39,00:00:42,"Okay, starting fact number one, James."
00:00:42,00:00:45,"Okay, my fact this week is about kangaroos, as you all know."
00:00:45,00:00:46,Yep.
00:00:46,00:00:52,"Uh, it comes in the form of a question, and that question is how many legs does a kangaroo have?"
00:00:52,00:00:55,"I think I can feel this one with confidence, uh, two."
00:00:55,00:00:56,[Laughs]
00:00:59,00:01:01,James is holding up a tiny Jackson button from...
00:01:01,00:01:02,Were you talking about that?
00:01:02,00:01:04,That's from the QI travel game.
00:01:04,00:01:05,Which is available in shops.
00:01:05,00:01:08,"Oh my god, that must be the most annoying toy."
00:01:08,00:01:09,[Laughs]
00:01:09,00:01:12,"Can you imagine on a airplane, a little kid sat next to you?"
00:01:12,00:01:13,Yeah.
00:01:13,00:01:15,Does any time you get something wrong?
00:01:15,00:01:16,"Can I, I scream?"
00:01:16,00:01:17,No.
00:01:17,00:01:18,[Laughs]
00:01:18,00:01:21,"No, I'm afraid the answer is I can eat ice cream."
00:01:21,00:01:24,"Okay, I'm going to put that to one side now, because that probably is very annoying."
00:01:24,00:01:26,"Um, yeah, they don't have two legs."
00:01:26,00:01:31,"Wait, so if they don't have two, they must have, what, four, the front, the front hands or legs?"
00:01:31,00:01:33,I'm going to have to get my buzzer out again.
00:01:33,00:01:34,What? Why?
00:01:34,00:01:39,"Yeah, that isn't annoying."
00:01:39,00:01:40,[Laughs]
00:01:40,00:01:46,"Uh, no, they have a three or five, depending on how you look at it, um, the tail counts as a leg."
00:01:46,00:01:47,Mmm.
00:01:47,00:01:50,"And that's according to a new study, which was in New Scientist a couple of weeks ago."
00:01:50,00:01:55,"And, um, what they did is they put a kangaroo on a treadmill."
00:01:55,00:01:55,Yeah.
00:01:55,00:01:59,Which had pressure points and could see when they were putting pressure on the floor.
00:01:59,00:02:03,"And they found that in the normal walk, not their bouncing walk, but the other one they do,"
00:02:03,00:02:04,it's kind of a shuffling walk.
00:02:04,00:02:08,"Um, they used the tail in the way that any other animal would use a leg."
00:02:08,00:02:10,"Is it a weight bearing thing, though?"
00:02:10,00:02:12,"Yeah, it's a weight bearing and propulsion."
00:02:12,00:02:13,Yeah.
00:02:13,00:02:14,Wow.
00:02:14,00:02:15,"Okay, so I've got two questions."
00:02:15,00:02:16,Go on.
00:02:16,00:02:17,"First question is, can they walk backwards?"
00:02:17,00:02:23,"Because that's one of the great Australian, either myths or truths."
00:02:23,00:02:27,"Uh, because the idea is that the, uh, the, the country's code of arms has a kangaroo and an"
00:02:27,00:02:31,e-mew on either side looking at each other and the idea of being that they were chosen
00:02:31,00:02:35,"because not only are they national animals, but they can't walk backwards, neither an e-mew"
00:02:35,00:02:36,or a kangaroo.
00:02:36,00:02:37,What does it say on the code of arms?
00:02:37,00:02:38,Always forwards or something.
00:02:38,00:02:39,"Oh, keep going forwards."
00:02:39,00:02:40,Keep going forwards.
00:02:40,00:02:42,"Terrible, terrible piece of advice for a lot of people."
00:02:42,00:02:43,"Yeah, of course."
00:02:43,00:02:44,"You're standing there, Cliffs."
00:02:44,00:02:45,No.
00:02:45,00:02:46,That's true.
00:02:46,00:02:48,"I think they, they can jump backwards."
