start_hhmmss,end_hhmmss,text
00:00:00,00:00:01,We run it on QI a few years ago.
00:00:01,00:00:02,Yeah.
00:00:02,00:00:04,"Um, which was, there's no such thing as a fish."
00:00:04,00:00:05,You didn't know such thing as a fish.
00:00:05,00:00:09,"No, seriously, it's in the Oxford Dictionary of Underwater Life."
00:00:09,00:00:11,"He says it right there, first paragraph."
00:00:11,00:00:12,No such thing as a fish.
00:00:12,00:00:15,[MUSIC PLAYING]
00:00:15,00:00:24,"Oh, and welcome to the second episode of ""No Such Thing as a Fish."""
00:00:24,00:00:27,This is a QIELF podcast coming to you from our office
00:00:27,00:00:29,is in Covenant Garden.
00:00:29,00:00:30,"We want to say, first of all, thanks to everyone who"
00:00:30,00:00:33,listened to the first episode that we put out last week.
00:00:33,00:00:34,Got huge numbers.
00:00:34,00:00:35,We weren't expecting it.
00:00:35,00:00:37,And really great feedback.
00:00:37,00:00:40,There's a lot of technical hiccups that we are sorting out.
00:00:40,00:00:42,We're going to get on with this second podcast now.
00:00:42,00:00:43,My name is Dan Schreiber.
00:00:43,00:00:46,I am sitting here with three other QIELs--
00:00:46,00:00:49,James Harkin and H. Azinsky and Andy Murray.
00:00:49,00:00:51,"And once again, we're huddled around our microphone."
00:00:51,00:00:53,And these are the best facts that we found out
00:00:53,00:00:54,from the last seven days.
00:00:54,00:00:56,"So in no particular order, here we go."
00:00:56,00:01:00,[MUSIC PLAYING]
00:01:00,00:01:01,"OK, first fact."
00:01:01,00:01:03,"And let's go with you, Anna."
00:01:03,00:01:06,"Yeah, I found out this week that the first ever sandwich"
00:01:06,00:01:08,that we know about contained wine.
00:01:08,00:01:10,"Yeah, but it was a wine sandwich."
00:01:10,00:01:11,What?
00:01:11,00:01:11,"Well, it is."
00:01:11,00:01:12,It's a sandwich.
00:01:12,00:01:13,I think it's a bread with wine.
00:01:13,00:01:15,"We had had other stuff in it, but wine was one of the ingredients."
00:01:15,00:01:19,"Yeah, so the first recorded sandwich was actually more of a wrap."
00:01:19,00:01:20,It was called a correction.
00:01:20,00:01:24,"It was invented by Hillel, who's a Jewish religious leader from,"
00:01:24,00:01:25,"like, 100 BC."
00:01:25,00:01:28,"So the Jews have been, like, at this festival eating wine"
00:01:28,00:01:32,"and figs and spices and stuff all mixed up together for about 1,000 years."
00:01:32,00:01:35,And he decided to just shove it between some flatbread.
00:01:35,00:01:38,And part of the concoction was wine and mixed up--
00:01:38,00:01:41,So this isn't the Earl of Sandwich's invention.
00:01:41,00:01:43,"I'm doing the inverted colors side there,"
00:01:43,00:01:44,and I say that.
00:01:44,00:01:46,So this is way before that.
00:01:46,00:01:47,This is way before that.
00:01:47,00:01:50,The Earl of Sandwich claims credit where it's not G.
00:01:50,00:01:51,"Yeah, I never heard that."
00:01:51,00:01:53,And that's actually-- I don't think we've
00:01:53,00:01:56,"done that genig on QI who invented the sandwich, have we?"
00:01:56,00:01:59,"No, but what did the other sandwich do, if anything?"
00:01:59,00:02:01,I think he was the first person to--
00:02:01,00:02:04,"I mean, he probably wasn't, but he was known for shoving meat"
00:02:04,00:02:05,between bread and the West.
00:02:05,00:02:09,"People say it's because he was a, like, a gracious gambler, yeah."
00:02:09,00:02:12,"Well, there's no way that he invented the sandwich anyway,"
00:02:12,00:02:15,"is that because, like, obviously, for, like you say,"
00:02:15,00:02:18,"for ever, people have been putting things in between two slices of meat."
00:02:18,00:02:19,"Yeah, it's so obvious."
00:02:19,00:02:23,I think I'd like this idea of people just putting their name to something
00:02:23,00:02:25,which has been invented for so long.
00:02:25,00:02:30,"Like, in 1999 in Japan, someone patented curry."
00:02:30,00:02:31,Wow.
00:02:31,00:02:31,Yeah.
00:02:31,00:02:34,"What happened was the very next year, 80 people"
00:02:34,00:02:36,"tried to patent pizza after this, huh?"
00:02:36,00:02:37,"Really, yeah."
00:02:37,00:02:39,"Well, there was a guy in Australia who successfully"
00:02:39,00:02:41,"painted in the wheel, right?"
00:02:41,00:02:42,"Oh, yeah."
