start_hhmmss,end_hhmmss,text
00:00:00,00:00:01,We run it on QI a few years ago.
00:00:01,00:00:02,Yeah.
00:00:02,00:00:04,"And which was, there's no such thing as a fish."
00:00:04,00:00:05,It's kind of a nice such thing as a fish.
00:00:05,00:00:09,"No, seriously, it's in the Oxford Dictionary of Underwater Life."
00:00:09,00:00:12,"It says it right there, first paragraph, no such thing as a fish."
00:00:12,00:00:25,"Hello, and welcome to another episode of No Such Thing as a Fish,"
00:00:25,00:00:28,a weekly podcast coming to you from the QI offices in Covent Garden.
00:00:28,00:00:29,My name is Dan Triber.
00:00:29,00:00:33,"I'm sitting here with the regular three elves, Andy Murray, Anna Chazinski,"
00:00:33,00:00:34,and James Harkin.
00:00:34,00:00:36,"And once again, we have gathered around the microphones"
00:00:36,00:00:39,to share our favorite facts from the last seven days.
00:00:39,00:00:40,"So again, let's do it."
00:00:40,00:00:43,"Our favorite facts, James."
00:00:43,00:00:48,"My fact is that in 1903, a man called W. Reginald Bray"
00:00:48,00:00:50,posted himself.
00:00:50,00:00:51,Wow.
00:00:51,00:00:52,How?
00:00:52,00:00:53,How?
00:00:53,00:00:56,He stuck a stamp on himself and walked down to the post office
00:00:56,00:01:01,"and said, I want to be taken to a house, which happens to be his own house."
00:01:01,00:01:02,And they took him.
00:01:02,00:01:03,Yeah.
00:01:03,00:01:04,Was it a slow day for him?
00:01:04,00:01:05,Finished his book?
00:01:05,00:01:07,I didn't know what to do.
00:01:07,00:01:12,"He was a bit of a wager, a bit of a practical joker."
00:01:12,00:01:16,And one of the things he did was he read through all of the post office
00:01:16,00:01:21,guide and worked out what the smallest and largest things he could post were.
00:01:21,00:01:24,So he discovered that the smallest item that he could post was 1b.
00:01:24,00:01:26,And so he posted that.
00:01:26,00:01:29,"And the largest was an elephant, but he couldn't find an elephant."
00:01:29,00:01:30,So he posted himself.
00:01:30,00:01:31,What year was this?
00:01:31,00:01:32,1903.
00:01:32,00:01:33,1903.
00:01:33,00:01:39,"It sounds like, because there's so many examples of people just testing the limits of the"
00:01:39,00:01:40,posting system.
00:01:40,00:01:41,Yeah.
00:01:41,00:01:43,"Like just a bunch of practical jokers going, how far can we push this?"
00:01:43,00:01:49,"There was a guy who sent an entire building's worth of bricks, because he was building a"
00:01:49,00:01:54,bank in a different city and the cheapest way was just to send the bricks via the post.
00:01:54,00:01:55,Oh my god.
00:01:55,00:01:56,Were they individually wrapped?
00:01:56,00:01:58,"No, I think that's what I hoped they were."
00:01:58,00:02:02,That would be a brilliant admin job for someone that's sticking the stamps on and putting them in.
00:02:02,00:02:04,"Yeah, Alex would love that."
00:02:04,00:02:06,He sent them at 40 at a time.
00:02:06,00:02:08,They must have not introduced weight limits then.
00:02:08,00:02:10,That must have been when they did it by size.
00:02:10,00:02:11,That's where they brought it.
00:02:11,00:02:12,That's where they introduced the scales.
00:02:12,00:02:16,"That's when they brought it in, £200 per day, the limit that they then imposed."
00:02:16,00:02:19,There's a weird history of people posting themselves.
00:02:19,00:02:20,It's not just this guy.
00:02:20,00:02:21,There's been a few cents.
00:02:21,00:02:23,A guy called Mr. Seng.
00:02:23,00:02:24,I'm not sure where he was from.
00:02:24,00:02:30,He decided to post himself in a sealed box and he thought it would just be a 30-minute
00:02:30,00:02:36,"journey, but they put him in the wrong pile and he was stuck in there for three hours and"
00:02:36,00:02:40,"he didn't make a hole in his box so he could hardly breathe and when they cut him out, he'd"
00:02:40,00:02:46,"passed out and when they interviewed him in the newspaper afterwards, he said, ""I tried"
00:02:46,00:02:50,"to make a hole in the cardboard, but it was too thick and I didn't want to spoil the surprise"
00:02:50,00:03:00,"by shouting, 'Wow!' That was a real dedication to a surprise."
00:03:00,00:03:05,But then he couldn't really jump out and say surprise because he passed out.
00:03:05,00:03:10,And was it a good surprise or was it like he was a burglar and he was going to jump out
00:03:10,00:03:11,and then round sack of house?
00:03:11,00:03:18,"Well there was a guy who posted himself, what was it now, okay so there was a guy who decided"
