start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,We run it on QI a few years ago. Yeah. Which was there's no such thing as a fish.
00:00:04,00:00:09,"You have no such thing as a fish. No seriously, it's in the Oxford Dictionary of Underwater Life."
00:00:09,00:00:12,"He says it right there, first paragraph. No such thing as a fish."
00:00:12,00:00:24,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming to you"
00:00:24,00:00:28,from the QI offices in Covent Garden. My name is Dan Shriver. I'm sitting here with three other
00:00:28,00:00:34,"elves Andy Murray, Anna Chazinski and James Harkin. And once again, we've gathered around the table"
00:00:34,00:00:38,"with our favorite facts from the last seven days. So here we go in no particular order,"
00:00:38,00:00:46,our favorite things from the last week. Anna. My fact is that rats wearing polyester pants
00:00:46,00:00:54,"can't get directions. What, how did they find this out? So this guy, it was in 1993 and it was"
00:00:54,00:00:59,Dr. Armad Shafiq and he dressed up 75 rats. We just established why he did this first?
00:00:59,00:01:04,"Yeah, he wanted to see if polyester decreases fertility. It's science, Dan. Okay. Yeah."
00:01:04,00:01:10,"So yeah, he split them into five groups, dressed one group up in cotton trousers or pants,"
00:01:10,00:01:14,"dressed another group up in polyester pants, another group up in wool pants, another group up"
00:01:14,00:01:20,"in 50/50, which I think is what most people wear, right? Right. It's like 50% cotton, 50% polyester."
00:01:20,00:01:24,"And yeah, they have to wear these pants continuously for six months and then he shoved them in with"
00:01:24,00:01:31,"a load of women. I mean, female rats. No, maybe that was where he went wrong. I mean, a lot of the women"
00:01:31,00:01:37,"got pregnant. Sorry, yeah, he shoved them in with a load of female rats and he found that the"
00:01:37,00:01:43,ones wearing polyester pants tried to mount the females and their ability to penetrate them
00:01:43,00:01:47,"was significantly reduced. And the idea is synthetic fabrics are bad for you, is that it?"
00:01:47,00:01:52,"Yeah, actually, he said that, but I think that's controversial. A lot of studies say wearing"
00:01:52,00:01:59,"polyester boxes might reduce your sperm count, but how weird. Yeah. But then I read quite a good quote"
00:01:59,00:02:03,"from a doctor saying, ""How come during the 70s and 80s when everyone was wearing tight polyester"
00:02:03,00:02:07,"clothes suddenly the human population didn't decrease rapidly?"" Yeah, there were a lot of"
00:02:07,00:02:12,"advances in other areas as well. We're only working a while, but the only variable was what kind of"
00:02:12,00:02:17,"finds trousers everywhere. Yeah, so anyway, he thinks the reason this happens and the reason that it"
00:02:17,00:02:22,"maybe happens in humans, but the reason that it happens definitely in rats is that it creates"
00:02:22,00:02:27,"kind of a static electricity around, if you're wearing polyester, tight polyester. So you've got"
00:02:27,00:02:33,"electric genitals. You've got electric genitals, yeah. That's a great thing. And the sperm hate that."
00:02:33,00:02:39,"And I found this out in a book called ""Bonk"" by Mary Roach, who we love because she writes excellent"
00:02:39,00:02:44,"books. So ""Bonk"" is a scientific approach to sex, but it's really well written. It's really entertaining"
00:02:44,00:02:48,"read. I thought when I heard the fact, I read into this guy just very quickly because I wanted to see"
00:02:48,00:02:53,what kind of character he was. And there was a great little thing that Mary Roach had found out that
00:02:53,00:02:59,"he was Nobel Prize nominated. But the thing is she checked up to see if he was Nobel nominated,"
00:02:59,00:03:04,and the rules of Nobel are that they don't reveal who the nominations were until 50 years after
00:03:04,00:03:08,the nomination itself. So you can go around. She's saying put that on your resume. You can go around
00:03:08,00:03:14,saying you're a Nobel Prize nominated person and no one will ever know. But he also performed the
00:03:14,00:03:19,"world's first bladder transplant. He also did the same experiment on dogs, which I find so I think"
00:03:19,00:03:24,he might have just really liked putting pants on animals. He was quite clear in the study that he
00:03:24,00:03:30,washed them every time they were soiled. Rats do soil themselves a lot. They urinate almost all the time.
00:03:30,00:03:34,"Oh, that's a lot of washing, man. Yeah. Unless it was just number two's that he was cleaning up."
00:03:35,00:03:42,"But so rats urinate all the time everywhere to attract women, female rats. They also"
00:03:42,00:03:47,weave on food to marketers edible standard practice. Yeah. Females will weave on a male that they
00:03:47,00:03:52,particularly like male rats will do the same to females. Young rats will weave on older rats.
00:03:52,00:03:57,And no one knows why they do that. And dominant males regularly weave on their subordinates.
00:03:57,00:04:02,"Not standard practice. No, that's a lot of weaving to be cleaning up after. Is that clear?"
00:04:02,00:04:07,"Do they have to constantly drink? Possessently in the pub, just downing pines."
00:04:07,00:04:15,So we don't know why they piss on each other? I think the idea is maybe that it contains
00:04:15,00:04:19,pheromones or something like that. But it seems like such a blunt instrument to us because we don't
00:04:19,00:04:23,"know about whatever pheromones maybe it is. So they probably look at us going, all these humans,"
00:04:23,00:04:27,"they make noises with their mouths, when they're happy, when they're sad, to please people, to make"
00:04:27,00:04:33,"people angry. It's grotesque. Why are they marking that you're lying, there was edible."
00:04:33,00:04:41,"Going back to Mary Roach, which is where you got the fact about rats in Pants from. I read it a"
00:04:41,00:04:45,"few years ago, I think it was in the J series and because you have to tenuously tie everything"
00:04:45,00:04:48,"to the letter of the alphabet you're studying. Mine was at a J for jiggy, brackets, jiggy."
00:04:48,00:04:56,"Other incredible facts from this book, Bonk, I love this one. In 1851 a gynecologist called James"
00:04:56,00:05:00,Platt White was expelled from the American Medical Association from inviting medical students to
00:05:00,00:05:04,observe a consenting woman giving birth because his colleagues were so outraged by the idea of a
00:05:04,00:05:08,male doctor looking at female genitals. I was given birth to in front of a bunch of students.
00:05:08,00:05:13,"Why? Really? Yeah. It was pretty awesome. Can you remember much about it? Of course, of course I can,"
00:05:13,00:05:20,"we are. It's not a talk about how beautiful I was. Oh, and the other two fifths of the human penis"
00:05:20,00:05:25,"is hidden beneath the skin. Two fifths. Two fifths? It's like an iceberg. Oh, and I think the other"
00:05:25,00:05:28,thing I should have mentioned on this podcast before is about the postage stamp penis test.
00:05:28,00:05:33,"Well, say it anyway, what is it? In the 20th century, if someone couldn't get an erection,"
00:05:33,00:05:37,it was either going to be psychological or it was going to be physiological. So to test whether or not
00:05:37,00:05:41,"it was purely bodily problem or whether it was all in the mind, they would attach a strip of"
00:05:41,00:05:46,perforated postage stamps around the base of the penis and then leave you overnight. If it was a
00:05:46,00:05:49,"purely psychological problem, you would have an erection as you slept and the perforations would"
00:05:49,00:05:54,"tear, whereas if it was a physiological problem, you wouldn't and you'd wake up still. Well, the thing"
00:05:54,00:06:05,"was when you woke up and your penis had been sent to basketball. Okay, time for back number two,"
00:06:05,00:06:09,"Andrew Hunter Murray. Okay, my effect is that during the First World War,"
00:06:09,00:06:16,"entertainment for the troops included organised pillow fights, wheelbarrow races and wrestling on"
00:06:16,00:06:21,"the backs of mules. Sounds like fun. It does sound like fun. Wrestling on top of a mule,"
00:06:21,00:06:25,"like two men on a top of a mule. What I think it is, is two men on two different mules"
00:06:25,00:06:29,"trying to push the other one off. Like low key jasting, but I haven't confirmed that,"
00:06:29,00:06:35,"so you may be right. It may be, it may be two men on one mule. So that's a lot to put on one mule."
00:06:35,00:06:40,Yeah. I do know you're not allowed legally to ride a llama. What do you mean? Nobody's allowed to
00:06:40,00:06:45,"ride a llama. It's just in this country or? Well, again, you test the limits of my knowledge."
00:06:45,00:06:48,"Should we have llamas in Britain? We do have llamas in Britain. They're farmed quite a lot,"
00:06:48,00:06:53,"but it's really bad for them to ride them. So they have quite weak backs, and you could load them"
00:06:53,00:06:57,"up with a bit of weight, but really not very much. And when you look at them, they've got these lovely"
00:06:57,00:07:01,vertical high necks and then quite a dip in their backs. You can easily see that riding them
00:07:01,00:07:06,"would be quite bad for them, actually. Their audience ride them everywhere. They didn't care."
00:07:06,00:07:11,"Anyway, yes, so these were just the various things that were done to keep morale up"
00:07:11,00:07:14,"among British troops, because obviously there's a lot of time going on between battles."
00:07:14,00:07:18,"So where did these fights take place? So they in the front line, do we think? Just front trench?"
00:07:18,00:07:22,"I just spec'd a little bit further. Yeah, they probably didn't do wheelbarrow races in no"
00:07:22,00:07:27,"man's land. Did they? No. Just going over the top with your pillows. So, I'm sorry, just so yeah,"
00:07:27,00:07:31,"just this this pillow fight that we only know about it, because these are first one more diaries,"
00:07:31,00:07:35,which the National Archive have been digitising. And you can go and see them at Q and you can go and
00:07:35,00:07:39,look through them. They have hundreds of thousands of documents. They have a copy of the Doomsday
00:07:39,00:07:46,"book there. A replica of it, but nonetheless, it's very cool. Wow. Yeah, very good. Hey, so pillows"
00:07:46,00:07:52,"used to be made of stone. How long would you like to fight with those, would you? No. When was this?"
00:07:52,00:07:56,"In the 70s. These are thousands of years old. So the very earliest pillows are Mesopotamian,"
00:07:56,00:08:02,"they're about 9,000 years old. And they're made of stone and they're carved in a half moon shape,"
