start_hhmmss,end_hhmmss,text
00:00:00,00:00:01,We run it on QI a few years ago.
00:00:01,00:00:02,Yeah.
00:00:02,00:00:04,"Um, which was, there's no such thing as a fish."
00:00:04,00:00:05,You did not such thing as a fish.
00:00:05,00:00:09,"No, seriously, it's in the Oxford Dictionary of Underwater Life."
00:00:09,00:00:12,"He says it, right there, first paragraph, no such thing as a fish."
00:00:12,00:00:16,[MUSIC PLAYING]
00:00:16,00:00:23,"Hello, and welcome to another episode of ""No Such Thing as a Fish"""
00:00:23,00:00:27,a weekly podcast coming to you from the QI Offices in Covent Garden.
00:00:27,00:00:29,"My name is Dan Shriver, I'm sitting here with three of the regular elves"
00:00:29,00:00:33,"and it's Andy Murray, Anna Chazinski, and James Harkin."
00:00:33,00:00:35,"And once again, we've gathered around with our favorite four facts"
00:00:35,00:00:38,"from the last week, and here they are, in no particular order."
00:00:38,00:00:41,[MUSIC PLAYING]
00:00:41,00:00:45,"Andy Murray, my fact is that over 100 people used to watch King Louis XIV"
00:00:45,00:00:47,get up and get dressed every day.
00:00:47,00:00:48,Did he know they were there?
00:00:48,00:00:49,"Yes, he did."
00:00:49,00:00:50,So was it like a window?
00:00:50,00:00:53,"No, people would come into his bedroom and watch him--"
00:00:53,00:00:54,Hundreds.
00:00:54,00:00:57,It's a ceremony called the Leve as in the French for getting up.
00:00:57,00:01:01,And it was kind of to ease the king into the day.
00:01:01,00:01:04,That would be quite good if you got up in the morning and brush your teeth
00:01:04,00:01:05,and you got a big round for applause.
00:01:05,00:01:07,That would really help your day stop.
00:01:07,00:01:10,"Yeah, and people came to see him while he was having his breakfast."
00:01:10,00:01:13,So a few people would come in when he was still in bed at eight o'clock.
00:01:13,00:01:15,And he would be woken up.
00:01:15,00:01:17,"And his nurse would kiss him, his childhood nurse,"
00:01:17,00:01:19,and his chamber potter would be removed.
00:01:19,00:01:22,"And then the ceremony started, which took an hour and a half."
00:01:22,00:01:25,And he would have his hands washed in wine.
00:01:25,00:01:27,He picked a wig. He was given his slippers and dressing again.
00:01:27,00:01:29,His hand washed in wine.
00:01:29,00:01:30,"Yeah, he washed his hands in wine."
00:01:30,00:01:31,Why would you do that?
00:01:31,00:01:31,No idea.
00:01:31,00:01:33,Stinky hands the whole day.
00:01:33,00:01:36,Spartans used to wash newborn babies in wine.
00:01:36,00:01:38,It was one of the first things that happened to them
00:01:38,00:01:40,as they got a bucket of wine or washed in them.
00:01:40,00:01:40,Wow.
00:01:40,00:01:43,So sometimes he would just go to the corner and have a wee
00:01:43,00:01:46,in the chamber pot with no embarrassment or inhibition.
00:01:46,00:01:48,"Well, he would have done all this broadcast,"
00:01:48,00:01:48,haven't we?
00:01:48,00:01:50,How he liked to defecate in public.
00:01:50,00:01:51,Was that him?
00:01:51,00:01:52,"Yes, that was him."
00:01:52,00:01:54,I think like to is an exaggeration.
00:01:54,00:01:55,"No, he liked to."
00:01:55,00:01:57,Architects at Versailles suggested that toilet cubicles
00:01:57,00:01:59,"are becoming, you know--"
00:01:59,00:01:59,"No, no."
00:01:59,00:02:00,Alamoids.
00:02:00,00:02:02,"No, I liked to put him public."
00:02:02,00:02:05,The really amazing thing is where they dress him.
00:02:05,00:02:08,So two officials took the sleeves of his night shirt
00:02:08,00:02:10,and started to pull it off him.
00:02:10,00:02:14,While another courtier brought a fresh and pre-warmed shirt
00:02:14,00:02:15,to the king.
00:02:15,00:02:17,And then two other people-- this is four and five--
00:02:17,00:02:20,had to hold up the king's dressing gown as a curtain.
00:02:20,00:02:23,So people didn't get a glimpse of--
00:02:23,00:02:24,So a quick question.
00:02:24,00:02:26,"Back then, how do you pre-warmed something?"
00:02:26,00:02:27,Do you hold it over an oven?
00:02:27,00:02:28,Do you--
00:02:28,00:02:29,I don't even like a fire.
00:02:29,00:02:31,"Or maybe you can warm up ions, can't you?"
00:02:31,00:02:32,And then you can press the iron out.
00:02:32,00:02:33,I might be worn by someone for a little while.
00:02:33,00:02:34,"Yeah, that's what I was thinking of."
