start_hhmmss,end_hhmmss,text
00:00:00,00:00:06,"Hey everyone! Welcome to episode 30 of No Such Things A Fish. We recorded a live podcast last night,"
00:00:06,00:00:11,our first live podcast and we've decided to put it out tonight for some reason and basically
00:00:11,00:00:18,unedited so it's pretty long but yeah hope you enjoy it. We really enjoyed it so much in fact
00:00:18,00:00:23,that we are going to do another live podcast tickets are going to go on sale for that on Monday.
00:00:23,00:00:29,Tickets will be available at www.chortle.co.uk or at www.nosuchthingsafish.com. It's going to be in
00:00:29,00:00:58,Canon London so keep an eye out for that and hope you enjoy this one.
00:00:58,00:01:03,"Welcome to another episode of No Such Things A Fish, a weekly podcast coming to you this week"
00:01:03,00:01:08,from the Aces & 8 bar in Tuppnell Park. This is our first ever live recording. My name is
00:01:08,00:01:13,"Dan Schroiber. Please welcome to the stage the three regular elves Andy Murray, Anna Chazinski and"
00:01:13,00:01:24,James Horkin. Once again we have gathered around with our four favorite facts from the last seven
00:01:24,00:01:28,"days and in no particular order here we go. Fact number one and beginning with you,"
00:01:28,00:01:35,James. Okay my fact this week is that the first BBC radio presenter with a northern accent
00:01:35,00:01:39,was given the job to make it more difficult for the Nazis to impersonate news readers.
00:01:39,00:01:47,So why were the Nazis impersonating newsreaders? They thought that if they could pretend to be newsreaders
00:01:47,00:01:51,over the radio then people would believe anything they said and they'd be able to say oh we've
00:01:51,00:01:55,got such a strong army and people would just believe it. So they let raid the BBC? It was just
00:01:55,00:02:00,propaganda really. They would pretend to be BBC newsreaders. And so people wore horror and people
00:02:00,00:02:11,like that. But yeah. It's also why we've got James on the podcast. James a Nazi. No this was a guy
00:02:11,00:02:19,called Wilfrid Pickles. He was the first northern newsreader from 1941. He was from Yorkshire
00:02:19,00:02:24,and a lot of people didn't believe the news when he read it out because he had a northern accent.
00:02:24,00:02:29,Apparently. What did they think? They thought that's a Nazi trying to do a British accent.
00:02:29,00:02:37,No I don't know what they thought really. They just thought this guy's uneducated he
00:02:37,00:02:40,can't possibly know what the news is. That's what they I read this thing about in the early days
00:02:40,00:02:46,of news reporting particularly on radio that they never it was all male presenters and they said
00:02:46,00:02:50,that they wouldn't allow female presenters on because they didn't want them to have to go through
00:02:50,00:02:55,reading bad news like upsetting news stories. Yeah. They just thought they're not going to like that. That
00:02:55,00:03:00,would be too emotional. And it's true. It's a BBC thing where they announced that they said we're
00:03:00,00:03:05,not going to allow wind to do that. They'll be too upset when they hear this bad news. No. It's
00:03:05,00:03:11,terrible. They did have one in 1933 the first female newsreader. She was called Mrs. Giles Borrett.
00:03:11,00:03:15,I don't know what her real first name was. It doesn't seem to come up any more.
00:03:15,00:03:19,"Have you seen a picture of that? Mrs. Giles Borrett. Yeah, as he named after her husband. We were asked"
00:03:19,00:03:24,holes to women back in the day. We still are but like I mean doubly so. That's terrible.
00:03:24,00:03:28,There were complaints she was there for two months and the BBC took her off the air for technical
00:03:28,00:03:38,reasons. She's technically a gender is wrong. Did you know that all newsreaders were originally
00:03:38,00:03:43,anonymous? No. So they didn't give their names on air. It was just the voice of the BBC news.
00:03:43,00:03:47,And so we have the Nazis to thank the named newsreaders because during the war people said that they
00:03:47,00:03:52,should be able to listen and kind of authenticate who they were listening to. So the first one was
00:03:52,00:03:57,Frank Phillips and he said in July 1940 battle of Britain time this is Frank Phillips from the BBC
00:03:57,00:04:02,so that again you couldn't be impersonated. So today we might have Hugh Edwards just being a man
00:04:02,00:04:09,on a screen. Wow. That's kind of used to me. Yeah. Isn't that weird though that none of them
00:04:09,00:04:14,identified themselves? Do you guys know about the very first ever BBC news report on the radio?
00:04:14,00:04:19,No. Okay. It's great. It basically was on the 14th of November and I forgot to look up the date.
00:04:19,00:04:23,But it's on the 14th of November so we're coming up to the anniversary. Very exciting.
00:04:23,00:04:32,And basically he read out the news. It was a guy called Arthur Burrows and he read it out
00:04:32,00:04:38,but he read it twice once quickly and then once slowly and then asked the listeners which to do
00:04:38,00:04:43,proper. Just for future recordings to know which way they go. And the wish did they go with?
00:04:43,00:04:49,I think it's not been recorded. I don't know the answer. So we didn't know if now we have quick
00:04:49,00:04:54,news or slow news. I have no idea. I have no idea. Also it was really weird because when they started
00:04:54,00:04:59,doing the news they did it post 7pm and Lord Reath joined. So Lord Reath if you don't know his name
00:04:59,00:05:05,he's the guy who in the BBC they have a big kind of saying which is to entertain and form and
00:05:05,00:05:09,educate. That's the Lord Reath philosophy for BBC that everyone's tried to stick to. He joined
00:05:09,00:05:15,the week after the very first broadcast of a radio announcement telling the news on the BBC.
00:05:15,00:05:20,And he had this thing where he said we don't want anyone to be doing news bulletins before 6pm
00:05:20,00:05:25,because the newspapers will be hurt as a result of it. And so no one was allowed to do anything
00:05:25,00:05:31,in terms of announcing any news to the point that when they showed horse racing on the
00:05:31,00:05:38,news they couldn't have commentators commentating on the horse race so you listen to hooves
00:05:38,00:05:45,and people cheering at like 4pm and then at 7pm they go and blitzer one. They would wait till the
00:05:45,00:05:49,7 o'clock news. Was there a pause in between the end of the hoose? I think so. And blitzer one.
00:05:49,00:05:55,So you were speaking of radio though. Do you know what they did in 1955 when ITV started? I think
00:05:55,00:06:03,it was 1955 wasn't it? And what the BBC did to try and jeopardize ITV's chances? No.
00:06:03,00:06:07,It wasn't actually on TV because radio was the more popular medium at that time. They killed off
00:06:07,00:06:15,Grace Archer in the Archer's gas. 20 million people tuned in. The population of Britain was 40
00:06:15,00:06:20,million at the time. Half the country tuned in to listen to Grace get killed off from the Archer.
00:06:20,00:06:28,The Archer's fans really hate you don't they don't they? We make I so outside anyone who
00:06:28,00:06:33,listens to this podcast might know that we also the four of us work for QI and one of the QI
00:06:33,00:06:38,things is a radio show called Museum of Curiosity. And Museum of Curiosity is played at 630 every
00:06:38,00:06:43,evening on a Monday and Archer's follows immediately and we get the shit ripped out of us by the Archer's
00:06:43,00:06:48,fans they hate us and they just they don't even they just they say how much they hate us and then
00:06:48,00:06:56,they do hashtag the archers and so everyone they catch the last five minutes of Museum of Curiosity
00:06:56,00:07:00,and we're usually talking about pubic lies or something like that and this it doesn't come up on
00:07:00,00:07:03,the Archer's apparently. No it doesn't there was a great there was a fantastic one this week though
00:07:03,00:07:07,there was someone who actually tweeted what is this garbage I absolutely hate it hashtag the
00:07:07,00:07:11,Archer's someone wrote back going I know this program sucks they should cancel it the Archer's is
00:07:11,00:07:20,terrible lovely confusion I have a fact about Lord wreath John wreath as he was then when he applied
00:07:20,00:07:24,for the post of general manager of the British broadcasting company he did not know what broadcasting
00:07:24,00:07:31,was and he wrote in his diary that when he was called to an interview he quote still hadn't the
00:07:31,00:07:36,remotest idea as to what broadcasting was I hadn't trouble to find out and they gave him the job
00:07:38,00:07:45,and when so do you know where remote controls were for what was the main attraction of them
00:07:45,00:07:49,how they were marketed remote controls what for TV yeah is that I'm calling them you don't have to
00:07:49,00:07:54,get up and walk over to the thing presumably it is that but their main strategy in the marketing
00:07:54,00:07:59,was it was after ITV came about and Adverts came about and remote controls were just volume controls
00:07:59,00:08:02,and they looked like one of those rotary phones so they were like a a dial which you just dialed
