start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,We run it on qi a few years ago. Yeah. Which was there's no such thing as a fish.
00:00:04,00:00:09,"No, seriously, it's in the Oxford Dictionary of Underwater Life."
00:00:09,00:00:12,"He says it right there, first paragraph. No such thing as a fish."
00:00:12,00:00:22,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast"
00:00:22,00:00:27,coming to you from the qi offices in Covenant Garden. My name is Dan Schreiber and sitting here
00:00:27,00:00:32,"with Anna Chazinski, Andy Murray and James Harkin and once again we've gathered around the microphone"
00:00:32,00:00:36,"with our four favorite facts from the last seven days and in no particular order, here we go."
00:00:36,00:00:46,"Starting with fact number one and that is Chazinski. Yeah, my fact this week is that in 1874 there was"
00:00:46,00:00:51,a plan to transport dead bodies from all over Europe to mount Vesuvius and throw them in.
00:00:52,00:00:58,"Was this the plan of a supervillain? Well, maybe, maybe. So it's reported in a couple of"
00:00:58,00:01:02,newspaper articles from the time there's one article in the Daily Gazette for Middlesbrough
00:01:02,00:01:11,which describes how an American company has got some capital to erect railways or
00:01:11,00:01:15,like have trains running all over Europe and it takes people who have died who want to be
00:01:15,00:01:20,cremated in Mount Vesuvius and it runs them up Mount Vesuvius and then it tosses them into the
00:01:20,00:01:28,"burning lava below. And this, so I can't find any proof of the history. I can't find that the"
00:01:28,00:01:33,company ever happened but seems strange that it would only be reported in the Middlesbrough Gazette.
00:01:33,00:01:39,"It's also reported in the New York Times in the same year. Okay, so it just tilts you in"
00:01:39,00:01:45,"as the train passes, it just sort of tips the carriages over the edge and then they tilt back on."
00:01:45,00:01:48,"Well, I think the train probably stops at the top because the other article it mentions that there"
00:01:48,00:01:52,would be some sort of a chapel built at the top of Mount Vesuvius where you could have a small
00:01:52,00:01:57,funeral service before you. Oh yeah. Reward tipping your family member into the. Be better if the
00:01:57,00:02:03,tracks went actually over the Caldera and then just tip them out as it was. Or just like the if the
00:02:03,00:02:08,"bottom just opened up, you just dropped them out. Is there always lava at the bottom? No, there's not."
00:02:08,00:02:11,"See, that's, that's a weird thing that they always say with throwing people into volcanoes."
00:02:11,00:02:16,"I like that. This is what they always say. It's what they always say. If there's an active volcano,"
00:02:16,00:02:22,"yeah, the fumes from a volcano are enough to kill you. So anyone trying to throw someone into a volcano"
00:02:22,00:02:26,"would die immediately purely just off the back of the view. No, no, you could do it at a certain point."
00:02:26,00:02:31,"So there was one more source, which from 1878, which was just before Vesuvius had an eruption,"
00:02:31,00:02:40,"I think, and it was like Vesuvius was getting ready. The West Lothian butte. It was very European,"
00:02:40,00:02:45,the local vapors. And I think it was sort of bubbling and waiting to erupt. And that's the ideal
00:02:45,00:02:49,moment. That's when you want to catch it. There's a really funny letter that was written to
00:02:49,00:02:56,the New York Times around this time about this idea. And it says it's recently occurred to
00:02:56,00:03:00,certain thoughtful and genius persons that the constant fire maintained in the crater of Vesuvius
00:03:00,00:03:05,"generates an enormous amount of heat, which is wholly wasted. Occasionally, a native Italian has"
00:03:05,00:03:10,inadvertently slipped into the volcano and has vanished so suddenly and completely that not even
00:03:10,00:03:17,a trace of garlic could be sent in the air. And nothing but a silent hand organ and a brave monkey
00:03:17,00:03:22,remained to recall the fact that a citizen of free Italy has flashed into flame and dissipated
00:03:22,00:03:27,in the gases. And it goes on because it's not just racist against the Italians. This is the New York
00:03:27,00:03:32,Times. Even the stoutist British tourist who has toppled into the crater while searching for a good
00:03:32,00:03:37,place to boil a tea kettle has disappeared before he could fairly mention his purpose of writing to
00:03:37,00:03:42,the Times newspaper and denouncing the neglect of the local authorities to rail in the crater.
00:03:42,00:03:44,"Well, to be fair, they've got us to a tea, haven't they? Yeah."
00:03:44,00:03:50,"You've nailed us, yeah. Tea drinking and whining. I know sometimes we think journalism's always"
00:03:50,00:03:55,"getting worse, but I think there we have definite proof that it sometimes gets better as well."
00:03:55,00:04:01,"I don't know. I think it's quite amusingly reported. Garlic has been an Italian trope, an Italian"
00:04:01,00:04:07,felon and not even his baguette and stripy jersey remain on the outside. I thought his trademark
00:04:07,00:04:11,beret. And there's just one more part from this letter which is good and which the New
00:04:11,00:04:16,"Saper article reports as well, which is one of the advantages of this service, this funeral service,"
00:04:16,00:04:21,is that mornas have seen the remains of their loved ones comfortably cremated in the finest
00:04:21,00:04:25,natural furnace in Europe can straight away distract their minds and delay their grief by enjoying
00:04:25,00:04:29,the view from the summit of the mountain and making a subsequent visit to all points of interest
00:04:29,00:04:35,in Naples and the vicinity. And the news paper actually reports that you'd get the train ride would
00:04:35,00:04:41,come with a voucher to spend in Naples once you got out. I think this is really cool speaking of
00:04:41,00:04:45,magma. So there's a new project to drill. See if we can drill further than we've drilled before
00:04:45,00:04:52,into the earth and see if we can get basically to where the magma starts. And isn't it weird that
00:04:52,00:04:58,the furthest we've ever sent an object away from this earth is 20 billion miles. So now I think
00:04:58,00:05:02,it's the Voyager wasn't it. There was sent out in the 70s. It's now 20 billion miles away.
00:05:02,00:05:07,The furthest we've ever got into the earth and it's not for want of trying is 12 kilometers.
00:05:07,00:05:12,It's really hot down there. I mean it's really cold in space. Yeah. It's just as there's stuff there
00:05:12,00:05:16,"though. The geologist is just saying in space you got no stuff. People like it's such a big deal,"
00:05:16,00:05:21,but actually it's mostly space. There are a couple of molecules per cubic meter in space. That's
00:05:21,00:05:27,true. But that's much much fewer than in the ground. Where there are loads of molecules literally
00:05:27,00:05:34,every centimeter. That's more than you'll probably know. The Slates.com official explainer question of
00:05:34,00:05:41,the year for 2007 was why don't we drop medical waste and nuclear waste into active volcanoes.
