start_hhmmss,end_hhmmss,text
00:00:00,00:00:06,"Hey everyone, it's Alex here. You know, Alex Bell? No, you don't, because I'm never allowed on the podcast."
00:00:06,00:00:12,"Anyway, Dan James, Andy and Anna have all gone over Christmas, but I'm still stuck in the Kiwi office."
00:00:12,00:00:16,"They've told me to edit together a BEST of 2014 episode for no such thing as a fish,"
00:00:16,00:00:20,"but screw them, I've decided to put together a WORST of 2014."
00:00:20,00:00:25,"So here's some of the most crude, inane and ludicrous nonsense they've come up with over the past year"
00:00:25,00:00:27,that they never wanted you to hear. Enjoy.
00:00:27,00:00:32,"We run it on QI a few years ago, which was, there's no such thing as a fish."
00:00:32,00:00:33,You didn't know such thing as a fish.
00:00:33,00:00:37,"No, seriously, it's in the Oxford Dictionary of Underwater Life."
00:00:37,00:00:40,"It says it right there, first paragraph, no such thing as a fish."
00:00:40,00:00:51,"Hello, welcome to another episode, and no such thing as a fish, a weekly podcast coming to you"
00:00:51,00:01:01,"from the KiI offices in Coffent Garden. Sorry, it's covered. I can't say it, Coffent, Coffent, Coffent."
00:01:01,00:01:07,"To be kind of health and safety, this is not quite related, but there's a guy called Hilleur"
00:01:07,00:01:16,"Purgric, he's like an eco warrior, and he tried to live in a cave in Brighton, but then his cave got"
00:01:16,00:01:22,"checked by the local fire brigade, and the council saw an injunction banning him from entering it,"
00:01:22,00:01:27,because it didn't have enough fire exits. Just had one exit. Just one big one.
00:01:27,00:01:33,"I think basically he's had like a running battle with the council, because they shut down his"
00:01:33,00:01:40,"vegetable shop in 1999, but they shut it down even though he only had one customer, a pregnant woman"
00:01:40,00:01:49,who bought his sprouts. He all went to give birth and stopped craving sprouts. He's exactly the end of it.
00:01:49,00:01:58,"We were talking about how to become an astronaut, and it was an interview last year with Dwayne Ross,"
00:01:58,00:02:05,"who was the manager of the astronaut selection office. And they asked him, this is Popsie,"
00:02:05,00:02:10,"any entertaining interview moments come to mind. And he said, one of my favourers was we had this one"
00:02:10,00:02:14,"person say when we asked him why he wanted to be an astronaut, well, my grandfather was an astronaut,"
