start_hhmmss,end_hhmmss,text
00:00:00,00:00:10,[incomprehensible music]
00:00:10,00:00:15,"Hello and welcome to another episode of ""No Such Thing as a Fish"" a weekly podcast"
00:00:15,00:00:18,coming to you from the QI offices in Covent Garden.
00:00:18,00:00:19,My name is Dan Shriver.
00:00:19,00:00:23,"I'm sitting with the three regular elves, it's Andy Murray, James Harkin, and Anna Chazinski"
00:00:23,00:00:27,"and once again, we have gathered around the microphones with our four favorite facts from"
00:00:27,00:00:29,"the last seven days and in no particular order, here we go."
00:00:29,00:00:34,"Starting with you, Chazinski."
00:00:34,00:00:39,My fact this week is that Franz Kafka once convinced his entire family that Einstein's
00:00:39,00:00:43,theory of relativity was going to cure his tuberculosis.
00:00:43,00:00:45,How was that going to work?
00:00:45,00:00:49,"It's a good question, I can't exactly tell you, but I can tell you how it was claimed"
00:00:49,00:00:50,it was going to work.
00:00:50,00:00:55,"I'm not sure I understand it, but essentially, the plan was that you would take a cruise,"
00:00:55,00:00:59,"according to this spoof article that he sent to his family, you take a cruise heading"
00:00:59,00:01:05,east in the direction of the Earth's rotation and this would enlarge your body and that would
00:01:05,00:01:10,close the cavities and your lungs that were causing these problems and by enlarging your
00:01:10,00:01:15,"body and gaining weight by taking this easterly cruise, then you'd be queued and he actually"
00:01:15,00:01:20,said that there was a company in Prague that was fitting out hospital ships specifically
00:01:20,00:01:21,for this purpose.
00:01:21,00:01:24,"Oh, unfortunately, I think the holes would get bigger as well."
00:01:24,00:01:28,That is one of the many flaws in the claim.
00:01:28,00:01:29,Is it in superman way?
00:01:29,00:01:32,He flies around the world and slows down the rotation.
00:01:32,00:01:38,"No, he turns it backwards, he spins the world backwards, which reverses time, which stops"
00:01:38,00:01:42,"from his from lowest lane, from dying in a car crash."
00:01:42,00:01:43,That would work either way.
00:01:43,00:01:47,But would it also turn back the thing he had just saved because he saves the world first
00:01:47,00:01:51,"and then he has to turn the Earth backwards to save the girl, but it would also undo his"
00:01:51,00:01:55,"own saving of the world in the first one, so he'd be in exactly the same."
00:01:55,00:02:00,"And that's similar to the fact that I've wondered if when you sail back westward, is that going"
00:02:00,00:02:02,"to, I mean, is your TB going to return?"
00:02:02,00:02:03,Do you then have to stay in China?
00:02:03,00:02:06,Does everyone with TB have to end up in China?
00:02:06,00:02:08,"I think we keep traveling east, you're all right."
00:02:08,00:02:10,"Okay, you have to keep going forever and ever."
00:02:10,00:02:13,"Do we know their reaction, the family's reaction, when you were doing it as a joke?"
00:02:13,00:02:15,"They were really devastated, yeah."
00:02:15,00:02:17,That's not usually how good jokes end there.
00:02:17,00:02:23,"That's how good parts of jokes always end, so someone being very upset, joke fail."
00:02:23,00:02:25,"But Katka was amazing, wasn't it?"
00:02:25,00:02:26,Katka is the most hilarious character.
00:02:26,00:02:30,"He wrote letters obsessively all the time, which is great, so we've got this, and I think"
00:02:30,00:02:33,"as most people know, he hardly had anything published in his life."
00:02:33,00:02:37,"I think he published 450 pages of work in his life, and on his deathbed."
00:02:37,00:02:38,"And some officers was, wasn't it?"
00:02:38,00:02:39,"Yeah, some officers was."
00:02:39,00:02:40,A few stories.
00:02:40,00:02:44,"A few stories, the trial wasn't, and then on his death, he said to his publisher, wrote him"
00:02:44,00:02:48,"that famous letter saying, ""Make sure you burn everything I've written."""
00:02:48,00:02:51,"And obviously, instead of doing that, it was all published."
00:02:51,00:02:57,"Yeah, so his publisher was called Max Brod, and Max Brod kept all of his papers, and then"
00:02:57,00:03:03,"was in a really weird, sort of, Menager Toire relationship with a woman called Esther Hoffer"
00:03:03,00:03:05,and her husband Otto.
00:03:05,00:03:12,"And when he died, he gave all of his, all of Kafka's papers to Esther Hoffer, who then gave"
00:03:12,00:03:17,"them to her daughter, and her daughter now lives in an apartment full of cats with all"
00:03:17,00:03:23,"of Kafka's papers in the corner, and basically, they think they're all going to just get demolished"
00:03:23,00:03:24,by cat pee.
00:03:24,00:03:25,Wow.
00:03:25,00:03:26,And we'll never be able to read them.
00:03:26,00:03:30,"So, everyone wants to get these Kafka papers so that we can read these amazing stories,"
00:03:30,00:03:33,"and she's like, ""No, they're mine, and my cats are going to pee on them."""
00:03:33,00:03:38,"Is that why, because I think the British Library, or maybe the Bodleian, is keeps claiming that"
00:03:38,00:03:42,"they actually have the right to them, and there's some ambiguity in what Kafka said."
00:03:42,00:03:44,"Yeah, everyone keeps trying to get them."
00:03:44,00:03:45,Yeah.
00:03:45,00:03:46,And everyone also keeps trying to get rid of the cats.
00:03:46,00:03:49,"And so, they keep going in the council, and saying, ""No, we're going to take these cats."""
00:03:49,00:03:52,"And every time they take, like, 20 cats away, another 20, a ride."
00:03:52,00:03:55,They just keep coming from like an ultimate cutlery.
00:03:55,00:03:56,They just love Kafka.
00:03:56,00:03:57,"Kafka, ask."
00:03:57,00:03:58,Never mind.
00:03:58,00:03:59,Let's go.
00:03:59,00:04:00,Okay.
00:04:00,00:04:03,"So, the whole burning, all of your work, post your death."
00:04:03,00:04:04,Why?
00:04:04,00:04:09,"I think because, so it's actually estimated that he burned 90% of what he wrote during his"
00:04:09,00:04:10,"life, Kafka."
00:04:10,00:04:13,"So, he only had 10% of what he wrote, but he was real perfectionist, and he hated himself."
