start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:14,- Hello and welcome to another edition of No Such Thing
00:00:14,00:00:15,"as a Fish, a weekly podcast coming"
00:00:15,00:00:18,from the QI offices in Covent Garden.
00:00:18,00:00:19,My name's Andy and I'm sitting here
00:00:19,00:00:20,"with three of the regular elves,"
00:00:20,00:00:24,"James Harkin, Alex Bell, and Anna Tajinsky."
00:00:24,00:00:26,And we've gathered our favorite facts from the last seven days
00:00:26,00:00:28,and we're now going to talk about them
00:00:28,00:00:30,in no particular order.
00:00:30,00:00:34,(upbeat music)
00:00:34,00:00:37,First fact is Alex.
00:00:37,00:00:40,"- Okay, my fact is cows have friends and they get sad"
00:00:40,00:00:42,when you separate them.
00:00:42,00:00:43,- Oh.
00:00:43,00:00:45,- How are they cow friends?
00:00:45,00:00:49,"- Yeah, so basically Northampton University did a study."
00:00:49,00:00:51,So cows are her animals obviously.
00:00:51,00:00:52,- Pascine.
00:00:52,00:00:53,(laughing)
00:00:53,00:00:55,"- Yeah, so they live in a herd but they get separated a lot"
00:00:55,00:00:57,"because they need to be milk, they need to be taken"
00:00:57,00:00:58,"into the vets, et cetera."
00:00:58,00:01:01,And Northampton University did a study where they looked
00:01:01,00:01:04,at cows when they're in a field and monitored all their behavior
00:01:04,00:01:07,to see which cows hung out with which other cows.
00:01:07,00:01:10,And then they separated them out into different combinations.
00:01:10,00:01:12,So sometimes they'd be removed from the herd in pairs
00:01:12,00:01:15,and sometimes they'd be with a cow they'd never hung out
00:01:15,00:01:18,with before or sometimes they'd be with their best friend.
00:01:18,00:01:19,(laughing)
00:01:19,00:01:20,- I don't know how we could work to that.
00:01:20,00:01:21,"- Bracelets, but they wear bracelets."
00:01:21,00:01:22,- Yeah.
00:01:22,00:01:24,And sometimes they were on their own
00:01:24,00:01:27,and each time their heart rates
00:01:27,00:01:29,and cortisol levels were monitored
00:01:29,00:01:32,and from that apparently we can work out
00:01:32,00:01:34,whether cows get stressed or not.
00:01:34,00:01:36,"- And cortisol we should say is the stress hormone,"
00:01:36,00:01:37,"is that right? - Right, yeah."
00:01:37,00:01:39,- Apparently there's quite a high level of stress
00:01:39,00:01:41,with integrating into a new herd.
00:01:41,00:01:42,So if you take a cow and you put it into--
00:01:42,00:01:45,- I was gonna say how stressful can it be being a cow?
00:01:45,00:01:47,"- Well, very."
00:01:47,00:01:50,"- If you don't know what your demise is going to be,"
00:01:50,00:01:53,"I would say very, but they don't."
00:01:53,00:01:54,"- Given how little is going on in their lives,"
00:01:54,00:01:56,I think any change is pretty stressful.
