start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,"It's still a little bit hard to walk, isn't it?"
00:00:04,00:00:10,"It's still a little bit hard to walk, isn't it?"
00:00:10,00:00:19,"Hello everybody and welcome to another episode of No Such Thing as a Fish, a QI podcast coming to you from our offices here in Covern, Gardurn."
00:00:19,00:00:22,Dan Shriver is still a way that we are working on the pronunciation.
00:00:22,00:00:26,My name is Andrew Murray and I'm here with three of the other QI elves.
00:00:26,00:00:33,"We are Ann Miller, James Harkin and Anna Tajinsky and we have gathered around the microphone to bring you our four favourite facts"
00:00:33,00:00:37,from the last seven days and there are a lot of other facts we found out off the back of those.
00:00:37,00:00:44,"So, let's get going. The first fact of today is Anna."
00:00:44,00:00:51,My fact is that from the year 800 to the year 1349 the Colosseum was used as an apartment block.
00:00:51,00:00:52,Really?
00:00:52,00:01:04,"Yeah, but yeah, we only discovered this a couple of years ago, a bunch of archaeology was done at the Colosseum and they excavated it and they discovered things like sewage pipes and that is evidence that it used to be a block of flats."
00:01:04,00:01:11,"And we know it was owned, it was bought by monks and then they would rent it out to normal people who would take a flat there."
00:01:11,00:01:12,That's good.
00:01:12,00:01:21,That's what happened and the space where they all did all the fighting and the back in the ancient world was a communal living space where they'd have their market space
00:01:21,00:01:23,or where they'd graze their animals or where they'd just hang out.
00:01:23,00:01:24,Have a barbecue.
00:01:24,00:01:27,"Have a barbie of a Sunday afternoon, yeah?"
00:01:27,00:01:31,"It was used for a lot of things, wasn't it? It wasn't just an apartment block once it had fallen into disrepair."
00:01:31,00:01:42,I read that it was used for lots of trades like cobblers and blacksmiths and also glue makers and also a fortress for 12th century wallards called the Frangie Pernie.
00:01:42,00:01:44,"Oh, man, thanks."
00:01:44,00:01:47,"Yeah, that was their main weapon of choice."
00:01:47,00:01:51,"I think the old place they just smothered people with delicious, delicious, comestibles."
00:01:51,00:02:01,"I think it was used as a dumping ground so between when all the vicious sports were banned there in the 5th century and when it was bought up by these monks about 500 years later,"
00:02:01,00:02:05,it was used as just a garbage dump where everyone dumped their old detritus.
00:02:05,00:02:08,"I mean, I guess you've got a big story century, you might as well put stuff in it."
