start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,They don't want to get away from me?
00:00:04,00:00:15,"Hello and welcome to another episode of ""No Such Thing as a Fish"" a weekly podcast"
00:00:15,00:00:17,coming to you from the QI offices in Covern Garden.
00:00:17,00:00:22,"My name is Dan Schreiber sitting here with Andy Murray, Anichezinski and James Harkin."
00:00:22,00:00:25,Once again we've gathered around the microphone with our fourth favorite facts from the last
00:00:25,00:00:29,"seven days and in no particular order, here we go."
00:00:29,00:00:33,"And with fact number one, Andy Hunter Murray."
00:00:33,00:00:36,"My fact is that there have been three top 50 songs in the British charts, which have"
00:00:36,00:00:38,been sung exclusively in Latin.
00:00:38,00:00:40,"Wow, I bet you won all three of them though."
00:00:40,00:00:41,"Yeah, I do."
00:00:41,00:00:45,Just a mix tape of three Latin songs.
00:00:45,00:00:50,"Yeah, one of them actually made it into the Alan Partridge movie last year, yeah, yeah,"
00:00:50,00:00:54,"which was a Gaudette by Steele Iceman, which is a religious, unfortunately they're all"
00:00:54,00:00:59,a bit religious rather than an abyss song which they just happened to fancy doing in Latin.
00:00:59,00:01:04,I didn't know we got religious songs in our pop chart and our top 40 track of the pop.
00:01:04,00:01:05,Yeah.
00:01:05,00:01:07,They're just choirs.
00:01:07,00:01:08,Constantly.
00:01:08,00:01:13,"Anyway, the other one was from Avita in 1976, which is choral in Latin, another was a recording"
00:01:13,00:01:17,of PA Jesus from Andrew Lloyd Webber's Requiem.
00:01:17,00:01:18,That's fantastic song.
00:01:18,00:01:19,Right.
00:01:19,00:01:21,"So two of these are, and is the other one from Avita, you said?"
00:01:21,00:01:22,Yes.
00:01:22,00:01:23,So two of them are Andrew Lloyd Webber songs.
00:01:23,00:01:27,"Two of the three Latin songs are Andrew Lloyd Webber, right?"
00:01:27,00:01:29,Avita being an Andrew Lloyd Webber.
00:01:29,00:01:30,Yeah.
00:01:30,00:01:31,Yeah.
00:01:31,00:01:32,So there you go.
00:01:32,00:01:33,Well done.
00:01:33,00:01:34,Well done Drew.
00:01:34,00:01:36,"So yeah, it's just interesting the sort of the things that get into the pop charts over"
00:01:36,00:01:37,the years.
00:01:37,00:01:38,Yeah.
00:01:38,00:01:39,Yeah.
00:01:39,00:01:42,"And it was, it's easy and now to get things in the pop charts because you can just, everyone"
00:01:42,00:01:45,can download something at the same time and then it can get in the charts.
00:01:45,00:01:49,Whereas in the olden days you actually had to release a record or a CD or something for
00:01:49,00:01:53,it to get in the charts because these days you could get a very popular person on the
00:01:53,00:01:56,radio saying everyone download a Latin song and it would just get in the charts.
00:01:56,00:01:57,"Yeah, you're right."
00:01:57,00:02:01,It doesn't need to be the Taylor Swift album that came out last year.
00:02:01,00:02:07,"They accidentally on the iTunes downloads included a track, just of white noise."
00:02:07,00:02:10,"And because it just went viral, everyone bought it and it went to the top of the charts"
00:02:10,00:02:11,in Canada.
00:02:11,00:02:12,That's right.
00:02:12,00:02:13,Every other pure white.
00:02:13,00:02:15,It must have been so angry.
00:02:15,00:02:16,Yeah.
00:02:16,00:02:17,Aladdin's bar is set going.
00:02:17,00:02:18,This is ironic.
00:02:18,00:02:26,"So, do you know that the Mel Gibson film The Passion was in a mix of Aramaic and Latin?"
00:02:26,00:02:27,Yeah.
00:02:27,00:02:31,It turns out that the Latin that they used in The Passion of the Christ is church Latin
00:02:31,00:02:36,and not classical Latin which means the entire thing is an anachronism.
00:02:36,00:02:37,That's funny.
00:02:37,00:02:38,"I'm really, really pleased by that."
00:02:38,00:02:40,They pronounce their visas W's.
00:02:40,00:02:41,I don't know.
00:02:41,00:02:44,I don't know how much we do know about the pronunciation of classical Latin.
00:02:44,00:02:49,"I think the journal content is the classical Latin, it was pronounced as a W and then church"
00:02:49,00:02:50,"Latin, it's a V."
00:02:50,00:02:51,And if they screwed that up.
00:02:51,00:02:52,Wow.
00:02:52,00:02:53,They fell at the first hurdle.
00:02:53,00:02:54,Yeah.
00:02:54,00:03:01,"So, some of them chart trivia, which day of the week has had the most songs written about"
00:03:01,00:03:02,it.
00:03:02,00:03:03,"So, it's in the title."
00:03:03,00:03:04,"Oh, okay."
00:03:04,00:03:05,Monday.
00:03:05,00:03:06,Yeah.
00:03:06,00:03:07,Monday.
00:03:07,00:03:08,"Yeah, obviously."
00:03:08,00:03:09,I want to go with Friday.
00:03:09,00:03:10,"Oh, well, you're all wrong."
00:03:10,00:03:17,"It's Sunday, 30 songs with the word Sunday and so 30 songs with Sunday and 23 with Saturday"
00:03:17,00:03:20,"11 with Friday, which is a third and only one song."
00:03:20,00:03:24,This is in the billboard charts has ever been written with the word Thursday in the title.
00:03:24,00:03:25,You won.
00:03:25,00:03:26,Yeah.
00:03:26,00:03:29,Sweet Thursday by Johnny Mathis in 1962.
00:03:29,00:03:32,"Okay, this is my favorite fact about the charts."
00:03:32,00:03:33,Okay.
00:03:33,00:03:39,It is that Paul McCartney has had 200 songs in the charts.
00:03:39,00:03:44,"So either Beatles songs, Wingsong, Solo songs, songs are these written for other people."
00:03:44,00:03:50,If you take the amount of time and accumulate all the time that those 200 songs have spent
00:03:50,00:03:52,"in the charts, they add up to 32 years."
00:03:52,00:03:53,Right.
00:03:53,00:03:54,That's amazing.
00:03:54,00:03:55,Oh.
00:03:55,00:04:02,He's had songs in the charts that are for a longer period than I've been alive by two years.
00:04:02,00:04:03,That's pretty good.
00:04:03,00:04:04,That's insane.
00:04:04,00:04:06,And do you know who I found out that fact from?
00:04:06,00:04:07,Who?
00:04:07,00:04:08,President Obama.
00:04:08,00:04:09,Wow.
00:04:09,00:04:11,President Obama just tweeting factoids.
00:04:11,00:04:12,"Yeah, he's going."
00:04:12,00:04:13,"Yeah, he runs OMG."
00:04:13,00:04:14,They've just signed them up.
00:04:14,00:04:15,"Yeah, yeah."
00:04:15,00:04:16,Good for him.
00:04:16,00:04:19,"Yeah, he, uh, he won the Gershwin prize at the White House where they do it."
00:04:19,00:04:23,And he gave a speech and he said he was an interesting fact about Paul and then told that.
00:04:23,00:04:24,"Well, I see."
00:04:24,00:04:25,Do you think that was original research from?
00:04:25,00:04:26,From.
00:04:26,00:04:27,It's all own research.
00:04:27,00:04:32,"Um, I had a thing about Lassen, which I wanted to tell you because I really, really like"
00:04:32,00:04:33,it.
00:04:33,00:04:38,"Um, when Pope Benedict, the 16th resigned, one of the journalists who broke up with"
00:04:38,00:04:45,"the story, only got it because she could understand the Latin in which he made the announcement."
00:04:45,00:04:46,Right.
00:04:46,00:04:48,"And as a result, she got the scoop before anybody else."
00:04:48,00:04:49,Her name was Giovanna Cheery.
00:04:49,00:04:52,"Oh, she must have been very cheery about that."
00:04:52,00:04:53,Yeah.
00:04:53,00:04:54,"It was a weird one, wasn't it?"
00:04:54,00:04:58,Because he was just doing a general talk to about six or seven journalists and they were
00:04:58,00:05:00,just talking about basic stuff.
00:05:00,00:05:02,They all understood what he was saying was being translated.
00:05:02,00:05:05,"And then he spoke that bit in Latin, that particular bit."
00:05:05,00:05:06,Right.
00:05:06,00:05:07,She was the only one who got it.
00:05:07,00:05:10,And she kind of pre-announced it without confirmation.
00:05:10,00:05:11,She was lucky.
00:05:11,00:05:12,She was right.
00:05:12,00:05:13,Yeah.
00:05:13,00:05:14,"She was a bit like, I'm not sure if he did."
00:05:14,00:05:15,I'm pretty sure he did just say that.
00:05:15,00:05:17,Did that word mean resign or olive?
00:05:17,00:05:18,Yeah.
00:05:18,00:05:19,Ah.
00:05:19,00:05:20,Ah.
00:05:20,00:05:22,"I just wanted an olive, guys."
00:05:22,00:05:26,"But it's an interesting thing, they, um, because Latin in the Vatican, obviously, is still"
00:05:26,00:05:27,a big thing.
00:05:27,00:05:30,They're constantly updating because of all the new words that we have.
00:05:30,00:05:31,Yeah.
00:05:31,00:05:32,That's so good.
00:05:32,00:05:33,Have we spoken about that particular thing?
00:05:33,00:05:36,Like words like dishwasher are now in the new Latin dictionary.
00:05:36,00:05:41,"And so are, um, what web there is web, web, web, and they're quite behind if they've only"
00:05:41,00:05:42,just updated it with digital.
00:05:42,00:05:43,"I mean, yeah."
00:05:43,00:05:48,"About my phone and rush hour, which I don't know when that movie made it to the Vatican."
00:05:48,00:05:52,I've only just got it and this one that's been released.
00:05:52,00:05:56,"Um, speaking of Pope Benedict, have we spoken about the fact that he released, uh, top,"
00:05:56,00:05:58,"he released a Christmas album, didn't he?"
00:05:58,00:05:59,A Christmas music album.
00:05:59,00:06:00,No.
00:06:00,00:06:03,"And so in 2009, before he resigned, he released a Christmas music album, uh, it was prayers"
00:06:03,00:06:05,set to classical music.
00:06:05,00:06:07,And it was with Snoop Dogg's record label.
00:06:07,00:06:08,Wow.
00:06:08,00:06:09,Yeah.
00:06:09,00:06:10,Geffen Records.
00:06:10,00:06:13,Snoop Dogg collaborates with a lot of people like that.
00:06:13,00:06:15,"He didn't, he did a song with Buzz Aldrin."
00:06:15,00:06:17,A lot of people like the mother.
00:06:17,00:06:18,Yeah.
