start_hhmmss,end_hhmmss,text
00:00:00,00:00:01,We run it on QI a few years ago.
00:00:01,00:00:02,Yeah.
00:00:02,00:00:04,"Um, which was, there's no such thing as a fish."
00:00:04,00:00:05,"You did a nice, such thing as a fish."
00:00:05,00:00:09,"No, seriously, it's in the Oxford Dictionary of Underwater Life."
00:00:09,00:00:11,"It says it right there, first paragraph."
00:00:11,00:00:12,No such thing as a fish.
00:00:12,00:00:23,Hello and welcome to another episode of no such thing as a fish.
00:00:23,00:00:27,A new weekly podcast coming to you from the QI offices in Covent Garden.
00:00:27,00:00:32,"My name is Dan Schreiber. I'm sitting here with three elves, James, Andy, and Anna."
00:00:32,00:00:34,"And once again, we just got around the microphone"
00:00:34,00:00:37,and we're going to share our favorite facts from the last seven days.
00:00:37,00:00:39,"So in no particular order, here they are."
00:00:39,00:00:47,"All right, so let's begin with you, Anna."
00:00:47,00:00:48,What's your fact?
00:00:48,00:00:52,"Uh, so this week I discovered that rats will once the size of hippos."
00:00:52,00:00:53,That is humongous.
00:00:53,00:00:54,"Yeah, it's pretty big."
00:00:54,00:00:56,"Well, basically, it's not all rats."
00:00:56,00:00:57,It was discovered in 2008.
00:00:57,00:01:01,It's called the Josepho Artigasium on AC.
00:01:01,00:01:03,We'll put that on the website so you can look it up.
00:01:03,00:01:06,And they think they could have put it up to 2.5 tons.
00:01:06,00:01:08,Wow.
00:01:08,00:01:11,"So that's like the average hippo, I think, is about 1.5 tons."
00:01:11,00:01:14,It's a largest-known snake in history.
00:01:14,00:01:18,This was called titanoboa carogenesis.
00:01:18,00:01:22,It was about the length of about three or four cars.
00:01:22,00:01:23,What length would that be?
00:01:23,00:01:25,So that is 50 feet long.
00:01:25,00:01:28,"Yeah, well, kind of cars like a Lamborghini or one of those little ones"
00:01:28,00:01:30,that you can park sideways.
00:01:30,00:01:31,Strangely.
00:01:31,00:01:34,Or S6 tend to yelling out the side of it.
00:01:34,00:01:36,"That's-- but no, there is a longer snake that was discovered."
00:01:36,00:01:39,"It's just never fully been authenticated,"
00:01:39,00:01:41,which was Percy Force at the Great Explorer.
00:01:41,00:01:42,He was a snake.
00:01:42,00:01:43,No.
00:01:43,00:01:47,He claimed to have shot us 62 foot anaconda.
00:01:47,00:01:50,"You know, and he was very reputable as an explorer."
00:01:50,00:01:51,So he wouldn't have-- he wouldn't have bragged.
00:01:51,00:01:56,"In 1910, Theodore Roosevelt offered a reward to the first person"
00:01:56,00:01:59,who presented a snake that was 30 feet long.
00:01:59,00:02:03,And I don't think anyone ever claimed it.
00:02:03,00:02:04,"Well, is that quite clever?"
00:02:04,00:02:06,Because is that the catch 22 or something similar?
00:02:06,00:02:10,Because you've offered this reward once you've shot a 30 foot plus snake.
00:02:10,00:02:13,How are you transporting it back to show it up?
00:02:13,00:02:16,"And also, even if you do see a snake that's longer than 30 feet,"
00:02:16,00:02:19,"my first thought would be to run away, not to capture it for a while."
00:02:19,00:02:22,That's-- you don't have the Hunters' mentality.
00:02:22,00:02:24,"I mean, all people thought like that."
00:02:24,00:02:28,Stately Huns of England would be much emptier in my footsteps.
00:02:28,00:02:30,So what else do we know about this wrap?
00:02:30,00:02:35,"OK, so it was actually found in 1987 in Uruguay."
00:02:35,00:02:38,It was apparently just put in a box in the Natural History Museum.
00:02:38,00:02:41,"It makes you wonder what else is in boxes at the moment,"
00:02:41,00:02:43,"which people put aside five, 10 years ago."
00:02:43,00:02:45,"Yeah, I thought, oh, deal with that later."
00:02:45,00:02:48,Remember that new species they found in a market in Cambodia
00:02:48,00:02:48,or something?
00:02:48,00:02:49,"Oh, yeah."
00:02:49,00:02:51,It was thought to be extinct.
00:02:51,00:02:52,It was the rat.
00:02:52,00:02:53,"And yeah, they thought it was extinct."
00:02:53,00:02:54,They thought it was extinct.
00:02:54,00:02:55,"They found it on a combat app, didn't they?"
00:02:55,00:02:57,Yeah.
00:02:57,00:03:00,"Well, no, in Laos, well, I remember Bill Bailey."
