start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,"Hi everyone, James here."
00:00:02,00:00:04,I just wanted to start with an apology.
00:00:04,00:00:07,"Unfortunately, the audio is very bad in this episode."
00:00:07,00:00:09,Some of our microphones failed.
00:00:09,00:00:12,"So we only had one mic, and you'll be hearing it from that."
00:00:12,00:00:15,"So it's going to be a bit tinny, a little bit like we recorded"
00:00:15,00:00:15,in a toilet.
00:00:15,00:00:17,"But that's kind of back to our roots,"
00:00:17,00:00:19,because that's what most of our early ones were like.
00:00:19,00:00:21,But enjoy the show anyway.
00:00:21,00:00:23,We think is a good one.
00:00:23,00:00:24,Get through the audio next week.
00:00:24,00:00:25,We'll be much better.
00:00:25,00:00:36,[VIDEO PLAYBACK]
00:00:36,00:00:45,[APPLAUSE]
00:00:45,00:00:46,"Hi, everyone."
00:00:46,00:00:48,Welcome to another episode.
00:00:48,00:00:51,"And no such thing is a fish, a weekly podcast."
00:00:51,00:00:54,We're coming to you from the Soho Theater in Central London.
00:00:54,00:00:56,My name is Dan Schreiber.
00:00:56,00:00:58,"I'm sitting here with Anna Chazinski, James Harkin,"
00:00:58,00:00:59,and Andy Murray.
00:00:59,00:01:01,This is our one-year special.
00:01:01,00:01:02,It's our birthday.
00:01:02,00:01:04,We've once again sat around the microphones
00:01:04,00:01:06,with our four favorite facts from the last seven days.
00:01:06,00:01:09,"And in no particular order, here we go."
00:01:09,00:01:11,"Starting with you, Andrew Hunter Murray."
00:01:11,00:01:12,Hello.
00:01:12,00:01:16,My fact is that the root for the home call Ultramarathon
00:01:16,00:01:19,is to run up and down the same stretch of road 25 times.
00:01:19,00:01:25,[LAUGHTER]
00:01:25,00:01:27,This has been on the news a bit recently.
00:01:27,00:01:29,"Because it's just happened, the first ever Ultramarathon"
00:01:29,00:01:33,they've had on this route for one of the better words.
00:01:33,00:01:34,And it's 31 miles long.
00:01:34,00:01:37,Because apparently anything longer than the standard 26.2
00:01:37,00:01:40,"is an Ultramarathon, which I think is cheating,"
00:01:40,00:01:43,because I think it should be at least double.
00:01:43,00:01:44,And I'd say that as someone who's never
00:01:44,00:01:49,"run more than 200 meters, and that was this fourth day."
00:01:49,00:01:51,And fourth.
00:01:51,00:01:52,Out of fourth.
00:01:52,00:01:54,Out of fourth.
00:01:54,00:01:55,"So yeah, that's it."
00:01:55,00:01:57,"Well, my father used to say it was."
00:01:57,00:01:58,31 miles.
00:01:58,00:01:59,"Oh, yeah."
00:01:59,00:02:02,"Because normally Ultramarathon is more like 100 miles,"
00:02:02,00:02:03,"200 miles, 200 miles, whatever."
00:02:03,00:02:04,"But if they had done that here,"
00:02:04,00:02:07,they probably would have been suicides and pulled them out.
00:02:07,00:02:10,"I would have actually-- so I read that if you run 200 miles,"
00:02:10,00:02:13,it's less tiring than if you run 100 miles.
00:02:13,00:02:14,Right.
00:02:14,00:02:17,That can't be true.
00:02:17,00:02:17,That can't be true.
00:02:17,00:02:21,"Yeah, apparently what happens is when you know it's going"
00:02:21,00:02:23,"to be much longer, your intensity is much lower."
00:02:23,00:02:25,So you take your time a lot more.
00:02:25,00:02:26,And they've felt that people who do the longer ones
00:02:26,00:02:27,feel better at the end.
00:02:27,00:02:30,So you'll just say you do it much more so.
00:02:30,00:02:30,You're saying it takes--
00:02:30,00:02:33,You can serve your energy better.
00:02:33,00:02:34,You walk it.
00:02:34,00:02:36,You walk it.
00:02:36,00:02:40,You take the job when you get your two.
00:02:40,00:02:41,So the thing about this marathon
00:02:41,00:02:42,"is that everyone's been describing it,"
00:02:42,00:02:46,particularly people doing it as the most boring marathon
00:02:46,00:02:48,possible because of the repetitions.
00:02:48,00:02:50,And I was looking into boring marathons.
00:02:50,00:02:52,And there is an annual boring marathon.
00:02:52,00:02:53,What?
00:02:53,00:02:54,"Yeah, there's an annual boring marathon."
00:02:54,00:02:57,There's an ultra boring marathon.
00:02:57,00:02:59,And it's actually apparently quite exciting.
00:02:59,00:03:02,It's just it happens to take place in a town
00:03:02,00:03:05,and we're seeing people boring Oregon City.
00:03:05,00:03:07,"Yeah, which is an actual place."
00:03:07,00:03:10,"And their motto is, ""The most exciting place to live."""
00:03:10,00:03:13,They're twins with a town called Dole in Scotland.
00:03:13,00:03:17,"Yeah, yeah, they have an annual Dole and boring day,"
00:03:17,00:03:19,which you both think it was August 9th.
00:03:19,00:03:21,"So a lot more than recently, the most boring day"
00:03:21,00:03:23,in modern history.
00:03:23,00:03:28,"And it was equal to the 11th, 1954, so a bad time."
00:03:28,00:03:30,It was a scientist of a huge program
00:03:30,00:03:32,to work out the day where the least interesting stuff
00:03:32,00:03:35,"happened, because there's a general election in Belgium."
00:03:35,00:03:38,"So sorry, sorry, Belgium."
00:03:38,00:03:40,The confront page of the New York Post
00:03:40,00:03:42,was two cops attending a conference
00:03:42,00:03:46,on juvenile delinquency from their views.
00:03:46,00:03:48,"So they put that into a machine, right?"
00:03:48,00:03:49,And it's generous.
00:03:49,00:03:51,So it was like three million bits of information.
00:03:51,00:03:52,300 million?
00:03:52,00:03:53,Was it 300 million?
00:03:53,00:03:54,It was.
00:03:54,00:03:55,Wow.
00:03:55,00:03:56,"So they said, ""Find us the most boring day."""
00:03:56,00:04:00,"They came up with this date, April 11th, 1954."
00:04:00,00:04:01,I read this as well.
00:04:01,00:04:04,"Sight note to it, which actually caught my eye"
00:04:04,00:04:07,"more than the fact itself, is that the guy who was a Cambridge"
