start_hhmmss,end_hhmmss,text
00:00:00,00:00:23,[Music]
00:00:23,00:00:52,"Hello and welcome to another episode and most such thing is a fish a weekly podcast. This week coming to you from the Soho Theatre in Central London. My name is Dan Schreiber. I am sitting with James Harkin, Andy Murray, Anna Chazinski, and once again, we have our four favorite facts. We're sat around on microphones and in no particular order. Here we go, starting with you, James Harkin. Okay, my fact this week is that firefighters use wetter water than we do."
00:00:52,00:00:56,[Laughter]
00:00:56,00:01:02,"Is that in everyday life as well? Just cleaning their teeth and having a shower? No, just for putting up fires."
00:01:02,00:01:15,"So what do you mean by wetter water? Well, it's just about how weird water is really. Apparently, if you put certain polymers into water, there is less friction in the pipe, so it shoots out of the pipe quicker."
00:01:15,00:01:28,"So, and it's called a wetting agent and it's to make water wetter. Did someone notice that it was going really slowly out of the pipe and sort of hanging around and how much faster does it go?"
00:01:28,00:01:36,"Well, there is, they use it in oil as well and in the Alaskan pipeline they put this stuff in and it reduces pumping cost by up to 50%."
00:01:36,00:01:43,Because it just pumps up more. It pumps up quite a lot. You don't want to mix up the oil in the water if you're a firefighter as well.
00:01:43,00:01:50,"It's terrible. I don't think you can mix oil and water, isn't that the whole point? That's a very good point."
00:01:50,00:01:55,[Laughter]
00:01:55,00:02:06,"That's amazing. So, when it's the first time they use this stuff, there were puddles about around and the firefighters were complaining that they were slipping on the puddles because it was so wet."
00:02:06,00:02:11,Quick step in one of those puddles of water for stability.
00:02:11,00:02:14,"So, do you know how long they've been using it?"
00:02:14,00:02:25,"This was, I'm not sure exactly when it came out when they found it out but I think it was in the 60s or 70s and it was a guy called BA Toms and it's called the Toms Effect, this thing that makes it slipper."
00:02:25,00:02:38,"On slippery water, no one knows why ice is slippery today or no one knows why it says, well the reason ice is slippery is that there's a tiny film of water forms on top of water when it freezes and scientists don't know why water does that."
00:02:38,00:02:44,Why this tiny film of water forms and why it's slippery and that's just another weird thing about water.
