start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,[Playing guitar]
00:00:02,00:00:04,Do you know what it would look like?
00:00:04,00:00:08,[Playing guitar]
00:00:08,00:00:10,[Music]
00:00:10,00:00:12,"Hello, and welcome to another episode."
00:00:12,00:00:17,"A no such thing as a fish, a weekly podcast coming to you from the QI offices in Covert Garden."
00:00:17,00:00:18,My name is Dan Schreiber.
00:00:18,00:00:22,"I'm sitting here with Anna Chizinski, James Harkin, and Andy Murray."
00:00:22,00:00:26,"But once again, we have gathered around the microphone with our four favorite facts from the last seven days."
00:00:26,00:00:28,"And in no particular order, here we go."
00:00:28,00:00:30,"Starting with you, Chizinski."
00:00:30,00:00:35,"Yeah, my fact is that for 200 years, after tomatoes made it to England,"
00:00:35,00:00:38,they were grown almost entirely for ornamental reasons.
00:00:38,00:00:39,Because they didn't want to eat them.
00:00:39,00:00:42,They were just waiting for them to be ripe.
00:00:42,00:00:43,[Laughter]
00:00:43,00:00:45,It's still red. Wait for it to be green.
00:00:45,00:00:47,[Laughter]
00:00:47,00:00:49,I think the first tomatoes that were brought over were yellow.
00:00:49,00:00:54,"And that's why they're called Pomodore in Italian, I think."
00:00:54,00:00:56,It's like yellow apples or something.
00:00:56,00:00:58,"Anyway, yeah, people thought they were poisonous."
00:00:58,00:01:02,"And this was for, well, there are a number of explanations for why people thought that."
00:01:02,00:01:08,I think the most likely one is that they were botanically identified as belonging to the night-shade family.
00:01:08,00:01:11,"And people knew that other members of the night-shade family, deadly night-shade, were poisonous."
00:01:11,00:01:15,So they were botanically advanced enough to work out what family tomatoes belonged to.
00:01:15,00:01:19,But not botanically advanced enough to say these things are obviously harmless so you can eat them.
00:01:19,00:01:23,"So there's another theory that they were actually poisoning people, isn't there?"
00:01:23,00:01:28,And the idea behind that is that they had puter plates which contains lead.
00:01:28,00:01:31,And the tomatoes have acid in them.
00:01:31,00:01:35,And the acid would release the lead out of the puter plates and would give people lead poisoning.
00:01:35,00:01:36,So that was one theory.
00:01:36,00:01:39,Yes. Although I think puter plates may need belonged to wealthy people.
00:01:39,00:01:42,"But yeah, I reckon if they thought they were part of the night-shade family,"
00:01:42,00:01:45,"there may be a few rich people got ill from that, that would have meant."
00:01:45,00:01:47,Can I say my favourite theory?
00:01:47,00:01:48,Go on.
00:01:48,00:01:49,[Laughter]
00:01:49,00:01:51,"No, no, this was a big one during the day."
00:01:51,00:01:57,"They thought someone noticed, I believe it was Ralph Walder Emerson, in fact, noticed that there was a worm that was going into his tomato."
00:01:57,00:02:03,"And he thought that it was the worm that was poisonous, that it was poisoning the actual tomato."
00:02:03,00:02:05,"And so there was a green tomato worm, wasn't it?"
00:02:05,00:02:07,"Yes, exactly."
00:02:07,00:02:11,And it's just great because a bit of hysteria was created out of people thinking that it was this thing.
00:02:11,00:02:15,There's someone who described it as poisonous as a rattlesnake.
00:02:15,00:02:17,"They were saying, you know, stay away from this thing."
00:02:17,00:02:19,And there's a wonderful quote.
00:02:19,00:02:24,Dr. Fuller said that there is a new enemy to human existence.
00:02:24,00:02:25,[Laughter]
00:02:25,00:02:31,"And then he said that if you were bitten, that you would die, and then someone else pointed out that wouldn't hurt a flea."
00:02:31,00:02:32,So it wasn't actually as dangerous.
00:02:32,00:02:34,"But for a while they thought it was this worm, which is pretty cool."
00:02:34,00:02:39,"Yeah, I think tomatoes were just starting to get over their bad reputation, and suddenly these worms were opt-up."
00:02:39,00:02:43,"And there was such hysteria, there's this story that's told that's so brilliant."
00:02:43,00:02:48,"And there's no first hand record of it, but it was reported in newspapers in the 19th century."
00:02:48,00:02:50,And it's that it was in Salem.
00:02:50,00:02:52,It was at the Old County Courthouse in Salem.
00:02:52,00:02:59,"It was 1820, and this guy called Colonel Johnson had decided it was getting ridiculous that everyone thought tomatoes were poisonous."
00:02:59,00:03:01,And he was going to prove to people that they weren't.
00:03:01,00:03:07,"And so he stood on the steps of Salem Courthouse, and he ate this whole bowl of tomatoes in front of this huge crowd."
00:03:07,00:03:17,"And the witness reports, apparently, according to newspapers, the reporter later said that women were screaming and fainting as they watched him do what they thought was suicide in public."
00:03:17,00:03:18,Do you know what the Latin name for tomatoes is?
00:03:18,00:03:22,"It's lycopersicon, which means wolf peach."
00:03:22,00:03:24,How cool is that?
00:03:24,00:03:25,"Why, do we know why?"
00:03:25,00:03:28,"No, well, I don't."
00:03:28,00:03:31,"Maybe it's because when they go moldy, they get a grave fur."
00:03:31,00:03:34,"Yes, and they also start hunting in packs."
00:03:34,00:03:38,And a few of them can bring down a fully grown moose.
00:03:38,00:03:41,It's actually no wonder people were so afraid of them for so long.
00:03:41,00:03:44,"Well, there was the attack of the killer tomatoes movie, wasn't there?"
00:03:44,00:03:48,"Was that factual documentary, yes?"
00:03:48,00:03:52,"The return of the killer tomatoes was George Clooney's first movie, or first movie."
00:03:52,00:03:55,"He'd been in a few things before, but that was his first main break."
00:03:55,00:03:56,"Wow, well done, George."
00:03:56,00:04:04,"And the first attack of the killer tomatoes, there was a helicopter crash, which is in there at the start, and it was a real crash."
00:04:04,00:04:08,"And it was a rented helicopter, and it went down."
00:04:08,00:04:13,"Fortunately, no one was killed, but the crash cost them $60,000,"
00:04:13,00:04:17,which used up more of the budget than all of the aspects of the film combined.
00:04:17,00:04:19,"Wow, at least they got the footage."
00:04:19,00:04:25,"Did you guys know that George Clooney, 10 years, exactly 10 years before he started being the star of ER,"
00:04:25,00:04:31,"was the star of a hospital drama called ER, with dots after the ER."
00:04:31,00:04:32,"Really, yeah."
00:04:32,00:04:33,"Watch, yeah."
00:04:33,00:04:36,"Just kind of feel like there was some kind of admin mixup, doesn't it?"
00:04:36,00:04:37,It really does.
00:04:37,00:04:40,"They've just got the cast list and got the wrong cast list, the old one, it's like ER."
00:04:40,00:04:44,"Yeah, yeah, if someone Robert De Niro was meant to get the part in the ER."
00:04:44,00:04:48,"I have a new story, which I also wanted to share with you."
00:04:48,00:04:50,"This is from 2013, from the BBC."
00:04:50,00:04:57,"A man caught with a prostitute in his car, told police she was there to show him where to buy tomatoes."
00:04:57,00:04:59,Is that you for business?
00:04:59,00:05:01,"This is in the West Midlands, and..."
00:05:01,00:05:04,I could have told him where to get tomatoes in the West Midlands.
00:05:04,00:05:05,Where?
00:05:05,00:05:07,There's a nice big Morrison's in Wolverhampton.
00:05:07,00:05:13,"Yeah, well, he could have saved 20 quid and a £400 fine from Walsall magistrate's court."
00:05:13,00:05:14,"Walsall, yeah, I don't know that as well."
00:05:14,00:05:16,Police reaction was amazing.
00:05:16,00:05:21,"PC, one of the police from Walsall police, said, ""I've heard some excuses before,"
00:05:21,00:05:25,"but in the 10 years I've been a police officer, I've never heard a curve call a covering up his crimes"
00:05:25,00:05:27,by claiming to be buying tomatoes.
00:05:27,00:05:30,"Our officers in the court saw through his lies."""
00:05:30,00:05:32,[laughter]
00:05:32,00:05:36,"Well done, Scooby, that's another crime soul."
00:05:36,00:05:41,"I've, over the last two years, developed a new taste for tomato juice on planes."
00:05:41,00:05:42,It is supposed to taste better.
00:05:42,00:05:47,"Yeah, then, like, other things that you would try on the airplanes would taste worse,"
00:05:47,00:05:51,"but actually tomato juice, like Bloody Marys and stuff, are supposed to be still okay."
00:05:51,00:05:52,"Yeah, why is that?"
00:05:52,00:05:54,"Well, your taste buds obviously go down."
00:05:54,00:05:58,"So, tomato juice, because of the thickness, kind of, and for other reasons,"
00:05:58,00:06:00,"I'm sure, retains the full taste."
00:06:00,00:06:00,Okay.
00:06:00,00:06:06,"But, they did a massive test of it in a simulation where they had passengers come on"
00:06:06,00:06:08,to a simulated flight to see if they...
00:06:08,00:06:11,"That wouldn't work, really, because surely it's the altitude that makes a difference."
00:06:11,00:06:12,"Yes, exactly."
00:06:12,00:06:16,"So, actually, the whole study brought no conclusion results."
00:06:16,00:06:17,[laughter]
00:06:17,00:06:20,"But the reasonings, they asked all the passengers, ""Why did you go for it?"""
00:06:20,00:06:26,"And one of the main results, which is exactly what I did, is that you see the person ahead of"
00:06:26,00:06:31,"you, or two people ahead of you going, ""Tomato juice,"" and you go, ""Oh, I might have a tomato juice."""
00:06:31,00:06:34,And that was genuinely one of the main results that they got from the thing.
00:06:34,00:06:38,"So, they think that it just happens that the people in the front row tend to order tomato juice."
00:06:38,00:06:40,"Someone orders it, and it spills down."
00:06:40,00:06:42,But surely we have to work out why that first person always order tomato juice.
00:06:42,00:06:45,Because they were at the back of a previous flight where someone offered them tomato juice.
00:06:45,00:06:50,"So, one person once happened to order tomato juice, and since then it's been a constant dominant attack."
00:06:50,00:06:53,"Well, sometimes the trolley comes from behind you on a plane."
00:06:53,00:06:55,"Oh, you're talking about an economy, right?"
00:06:55,00:06:57,I didn't know they had trolleys back then.
00:06:57,00:06:58,[laughter]
00:06:58,00:07:02,"Another theory about the tomato juice thing is that I can't believe this,"
00:07:02,00:07:06,but is that the noise of the plane affects how you perceive flavor.
00:07:06,00:07:07,[laughter]
00:07:07,00:07:08,Wow.
00:07:08,00:07:10,But you've genuinely experienced the tomato juice thing.
00:07:10,00:07:12,"On planes, it's my main topic of conversation."
00:07:12,00:07:14,"If there's someone I don't know next to me, I'm like, ""God."""
00:07:14,00:07:16,"Yeah, so I'm with the tomato juice already."
00:07:16,00:07:18,"And they're going, ""Excuse me, are there any spare seats?"""
00:07:18,00:07:19,[laughter]
00:07:19,00:07:21,"""I don't mind going back to economy."""
00:07:21,00:07:23,Tomatoes.
00:07:23,00:07:25,Are they a fruit or a vegetable?
00:07:25,00:07:26,They are a fruit.
00:07:26,00:07:28,"They are, so botanically they are a fruit."
00:07:28,00:07:30,"But legally, they are a vegetable."
00:07:30,00:07:33,"And that was a precedent set in 1887,"
