start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,[Bell]
00:00:02,00:00:04,[Bell]
00:00:04,00:00:06,[Bell]
00:00:06,00:00:08,[Bell]
00:00:08,00:00:10,[Bell]
00:00:10,00:00:18,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming to you from the QI offices in Covern garden. My name is Dan Schreiber."
00:00:18,00:00:22,"I'm sitting here with James Harkin, Annotch Zinski, and Andy Murray."
00:00:22,00:00:31,"Once again, we have gathered around the microphones with our four favorite thanks from the last seven days, and in no particular order, here we go. Starting with you, James."
00:00:31,00:00:36,"Okay, my fact this week is that bananas emit antimatter."
00:00:36,00:00:41,"That's not, so I've had to get my head round antimatter, which..."
00:00:41,00:00:43,I just was such bananas.
00:00:43,00:00:45,I should have gone down that bridge.
00:00:45,00:00:46,What am I doing?
00:00:46,00:00:54,"So, antimatter is just like the opposite of matter, so if you have an electron with a negative charge, then the antimatter version of that is a positive charge."
00:00:54,00:00:58,"I see what's weird is I just, for me, I still don't understand what that means."
00:00:58,00:01:04,"It means that when you say you have to get your head round it, if you'd actually have to put your head round antimatter, your head would no longer exist."
00:01:04,00:01:06,"Wait, antimatter."
00:01:06,00:01:08,That was just some kind of Freudian slip.
00:01:08,00:01:11,The presence of Andy in a room eliminates everything else.
00:01:11,00:01:20,"So, wait, because what I read was the beginning of the universe, big explosion, and what should have happened is the universe created enough matter, which is why we're here."
00:01:20,00:01:27,"But it also should have created an equal amount of antimatter, which in theory should have wiped out the matter, and we shouldn't be here at all."
00:01:27,00:01:34,"Because if you get to a matter particle and an antimatter particle and they come together, they just explode into energy."
00:01:34,00:01:36,"Put my hand up, I've still don't fully understand it."
00:01:36,00:01:46,"Well, that's why you research bananas, I guess. So, quick question about the bananas. If banana emits antimatter, but it is matter, why doesn't it cancel itself out?"
00:01:46,00:01:48,It doesn't matter. It's a very good answer.
00:01:48,00:01:51,"Yeah, it's a very good, it's a very satisfying answer, though."
00:01:51,00:01:58,"So, what happens is bananas contain potassium, and some of the potassium decays, because it's slightly radioactive."
00:01:58,00:02:02,I think you might have already known that bananas are radioactive.
00:02:02,00:02:09,"And what it does is it, when it decays, it emits a positron and turns into argon from potassium."
00:02:09,00:02:11,And a positron is an antimatter particle.
00:02:11,00:02:18,"It is, and then the positron will then meet an electron, and then we'll just turn into a little bit of energy."
00:02:18,00:02:20,"So, there's a tiny reaction happening in a banana."
00:02:20,00:02:22,"It will be on the outside of banana, yeah."
00:02:22,00:02:24,"It's about every 75 minutes, I believe."
00:02:24,00:02:30,"I read that with humans that we're trying to create antimatter, we've got a tiny amount."
00:02:30,00:02:35,"But if we created a lot, it would be equivalent of an atomic bomb explosion."
00:02:35,00:02:37,"Yeah, I mean, it's a bit much bigger."
00:02:37,00:02:44,"So, if we created a giant banana, not only would it explode, but it would have the radioactive fallout as well."
00:02:44,00:02:47,"Well, there is someone on the wire who has worked this out."
00:02:47,00:02:54,And they said to turn bananas into a power station by utilizing this fact that they create positrons.
00:02:54,00:03:01,"To get 200 watts, you would need a banana generator with 2.2 times 10 to the 20 bananas."
00:03:01,00:03:02,That's right.
00:03:02,00:03:07,"And it would be a sphere full of bananas, 200 kilometers in radius."
00:03:07,00:03:09,And that would create 200 watts.
00:03:09,00:03:15,"So, we don't think big supermarket should be on the lookout for someone ordering a suspicious number of bananas."
00:03:15,00:03:21,"There isn't a button for times 10 to the automatic check out, sister."
00:03:21,00:03:25,Do you guys know when bananas reach the UK?
00:03:25,00:03:29,Because they think it dates to the mid-15th century.
00:03:29,00:03:30,Really?
00:03:30,00:03:32,They found a banana peel in a Tudor rubbish tip.
00:03:32,00:03:35,"And the first, you know, the first..."
00:03:35,00:03:38,"Well, they're doing like a Charlie Chaplin style comedy sketch."
00:03:38,00:03:39,Who knows?
00:03:39,00:03:40,We have no idea how it got there.
00:03:40,00:03:42,And it's really freaked everyone out.
00:03:42,00:03:46,"Because previously, archaeologists and historians thought that they got to England in the 19th century."
00:03:46,00:03:51,But there's a theory. This is just a theory that they were really common in to drink them.
00:03:51,00:03:55,"But obviously, by the time they got here, they'd all be completely black and unrecognizable as bananas."
00:03:55,00:03:58,"And therefore, that's why we have no depictions of bananas."
00:03:58,00:04:02,You just picture him with the eighth eating a banana. It's so weird.
00:04:02,00:04:04,"That's kind of dirty, actually."
00:04:04,00:04:05,Image.
00:04:05,00:04:06,Doesn't it?
00:04:06,00:04:08,"So, I don't like it."
00:04:08,00:04:12,I read in the QI archives.
00:04:12,00:04:16,A Victorian guy called Lord Egremont.
00:04:16,00:04:17,Do you know this fact?
00:04:17,00:04:18,No.
00:04:18,00:04:23,"Okay, so Lord Egremont, he spent £3,000 building a greenhouse where he kept a single banana tree."
00:04:23,00:04:25,Because he wanted to grow his own bananas.
00:04:25,00:04:27,"And so, he managed to grow them."
00:04:27,00:04:30,"And the day came, where he was having his first taste of it,"
00:04:30,00:04:35,"at which he exclaimed, ""Oh, God, it tastes just like every other damn banana."""
00:04:35,00:04:39,I'd had the tree immediately destroyed.
00:04:39,00:04:43,Have you heard the story of Auburn War and the bananas?
00:04:43,00:04:44,This is so good.
00:04:44,00:04:49,"So, the banana impulse were banned between 1940 and 1945."
00:04:49,00:04:53,"And soon after that, the first delivery arrived since the ban,"
00:04:53,00:04:55,which was 10 million bananas.
00:04:55,00:04:58,"And the new Labour government said, ""Let's have a national banana day,"
00:04:58,00:05:00,"where every child should have a banana."""
00:05:00,00:05:01,Right.
00:05:01,00:05:04,Auburn War was a writer. He was the son of Evelyn War.
00:05:04,00:05:08,"And as a child, he and his two sisters, they got three bananas."
00:05:08,00:05:11,And they had heard all about bananas. They were so excited.
00:05:11,00:05:13,"And he wrote, later on in his memoirs,"
00:05:13,00:05:15,"""They were put on my father's plate,"
00:05:15,00:05:18,"and before the anguished eyes of his children, he poured on cream,"
00:05:18,00:05:22,"which was almost unprocurable, and sugar, which was heavily rationed,"
00:05:22,00:05:24,"and ate all three."""
00:05:24,00:05:27,"From that moment, I never treated anything he had to say on faith"
00:05:27,00:05:29,or morals very seriously.
00:05:29,00:05:32,It's incredible.
00:05:32,00:05:34,Have you heard of banana peelers?
00:05:34,00:05:36,"Oh, I don't think so."
00:05:36,00:05:38,These are such interesting people.
00:05:38,00:05:40,"They were fraudsters in the late 19th century,"
00:05:40,00:05:43,"and they made their living from, it was on railways they were."
00:05:43,00:05:45,"They would take an old banana peel out of their pocket,"
00:05:45,00:05:49,"put it on the ground, slip over on it, and sue the railway for compensation."
00:05:49,00:05:51,One woman called Banana Anna.
00:05:51,00:05:54,She did that 17 times over the course of her career.
00:05:54,00:05:56,She got huge compensation for it.
00:05:56,00:05:59,It's weird she called herself Banana Anna when she could just be called Banana.
00:05:59,00:06:01,"You would have thought, wouldn't you?"
00:06:01,00:06:03,"You thought this already, aren't you?"
00:06:03,00:06:06,"There was this, relatedly, to banana slipping."
00:06:06,00:06:10,"In 1941 in Texas, first one in the newspaper article where I read this,"
00:06:10,00:06:14,there was a ship that was described as the first ocean-going cargo ship
00:06:14,00:06:16,built since the World War.
00:06:16,00:06:21,"This is in 1941, so Parold America had quite predicted what was happening around them,"
00:06:21,00:06:23,and then the other World War.
00:06:23,00:06:26,"Anyway, the newspaper reported that the first ocean-going cargo ship"
00:06:26,00:06:30,"built since the World War was launched on a bed of half a ton of bananas,"
00:06:30,00:06:32,"because it was cheaper than Greece, apparently."
00:06:32,00:06:37,"So the bed, it slid into the water on half a ton of bananas."
