start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,This is how it works.
00:00:04,00:00:18,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast"
00:00:18,00:00:21,coming to you from the QI offices in Covent Garden.
00:00:21,00:00:22,My name is Dan Schreiber.
00:00:22,00:00:27,"I'm sitting here with Andy Murray, James Harkin, and Anna Chazinski, and once again we have"
00:00:27,00:00:31,"gathered around the microphone with our four favorite facts from the last seven days,"
00:00:31,00:00:35,"and in a particular order, here we go, starting with Andy."
00:00:35,00:00:39,My fact is that fish who work as cleaners can cheat their bosses and their bosses can
00:00:39,00:00:43,punish them.
00:00:43,00:00:45,So this is incredible.
00:00:45,00:00:49,"There are fish, as I'm sure you know, who clean other fish, as in they eat parasites"
00:00:49,00:00:50,from the skin.
00:00:50,00:00:54,So you get cleaner fish and client fish is what they're technically known as.
00:00:54,00:00:58,"And there have been lots of studies of this, especially by this amazing sounding ecologist"
00:00:58,00:01:03,"called Reduane Bacheri, I hope I'm pronouncing his name right, who has studied these guys"
00:01:03,00:01:04,so much.
00:01:04,00:01:09,"And basically, the trade is for food versus clean skin, but the cleaner fish they sometimes"
00:01:09,00:01:14,cheat because they actually like eating the thick mucus that covers the client fish as
00:01:14,00:01:19,"a protective layer, and they often have a cheeky bite of it instead of eating a parasite."
00:01:19,00:01:22,"And that makes the client fish jump, I guess, in pain."
00:01:22,00:01:25,"So that's them cheating it and then their bosses, the client fish punish them by chasing"
00:01:25,00:01:27,them around.
00:01:27,00:01:32,"And the cleaner fish which have been chased around, they behave better in future."
00:01:32,00:01:35,They stop misbehaving as much when they've been chased about.
00:01:35,00:01:36,What are they threatening to do when they chase them around?
00:01:36,00:01:41,"Because in the end, they want to be making contact with, it's like being chased around"
00:01:41,00:01:42,by someone you really fancy.
00:01:42,00:01:50,"It's like being chased by your boss, you know, because they're often bigger fish or"
00:01:50,00:01:51,they're often predatory.
00:01:51,00:01:54,Being chased by your boss.
00:01:54,00:01:58,Secretive QI experts.
00:01:58,00:02:01,"So yeah, if there are lots of client fish, then the cleaners have the upper hand because"
00:02:01,00:02:02,they're more in demand.
