start_hhmmss,end_hhmmss,text
00:00:00,00:00:12,[Music]
00:00:12,00:00:20,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming to you from the QI offices in Covent Garden."
00:00:20,00:00:25,"My name is Dan Treiber. I'm sitting here with Andy Murray, James Harkin and Anichezinski."
00:00:25,00:00:33,"And once again we have gathered around the microphones with our four favorite facts from the last seven days and in no particular order, here we go."
00:00:33,00:00:40,"Starting with fact number one, and that's my fact. My fact this week is that Guantanamo Bay has a gift shop."
00:00:40,00:00:42,Pretty inappropriate.
00:00:42,00:00:46,Do we know if the prisoners can buy gifts? Is it like they get let out once a week?
00:00:46,00:00:58,They sell files and they sell wire cushers and things like that. Now I've got a list of some of the things I do sell. So Fidel Castro standing on a boom box with text reading rockin in Fidel's backyard.
00:00:58,00:01:06,"You can get golf balls, you can get candles, you can get a plush banana rat, which is a type of rat that they have on Guantanamo Bay."
00:01:06,00:01:13,"So there's banana rats everywhere on Guantanamo Bay. Otherwise known as Hutia, you would normally call them Hutia, but they call them banana rats."
00:01:13,00:01:17,But you know why they're called banana rats? They're shaped like a banana.
00:01:17,00:01:21,They eat bananas. They're radioactive. They're very easy to peel.
00:01:21,00:01:28,What is it? They don't really have legs.
00:01:28,00:01:37,"No, the reason is that they are called banana rats because their feces look like small versions of the fruit."
00:01:37,00:01:45,That's cool. That's very interesting. So I've been named after the shape of my poo.
00:01:45,00:01:49,"Not after that. Well you just be called poo, wouldn't you?"
00:01:49,00:01:55,"No, you could be like raisins or skyscraper."
00:01:55,00:02:05,"You could be anything, couldn't it? Well that's a cool fact. I really like that."
00:02:05,00:02:13,Also they have teddy bears that you have cropped T-shirts and they read it don't get more better than this.
00:02:13,00:02:19,"It's pretty crazy. They've got things like Baskin Robbins there, the ice cream shop, they've got McDonald's, there's a subway, KFC, Pizza Hut."
00:02:19,00:02:27,"I really like when you hear about military compounds or places, when you hear something out of place, Andy has a great fact about the CIA."
00:02:27,00:02:37,"It's the Starbucks in Langley, Virginia, the headquarters of the CIA. The baristas are not allowed to write customers names on the cups."
00:02:37,00:02:43,Actually if you went Starbucks and they said what name is it and you said skyscraper.
00:02:43,00:02:51,"That's an unusual name, where do you get that? So Quentano Bay is on Cuba, obviously."
00:02:51,00:03:01,But it's rented from the Cuban government except that Fidel Castro says that he never cashes the checks.
00:03:01,00:03:07,"He says he's cashed one of them once and it was by mistake. It was $4,000 a month."
00:03:07,00:03:13,He's holding them all up and then one day he's going to cash them all and hopefully bankrupt.
00:03:13,00:03:17,"He has, isn't there a rumor that he stores them all in a draw in his office desk?"
00:03:17,00:03:21,"Yes, he showed them off in a TV interview once."
00:03:21,00:03:27,He says that the only one that got cash was in 1959 during the actual Cuban revolution when it was a bit confusing.
00:03:27,00:03:31,A mistake in the payroll department or something like that.
00:03:31,00:03:37,Why is Fidel? I'm really confused on my bank run that time.
00:03:37,00:03:41,"He also claims that the checks are made out to the Treasury General of the Republic,"
00:03:41,00:03:45,which is apparently a position that ceased to exist after the revolution in 1959.
00:03:45,00:03:49,So this is a pre-revolutionary arrangement that clearly they haven't updated them on.
00:03:49,00:03:53,Guantanamo also has an Irish bar.
00:03:53,00:03:59,"He has an Irish bar called O'Kelly's Irish Bar, which claims to be the only Irish bar on Communist soil."
00:03:59,00:04:03,So I thought I'd see if I could find any other Irish bars on Communist soil.
00:04:03,00:04:07,"And there is Hoolie's Irish Bar in Guangzhou, China."
00:04:07,00:04:11,"Gary's Irish pub in Vien Tien, in Lao."
