start_hhmmss,end_hhmmss,text
00:00:00,00:00:12,[MUSIC]
00:00:12,00:00:16,"Hello, and welcome to another episode of ""No Such Thing as a Fish"""
00:00:16,00:00:20,a weekly podcast coming to you from the QI offices in Covern Garden.
00:00:20,00:00:25,"My name is Dan Schreiber, I'm sitting here with James Harkin, Andy Murray, and Anagy Zinski."
00:00:25,00:00:28,"And once again, we have gathered around the microphones with our four favorite"
00:00:28,00:00:33,"facts from the last seven days and in a particular order, here we go."
00:00:33,00:00:35,"Starting with you, Juzinski."
00:00:35,00:00:40,>> My fact is that only 28% of people know when they're being flirted with.
00:00:40,00:00:42,">> I never know, ever."
00:00:42,00:00:45,>> Do you think you think people are flirting or they aren't with you?
00:00:45,00:00:46,>> Aren't.
00:00:46,00:00:46,>> They aren't.
00:00:46,00:00:47,"Yeah, so this is the interesting thing."
00:00:47,00:00:51,"People never seem so, they've done this study recently, which looked at 52"
00:00:51,00:00:53,"heterosexual women, 52 heterosexual men."
00:00:53,00:00:56,And they put them in pairs together and made them have a conversation.
00:00:56,00:01:00,And then afterwards they asked them if they'd flirted with the other person.
00:01:00,00:01:03,And then they asked them if they thought the other person had been flirting with them.
00:01:03,00:01:07,And lots of people flirted and only 28% of people realized they were doing it.
00:01:07,00:01:10,"And in women, it was 18%."
00:01:10,00:01:10,>> Wow.
00:01:10,00:01:15,>> Was that who knew that they were flirting with someone else or that someone else was flirting with them?
00:01:15,00:01:18,">> When people flirted with other people, they were aware of it."
00:01:18,00:01:20,">> Well, sometimes they're not, I think."
00:01:20,00:01:21,>> Sometimes you accidentally flirt.
00:01:21,00:01:23,">> Yes, sometimes people are just so flirtatious."
00:01:23,00:01:26,>> I go accused of that of flirting when I'm not.
00:01:26,00:01:28,">> Yeah, James always says."
00:01:28,00:01:29,>> I do say that to you a lot.
00:01:29,00:01:32,"And by the way, get your hand off my leg."
00:01:32,00:01:34,>> This is an interesting thing about flirting.
00:01:34,00:01:38,So men are perceived as being better at flirting when these are some of the behaviors
00:01:38,00:01:41,"that they engage in when women think, oh, he's flirting and he's good at it."
00:01:41,00:01:45,"So for a start, actually looking at the person that you want to flirt with,"
00:01:45,00:01:47,"that is a solid gold winner, that's really good."
00:01:47,00:01:50,Also positioning your body that it takes up more space.
00:01:50,00:01:56,And doing what's called non-reciprocated touching to surrounding men.
00:01:56,00:02:01,"So this includes playfully shoving, touching, or elbowing the ribs of other men around you."
00:02:01,00:02:05,Supposedly helps you flirt with a woman that you're interested in on the other side of a bar or something.
00:02:05,00:02:06,>> Really?
00:02:06,00:02:09,">> Yeah, you probably should know the person when you're shoving them, right?"
00:02:09,00:02:13,">> Yeah, so what happens is there's a massive bar fight going on at the other side of the bar."
00:02:13,00:02:16,"And they go, wow, stop flirting with me, guys."
00:02:16,00:02:21,>> Here's the last thing that this study identified as supposedly a really good sign is the men who are good at it.
00:02:21,00:02:26,Changed their location in the bar more frequently.
00:02:26,00:02:27,Where's he gone?
00:02:27,00:02:29,>> So is that just literally playing hard to get?
00:02:29,00:02:30,>> I suppose so.
00:02:30,00:02:32,">> You try to walk over to him, he's suddenly in a different place."
00:02:32,00:02:33,>> Playing hard to find.
00:02:33,00:02:36,">> Let's take the thing out of there, let's do that."
00:02:36,00:02:38,">> You know how you think you're not flirting and you are, Dan?"
00:02:38,00:02:39,>> Yeah.
00:02:39,00:02:42,>> Some people think that they're flirting when they're not.
00:02:42,00:02:45,>> What is it? >> This is called signal amplification bias.
00:02:45,00:02:50,And it's where you think that your gestures are making it really clear that you're doing some pretty heavy duty flirting.
00:02:50,00:02:53,"But obviously, the other person has no idea."
00:02:53,00:02:57,So it's like when I'm in a bar and I'm running around into lots of different positions.
00:02:57,00:03:00,>> The other person just hasn't noticed it.
00:03:00,00:03:02,>> But she'd run the men in the face.
00:03:02,00:03:08,">> Yeah, well, I mean, that's why the study has ended up showing that people don't know if they've been flirted with because people don't flirt properly."
00:03:08,00:03:13,"Because the whole, it's kind of self-defeating flirting because the whole point of it really is to be subtle, isn't it?"
00:03:13,00:03:18,"The whole point of flirting is to kind of conceal and protect, conceal what you're trying to do and protect yourself."
00:03:18,00:03:21,"Because you don't just walk up to someone and go, I fancy you, do you want to have sex?"
00:03:21,00:03:27,">> So evolutionarily, the idea, I think, is that it could be socially costly to kind of just go up to someone and say,"
00:03:27,00:03:28,you want to have sex with them.
00:03:28,00:03:32,"Because if they say no, then you could get excluded from the group or whatever."
00:03:32,00:03:35,And it seems to be like a uniquely human thing.
00:03:35,00:03:36,Other animals don't seem to do it.
00:03:36,00:03:39,But I read one article about the idea that other animals don't really flirt.
00:03:39,00:03:45,"And it said, if other animals were to flirt, would we even be able to detect it?"
00:03:45,00:03:46,">> Well, we can't detect when we're doing it."
00:03:46,00:03:49,">> Let's look at the head of ourselves, is this mouse flirting?"
00:03:49,00:03:52,"I mean, folks on that woman over there."
00:03:52,00:03:56,">> But I think around all over the floor, it looks like it's flirting."
00:03:56,00:04:03,>> But there was a natural history museum exhibition that went on where their whole premise was that animals do flirt.
00:04:03,00:04:06,"And obviously, they must have just been putting a nice little spin on it."
00:04:06,00:04:10,"But there are examples of sort of romantic gestures, it seems."
00:04:10,00:04:14,>> The idea with flirting is it's something which you wouldn't really be able to tell
00:04:14,00:04:16,unless you can just about kind of pick up on it.
00:04:16,00:04:20,">> Oh, I disagree, I think flirting can be absolutely outright."
00:04:20,00:04:22,">> No, it is, it's a defense mechanism, rather than saying."
00:04:22,00:04:25,"Because animals just go up to each other and say, let's sleep together."
00:04:25,00:04:26,That's what all of their flirting is.
00:04:26,00:04:30,">> Look, the Amazonian River Dolphin, it brings a bouquet of waterweeds."
00:04:30,00:04:33,">> Yeah, that's not subtle, it's not what you're bouquet of waterweeds."
00:04:33,00:04:34,>> That's what they want it.
00:04:34,00:04:37,">> Okay, okay, how about there's a haddock that hums."
00:04:37,00:04:41,">> Again, that's not really flirting."
00:04:41,00:04:42,">> Well, if you're going over them."
00:04:42,00:04:44,">> Yeah, I think that could be."
00:04:44,00:04:48,">> If she says, well, you just, no, I was just humming, I was just talking about it."
00:04:48,00:04:49,"It's just subtle, that's a subtle signal."
00:04:49,00:04:51,">> Yeah. >> And with you, Dan."
00:04:51,00:04:56,>> Flirting is quite a good way of trying to suss out whether someone's going to be worthwhile
00:04:56,00:04:59,without actually inviting them to jump into bed with you.
00:04:59,00:05:01,>> Right. >> Because you might decide halfway through
00:05:01,00:05:03,"the flirting encounter that actually, no, this guy's not right."
00:05:03,00:05:05,>> Not sure how this fits with your stats.
00:05:05,00:05:10,But men over perceived flirting and women under perceived flirting.
00:05:10,00:05:15,"And the reason is because men, if they over perceived and they don't get it right,"
00:05:15,00:05:16,then they just move on to the next one.
00:05:16,00:05:18,And it doesn't really matter.
00:05:18,00:05:23,"Whereas if women over perceived, then they might have sex with an undesirable man and"
00:05:23,00:05:25,end up with weedy children and burdened.
00:05:25,00:05:27,">> Yeah, yeah, yeah."
00:05:27,00:05:28,"Yeah, I think that's very plausible."
00:05:28,00:05:29,And that's definitely what the study showed.
00:05:29,00:05:33,"16% of women recognize some people with flirting, but way more men did."
00:05:33,00:05:35,">> Right. >> So the, because it is quite costly for"
00:05:35,00:05:38,humans if you sleep with the wrong person who turns out to be a bit of a weed.
00:05:38,00:05:41,And doesn't give you good offspring because that's like a nine month gestation period.
00:05:41,00:05:44,And then you've got to raise this kid who's weedy and shit like the dad.
00:05:44,00:05:47,"So they still under, underestimated it."
00:05:47,00:05:48,>> Right.
00:05:48,00:05:52,"The word flirting, the word flirting used to actually mean hitting somebody."
00:05:52,00:05:53,>> Did it?
00:05:53,00:05:54,>> Yeah.
00:05:54,00:05:57,>> It also meant to turn up one's nose or sneer at.
00:05:57,00:05:58,>> Really?
00:05:58,00:05:59,>> That's the verb anyway.
00:05:59,00:06:00,">> It's really, it's really changed, yeah."
00:06:00,00:06:01,>> Yeah.
00:06:01,00:06:05,">> But since the fifth, I think in the 1560s, Samuel Johnson described the noun"
00:06:05,00:06:09,flirt as it's always a female and it's a pert young Hussie.
00:06:09,00:06:14,"I also liked their alternatives to flirting, which were when it came to mean being,"
00:06:14,00:06:18,it meant being nimble often and I think that came to be nimble conversationally.
00:06:18,00:06:22,"And you could also say someone was a flirty gig or a flirt, Gillian."
00:06:22,00:06:24,Which I quite like to mean an unconstant woman.
00:06:24,00:06:26,>> Wow.
00:06:26,00:06:28,>> They have a flirty gig.
00:06:28,00:06:28,>> This is weird.
00:06:28,00:06:32,Scientists found that men find happiness very attractive in a woman.
00:06:32,00:06:35,But women find it one of the less attractive things in a man.
00:06:35,00:06:36,>> What happiness?
00:06:36,00:06:37,">> Yeah, apparently."
00:06:37,00:06:42,"And shame, sort of doing what's called shameful displays or displays of shame,"
00:06:42,00:06:45,was more attractive to women than happiness.
00:06:45,00:06:47,>> What's a shameful display?
00:06:47,00:06:48,">> Oh, I'm so embarrassed, oh, I can't do this."
00:06:48,00:06:49,>> Okay.
00:06:49,00:06:51,">> But you know, which explains you grand in a way?"
00:06:51,00:06:53,>> It's not dropping your trousers and going.
00:06:53,00:06:54,">> No, that's a penis."
00:06:54,00:06:57,>> [LAUGH]
00:06:57,00:07:04,">> I like this, there was, I think this is in scientific American saying research."
00:07:04,00:07:06,A split types of touching into three categories.
00:07:06,00:07:12,"So there's merely friendly, there's plausible deniability, which is what we were talking about."
00:07:12,00:07:15,"Like if someone's like, are you flirting with me, you can go, no, obviously not."
00:07:15,00:07:20,And then there's going nuclear and plausible deniability includes an arm touch or
00:07:20,00:07:21,a shoulder or a waist touch.
00:07:21,00:07:23,>> What's going nuclear kind of flirt?
00:07:23,00:07:26,">> Face touch, which would be a bit weird, wouldn't it?"
00:07:26,00:07:29,"If you just in a pub with someone, they leaned over and touched you on the face."
00:07:29,00:07:32,">> Yeah, mid-chat though, it's not weird."
00:07:32,00:07:34,>> Don't if you ever do that to me.
00:07:34,00:07:35,>> [LAUGH]
00:07:35,00:07:37,>> You're going to be in serious trouble.
00:07:37,00:07:38,>> [LAUGH]
00:07:38,00:07:41,">> If you had like a thing on your head, I'd be like, you got a thing on your head."
00:07:41,00:07:46,">> You can't just touch people's faces mid conversation, I'm constantly touching faces."
00:07:46,00:07:48,>> You can't do that.
