start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,[Playing guitar]
00:00:02,00:00:07,[Playing guitar]
00:00:07,00:00:15,"Hello, and welcome to another episode of ""No Such Thing as a Fish"" a weekly podcast"
00:00:15,00:00:17,coming to you from the QI offices.
00:00:17,00:00:22,"My name is Dan Schreiber, I'm sitting here with Alex Bell, Andy Murray, and Anna Chazinski."
00:00:22,00:00:25,"And once again, we have gathered around the microphones with our four favorite facts from"
00:00:25,00:00:29,"the last seven days and in an particular order, here we go."
00:00:29,00:00:32,"Starting with you, Andy Murray."
00:00:32,00:00:37,"My fact is that in Peru, depictions of the last supper show Jesus and His disciples eating"
00:00:37,00:00:38,a guinea pig.
00:00:38,00:00:42,"That's what they do, that's what it's there."
00:00:42,00:00:47,"This is, well there's one particular famous painting by a guy called Marcos Zapata, who"
00:00:47,00:00:54,"painted in 1755, a very large painting, fresco, whatever it is, of the last supper and Jesus"
00:00:54,00:00:55,and His disciples.
00:00:55,00:00:58,They're all sitting around a guinea pig which has been char grilled and barbecued.
00:00:58,00:01:01,Is there any chance that they would have eaten a guinea pig back then?
00:01:01,00:01:02,Was that food back then?
00:01:02,00:01:03,Yeah.
00:01:03,00:01:06,"Well not in the Middle East, I didn't think, do they come from the Middle East?"
00:01:06,00:01:09,"Oh sorry, in the Middle East, sorry, I thought you meant were they taking it to South America"
00:01:09,00:01:12,"and because they ate guinea pigs in South America, which they did."
00:01:12,00:01:13,"Which they did, okay."
00:01:13,00:01:14,"Which they did, okay."
00:01:14,00:01:15,"And they still do, they're really popular."
00:01:15,00:01:16,"Yes, huge, yeah."
00:01:16,00:01:18,They eat 65 million every year.
00:01:18,00:01:19,Wow.
00:01:19,00:01:20,It's a lot.
00:01:20,00:01:21,Each.
00:01:21,00:01:26,And they get roasted and impaled on skewers and then they're normally brought to your
00:01:26,00:01:30,table holder and they cut into five pieces so they're quartered and then they remove the
00:01:30,00:01:31,head as well.
00:01:31,00:01:32,What?
00:01:32,00:01:36,Apparently the cheeks are really nice because they're crispy and presumably because they
00:01:36,00:01:38,keep food in them as well so they can't pre-stop.
00:01:38,00:01:39,Yeah.
00:01:39,00:01:42,You've just got some extra seeds.
00:01:42,00:01:43,Yeah.
00:01:43,00:01:48,I was reading that more rabbits and chickens are used as guinea pigs than guinea pigs
00:01:48,00:01:49,are.
00:01:49,00:01:50,Yeah.
00:01:50,00:01:52,For science research.
00:01:52,00:01:58,And obviously mice and rats are the big ones but guinea pigs just are not ever really used
00:01:58,00:02:00,much for science.
00:02:00,00:02:05,"However, I then also read and I read this and this was in Squire, the QI database."
00:02:05,00:02:09,23 Nobel Prizes and Medicine have been one thanks to guinea pigs.
00:02:09,00:02:10,Wow.
00:02:10,00:02:11,Yeah.
00:02:11,00:02:13,"So why did we call, why, why did the term being used as a guinea pig, but was there a time"
00:02:13,00:02:18,"when there were a few, I mean, if 23 Nobel Prizes, there must be a time, yeah."
00:02:18,00:02:22,"It's from the 1800s and it's when the, it was Robert Koch, wasn't it?"
00:02:22,00:02:26,Who was a leading germ scientist in the 1800s and he did a lot of his experiments on guinea
00:02:26,00:02:32,"pigs, I think, in the 1880sish and so he coined the term or someone coined the term about"
00:02:32,00:02:34,him and people just started using it.
00:02:34,00:02:36,"But yeah, it's very uncommon to use guinea pigs."
00:02:36,00:02:43,I think at a ratio of about one to a thousand in favour of using mice and rats instead.
00:02:43,00:02:48,"Guinea pigs are, I think, the only other animals, the only other mammals except for humans"
00:02:48,00:02:49,that can get scurvy.
00:02:49,00:02:55,"And that was one thing we used them for is finding out the cause of scurvy, is transferring"
00:02:55,00:02:56,our scurvy into the guinea pigs.
00:02:56,00:02:59,"No, finding out the cause of scurvy, which we did, but yeah, they can get it."
00:02:59,00:03:04,"So all other animals are able to create vitamin C internally, but we can't, guinea pigs"
00:03:04,00:03:05,can't.
00:03:05,00:03:06,Wow.
00:03:06,00:03:07,We're together in that.
00:03:07,00:03:12,"And also guinea pigs, unrelatedly, were the first creatures to have a pap smear down"
00:03:12,00:03:13,on them.
00:03:13,00:03:14,What?
00:03:14,00:03:15,"You know, a cervical smear."
00:03:15,00:03:16,I know with them.
00:03:16,00:03:17,"Oh, okay."
00:03:17,00:03:18,Cool.
00:03:18,00:03:21,"So, you know, the pap and opalus, whatever he was called, when he went to America, wasn't"
00:03:21,00:03:23,allowed to experiment on any humans.
00:03:23,00:03:26,"And so he just took lots of guinea pigs and had to work out their menstrual cycles, which"
00:03:26,00:03:28,"he found quite difficult, I think, for quite a long time."
00:03:28,00:03:32,"Did he have tiny stirrups for their legs, for the inside of the chairs?"
00:03:32,00:03:33,Yeah.
00:03:33,00:03:38,"And he'd leave them alone in the room to set themselves up and come in, call them the gloves."
00:03:38,00:03:42,"If you've ever seen a guinea pig hobbling a little bit, that's what they've just been"
00:03:42,00:03:43,doing.
00:03:43,00:03:48,Making awkward conversation about plants of the week.
00:03:48,00:03:52,"And a pretty Spanish South America in Peru, in a city called Kuthko, I think, is how it's"
00:03:52,00:03:53,pronounced.
00:03:53,00:03:58,A thousand white guinea pigs were sacrificed every year in the square to appease the
00:03:58,00:04:02,"gods and to stop them, you know, harming the crops and things like that."
00:04:02,00:04:03,Yeah.
00:04:03,00:04:04,Wow.
00:04:04,00:04:07,But there is a ceremony today where you go house to house and you collect loads of guinea
00:04:07,00:04:08,pigs from people.
00:04:08,00:04:10,"It's called a jack-a-sari, I think."
00:04:10,00:04:15,"And then you release them in apparently a mock bullfight, which I think sounds brilliant."
00:04:15,00:04:18,"And a tiny ring, you put tiny horns on them."
00:04:18,00:04:22,"I mean, is it a bullfighting that people pose them?"
00:04:22,00:04:23,"Oh, yeah."
00:04:23,00:04:25,Getting flipped over into the crowd.
00:04:25,00:04:27,Just a Matador versus a guinea pig.
00:04:27,00:04:30,Just had blown a guinea pig run off of me.
00:04:30,00:04:37,"There's all the headlines the next day, three more gourd and guinea pig exits."
00:04:37,00:04:39,Just quickly back to the original fact.
00:04:39,00:04:44,"So this picture of the last supper, was this the Kuthko Cathedral one?"
00:04:44,00:04:45,It was the Kuthko Cathedral.
00:04:45,00:04:46,Yeah.
00:04:46,00:04:50,"Okay, because there's a lot more items on that table as well that they seem to have identified"
00:04:50,00:04:52,as part of the last supper.
00:04:52,00:04:56,"So to represent the 12 disciples, they had 12 dishes on the table."
00:04:56,00:05:05,"So that includes prawn soup, nice, polenta, salad, corn cake, there was rice with milk,"
00:05:05,00:05:06,"cake, yellow bread."
00:05:06,00:05:07,It's quite cool.
00:05:07,00:05:08,It's quite a variety.
00:05:08,00:05:09,It sounds like they've cooked in.
00:05:09,00:05:10,They didn't order out from somewhere.
00:05:10,00:05:11,"Yeah, yeah."
00:05:11,00:05:15,I'm also so skeptical that when people claim to be able to identify very specific types
00:05:15,00:05:16,of food.
00:05:16,00:05:17,"Ah, prawn soup there?"
00:05:17,00:05:18,Yeah.
00:05:18,00:05:19,Yeah.
00:05:19,00:05:23,"One of them is handing the menu back to the waiter, pointing with his finger at the prawn,"
00:05:23,00:05:24,so that's how we know.
00:05:24,00:05:27,There's a special menu in the background if you look very closely.
00:05:27,00:05:31,"Speaking of items on the table, in Davinci's last supper, there's lots of stuff again strune"
00:05:31,00:05:32,over the table.
00:05:32,00:05:36,"The first thing is that there are oranges there, which is a mistake as it were, because"
00:05:36,00:05:40,oranges weren't around in the Middle East until centuries after Jesus was supposed to
00:05:40,00:05:41,be around.
00:05:41,00:05:45,"The second thing is that in 2007, an Italian computer technician announced that he had discovered"
00:05:45,00:05:49,a secret song that was hidden in Davinci's last supper.
00:05:49,00:05:55,"So all this bread and stuff strune over the table, if you superimpose us onto a stave, all"
00:05:55,00:05:59,"of the things are musical notes, and he says that if you play it, it sounds a bit like"
00:05:59,00:06:00,a requiem.
00:06:00,00:06:03,"The crucial thing, not enough like a requiem."
00:06:03,00:06:06,The page of the museum said the theory was plausible.
00:06:06,00:06:07,That's very polite.
00:06:07,00:06:17,"There's another theory by this historian called John Veriano, who thinks that he says there"
00:06:17,00:06:21,"is orange on the table, but he thinks that they're eating eel in Davinci's last supper."
00:06:21,00:06:26,Because apparently that was a popular meal in the 15th century in Italy when Davinci was
00:06:26,00:06:27,painting.
00:06:27,00:06:28,"So, yeah, eel and orange slices."
00:06:28,00:06:33,"There was this thing that he was obviously commissioned to do this, Davinci, this portrait,"
00:06:33,00:06:38,"and it was done in what was effectively a monk's canteen, which I didn't know, but it wasn't"
00:06:38,00:06:40,a canteen when it was painted.
00:06:40,00:06:43,"It was, it was, it was, it was, it was, it was, it was, it was, it was so delicious."
00:06:43,00:06:44,Yeah.
00:06:44,00:06:46,"It was, it was, it would be great in this room."
00:06:46,00:06:51,"It's very dilapidated and basically rubbish, isn't it?"
00:06:51,00:06:56,"And in fact, I think, I think, basically rubbish, but basically I could do better."
00:06:56,00:07:03,"I think if you asked who painted Davinci's last supper, the answer would not be Davinci."
00:07:03,00:07:07,"I don't think there's a single bit of paint left now on it, that is Davinci's paint because"
00:07:07,00:07:09,it was so badly done because it was essentially a failure.
00:07:09,00:07:13,"He had never really painted murals before, didn't know the right equipment to use or the right"
00:07:13,00:07:14,substances.
00:07:14,00:07:15,Yeah.
00:07:15,00:07:19,And so they eroded really quickly within his lifetime and it kept on having to be redone
00:07:19,00:07:21,and touched up and it didn't work very well.
00:07:21,00:07:25,And for centuries it was kind of neglected because it was just like broken bits of stone.
00:07:25,00:07:30,"And also the Jesus in the middle used to have feet, didn't he?"
00:07:30,00:07:31,Yes.
00:07:31,00:07:37,And they just plowed a door through the middle of that painting and so the feet are gone
00:07:37,00:07:40,and that's why there's that weird arch in the middle of the painting that looks a bit
00:07:40,00:07:44,out of place and you can't see Jesus' legs.
00:07:44,00:07:46,Did you know that Van Gogh painted a version of the last supper?
00:07:46,00:07:47,"No, it didn't."
00:07:47,00:07:49,"Ah, yeah, he did."
00:07:49,00:07:54,"It was, you know, his Cafe Terrace, most famous Van Gogh painting probably, one of the"
00:07:54,00:07:55,very most famous.
00:07:55,00:07:56,"Oh yeah, it's a Cafe Terrace."
00:07:56,00:07:57,Lots of people sitting out.
00:07:57,00:08:00,"Anyway, there was this academic paper written about how Van Gogh had written her letters"
00:08:00,00:08:03,"brother while he was painting that saying, ""I really need some religion in my life."""
00:08:03,00:08:08,"And then he's drawn this picture with 12 diners with a guy walking away, as in the Judas"
00:08:08,00:08:13,"character who's often shown to be walking away in the last supper depictions, with if you"
00:08:13,00:08:18,look at the window in the back it's got a crossed window pane which isn't just a cross window
00:08:18,00:08:23,"pane, it's the crucifix that's hanging behind every one of the picture."
00:08:23,00:08:24,That's the latest theories.
00:08:24,00:08:28,"There are some other versions of the, there are so many versions of like the last supper"
00:08:28,00:08:29,in painting.
00:08:29,00:08:33,"Yeah, my favourite is Juan de Juane, which was the Spanish painter who painted his version."
00:08:33,00:08:39,"And it's really easy to decipher, to identify which disciple is each person, because inside"
00:08:39,00:08:43,"the halos he's written their names, suspended in the same color."
00:08:43,00:08:46,"Because if you all go in somewhere, you all hang up your halos at the door and then if you"
00:08:46,00:08:49,"leave you don't want to get someone else's, which is the wrong time."
00:08:49,00:08:50,"Well, it's like a video for the rest of the day."
00:08:50,00:08:54,It looks like when you look at the tags on a Facebook photo and everyone's names come
00:08:54,00:08:59,"up and as well as exactly like that, it's really, it's tagging, it's literally tagging, it's"
00:08:59,00:09:00,the best thing ever.
00:09:00,00:09:06,"The disciple is just written them in, it's hilarious."
00:09:06,00:09:10,"Okay, time for fact number two and that is Alex."
00:09:10,00:09:15,"Okay, my fact is that there is a skyscraper in New York with a 400 tonn weight in the top"
00:09:15,00:09:18,which moves around to stop the building from falling over.
00:09:18,00:09:19,That's so cool.
00:09:19,00:09:22,"Okay, so this is actually one of loads of buildings, this was just the first one to have"
00:09:22,00:09:24,"this technology in the US, it's the City Group Centre."
00:09:24,00:09:28,"I mean, everyone has probably heard about how tall buildings often are built on flexible"
00:09:28,00:09:29,foundations.
00:09:29,00:09:31,"They've got, they're basically sitting on big springs."
00:09:31,00:09:35,So it insulates them from earthquakes and it makes them sway slightly.
00:09:35,00:09:38,But another problem with really tall buildings is not just earthquakes.
00:09:38,00:09:41,It's that the wind might blow the motor because they're so big.
00:09:41,00:09:45,"So there's this technology called tuned mass damping, which is basically a really heavy"
00:09:45,00:09:48,"weight, usually several hundred tons heavy."
00:09:48,00:09:51,That's installed in the top floors of the skyscraper and the weight is attached to
00:09:51,00:09:56,pneumatic supports or cables or something and the building has a computer system which works
00:09:56,00:10:00,out which direction the wind is coming from and it shifts the weight into that direction
00:10:00,00:10:03,so that the building leans into the wind slightly and it can reduce the amount that the
00:10:03,00:10:07,"building is swayed by the wind by about 50 percent or sometimes, oh wow, I'm never going"
00:10:07,00:10:10,into any building which has this technique.
00:10:10,00:10:13,"Well, this is the thing, when you start looking into how these buildings stay up and"
00:10:13,00:10:15,"technology reuse, you don't want to go in any of these skyscrapers because they just"
00:10:15,00:10:19,"don't seem, you just, you wonder how any building stays up, even a couple of stories"
00:10:19,00:10:22,high because it's just so sort of scary.
00:10:22,00:10:25,Have you seen how they demolish skyscrapers in Japan?
00:10:25,00:10:27,"No, it is so cool."
00:10:27,00:10:30,They start with the ground floor and they work their way up.
00:10:30,00:10:31,Sorry?
00:10:31,00:10:32,Yeah.
00:10:32,00:10:33,There's also mass in levitations.
00:10:33,00:10:37,"Yeah, just drop down one floor and then they get to, what do you mean?"
00:10:37,00:10:38,Genuinely they do this.
00:10:38,00:10:41,So what they do is they take the ground floor and they replace all the building supports
00:10:41,00:10:43,"with hydraulic jacks, right?"
00:10:43,00:10:49,"So really, really enormous steel pillars to the height of the first floor and they put"
00:10:49,00:10:52,those in place of the proper supports and then they remove all the internal walls and
00:10:52,00:10:56,"supports and then very slowly and carefully, they lower the hydraulic jacks over a period"
00:10:56,00:11:02,"of a couple of hours and then boom, you have now a building which is one story shorter and"
00:11:02,00:11:06,then you do it again and you do it again and you do it again and it's a way of very slowly
00:11:06,00:11:07,just so cool.
00:11:07,00:11:08,Isn't it amazing?
00:11:08,00:11:12,"That's a bit like how cranes, big cranes, put themselves together and dismantle themselves."
00:11:12,00:11:17,"You build the top bit and then you, you know, they're all built in segments like a bit"
00:11:17,00:11:22,like Lego and it slides in the bottom segment and shifts itself up and slides in and obviously
00:11:22,00:11:25,"you're using the actual, you know, the cables in the crane to move this stuff around so it's"
00:11:25,00:11:26,literally building itself.
00:11:26,00:11:30,I've been asking that question for years without ever thinking to Google it.
00:11:30,00:11:32,I've always wanted to know how a crane gets there.
00:11:32,00:11:33,Yeah.
00:11:33,00:11:34,It's amazing.
00:11:34,00:11:35,That's awesome.
00:11:35,00:11:39,"I was going to say talking of cranes, I was looking at the difference between building"
00:11:39,00:11:44,"in different places and one of which is these, this local protective view laws and it's"
00:11:44,00:11:48,basically the idea that there are lots of views from one place from other in London which
00:11:48,00:11:49,you can't obstruct.
00:11:49,00:11:52,"So you know the cheese grater, skyscraper, it's basically it looks like a giant cheese grater"
00:11:52,00:11:56,because it just looks like it has a huge slice chopped off it.
00:11:56,00:11:59,The reason it's that shape is because there's a pub on Fleet Street from which you can see
00:11:59,00:12:04,St Paul's Cathedral and when they tried to build the building they were told they weren't
00:12:04,00:12:05,allowed to impose on the views.
00:12:05,00:12:07,They've had this huge skyscraper now sort of leans one way.
00:12:07,00:12:08,Wow.
00:12:08,00:12:09,Isn't that ridiculous?
00:12:09,00:12:13,There are 13 of the main protected view laws from one park to another landmark which
00:12:13,00:12:15,you can't put anything in front of.
00:12:15,00:12:22,Anna and I went to Greenwich very recently to the museums there and we saw Greenwich mean
00:12:22,00:12:27,"time, the Meridian line and the laser, there's this big green laser that shoots out and so"
00:12:27,00:12:34,"at night that's what you see, it shows you time, it's the line of time and basically what"
00:12:34,00:12:39,happened was a new building structure had gone up across the river and the laser went
00:12:39,00:12:44,directly into one of the rooms of the department block and they complained and so they've had
00:12:44,00:12:46,to change the line of time.
00:12:46,00:12:48,It's just pointing up at higher now because that's so funny.
00:12:48,00:12:50,It's a resident's being slightly nervous.
00:12:50,00:12:53,You're saying it's someone's bedroom right and just hitting his bedroom so you're trying
00:12:53,00:12:55,to sleep with his enormous laser coming through your bedroom.
00:12:55,00:12:56,Huge laser of time.
00:12:56,00:12:57,Yeah.
00:12:57,00:12:58,Yeah.
00:12:58,00:13:02,"And related to that 20 fence venture street which is the huge bulb of skyscraper, the"
00:13:02,00:13:03,walkie-talkie in London.
00:13:03,00:13:04,Yes.
00:13:04,00:13:08,"It hit the headlines in 2013 because it was, it had a big curve front and it was focusing"
00:13:08,00:13:13,on all the suns rays and melting a bit of the paper and some cars on it.
00:13:13,00:13:15,"The architect, he's called Raphael Vinoli, he's done it before."
00:13:15,00:13:20,He designed a massive hotel called the hotel Vardara in Las Vegas which also has a massive
00:13:20,00:13:23,curve front and would heat up the swimming pool and melt people's plastic cups.
00:13:23,00:13:27,"So knowing that he'd done that so we went before, they hired him at all and then B, he came"
00:13:27,00:13:30,up with this design for a new massive curve building like yeah that's probably going
00:13:30,00:13:31,to be fine.
00:13:31,00:13:33,I read that that's called the Vardara death ray.
00:13:33,00:13:34,Yeah.
00:13:34,00:13:35,It's ridiculous.
00:13:35,00:13:38,"The signing buildings that end up being called the death somewhere in the death ray, is it?"
00:13:38,00:13:39,No.
00:13:39,00:13:41,"Okay, absolutely."
00:13:41,00:13:44,Just speaking of things being on one side or another are of a line.
00:13:44,00:13:45,Yes.
00:13:45,00:13:48,This is kind of not relevant to the fact what I found out recently and I like it so much.
00:13:48,00:13:53,"There's a hotel in Europe which is half in France and half in Switzerland, genuinely."
00:13:53,00:13:57,"It's called the hotel Abbes and it was the France in Switzerland, we're trying to swap"
00:13:57,00:14:01,a bit of land because the French wanted a particular bit so they had to concede a bit
00:14:01,00:14:04,and they just conceded a bit of land in 1862 and yeah the border shifted.
00:14:04,00:14:07,But the building stayed where it was.
00:14:07,00:14:11,So the international border goes across the dining room and supposedly across the bed
00:14:11,00:14:12,in the honeymoon suite.
00:14:12,00:14:13,Ooh.
00:14:13,00:14:15,"So you've got a passport guard, right in the middle of it?"
00:14:15,00:14:17,You've got a honeymoon in two different countries.
00:14:17,00:14:18,Yeah.
00:14:18,00:14:19,Which countries?
00:14:19,00:14:20,France and Switzerland.
00:14:20,00:14:21,Switzerland.
00:14:21,00:14:23,I love that area of a passport border control.
00:14:23,00:14:24,Yeah.
00:14:24,00:14:30,"Well, you know how you name your child sometimes after where they were conceded."
00:14:30,00:14:38,So I was reading those kind of classic things that you hear about skyscrapers and one
