start_hhmmss,end_hhmmss,text
00:00:00,00:00:17,"""Hello and welcome to another episode of no such thing as a fish, a weekly podcast coming"
00:00:17,00:00:19,to you from the QI offices in Covert Garden.
00:00:19,00:00:24,"My name is Dan Schreiber sitting here with Anich Zinski, James Harkin and Andy Murray."
00:00:24,00:00:27,And once again we have gathered around the microphones with our four favorite facts from the
00:00:27,00:00:33,"last seven days and in a particular order, here we go, starting with you, Andrew Hunter"
00:00:33,00:00:34,Murray.
00:00:34,00:00:38,"My fact is that babies practice their first words before saying them out loud, which is"
00:00:38,00:00:39,very sweet.
00:00:39,00:00:40,I love that.
00:00:40,00:00:41,How do we know?
00:00:41,00:00:45,"Well, this is from a study at the University of Washington, where scientists scan babies"
00:00:45,00:00:51,"brains and observe what happened when they were being spoken to, and bits of their brains"
00:00:51,00:00:53,"light up, different parts of the brain light up."
00:00:53,00:00:56,And some of the bits were associated just with listening and taking in information and
00:00:56,00:01:01,other bits are associated with actually planning the motor movements that you need to say
00:01:01,00:01:02,words.
00:01:02,00:01:07,"So even when they're listening, they're trying to figure out how to make that sound basically."
00:01:07,00:01:08,So that's what it is.
00:01:08,00:01:11,It's just that they're figuring out how to make sounds.
00:01:11,00:01:13,But don't they all finally reach the same word?
00:01:13,00:01:14,Is it all Mama?
00:01:14,00:01:15,No.
00:01:15,00:01:16,Is it all?
00:01:16,00:01:17,No.
00:01:17,00:01:18,That was the first one.
00:01:18,00:01:20,George Orwell's first word was supposedly beastly.
00:01:20,00:01:21,Yeah.
00:01:21,00:01:22,Really good.
00:01:22,00:01:23,Yeah.
00:01:23,00:01:24,That says more about his mother than about him.
00:01:24,00:01:25,"Yeah, that's true."
00:01:25,00:01:26,He's sitting here at Animal Farm though.
00:01:26,00:01:27,That is quite true.
00:01:27,00:01:28,Yeah.
00:01:28,00:01:33,"Dadda is the most common, 15% of babies, apparently, have dadda."
00:01:33,00:01:45,"Followed by daddy, 13% mama, 10% dad, 10% mummy, 8% mum, 7% cat, 2% dog, 1%."
00:01:45,00:01:49,I found a survey from 2014 where more than one and eight parents claimed their child's
00:01:49,00:01:50,first word was tablet.
00:01:50,00:01:51,Has any tablet computer?
00:01:51,00:01:52,Yeah.
00:01:52,00:01:58,"Although this was a technology firm who make device protection cases, who sponsored"
00:01:58,00:02:01,"the research, and it also found that babies break tablets a lot."
00:02:01,00:02:07,"So they sponsored the research and by coincidence, that's the word that comes out of that."
00:02:07,00:02:10,"Babies, I think, might be a lot cleverer than we give them credit for."
00:02:10,00:02:16,"There was a study done where they tested whether 100-hour-old babies, so a bunch of babies"
00:02:16,00:02:21,"who are only a few days old, could count, and they'd show them a series of images with"
00:02:21,00:02:23,a certain number of shapes on them.
00:02:23,00:02:27,"So they'd show them a bunch of circles, and one picture would have three circles in it,"
00:02:27,00:02:30,"one picture would have four circles, one would have five circles, et cetera."
00:02:30,00:02:34,"And then at the same time, they would play them recordings with a certain number of bleeps"
00:02:34,00:02:35,on them.
00:02:35,00:02:36,Right.
00:02:36,00:02:40,"And when they played a recording of, let's say, three bleeps, then the babies would look towards"
00:02:40,00:02:45,"the picture with three circles on it, and it was like they were connecting, you know,"
00:02:45,00:02:48,"they were counting the number of bleeps, and then it was using it with the vision."
00:02:48,00:02:49,Isn't that incredible?
00:02:49,00:02:50,Yeah.
00:02:50,00:02:51,Yeah.
00:02:51,00:02:53,They can count up to 27 iPads though.
00:02:53,00:02:54,[laughter]
00:02:54,00:03:00,"I've heard a thing about swearing in children, and it took children from one to 12, and it just"
00:03:00,00:03:04,"measured a host of different swear words, so how frequently they use them."
00:03:04,00:03:08,"And so for one and two-year-olds, the most frequent swear word that they use is poopy."
00:03:08,00:03:14,"Is this pre-curve you, because if so, I don't really know how to say that."
00:03:14,00:03:17,"That falls off very rapidly by the age of seven or eight, okay?"
00:03:17,00:03:22,"Duck is big around for three and four-year-olds, then Tails Off has a huge dip in the graph."
00:03:22,00:03:26,Do you know that newborn babies recognise the theme song from their mum's favourite soap opera?
00:03:26,00:03:27,Do they?
00:03:27,00:03:30,They tested this at an old study in 1988.
00:03:30,00:03:31,"Yeah, they tested it."
00:03:31,00:03:37,"They also tested them on made-up words, so they made up a word like, I don't know, T2 or something,"
00:03:37,00:03:41,"and they played it to the more than 25,000 times while the mother was pregnant."
00:03:41,00:03:42,Oh my god.
00:03:42,00:03:43,Oh my god.
