start_hhmmss,end_hhmmss,text
00:00:00,00:00:25,"And welcome to another episode, a no such thing as a fish, this week coming to you from"
00:00:25,00:00:30,the literary arena in the Latitude Festival. My name is Dan Schreiber. I'm sitting here
00:00:30,00:00:35,"with three other QILs. It's Aniches Insky, Andy Murray, and James Harkin. And once again,"
00:00:35,00:00:38,we've gathered around the microphones with our four favorite facts from the last seven
00:00:38,00:00:44,"days. And in a particular order, here we go. And we're going to start with my fact this week."
00:00:44,00:00:50,My fact this week is that the world record for horse long jump is shorter than the world record
00:00:50,00:00:57,for human long jump. That just can't even be true. That just is so obviously not true at some
00:00:57,00:01:02,"believer. No, it's absolutely true. But here's the weird thing. Horse long jump. Did anyone know"
00:01:02,00:01:08,that existed? It was an Olympic sport for one year. I have a question about the horse long jump.
00:01:08,00:01:12,Did they have to do it with a human on their back? Yes. Well then of course they're going to
00:01:12,00:01:18,let if you put a if you put a horse on a human's back. That's not a fair comparison though. You
00:01:18,00:01:23,"need to put so it'd be like strapping a child to your back maybe. Okay. Which wouldn't be allowed,"
00:01:23,00:01:28,"I guess. No. But listen horses. Okay, how many how many people here just by show a hand, a surprise"
00:01:28,00:01:33,"that humans can jump further than horses? Yeah, pretty much everyone. Yeah. And when you say"
00:01:33,00:01:40,"surprised, none of them believe you. Okay, so this is absolutely true. You can go online to Wikipedia."
00:01:43,00:01:50,"So this was in the 1900s. Your niche sources for these. So 1900 at the Olympics, they did the horse"
00:01:50,00:01:58,drum. The guy riding the horse was called constant van Langhendonk and his horse was called
00:01:58,00:02:05,extra dry and he jumped as far as he jumped about six meters and that's not actually the horse record.
00:02:05,00:02:09,So that was just their first ever attempt at the Olympics. Everyone said let's not do that again.
00:02:09,00:02:14,Let's move on. Let's never speak about this. So the world record as it stands was set in 1975 by
00:02:14,00:02:20,horse. The horse was called something. What was it called? Something. The horse was actually called
00:02:20,00:02:27,something. That was the actual name of the horse by Mr Andre Ferreira and they jumped 8.4 meters.
00:02:27,00:02:34,So that's the horse record. The human record is 8.95 meters. Yeah. And that was set in 1991 by
00:02:34,00:02:39,guy called Mike Powell. It's still holding to this day as the longest human jump. What about height?
00:02:39,00:02:43,Can they jump? Can we jump higher than horses or can they jump higher than us? I think the horses
00:02:43,00:02:50,"can go higher. Can they? Yeah. Well, I've looked it up. Oh, really? And there is an official high jump"
00:02:50,00:02:57,record for horses and it's two meters 47 and the official high jump record for humans is two meters
00:02:57,00:03:04,45. So they can beat us by two centimeters. Wow. But do they know that we're asking them to jump
00:03:04,00:03:09,really high? There's the problem. There's a big fence in the way that gives a bit of a clue.
00:03:09,00:03:16,"Yeah. They just don't have the like competitive urge, you know, they don't know that they need to win."
00:03:16,00:03:19,That's true. That's the thing that we do. But the thing is with human high jump is there was a
00:03:19,00:03:23,"massive difference was that when Dick Fosbury came in and did his Fosbury flop, which is going over"
00:03:23,00:03:29,backwards. And until then the record was a certain amount and then it went massively up in a really
00:03:29,00:03:35,"short amount of time. And what's interesting with him is he was the in the America, he went gold in"
00:03:35,00:03:42,the Olympics in 1968. But by 1970 he wasn't even in the Olympic team anymore because everyone else
00:03:42,00:03:45,"had seen his tactic and gone, that's amazing. And he wasn't even that good at high jumper."
00:03:45,00:03:49,"Really? It's just the technique. Yeah, just the technique. That's the only thing that did it. He"
00:03:49,00:03:55,wasn't even that good. So long jump was almost the opposite right because the long jump record until
00:03:55,00:04:00,it was broken by Mike Powell in 1991 was held for I think a record length of time in the Olympics. So
00:04:00,00:04:07,it was broken in 1968 by Robert Beaumont. And he just did this incredible long jump. So the record
00:04:07,00:04:14,up until then had been 21 feet and three quarters of an inch. And then in 1968 he jumped 29 feet
00:04:14,00:04:19,and 2.5 inches. And he jumped so far that they couldn't record it properly because they didn't have
00:04:19,00:04:22,the equipment to stretch that far. They didn't have the equipment to stretch them. Yeah. How I
00:04:22,00:04:26,didn't know how advanced the equipment has to be. In order for you to buy another one meter ruler
00:04:26,00:04:32,to measure the amount of people. So I think he jumped 29 feet. I think this with long jumps is
00:04:32,00:04:36,they record. Some people record. I don't know if it's true. Some people record you could go further
00:04:36,00:04:40,if you do a sum of salt while you're jumping. That makes sense. But there's a rule that says you're
00:04:40,00:04:45,not allowed. The rule is very clear. It says the jumper's head has to stay in a superior position
00:04:45,00:04:50,during the jump. So your head has to be always the highest point. But why has someone done it and
00:04:50,00:04:55,they've gone further? Well they said that it was maybe due to it being dangerous. But the actual
00:04:55,00:05:00,reason that they said they jumped band it when they did is that nobody would jump a puddle in this way.
00:05:00,00:05:05,So apparently that's what we're doing with a long jump. It's just a way of jumping a puddle.
