start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,[sad piano music]
00:00:02,00:00:04,[speaking in foreign language]
00:00:04,00:00:08,[sad piano music]
00:00:08,00:00:11,[sad piano music]
00:00:11,00:00:16,"Hello, and welcome to another episode of No Such Thing as a Fish, a weekly podcast"
00:00:16,00:00:19,coming to you from the QI offices in Covert Garden.
00:00:19,00:00:24,"My name is Dan Schreiber, I'm sitting here with Anna Chazinski, James Harkin, and Andy Murray."
00:00:24,00:00:28,"And once again, we have gathered around the microphones with our four favorite facts from the last seven days"
00:00:28,00:00:32,"and in no particular order, here we go."
00:00:32,00:00:34,"Starting with you, Chazinski."
00:00:34,00:00:40,My fact is that the first item to be sent via New York's pneumatic tube postal system
00:00:40,00:00:45,"was an artificial peach, and the second was a live black cat."
00:00:45,00:00:47,"Yeah, so an artificial peach, that's the interesting thing."
00:00:47,00:00:49,It was a huge oversized one as well.
00:00:49,00:00:53,"It's quite a leap, really, because you would think you'd go from artificial peach to real peach"
00:00:53,00:00:57,"to artificial cats or real cats, but they just missed out on stuff."
00:00:57,00:01:01,"Yeah, they got overconfident, but the cat did survive, bizarrely."
00:01:01,00:01:06,This story comes from the reminiscences of a postal worker called Howard Wallace Connolly.
00:01:06,00:01:13,"He self-published an autobiography in 1931, and he worked for the postal service where New York was"
00:01:13,00:01:18,"building its pneumatic postal delivery system, which is a system of pneumatic tubes underneath New York."
00:01:18,00:01:22,"And so he recounted the big launch of this pneumatic tube, which was an exciting event."
00:01:22,00:01:25,"So there's a guy demonstrating the pneumatic tube, going, ""Look how great this is."
00:01:25,00:01:29,"This is coming from the other side of town, and there's this opening of the pneumatic tube,"
00:01:29,00:01:31,and something shoots out from it.
00:01:31,00:01:32,He opens it up.
00:01:32,00:01:35,"It's an artificial peach, and then a second thing shoots out of it."
00:01:35,00:01:39,"He opens it up, and a cat jumped out and looked really scared and tried to get away, and then they grabbed it."""
00:01:39,00:01:44,"I read though that they had a basket waiting for the cat, so someone knew this was pre-planned."
00:01:44,00:01:45,It wasn't like a cat.
00:01:45,00:01:48,The cat had a lectin of its own accord.
00:01:48,00:01:51,Cats get into places that they shouldn't get into.
00:01:51,00:01:57,"I read Justice Morning, ""The famous scene in the godfather, Marlon Brando stroking a cat that comes up onto the table."""
00:01:57,00:02:01,That was a stray cat that just jumped on and Brando improvised with it.
00:02:01,00:02:03,"Yeah, it's one of the most famous scenes in cinematic history."
00:02:03,00:02:06,"What about that one in James Bond, where he stroking a cat?"
00:02:06,00:02:10,"The villain was meant to be the cat, and then Blowfeld just walked on and the cat started improvising with it."
00:02:10,00:02:11,"It was a stray villain, yeah."
00:02:11,00:02:17,"Also, 101 Dalmatians was just called 1 Dalmatians, and 100 Strays just walked in."
00:02:17,00:02:24,"By the way, though, London, 40 years before New York had this cinematic tubing, London had pneumatic tubing."
00:02:24,00:02:27,Do you know what the first thing they sent on their trip was?
00:02:27,00:02:36,"Was it a novelty foam strawberry, followed by a live bear?"
00:02:36,00:02:39,"No, it was the Duke of Buckingham."
00:02:39,00:02:43,Was he just a stray Duke of Buckingham who just wondered it?
00:02:43,00:02:47,The pneumatic tube sounds amazing. They sound unbelievable.
00:02:47,00:02:51,"Basically, the way they work just to quickly explain, although I'm sure people mostly know,"
00:02:51,00:02:57,"is that it's a big pipe, and you have to put a cylindrical tube in it,"
00:02:57,00:03:03,"and whatever you want to send inside the cylindrical tube, and the cylindrical tube is propelled down the big pipe"
00:03:03,00:03:08,"by the force of compressed air or by a vacuum, so that it's sucked into the vacuum."
00:03:08,00:03:13,"And people thought this was how they were going to deliver posts, so there was a time in the late 19th century in New York,"
00:03:13,00:03:17,where I think a third of all posts was delivered by a pneumatic tube.
00:03:17,00:03:20,"It kind of still feels like the future, doesn't it?"
00:03:20,00:03:21,It's so futuristic.
00:03:21,00:03:24,"I think, well, it is. Sounds like it is going to be a part of the future now,"
00:03:24,00:03:28,"because Elon Musk, the billionaire of PayPal, and who's been doing SpaceX,"
00:03:28,00:03:34,"and so on, he's now building a pneumatic ride to get people from San Francisco to L.A."
00:03:34,00:03:38,It's going to take half an hour. I think he suggested it. Is he actually building it?
00:03:38,00:03:43,"So this was from an article two years ago, so actually, yes, I don't know fully if he's stuck with it."
00:03:43,00:03:48,"His idea is that it'll take 35 minutes to go from San Francisco to L.A., right?"
00:03:48,00:03:54,"But the current design, so there's no bathrooms in there, so you just kind of strap yourself in, and if you want to go, it's tough."
00:03:54,00:04:00,"And let's face it, I've read that you'd travel at 800 miles an hour, so you would be wetting yourself, wouldn't it?"
00:04:00,00:04:06,"That's true. Have you heard of William Murdoch? He was the guy who invented this in the UK, and he is unbelievably cool."
00:04:06,00:04:12,"So he invented pneumatic tubes. He invented gas lighting, basically."
00:04:12,00:04:17,"When he was 23 years old, he walked 300 miles to Birmingham to ask for a job with James Wat,"
00:04:17,00:04:23,"the steam engine pioneer. He got the job partly because he had an interview with what's business partner, Matthew Boulton."
00:04:23,00:04:27,The reason he got the job was because Boulton was fascinated by Murdoch's wooden hat.
00:04:27,00:04:35,"He had a hat, he'd made himself out of wood, and he wore it 300 miles as he walked to Birmingham, and then he said, can I have a job?"
00:04:35,00:04:42,"Because it's a talking point in an interview, clearly. He also invented a steam gun, which fired lead bullets, and he invented a steam cannon."
00:04:42,00:04:49,"And this is on his Wikipedia. It just says a steam cannon, which he attempted to use in 1803 to knock down a wall in Soho."
00:04:49,00:04:51,That's all it says.
00:04:51,00:04:57,"It seems to me, and I don't want to put this guy down, but he's just adding steam to lots of other inventions."
00:04:57,00:05:01,You're a luttite. I think this guy's amazing. I want to add steam to everything.
00:05:01,00:05:05,"There are some modern-day applications of pneumatic tubes, which are also quite fun."
00:05:05,00:05:14,"They're really common in hospitals. That's one of the few places I think where they're still used regularly for quickly transporting medications up and down floors and around hospitals, so that's quite interesting."
00:05:14,00:05:30,"Also a salmon cannon, so that's quite handy. pneumatic tubes are used to propel salmon in America now over waterfalls, because sometimes there's a problem with salmon, because we built a lot of dams, and so they can no longer get up the river to lay their eggs at the top of the river."
00:05:30,00:05:32,So we shoot salmon.
00:05:32,00:05:33,"Yeah, through the air."
00:05:33,00:05:38,"Do you know how bears kind of sit by the river, and they wait for a salmon to jump out and then kind of rub it?"
00:05:38,00:05:41,"They must be going, what the fuck was that?"
00:05:41,00:05:48,"But if you work out where it's going to land at the other end, you just sit there with your mouth open waiting for the salmon to land at it."
00:05:48,00:05:57,"There is a restaurant in New Zealand called C1, which has food delivery pipes, and they fire out burgers to tables in pipes."
00:05:57,00:06:04,"I went to in Abu Dhabi. There's a restaurant, which is a roller coaster restaurant, and you sit, and your food gets rollercoastered to you."
00:06:04,00:06:07,"So the food gets to do a really fun roller coaster, right?"
00:06:07,00:06:13,"No, it's a time because it's attached to Ferrari World in Abu Dhabi, which has the fastest roller coaster in the world."
00:06:13,00:06:14,So it's just a little...
00:06:14,00:06:16,Does only food get to enjoy that as well?
00:06:16,00:06:19,The only vegetables allowed?
00:06:19,00:06:28,"That restaurant in New Zealand, the owner said that the tubes would be locked until it delivered the actual canister to the table."
00:06:28,00:06:35,"And he said, and I quote, ""A canister with that is me. It could take someone's hand off. We certainly don't want to be known for that."""
00:06:35,00:06:44,"There is also a restaurant in Bangkok called Katron, and they send their food by catapult to the table."
00:06:44,00:06:54,"So the chickens are cooked in the kitchen, loaded into a catapult, fired across the restaurant, and caught on a spike by a waiter riding a unicycle."
00:06:54,00:06:55,"No, no."
00:06:55,00:07:02,"The health and safety required to have a man on a unicycle holding a spike, riding around a restaurant with chickens being fired at him."
00:07:02,00:07:04,What if he doesn't catch it?
00:07:04,00:07:05,He always does.
00:07:05,00:07:06,He always does.
00:07:06,00:07:09,James is the PR man for this company.
00:07:09,00:07:13,Someone got decapitated by a chicken and we don't want to be known for that.
00:07:13,00:07:19,"I looked into Kat's dislike, just off the back of it being a black cat."
00:07:19,00:07:21,It was the first red something crazy this morning.
00:07:21,00:07:24,Kat's lactose intolerant.
00:07:24,00:07:25,No.
00:07:25,00:07:26,Yeah.
00:07:26,00:07:27,I had no idea.
00:07:27,00:07:28,But they drink milk.
00:07:28,00:07:30,"No, we give them milk and they drink it."
00:07:30,00:07:35,"They don't know not to drink it, but they technically, majority of your lactose intolerant."
00:07:35,00:07:37,But they do keep lapping it up.
00:07:37,00:07:38,Yeah.
00:07:38,00:07:41,"But they're quite stupid then, because most animals or something makes them sick."
00:07:41,00:07:42,They avoid it.
00:07:42,00:07:43,"Yeah, weird, hey."
00:07:43,00:07:45,It's like finding out dogs are allergic to dog foods.
00:07:45,00:07:47,"Yeah, I know."
00:07:47,00:07:49,Kat's can be allergic to humans as well.
00:07:49,00:07:50,Can they?
00:07:50,00:07:55,"Yeah, in the same way that humans can like cat fur can make you sneeze and make you make your eyes water."
00:07:55,00:07:57,Kat's can get allergic to their owners.
00:07:57,00:08:00,"Oh my god, I have definitely been feeding our cats the wrong things then."
00:08:00,00:08:01,Chopped up human.
00:08:01,00:08:03,With a side of milk.
00:08:03,00:08:05,"No, I really feel terrible."
00:08:05,00:08:06,Yeah.
00:08:06,00:08:10,"I read as well that, so whiskers obviously very important to cats."
00:08:10,00:08:14,I didn't realise they had whiskers on other bits of their body that were just are important.
00:08:14,00:08:16,They have whiskers on the back of their legs.
00:08:16,00:08:17,Really?
00:08:17,00:08:19,"Yeah, so they use it for if their site is bad at night."
00:08:19,00:08:22,"That's the, so for there, for hunting prey that might be below them."
00:08:22,00:08:24,They have it on the back of their legs.
00:08:24,00:08:25,Wow.
00:08:25,00:08:26,That's really cool.
00:08:26,00:08:31,"I'm pussington post, which is like it's a cat news."
00:08:31,00:08:32,Yeah.
00:08:32,00:08:33,Cat news website.
00:08:33,00:08:38,"I thought pussington post was a magazine that was banned in the 90s, but okay."
00:08:38,00:08:43,I've just clicked on the pussington post and the headlines are unbelievably good.
00:08:43,00:08:46,Kat interrupts cross stitching.
00:08:46,00:08:50,Irish police take care of exceptionally cute kitten found by roadside.
00:08:50,00:08:53,Marmalade's epic birthday party.
00:08:53,00:08:55,This is amazing.
00:08:55,00:08:59,There was an inventor called Joseph Sturtsle in 1908.
00:08:59,00:09:03,And he proposed a system of large enumatic jubes to transport free.
00:09:03,00:09:07,"I know Andy's still laughing at the pussington post, but I think we're just going to ride on past that."
00:09:07,00:09:11,Cat man from Japan walks nine cats in Australia.
00:09:11,00:09:15,Sorry.
00:09:15,00:09:16,"Sorry, go on."
00:09:16,00:09:20,We've got to stop letting Andy have a laptop during the contest.
00:09:20,00:09:22,It's becoming a child here.
00:09:22,00:09:24,This is why I feed my cat's milk.
00:09:24,00:09:27,So they stop ruining the podcast.
00:09:27,00:09:33,"Yeah, so this guy decided that people could be transported in enumatic jubes in Chicago."
00:09:33,00:09:35,"So there's a 9008 here, right to these enumatic jubes."
00:09:35,00:09:39,And then to prove it to people that you could shoot people underground.
00:09:39,00:09:42,"He said, I will demonstrate for you."
00:09:42,00:09:46,"And here's my young son, Robert, to do that."
00:09:46,00:09:49,And he laid his little son down and there's a really good picture of it.
00:09:49,00:09:58,"If you look up Chicago daily news, pneumatic carrier, there is a terrified looking ten-year-old boy lying down in a cylinder about to be shot."
00:09:58,00:10:00,Extremely fast through a tube.
00:10:00,00:10:02,And it was okay.
00:10:02,00:10:04,"Not sure, actually, to get into it."
00:10:04,00:10:13,"Okay, time for fact number two, and that is James."
00:10:13,00:10:19,"Okay, my fact this week is that scientists have made algae that taste like bacon."
00:10:19,00:10:20,I did that.
00:10:20,00:10:21,Yep.
00:10:21,00:10:24,Have they made it for fish to make their lives a bit more enjoyable?
00:10:24,00:10:27,That would be so nice.
00:10:27,00:10:29,"Yeah, why did they make it?"
00:10:29,00:10:32,They've made it because it's a possible new kind of superfood.
00:10:32,00:10:35,It's kind of algae called dulce.
00:10:35,00:10:36,It's a bit like seaweed.
00:10:36,00:10:39,"And it tastes like bacon, but it's high in protein."
00:10:39,00:10:42,And it has twice the nutritional value of kale.
00:10:42,00:10:47,"So it means that if you're a vegetarian or maybe we'll all be vegetarians in the future,"
00:10:47,00:10:51,"we'll be able to eat this stuff and still have the delicious, delicious taste of bacon."
00:10:51,00:10:54,It's for the texture of algae.
00:10:54,00:10:56,What is the texture of algae?
00:10:56,00:10:57,"Slimey, I reckon."
00:10:57,00:10:58,Yeah.
00:10:58,00:10:59,"Slimey, squishy."
00:10:59,00:11:01,Well seaweed is a kind of algae.
00:11:01,00:11:04,And that tastes good sometimes.
00:11:04,00:11:05,Yeah.
00:11:05,00:11:07,"I mean, it tastes like crunchy salt."
00:11:07,00:11:08,Yeah.
00:11:08,00:11:09,It's delicious.
00:11:09,00:11:10,"Oh, yeah, it's delicious."
00:11:10,00:11:11,"Yeah, it's delicious."
00:11:11,00:11:12,"Yeah, it's delicious."
00:11:12,00:11:13,Bacon flavored seaweed.
00:11:13,00:11:14,Yeah.
