start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,(stuttering in foreign language)
00:00:04,00:00:07,(upbeat music)
00:00:07,00:00:16,- Hello and welcome to another episode of No Such Thing
00:00:16,00:00:18,"as a Fish, a weekly podcast coming to you"
00:00:18,00:00:21,from the QI offices in Covenant Garden.
00:00:21,00:00:22,My name is Dan Schreiber.
00:00:22,00:00:24,"I'm sitting here with James Harkin, Andy Murray,"
00:00:24,00:00:25,and Alex Bell.
00:00:25,00:00:27,"And once again, we have gathered around the microphones"
00:00:27,00:00:30,with our four favorite facts from the last seven days
00:00:30,00:00:32,"and in no particular order, here we go."
00:00:32,00:00:36,"Starting with my facts, and my fact this week"
00:00:36,00:00:40,"is that according to the diary of the first chief of MI6,"
00:00:40,00:00:42,this is how the first day went.
00:00:42,00:00:44,"Went to the office, saw no one,"
00:00:44,00:00:47,nor was there anything to do there.
00:00:47,00:00:50,- And that was the first day of proper spying in Britain.
00:00:50,00:00:52,"- Yeah, when is that because the spies were so good,"
00:00:52,00:00:53,he couldn't fight.
00:00:53,00:00:54,(laughing)
00:00:54,00:00:58,"- In, there were seven lampstands."
00:00:58,00:01:00,"- So, who was this?"
00:01:00,00:01:01,- Mansfield coming.
00:01:01,00:01:03,He's the founding chief of MI6.
00:01:03,00:01:06,"This was in the year 1909, I believe."
00:01:06,00:01:09,And he's someone we've mentioned very briefly
00:01:09,00:01:11,ages ago on this podcast.
00:01:11,00:01:13,"He's the guy who used to, when he was recruiting people"
00:01:13,00:01:17,"in MI6, would stab a knife into his leg"
00:01:17,00:01:19,in order to see what the reaction of the person
00:01:19,00:01:20,he was interviewing would be.
00:01:20,00:01:22,- You've missed out a very important bit of that segment.
00:01:22,00:01:24,- Which is that he had a wooden leg.
00:01:24,00:01:26,(laughing)
00:01:26,00:01:27,Very good point.
00:01:27,00:01:29,"And it's a trick you really have to get right, isn't it?"
00:01:29,00:01:30,It can't make a mistake.
00:01:30,00:01:32,"- He had a wooden leg because he lost his first leg,"
00:01:32,00:01:34,having stabbed himself so many times.
00:01:34,00:01:35,(laughing)
00:01:35,00:01:38,"- Yeah, he said to have gone,"
00:01:38,00:01:40,'cause it was quite hard to walk around with a wooden leg.
00:01:40,00:01:41,And he wasn't born with it.
00:01:41,00:01:43,"It was later in life, but he used to go around."
00:01:43,00:01:43,- Screw you.
00:01:43,00:01:44,(laughing)
00:01:44,00:01:45,"- Oh, sorry."
00:01:45,00:01:47,(laughing)
00:01:47,00:01:50,- Tragically Pinocchio was born with a wooden everything.
00:01:50,00:01:53,(laughing)
00:01:53,00:01:55,- But he's an amazing character.
00:01:55,00:01:55,- Matt's you're coming.
00:01:55,00:01:59,He's everything that you would hope for in the founder of...
00:01:59,00:02:01,- It's so British eccentricity.
00:02:01,00:02:02,He's like Inspector Clueso.
00:02:02,00:02:03,All the stories you really have.
00:02:03,00:02:05,- Favourite British eccentricity.
00:02:05,00:02:05,Inspector.
00:02:05,00:02:07,(laughing)
00:02:07,00:02:08,"- Oh my god, so eccentric."
00:02:08,00:02:10,He didn't even have British nationality.
00:02:10,00:02:13,(laughing)
00:02:13,00:02:13,- Oh no.
00:02:13,00:02:17,"- Before he joined, he was in boom defense."
00:02:17,00:02:18,"- Yes, yeah."
00:02:18,00:02:21,- Which is defense of the sea.
00:02:21,00:02:23,"The coastline, sort of putting huge piles into the sea."
00:02:23,00:02:26,"- Huge, nets, nets and all sorts of traps"
00:02:26,00:02:29,and spotting devices and things like that.
00:02:29,00:02:32,And the man who was setting up the secret service
00:02:32,00:02:33,"called A.E. Bethel, wrote to him,"
00:02:33,00:02:35,"saying, my dear man, you're coming."
00:02:35,00:02:38,"Boom, defense must be getting a bit stale with you."
00:02:38,00:02:40,You may therefore perhaps like a new billet.
00:02:40,00:02:42,"If so, I have something good I can offer you."
00:02:42,00:02:43,"- What a cool way of saying, do you want to be..."
00:02:43,00:02:44,"- Dot, dot, dot."
00:02:44,00:02:45,- Just by master.
00:02:45,00:02:46,- And he was really reluctant.
00:02:46,00:02:48,- He was living on a narrow boat at the time.
00:02:48,00:02:50,He was coming up to retirement age anyway.
00:02:50,00:02:52,"And he kept sort of going,"
00:02:52,00:02:54,I really like making these boom nets.
00:02:54,00:02:55,(laughing)
00:02:55,00:02:56,"And he just keeps asking,"
00:02:56,00:02:57,"is like, could I do the boom netting thing"
00:02:57,00:03:00,"at the same time, is that a possibility?"
00:03:00,00:03:01,- Do you think that he would spend all his days
00:03:01,00:03:04,"in a my six day dreaming of being not a spy,"
00:03:04,00:03:06,whereas what everyone else would day dream about being a spy?
00:03:06,00:03:07,- Oh right.
00:03:07,00:03:08,- You're dreaming of getting a tap on the shoulder
00:03:08,00:03:10,"and saying, would you like to not be a spy?"
00:03:10,00:03:11,(laughing)
00:03:11,00:03:13,- What's really weird is that he lived on a narrow boat
00:03:13,00:03:14,"before then, he was in the Navy."
00:03:14,00:03:16,And he had to leave because he got really seasick.
00:03:16,00:03:17,But then he went to live on a boat.
00:03:17,00:03:18,"- Oh, right."
00:03:18,00:03:19,- Wow.
00:03:19,00:03:22,"- Not many waves and tides on a canal though, is that right?"
00:03:22,00:03:24,- I'd say even fewer on the land though.
00:03:24,00:03:25,"- That's true, yeah."
00:03:25,00:03:27,"- An interesting thing about spies,"
00:03:27,00:03:28,"in the first correspondence,"
00:03:28,00:03:30,"where they're talking about the spies,"
00:03:30,00:03:32,"they're not referred to by the word spies,"
00:03:32,00:03:34,"they're referred to by the word scallywags,"
00:03:34,00:03:36,because they used to recruit people.
00:03:36,00:03:37,It was different to the romantic notion
00:03:37,00:03:39,we have of this James Bond character.
00:03:39,00:03:42,It was all about any kind of common criminal
00:03:42,00:03:44,that you might be able to find overseas
00:03:44,00:03:46,who'd be up for doing some spying for you.
00:03:46,00:03:49,The word scallywags was used in the war
00:03:49,00:03:53,"to refer to people who would kind of do very, very small things"
00:03:53,00:03:54,"to put off any invaders,"
00:03:54,00:03:58,so like turning signs round or that kind of thing.
