start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(techno music)
00:00:02,00:00:05,(speaking in foreign language)
00:00:05,00:00:07,(upbeat music)
00:00:07,00:00:13,- Hello and welcome to another episode
00:00:13,00:00:16,"of ""No Such Thing as a Fish"" a weekly podcast"
00:00:16,00:00:19,this week coming to you from the Edinburgh Fringe Festival.
00:00:19,00:00:20,My name is Dan Shriver.
00:00:20,00:00:23,Please welcome to the stage the other three elves
00:00:23,00:00:26,"as Additch Isinski, James Harkin, and Andy Murray."
00:00:26,00:00:29,(audience cheering)
00:00:29,00:00:32,(audience applauding)
00:00:32,00:00:35,"And once again, we have gathered around the microphones"
00:00:35,00:00:37,with our four favorite facts from the last seven days
00:00:37,00:00:39,"and in no particular order, here we go."
00:00:39,00:00:42,"Starting with you, Andy Murray."
00:00:42,00:00:43,- My fact this week is that the first man
00:00:43,00:00:46,to swim the English channel later had a show
00:00:46,00:00:48,where he floated in a tank for two hours.
00:00:48,00:00:50,That was his show.
00:00:50,00:00:53,"His name was Matthew Webb and to get extra funding,"
00:00:53,00:00:55,he would do a special endurance show
00:00:55,00:00:58,where he floated in a tank for 128 hours.
00:00:58,00:01:02,"- Whoa, that's one hour better than the guy stuck in the rock."
00:01:02,00:01:02,- Yeah.
00:01:02,00:01:05,- Probably as interesting as well
00:01:05,00:01:07,in terms of a feature length movie.
00:01:07,00:01:08,- Yeah.
00:01:08,00:01:10,- I mean without a flotation device.
00:01:10,00:01:11,- Without a flotation device.
00:01:11,00:01:12,- And that's really impressive.
00:01:12,00:01:13,- It's very impressive.
00:01:13,00:01:15,"- Yeah, in a boat it's not quite as impressive."
00:01:15,00:01:17,(audience laughing)
00:01:17,00:01:18,- It's just basically a big swimming pool right
00:01:18,00:01:20,where he's just paddling around.
00:01:20,00:01:22,"- Yeah, I'm treading water I guess is what he was doing."
00:01:22,00:01:24,"- Yeah, okay, yeah."
00:01:24,00:01:26,- So he wasn't lying on his back.
00:01:26,00:01:27,That's not fluting.
00:01:27,00:01:28,I think that's just swimming.
00:01:28,00:01:28,- Like a child.
00:01:28,00:01:30,- He got very philosophical very early on.
00:01:30,00:01:32,(audience laughing)
00:01:32,00:01:34,- The first time he ever did this kind of floting
00:01:34,00:01:35,"for as long as possible,"
00:01:35,00:01:37,it was against a Newfoundland dog.
00:01:37,00:01:39,He had a bet that he'd be able to float
00:01:39,00:01:41,for longer than a dog and he won his bet.
00:01:41,00:01:42,- Did the dog die?
00:01:42,00:01:43,(audience laughing)
00:01:43,00:01:44,As they fished the dog out.
00:01:44,00:01:46,Victory for Webb.
00:01:46,00:01:48,- I mean did the dog even know it was taking part in a bet?
00:01:48,00:01:52,(audience laughing)
00:01:52,00:01:54,- Captain Webb won a year's supply of pedigree charm.
00:01:54,00:01:55,(audience laughing)
00:01:55,00:01:56,So this is Captain Webb.
00:01:56,00:01:58,This is who we're talking about British hero.
00:01:58,00:02:00,"- Yeah, and he was amazing."
00:02:00,00:02:02,This was 1875 when he did this
00:02:02,00:02:04,and when he swam the channel that is.
00:02:04,00:02:07,And after that he didn't really stay famous.
00:02:07,00:02:09,He tried to keep himself famous
00:02:09,00:02:11,"by doing these endurance events and things like that,"
00:02:11,00:02:12,but he found it quite hard.
00:02:12,00:02:14,But I read that he was so famous
00:02:14,00:02:15,that when he came back from the channel swimming
00:02:15,00:02:17,and he went back to his hometown
00:02:17,00:02:18,"with a band procession going on,"
00:02:18,00:02:22,he was so loved that even a pig got up on his trotters
00:02:22,00:02:23,to look at him as he went by.
00:02:23,00:02:25,(audience laughing)
00:02:25,00:02:27,- Well the pig know that it was taking part in a procession.
00:02:27,00:02:29,(audience laughing)
00:02:29,00:02:33,"In 1883, just eight years after he was the hero of the nation,"
00:02:33,00:02:36,he tried to swim across a particular bit of the river
00:02:36,00:02:40,down from Niagara Falls and it was extremely dangerous
00:02:40,00:02:42,"and more than 10,000 people turned up to watch him"
00:02:42,00:02:43,and he drowned there.
00:02:43,00:02:45,He was dragged under a current
00:02:45,00:02:46,and his body was found a few days later
00:02:46,00:02:48,and he was doing it to try and provide for his family.
00:02:48,00:02:50,- So I was going through the newspaper archives
00:02:50,00:02:53,"and before he did it, every single headline"
00:02:53,00:02:55,"about what he was about to do said,"
00:02:55,00:02:58,"""We're the engages in suicidal endeavor."""
00:02:58,00:03:01,"Every headline went, ""A fool's there and totally mad."
00:03:01,00:03:03,"""Everyone predicts he will die."""
00:03:03,00:03:05,There's a whirlpool about 20 yards down the river
00:03:05,00:03:07,into which he'd will definitely be sucked and perished
00:03:07,00:03:09,and he went on and did it anyway.
00:03:09,00:03:11,I just wonder if he read any of that.
00:03:11,00:03:12,(audience laughing)
00:03:12,00:03:13,- He didn't like to read his own press.
00:03:13,00:03:15,He was a very modest man.
00:03:15,00:03:17,But actually everyone thought that he would die
00:03:17,00:03:18,when he swam the channel as well.
00:03:18,00:03:21,It was 34 kilometers but it actually took him
00:03:21,00:03:24,64 kilometers to swim it because of all the currents.
00:03:24,00:03:26,He just went in a real zigzag all the way.
00:03:26,00:03:27,- He refused to ask the directions.
00:03:27,00:03:30,(audience laughing)
00:03:30,00:03:33,- And he smothered himself in poor pice fat
00:03:33,00:03:35,"to keep warm, which is quite good."
00:03:35,00:03:37,"And towards the end, he got really tired"
00:03:37,00:03:39,but then a boat went past
00:03:39,00:03:40,and everyone on the boat started singing
00:03:40,00:03:43,"""Rule Britannia"" to keep him going."
00:03:43,00:03:45,- And I don't know if this would have been an encouragement
00:03:45,00:03:48,"or put him off, but apparently his coach Arthur Payne"
00:03:48,00:03:50,used to jump in occasionally and swim alongside him.
00:03:50,00:03:53,- Which I would find really irritating.
00:03:53,00:03:55,"Hey man, this is easy."
00:03:55,00:03:56,(audience laughing)
00:03:56,00:04:00,- I read also at one stage that he had a run in with a poor pice.
00:04:00,00:04:00,(audience laughing)
00:04:00,00:04:02,- It's a boy you covered in poor pice fat.
00:04:02,00:04:03,What have you done with my friends?
00:04:03,00:04:05,(audience laughing)
00:04:05,00:04:06,- I think that might have been it.
00:04:06,00:04:07,They might have confused him.
00:04:07,00:04:09,"Smells like a poor pice, looks like a poor pice."
00:04:09,00:04:11,(audience laughing)
00:04:11,00:04:13,But there was actually someone who went across
00:04:13,00:04:14,the channel before him.
00:04:14,00:04:17,"He was called Paul the Fearless Frogman, Boynton."
00:04:17,00:04:18,(audience laughing)
00:04:18,00:04:20,And he did manage to get in a cross
00:04:20,00:04:24,but he was wearing a rubber suit with a puddle and a sail.
00:04:24,00:04:27,(audience laughing)
00:04:27,00:04:28,"- He towed a boat behind him, I think,"
00:04:28,00:04:30,which had his supplies in it.
00:04:30,00:04:31,- He towed a boat.
00:04:31,00:04:32,- He towed a boat a lot.
00:04:32,00:04:33,- This is much more impressive than Matthew were.
00:04:33,00:04:34,(audience laughing)
00:04:34,00:04:35,- I mean he had a sail.
00:04:35,00:04:37,I think he had some kind of a small like makeshift
00:04:37,00:04:39,clockwork motor thing.
00:04:39,00:04:41,"I'm not sure where we draw the line swimming,"
00:04:41,00:04:43,but I think that is not swimming.
00:04:43,00:04:44,- It sounds amazing.
00:04:44,00:04:46,"It could support you, so help you float in the water."
00:04:46,00:04:49,And also you could store nine days worth of food
00:04:49,00:04:49,in the pockets.
00:04:49,00:04:52,(audience laughing)
00:04:52,00:04:55,- Basically it was a publicity stunt to sell this suit
00:04:55,00:04:56,'cause he called it a life-saving suit.
00:04:56,00:04:59,"- He was actually the guy, he set up the first ever theme park"
00:04:59,00:05:02,in America and then he set up what became Coney Island.
00:05:02,00:05:03,- Oh.
00:05:03,00:05:05,- And then he befriended sea lions
00:05:05,00:05:07,and used to appear in silent films with them all the time.
00:05:07,00:05:08,- That hang on.
00:05:08,00:05:09,(audience laughing)
00:05:09,00:05:10,"- He just, they were, who he felt closest to."
00:05:10,00:05:12,- He befriended sea lions.
00:05:12,00:05:13,"- Yeah, he performed in films with sea lions."
00:05:13,00:05:16,- The sea lions know they were being befriended.
00:05:16,00:05:18,(audience laughing)
00:05:18,00:05:22,"- Even cooler than there was someone who swam across before,"
00:05:22,00:05:25,"even what was it, Paul, the amazing frogman,"
00:05:25,00:05:26,"boy, it's a fearless frogman."
00:05:26,00:05:32,"It was a guy called William Hoskins, and this was in 1862,"
00:05:32,00:05:35,and he kick paddled his way across on a bail of straw.
00:05:35,00:05:37,(audience laughing)
00:05:37,00:05:40,"I was the first man to go across the channel, not in a boat."
00:05:40,00:05:43,- Do you guys know who the best living swimmer
00:05:43,00:05:44,alive today is?
00:05:44,00:05:47,- Michael Phelps.
00:05:47,00:05:48,"- Oh no, so this is for a long distance."
00:05:48,00:05:52,"I'm talking, it's a guy called Martin Strell."
00:05:52,00:05:53,- Okay.
00:05:53,00:05:54,"- He had a lot of TV shows, so actually might be a name"
00:05:54,00:05:56,familiar to those listening and those here tonight.
00:05:56,00:06:00,"He's an amazing guy, he's a Slovenian, long distance swimmer."
00:06:00,00:06:01,"He swam the entire Amazon river,"
00:06:01,00:06:03,first person ever to do that.
00:06:03,00:06:08,"The Danube, the Yang Sea, he did the Danube in one go."
00:06:08,00:06:11,"He swam for 84 hours straight, he lost 40 pounds."
00:06:11,00:06:14,"By the time he got out, he was 40 pounds lighter,"
00:06:14,00:06:17,"and along the way, and along every single swim that he does,"
00:06:17,00:06:18,he drinks two bottles of wine.
00:06:18,00:06:21,"He has just a favorite white wine, I think it is,"
00:06:21,00:06:22,that he drinks.
00:06:22,00:06:23,"- But there's sort of like,"
00:06:23,00:06:24,thresher shocks along the way.
00:06:24,00:06:27,(audience laughing)
00:06:27,00:06:30,The Amazon is much better provided for than I realized.
00:06:30,00:06:32,"- That's where thresher sharks get the name, actually."
00:06:32,00:06:34,"- Oh really, there's something."
00:06:34,00:06:36,(audience laughing)
00:06:36,00:06:39,- But this is how hardcore he is with his swimming.
00:06:39,00:06:41,"He hasn't swam the Nile yet, and he's been asked,"
00:06:41,00:06:43,"""Why have you not swam the Nile?"""
00:06:43,00:06:45,And he said that it's neither long or challenging enough.
00:06:45,00:06:47,"- Oh, it is like the second longest river in the world."
00:06:47,00:06:50,"- Yeah, I know, he said, it's just like a small creek."
00:06:50,00:06:51,- This guy is a liar.
00:06:51,00:06:53,"I say that when people say, ""Why have you never fought a lion?"""
00:06:53,00:06:56,"They are neither large nor fierce enough for me,"
00:06:56,00:07:00,so it's not worth me wasting my time.
00:07:00,00:07:01,(audience laughing)
00:07:01,00:07:03,- We're gonna have to move on in about two minutes.
00:07:03,00:07:05,- Can I tell you one more guy who I found out about
00:07:05,00:07:08,in terms of the annals of cross-channel swimming history.
00:07:08,00:07:09,This is one of my favorite ever people.
00:07:09,00:07:12,"His name is Bob Platon, I don't know much about him,"
00:07:12,00:07:16,"but he crossed the channel on an iron bed stud in 1961,"
00:07:16,00:07:19,which he had attached floating barrels to.
00:07:19,00:07:21,"Then in 1963, he surpassed himself,"
00:07:21,00:07:23,he went over on a barrel with an outboard motor.
00:07:23,00:07:28,"Eventually commercialism crept in in 1969,"
00:07:28,00:07:31,he went across again in a shoe sponsored by British Lather.
00:07:31,00:07:33,(audience laughing)
00:07:33,00:07:37,"And then in 1965, he crossed in a gin bottle"
00:07:37,00:07:39,sponsored by Gilby's gin.
00:07:39,00:07:41,"- Hang on, where do we get these oversized gin bottles?"
00:07:41,00:07:44,(audience laughing)
00:07:44,00:07:45,"- Bob Platon, what a guy."
00:07:45,00:07:48,"- Okay, it's time for fact number two, and that is my fact."
00:07:48,00:07:53,My fact this week is that the first item sold on eBay
00:07:53,00:07:55,was a broken laser pointer.
00:07:55,00:07:55,- Yeah.
00:07:55,00:07:58,- And it was bought by a man who collects
00:07:58,00:07:59,broken laser pointers.
00:07:59,00:08:01,(audience laughing)
00:08:01,00:08:03,"- Genuinely was, do you think he ever buys"
00:08:03,00:08:06,working laser pointers and then breaks them
00:08:06,00:08:07,so that they can go in his collection?
00:08:07,00:08:08,(audience laughing)
00:08:08,00:08:09,"- Yeah, I guess so."
