start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(phone ringing)
00:00:02,00:00:04,"- Can I look at it, put it on like this."
00:00:04,00:00:07,(upbeat music)
00:00:07,00:00:14,- Hello and welcome to another episode
00:00:14,00:00:16,"of ""No Such Thing as a Fish"" a weekly podcast."
00:00:16,00:00:19,This week coming to you from the Edinburgh Fringe Festival.
00:00:19,00:00:21,My name is Dan Schreiber.
00:00:21,00:00:23,I'm joined once again by the three other elves.
00:00:23,00:00:24,Please welcome to the stage.
00:00:24,00:00:27,"It's Andy Murray, James Harkin, and Anna Chazinski."
00:00:27,00:00:30,(audience cheering)
00:00:30,00:00:37,"And once again, we have gathered around"
00:00:37,00:00:40,with our four favorite facts from the last seven days
00:00:40,00:00:42,"and in no particular order, here we go."
00:00:42,00:00:44,"Starting with my fact this week,"
00:00:44,00:00:48,my fact this week is that the current French Scrabble Champion
00:00:48,00:00:50,doesn't speak a word of French.
00:00:50,00:00:51,(audience laughing)
00:00:51,00:00:53,"This was in the news not too long ago,"
00:00:53,00:00:55,"so I feel like some people know it,"
00:00:55,00:00:57,but I just found that absolutely amazing.
00:00:57,00:00:58,Did he just randomly play letters
00:00:58,00:00:59,which all turned out to be
00:00:59,00:01:01,except the French Scrabble dictionary?
00:01:01,00:01:04,"He memorized the French Scrabble dictionary,"
00:01:04,00:01:06,and then he just used that.
00:01:06,00:01:09,"And even in the finals, he told the French guy,"
00:01:09,00:01:10,that's not a word.
00:01:10,00:01:13,(audience laughing)
00:01:13,00:01:14,"Yeah, it's amazing character."
00:01:14,00:01:17,"Yeah, his name's Nigel Richards, he's from New Zealand."
00:01:17,00:01:18,- Oh wow.
00:01:18,00:01:20,(audience laughing)
00:01:20,00:01:23,- I read an article about him on shortlist.com
00:01:23,00:01:27,"entitled, ""Why Nigel Richards is better than Lionel Messi?"""
00:01:27,00:01:29,(audience laughing)
00:01:29,00:01:32,"- Well, they do call him the Tiger Woods Scrabble, don't they?"
00:01:32,00:01:35,'Cause we should stress he is not known to be an adulterer.
00:01:35,00:01:38,(audience laughing)
00:01:38,00:01:41,"I've read a thing a guy who's written a book about Scrabble,"
00:01:41,00:01:42,"he's a sort of Scrabble expert,"
00:01:42,00:01:45,"he's called Stefan Fatzis, and he said,"
00:01:45,00:01:47,"""Right now, Richards is,"" or I'm quoting here,"
00:01:47,00:01:49,"""like Tiger Woods at his peak,"""
00:01:49,00:01:51,"and then Tiger saying, ""I think I'll also take up tennis"
00:01:51,00:01:54,"""and then winning Wimbledon the next year."""
00:01:54,00:01:55,"- Wow, yeah."
00:01:55,00:01:57,- Did he engulf people call Tiger Woods
00:01:57,00:01:59,the Nigel Richards of golf?
00:01:59,00:02:00,- Yes.
00:02:00,00:02:01,(audience laughing)
00:02:01,00:02:02,- What happened?
00:02:02,00:02:03,"- I saw an interview with him on YouTube,"
00:02:03,00:02:05,"and they asked what the secret is,"
00:02:05,00:02:07,"and he said, ""I'm not sure there is a secret,"
00:02:07,00:02:10,"""it's just a matter of learning all the words."""
00:02:10,00:02:12,(audience laughing)
00:02:12,00:02:13,I was not secret anymore.
00:02:13,00:02:14,(audience laughing)
00:02:14,00:02:17,"And apparently he's read the 1,953 page"
00:02:17,00:02:19,"Chambers Dictionary five times,"
00:02:19,00:02:21,and memorized every single word in the dictionary.
00:02:21,00:02:23,- Wow.
00:02:23,00:02:25,"Apparently, you're at more of an advantage."
00:02:25,00:02:27,"Scrabble players say, ""When you don't speak"
00:02:27,00:02:29,"""the language that you're playing in."""
00:02:29,00:02:31,"- I bet it's the French who said that, is it?"
00:02:31,00:02:32,(audience laughing)
00:02:32,00:02:35,"- No, it's, apparently it's more about memorizing"
00:02:35,00:02:37,"the coding of it, the mathematics of it."
