start_hhmmss,end_hhmmss,text
00:00:00,00:00:01,We run it on QI a few years ago.
00:00:01,00:00:02,Yeah.
00:00:02,00:00:04,"Which was, there's no such thing as a fish."
00:00:04,00:00:05,"You did a nice, such thing as a fish."
00:00:05,00:00:10,"No, seriously, it's in the Oxford Dictionary of Underwater Life."
00:00:10,00:00:11,"It says it right there, first paragraph."
00:00:11,00:00:12,No such thing as a fish.
00:00:12,00:00:15,[MUSIC PLAYING]
00:00:15,00:00:25,"Hello, and welcome to another episode of ""No Such Thing as a Fish"""
00:00:25,00:00:28,a weekly QI podcast coming to you from the QI offices
00:00:28,00:00:29,in Covenant Garden.
00:00:29,00:00:30,My name is Dan Triber.
00:00:30,00:00:33,"I'm sitting here with three other elves, James Harkin,"
00:00:33,00:00:35,"Alex Bell, and Anna Chazinski."
00:00:35,00:00:38,"And once again, we're gathering around our microphone,"
00:00:38,00:00:39,and we're going to share with each other
00:00:39,00:00:42,our favorite facts from the last seven days.
00:00:42,00:00:44,"So in no particular order, here they are."
00:00:44,00:00:47,[MUSIC PLAYING]
00:00:47,00:00:49,"Alex, let's start with you."
00:00:49,00:00:52,"OK, my fact is that one of the last things that NASA"
00:00:52,00:00:54,had to do before launching space shuttles
00:00:54,00:00:57,was detach the inflatable owls.
00:00:57,00:00:59,[LAUGHTER]
00:00:59,00:01:02,"Wow, why would they have inflatable owls"
00:01:02,00:01:03,on those space shuttles?
00:01:03,00:01:06,"Basically, this was at Cape Kennedy."
00:01:06,00:01:09,"And they had a bit of a wildlife problem there, just generally,"
00:01:09,00:01:11,because the launch pad is actually
00:01:11,00:01:13,in the middle of a nature reserve.
00:01:13,00:01:15,So one of the problems they had was with woodpeckers
00:01:15,00:01:19,on the big fuel tanks on the side of the space shuttle
00:01:19,00:01:20,"there, sort of bright orange."
00:01:20,00:01:22,"And they're covered in foam insulation,"
00:01:22,00:01:23,which is quite delicate.
00:01:23,00:01:24,And they had this problem with woodpeckers
00:01:24,00:01:26,that were just coming up and pecking holes in them.
00:01:26,00:01:28,And they have no idea why they were doing this.
00:01:28,00:01:32,So didn't they actually have to cancel a shuttle launch
00:01:32,00:01:35,in order to-- because too much damage was done to work?
00:01:35,00:01:37,"Yeah, discovery, I think, was one of the ones"
00:01:37,00:01:38,that was delayed quite a lot.
00:01:38,00:01:40,And then it can't fall into rescheduled and things.
00:01:40,00:01:41,So they did several things.
00:01:41,00:01:43,"Firstly, they used sound blasters, which I think"
00:01:43,00:01:46,were some sort of sound thing to scare away woodpeckers.
00:01:46,00:01:52,"They also, apparently, had a 24 hour bird-watching contingent"
00:01:52,00:01:54,on the run-up to the launch to keep an eye out.
00:01:54,00:01:57,"Yeah, I read that there were people, members of the public,"
00:01:57,00:02:00,"when they'd heard about this, writing in with their own suggestions."
00:02:00,00:02:02,Like amateur scientists.
00:02:02,00:02:03,"Yeah, there's great suggestions."
00:02:03,00:02:06,One of them was to paint the tanks blue.
00:02:06,00:02:09,A color woodpeckers hate.
00:02:09,00:02:11,Station falcons at the pads.
00:02:11,00:02:15,"So acting, yeah, effectively, falcons would chase them off."
00:02:15,00:02:18,Boyle skunk cabbage and spray water on the tanks.
00:02:18,00:02:20,What skunk cabbage?
00:02:20,00:02:21,I have no idea.
00:02:21,00:02:22,This is just--
00:02:22,00:02:23,"It put back as, hey, blue."
00:02:23,00:02:25,"Do they-- like, sunny days are just a nightmare."
00:02:25,00:02:26,"Well, they're not trying to peck the sky,"
00:02:26,00:02:29,they're just doing like the taste of blue.
00:02:29,00:02:31,Like that.
00:02:31,00:02:34,"I just say, I'm not allowed to let my dog off the lead"
00:02:34,00:02:36,"in a nature reserve, a NASA can build"
00:02:36,00:02:38,like an entire space station in the middle of one.
00:02:38,00:02:40,It seems like not a good place to put it.
00:02:40,00:02:42,"Well, I think there was tickles on issues."
00:02:42,00:02:43,There were some other problems as well.
00:02:43,00:02:46,I've got an article from a newspaper from 1983
00:02:46,00:02:49,"that some headlined NASA must cope with wild pigs,"
