start_hhmmss,end_hhmmss,text
00:00:00,00:00:07,"Hi guys, little announcement before the show. We are doing another live show in London."
00:00:07,00:00:12,"It's up the creek in Greenwich where we did a show before and we had a really great time,"
00:00:12,00:00:16,so we decided to beg them to let us back. The show is going to be on the 7th of December
00:00:16,00:00:19,"and it's going to be kind of different this time. First of all, it's going to be filmed"
00:00:19,00:00:26,"for reasons we don't really understand. So, you know, bring your best face and second of all,"
00:00:26,00:00:29,it's going to be a two-parter. So the first part is going to be us doing the podcast
00:00:29,00:00:33,"within the second part. It's going to be same format as you might have heard we did once before,"
00:00:33,00:00:38,"where you guys bring your own facts, you guys in the audience and we talk about them and it's really,"
00:00:38,00:00:43,"really fun. So you should all come, go to qi.com/fishevents to get tickets."
00:00:43,00:00:50,"Also, today's episode features a special guest. An Australian scientist called Dr. Carl Krzyszelnetski."
00:00:50,00:00:56,"Now, this guy is a massive hero of mine. He was Mr. QI in Australia. If you're Australian,"
00:00:56,00:01:00,"you definitely know who he is. If you're not Australian and you haven't heard of him, please check him out."
00:01:00,00:01:05,He's got a new book coming out. It's called Short Back and Science. He's got amazing book titles.
00:01:05,00:01:11,That should be out in Australia now. You can probably order it online. And apologies for the slight
00:01:11,00:01:16,bad audio quality of this. We had a buzz in the room from an air conditioning unit and it was causing
00:01:16,00:01:22,all sorts of disruptions. But it's a good show. He's amazing. Have a listen. Bies book. Thanks so much. On with the show.
00:01:22,00:01:43,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast this week coming to you from the"
00:01:43,00:01:50,"Wardolph Astoria Hotel in Central London. My name is Dan Shriver. I'm sitting here with Andy Murray, Alex Bell and our"
00:01:50,00:01:58,"special guest, Australian scientist author of great named books like House of Carls, Game of Knowns, 50 Shades of Grey Matter."
00:01:58,00:02:05,"It's Dr. Carl Krushal Nitski. Very good pronunciation. Thank you. And once again, we have gathered around the microphones with our"
00:02:05,00:02:11,"four favorite facts from the last seven days. And in no particular order, here we go, starting with you, Dr. Carl."
00:02:11,00:02:23,"Yes, my favorite fact is two people in Sydney every week get bitten by ticks and shortly after become allergic to meat for the rest of their lives."
00:02:23,00:02:35,"Now, I'm hyping it up a little bit. They're only allergic to non-primate mammals. But if they have beef, for example, several months after the event, they can then become"
00:02:35,00:02:47,"allergic to meat for the rest of their life and go into the full anaphylactic reaction. None of these sort of, like, I have the vapors. I must lie down. But the full, I can't breathe. My face is swelling. If you don't not give me a"
00:02:47,00:02:54,"adrenaline, I will die. Anna, as in wrong and relax us to guard. So your body is going into a wrongly triggered immune reaction."
00:02:54,00:03:00,"I really like that a lot of them can still eat chicken and fish, just like most semi-commissive vegetarians."
00:03:00,00:03:09,"No, I'm allergic to all me. Well, I mean, I'm not allergic to fish. And it's the worst punishment for an Australian emotional. Not being able to have a barbecue."
00:03:09,00:03:21,"Oh, yeah. So what happens is that there's a bandicoot and it's carrying around in its blood, in its body, in its meat, a chemical called alpha-gal."
00:03:21,00:03:33,"So the alpha-gal goes, this chemical alpha-gal that goes, goes from the bandicoot into the tick and then into you. We humans do not have it. And here's the weird thing about it."
00:03:33,00:03:48,It's the first known allergen that is the sugar. And the result of that is that two people a week in Sydney will start going into a bit of regular meat and then suddenly start trying to drop dead.
00:03:48,00:03:56,Wow. That's right. Has this been going on for a long time and we've just found out? Or it's not like a new species of super tick?
00:03:56,00:04:03,"Well, the tick is only the vector of the carrier. Yes. Yes. But maybe the tick is now evolving to be able to carry a larger amount."
00:04:03,00:04:11,"Because I was always wrong about evolution. I went to the Glavicus Islands last month. So I read the book ""The Beak of the Finch."" It's amazing. It blew my mind."
00:04:11,00:04:22,"It's about evolution. Evolution happens really quickly. So when you look at it in a fossil record, over hundreds of thousands of millions of years, you're seeing the beginning point and the end point."
00:04:22,00:04:30,"And you don't see it in between, but jumps up and down violently. So yes, your point about the tick evolving could in fact be true."
00:04:30,00:04:40,"So on another thing on parasites and ticks and things like that, tortoises find it very hard to get rid of ticks because of their necks and because of the way they can't stretch around and their shells."
00:04:40,00:04:49,"So North American wood tortoises, they just walk into ants nests and they just sit in the middle of the ants nest and obviously the ants swarm all over them and they eat all the parasites."
00:04:49,00:04:55,And eventually the tortoise thinks right and clean enough and walks out the other side. Wow. That's amazing. Yeah.
00:04:55,00:05:09,"Symbiotic relationships. I read about hunting the way that ticks hunt, which is really nice. The article I read said that they are patient hunters and the idea is that what they do is they wait in a spot where they see where something is coming along."
00:05:09,00:05:17,They wait for the thing to come up to it and then they just step onto it. So that's their hunting. There's no they can't leap. They don't chase anything down. They just wait.
00:05:17,00:05:31,They just wait. Exactly. Yeah. They patiently wait and just step on. They climb up a blade of grass and they cling on with the second and third pairs of legs and their first pair of legs. Actually they've got four pairs of legs haven't they because they're magnets.
00:05:31,00:05:38,But their first pair of legs they just hold out in front of them waiting for something to get near enough for them to hang onto. It's called questing.
00:05:38,00:05:48,"That's a special name for it. That's very good. Yeah. Just on the subject of allergies, odd allergy because I you know that's a that's an amazing thing to get you can't eat me anymore."
00:05:48,00:06:03,"I read a story about a court in France has given 500 pound a month disability allowance, so equivalent 500 pounds a month to a lady who claimed and they've recognized this as an allergy that she's allergic to Wi-Fi."
00:06:03,00:06:19,So she said she was allergic to Wi-Fi. Hyper sensitivity. Ruben is a guy every five years he comes out with something and he says mate you're lying. Right. Ruben is a guy who they guess these people and he they look up electro magnetic hypersensitivity syndrome on a good friend Wikipedia.
00:06:19,00:06:30,Yeah. Ruben 2010 2005 and there's one coming up in 2015 and he's a guy who gets him in a room and then in a double blind says how do you feel the symptoms now?
00:06:30,00:06:37,"At least you're on and off and they always fail. Oh, but you should get over to there. Yeah, I can't believe they gave that to her."
00:06:37,00:06:45,"You know, you can be allergic to egg yolks and not egg whites. Different chemicals again proteins. That's how specific allergies can get."
00:06:45,00:06:54,And you can train yourself out of allergies in some cases and some cases you can't and you can then pick up allergies. The human immune system is wonderfully fiendish.
00:06:54,00:07:07,"So on the training yourself out of allergies thing I read that you can train yourself out of for example a peanut allergy and they tried it with a group of children by slowly exposing them to first very, very small amounts of peanut and then gradually increasing it."
