start_hhmmss,end_hhmmss,text
00:00:00,00:00:14,"""Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:00:14,00:00:17,to you from the QI offices in Covenant Garden.
00:00:17,00:00:18,My name is Dan Triber.
00:00:18,00:00:22,"I'm sitting here with James Harkin, Andy Murray, and today's special guest is author"
00:00:22,00:00:25,"of a new book called Male Obsession, It's Mark Mason."
00:00:25,00:00:29,"And once again, we have gathered around the microphones with our four favorite facts from"
00:00:29,00:00:34,"the last seven days and in a particular order, here we go, starting with you and Andy"
00:00:34,00:00:35,"Murray."""
00:00:35,00:00:40,"My fact is that for the Queen's coronation, people dressed up as television sets."
00:00:40,00:00:43,"""This is past the giggle test, Andy."""
00:00:43,00:00:48,"So this is, I read this in an article by the historian Kate Williams in the Observer,"
00:00:48,00:00:54,"and it seems to come from a book of policemen's memoirs, or one of the first female beat"
00:00:54,00:00:58,police officers wrote a book of memoirs about her experiences.
00:00:58,00:01:01,"She describes it, and I think a couple of other sources say it as well."
00:01:01,00:01:06,"So this is because it was such a huge thing for it to be televised, televisions were brought"
00:01:06,00:01:08,in huge numbers across the country for the coronation.
00:01:08,00:01:15,"I think 20 million people watched, and on average there were 17 people watching each TV"
00:01:15,00:01:16,set.
00:01:16,00:01:19,"And you think of TVs at the time, there were tiny, you know, screens, a few inches from"
00:01:19,00:01:20,corner to corner.
00:01:20,00:01:24,So you would just go to the person in your street who had a TV and you were exactly there.
00:01:24,00:01:25,Do you know what went up in sales as well?
00:01:25,00:01:26,No.
00:01:26,00:01:30,"Not massively in sales, so did massive magnifying glasses."
00:01:30,00:01:33,So they didn't magnify it so that more people could come and see.
00:01:33,00:01:34,Really?
00:01:34,00:01:36,I got that from Kate Williams's Twitter stream.
00:01:36,00:01:37,"They were specially made, weren't they?"
00:01:37,00:01:42,They made special rectangular ones that were made to fit on to the front of the casing
00:01:42,00:01:44,"for your television, which of course in those days was a big piece of furniture."
00:01:44,00:01:45,"Yeah, they made them specially."
00:01:45,00:01:47,That was fantastic.
00:01:47,00:01:51,The thing about TVs going up in numbers is definitely true.
00:01:51,00:01:58,"But in 1950, there were 400,000 TV licenses in '51, there were 700,000, and in '53 there were"
00:01:58,00:02:00,"1,100,000."
00:02:00,00:02:03,"So they did go up when the coronation was on, but actually they had been going up for quite"
00:02:03,00:02:04,a long time.
00:02:04,00:02:07,So it wasn't just the coronation that caused a big increase in TV sales.
00:02:07,00:02:08,Right.
00:02:08,00:02:12,"I think it's true that the one part of the ceremony that wasn't shown, because it would"
00:02:12,00:02:15,"be seen as too, you know, there was a big debate about whether you should be televising"
00:02:15,00:02:16,something like this full stock.
00:02:16,00:02:17,Did it demean the occasion?
00:02:17,00:02:21,But they didn't show the actual coronation moment where the crowns put on her head.
00:02:21,00:02:26,"I think that was actually tradition though, because I read about this where they hold the"
00:02:26,00:02:28,"canopy above her head, and it's a secret part."
00:02:28,00:02:30,No one knows what happens in that part.
00:02:30,00:02:33,"I think that was a good idea, which is that the crown goes on to the head."
00:02:33,00:02:37,"No, no, because there's more, because there's the spoon and the spoon."
00:02:37,00:02:38,You have to explain.
00:02:38,00:02:42,The Archbishop of the Canterbury Spoon is the queen.
00:02:42,00:02:43,Orking.
00:02:43,00:02:47,So is it only the Archbishop and the queen under the canopy at that point?
00:02:47,00:02:48,What?
00:02:48,00:02:49,I don't know.
00:02:49,00:02:50,Yeah.
00:02:50,00:02:51,They make a den.
00:02:51,00:02:55,All we know is what we can make out from the silhouettes of the flashlights going on on
00:02:55,00:02:56,the inside.
00:02:56,00:02:57,But there's definitely a spoon.
00:02:57,00:02:59,That's what we see.
00:02:59,00:03:01,So the ceremonial spoon comes out.
00:03:01,00:03:02,Okay.
00:03:02,00:03:03,And oil is poured.
00:03:03,00:03:04,And oil.
00:03:04,00:03:05,Anointing oil.
00:03:05,00:03:06,"Anointing stuff, I think."
00:03:06,00:03:07,Yeah.
00:03:07,00:03:09,"And so, and apparently it's the only surviving thing from the Middle Ages."
00:03:09,00:03:11,This is part of the tradition.
00:03:11,00:03:13,It's the only thing that's made its way through.
00:03:13,00:03:17,"It unites her forehead, her breast, and her hands."
00:03:17,00:03:22,"But you say in that during the coronation, the Archbishop of the Canterbury, Iled up the"
00:03:22,00:03:28,"queen's breast according to what I read, yeah."
00:03:28,00:03:32,"What is definitely true about the Archbishop of Canterbury on that occasion, 1953, was that"
00:03:32,00:03:37,he had to give the queen a push to get her started.
00:03:37,00:03:42,"When she practiced, she pinned heavy curtains to her shoulders to simulate the coronation"
00:03:42,00:03:43,robe.
00:03:43,00:03:47,"When it came to the real thing, the coronation robes were even heavier than she expected."
00:03:47,00:03:49,And she couldn't get them because she's quite a small woman.
00:03:49,00:03:51,"She was 20, whatever she was then."
00:03:51,00:03:53,She said that she whispered to the Archbishop of Canterbury.
00:03:53,00:03:54,Give me a shot.
00:03:54,00:03:56,I think the exact phrase was to get me started.
00:03:56,00:03:57,That's it.
00:03:57,00:03:58,Give me a shot.
00:03:58,00:03:59,Wow.
00:03:59,00:04:00,That's very cool.
00:04:00,00:04:05,"More on the Archbishop at the time, who was a very interesting guy, George Fischer."
00:04:05,00:04:10,So he was dead against it being televised for a number of reasons.
00:04:10,00:04:15,He thought it might demean the occasion and he really wanted people to join in for the
00:04:15,00:04:20,hymn if they were watching at home and stand up for the homage part of the ceremony.
00:04:20,00:04:22,And there was so much debate about this all across the country.
00:04:22,00:04:27,"One MP said in the House of Commons, ""Might there even be something unseemly in the chance"
00:04:27,00:04:31,that a viewer could watch this solemn and significant service with a cup of tea at
00:04:31,00:04:32,"his elbow?"""
00:04:32,00:04:37,I learned the fact that they installed extra toilets in the app because there were so many
00:04:37,00:04:40,guests and also TV crews and everyone working on it.
00:04:40,00:04:45,They installed extra toilets at the Abbey and then did a sound check to check that if by
00:04:45,00:04:50,"chance they were all flushed at the same time, the BBC's microphones wouldn't pick them"
00:04:50,00:04:51,up.
00:04:51,00:04:52,Wow.
00:04:52,00:04:53,That's preparation.
00:04:53,00:04:54,Yeah.
00:04:54,00:05:00,And the choir boys were given packed lunches containing peanut butter and marmalade sandwiches
00:05:00,00:05:03,"to have the opposite effect from, you know, making them go to it."
00:05:03,00:05:06,They wanted to bun them up so they wouldn't need to go to the toilet.
00:05:06,00:05:11,"And they were also given really big drinks, canisters, so that once they'd had their drink, if they"
00:05:11,00:05:15,"needed to refill that drink's canister, it would say that it was so good."
00:05:15,00:05:20,Did they find out what the sound of 200 choir boys peeing into that canister sounded like?
00:05:20,00:05:22,"Could the BBC mics pick that up, yeah?"
00:05:22,00:05:25,"I think this is quite well known, but I didn't know it."
00:05:25,00:05:28,Keith Richards was one of the choir boys at the choir.
00:05:28,00:05:33,"I'm afraid it turns out that Keith was certainly a great choir boy, certainly sang for"
00:05:33,00:05:37,"the Queen, but they think a couple of years later it wasn't actually in the choir."
00:05:37,00:05:38,Which is so disappointing.
00:05:38,00:05:40,Has no one asked him?
00:05:40,00:05:44,No one can understand the answer.
00:05:44,00:05:49,"I think he would have been, well, he was born, he would be a bit young."
00:05:49,00:05:50,This is where my inner nerd comes out.
00:05:50,00:05:53,"He was born December the 18th, 1943, so yeah, he would have been nine."
00:05:53,00:05:55,So he would have been the right hoes then?
00:05:55,00:05:59,"Yeah, he was certainly in the ballpark, but not in the alley."
00:05:59,00:06:03,"That was so nerdy, Mark, coming onto our podcast, if anyone has not read Keith, which"
00:06:03,00:06:07,"is autobiography, it is, I was fine, in my minutes the best book, no, mine's just out."
00:06:07,00:06:08,It's the second best book.
00:06:08,00:06:09,"No, you're just out."
00:06:09,00:06:11,It's the third best book of the 21st century.
00:06:11,00:06:12,We got two out this year.
00:06:12,00:06:15,"And it's the fourth best book, Keith."
00:06:15,00:06:22,"There's one cool bit of the coronation which didn't happen for Victoria, in fact, Victoria"
00:06:22,00:06:26,"was the first person that didn't happen for, so have you heard about the Queen's Champion?"
00:06:26,00:06:27,No.
00:06:27,00:06:32,"Okay, so in medieval coronations, and Victoria's was the first coronation that didn't happen"
00:06:32,00:06:35,"for, so everyone before then it happened."
00:06:35,00:06:38,"The Queen's Champion, all the King's Champion, is a noble."
00:06:38,00:06:43,"And for the post coronation banquet, this person would come in in full armour and throw down"
00:06:43,00:06:49,his gauntlet and then challenge anyone to a fight if they said the sovereign was not fit
00:06:49,00:06:51,to rule or didn't have the right to rule.
00:06:51,00:06:52,Wow.
00:06:52,00:06:53,I think we should bring that back.
00:06:53,00:06:54,It's so good.
00:06:54,00:06:55,I reckon Brian blessed his bomb.
00:06:55,00:06:56,"Yes, exactly."
00:06:56,00:06:59,"There is still a Queen's Champion, so it's a hereditary position, even though they don't"
00:06:59,00:07:01,do it at coronations anymore.
00:07:01,00:07:02,He's called Francis.
00:07:02,00:07:05,He started a countenance.
00:07:05,00:07:09,"His full name is Francis John Fein, Marmian Dimock."
00:07:09,00:07:14,"And as far as I can tell, as it's a hereditary title, he is the current Queen's Champion."
00:07:14,00:07:15,How does he look?
00:07:15,00:07:16,Like.
00:07:16,00:07:18,He just looks like a nice man.
00:07:18,00:07:21,You can't actually tell how he looks because he's wearing a full suit of armour at all
00:07:21,00:07:22,times.
00:07:22,00:07:23,What can it do?
00:07:23,00:07:26,Do we know he's the countenance office?
00:07:26,00:07:30,"Like, who challenges the Queen's right to rule?"
00:07:30,00:07:34,Because the one thing that did happen at the Queen's coronation dinner that hadn't happened
00:07:34,00:07:40,"before was that her mother, as she became the Queen mother, wouldn't let her have too much"
00:07:40,00:07:41,to drink.
00:07:41,00:07:43,"Remember, you have to reign all afternoon."
00:07:43,00:07:46,She didn't want her daughter getting drunk at the lunch.
00:07:46,00:07:48,"And also, of course, coronation chicken was invented for the occasion."
00:07:48,00:07:51,"That's where it gets its name, especially created early."
00:07:51,00:07:52,"Oh, though."
00:07:52,00:07:57,"It's very similar to Jubilee Chicken, which was invented a few years earlier for the"
00:07:57,00:07:58,Silver Jubilee of Joyce Afef.
00:07:58,00:07:59,How is it?
00:07:59,00:08:03,And which is basically chicken with mayonnaise and spices.
00:08:03,00:08:05,I'm pretty much exactly the same thing.
00:08:05,00:08:09,"But then they, let's say, reinvented it for the coronation."
00:08:09,00:08:11,So I always call it Jubilee Chicken when I go.
00:08:11,00:08:12,Oh.
00:08:12,00:08:17,"Can I have a Jubilee Chicken Panino, please?"
00:08:17,00:08:23,"Do you know that on that day when they dressed in, as TV sets, that's not the only thing that"
00:08:23,00:08:24,they dressed as?
00:08:24,00:08:25,No.
00:08:25,00:08:27,They dressed as Mount Everest as well.
00:08:27,00:08:28,Yeah.
00:08:28,00:08:29,"Well, it's been conquered the day before."
00:08:29,00:08:30,Exactly.
00:08:30,00:08:31,And the news had come through.
00:08:31,00:08:32,So they were celebrating a number of things.
00:08:32,00:08:35,And Mount Everest was a massive celebration.
00:08:35,00:08:37,So people would dress as TV sets and Mount Everest.
00:08:37,00:08:38,That's amazing.
00:08:38,00:08:39,Yeah.
00:08:39,00:08:41,What a big news day.
00:08:41,00:08:42,Yeah.
00:08:42,00:08:43,Everest and the coronation are the same day.
00:08:43,00:08:44,That's massive.
00:08:44,00:08:45,Yeah.
00:08:45,00:08:50,"Do you know there's a conspiracy that we didn't, that Hillary didn't get to the top of Mount"
00:08:50,00:08:51,Everest?
00:08:51,00:08:52,Really?
00:08:52,00:08:53,Yeah.
00:08:53,00:08:54,"And it's actually really interesting, the reason why."
00:08:54,00:08:59,And the way that the news got broken to the British public was via a journalist called James
00:08:59,00:09:04,"Morris, who has changed sex and is now Jan Morris, one of the most famous travel riders"
00:09:04,00:09:05,alive.
00:09:05,00:09:07,Now Jan Morris got the scoop.
00:09:07,00:09:12,"Was there when Hillary came down, when he said the words, ""We knocked the bastard off"
00:09:12,00:09:14,"George"" and got the scoop."
00:09:14,00:09:15,Now here was the thing.
00:09:15,00:09:19,"She didn't know how to get, or here at the time, didn't know how to get the message back"
00:09:19,00:09:23,without it being infiltrated and then spread around the world because he wanted the scoop.
00:09:23,00:09:27,So what he ended up sending was a coded message that he'd pre-arranged to be sent back.
00:09:27,00:09:29,And this was the message that actually went back.
00:09:29,00:09:32,"The message went, ""Snow conditions bad, stop."
00:09:32,00:09:34,Advanced base abandoned yesterday.
00:09:34,00:09:35,Stop.
00:09:35,00:09:36,"A waiting improvement."""
00:09:36,00:09:38,So the message was to say that they haven't made it.
00:09:38,00:09:39,Wow.
00:09:39,00:09:41,And people actually think that he was telling the truth there.
00:09:41,00:09:44,So what message did he send if they didn't make it then?
00:09:44,00:09:45,"Good news, everyone."
00:09:45,00:09:49,That's a good point.
00:09:49,00:09:50,Yeah.
00:09:50,00:09:55,"OK, time for fact number two."
00:09:55,00:09:57,And that is James.
00:09:57,00:10:03,"OK, my fact this week is that the world puddle jumping championships, bands, fizzy drinks,"
00:10:03,00:10:07,in case they improve participants' performance.
00:10:07,00:10:09,Talks through the science behind them.
00:10:09,00:10:13,"Well, it's weird because on QI, we have said that fizzy drinks don't make children more"
00:10:13,00:10:14,hyperactive.
00:10:14,00:10:17,"And in the world puddle jumping championships, it's usually children."
00:10:17,00:10:19,"In fact, it's always children taking part."
00:10:19,00:10:23,"But they think that if you give them fizzy drinks, then they will become more excitable, more"
00:10:23,00:10:28,"hyperactive, and it could enable them to jump higher and make bigger splashes than other"
00:10:28,00:10:29,competitors.
00:10:29,00:10:32,"And they don't want to encourage people to drink fizzy drinks, because it's not good for"
00:10:32,00:10:33,you.
00:10:33,00:10:34,And so they've decided to ban it.
00:10:34,00:10:36,I think that's very sweet.
00:10:36,00:10:39,Apart from the ban element of it.
00:10:39,00:10:41,"It could be a placebo thing, couldn't it, if you've heard your parents have written the"
00:10:41,00:10:44,"news that it makes you jump better, then that could have effect."
00:10:44,00:10:47,"Well, what we've said on QI, and I can't remember quite the science behind it, is that"
00:10:47,00:10:53,"the children actually act exactly the same, but it's the adults who then kind of fuss around"
00:10:53,00:10:55,"them and think, oh, they're hyperactive, they're hyperactive."
00:10:55,00:11:00,"And when you get someone who's watching the events happening, who doesn't know whether"
00:11:00,00:11:03,"or not they've had fizzy drinks, they can't tell the difference with the children."
00:11:03,00:11:04,"How do they monitor it, though?"
00:11:04,00:11:06,"Like, how do you test for fizzy drinking?"
00:11:06,00:11:09,Is it a P sample?
00:11:09,00:11:13,"I think they just ban them from the general area of the competition, so maybe you could"
00:11:13,00:11:18,"like, stock up on Red Bull the night before."
00:11:18,00:11:24,"I was reading the Metro newspaper, covered this, and the line they used was, this is not"
00:11:24,00:11:28,the first time sporting contest have been marred by doping associations.
00:11:28,00:11:33,Lance Armstrong was tripping seven.
00:11:33,00:11:38,"So what they do is it's based on height of jump, enthusiasm, distance of splash and stick"
00:11:38,00:11:44,"ability, which is the amount of mud, which clings to each competitor, all those different things."
00:11:44,00:11:48,"My favourite element of that is enthusiasm, it's being marred."
00:11:48,00:11:51,"That's basically code for, as with any event where you're giving prizes to kids, the one"
00:11:51,00:11:56,"that looks most likely to burst into tears if you don't win, yes, the win, because you just"
00:11:56,00:11:57,don't want a scene.
00:11:57,00:12:01,And it'd be good in the Olympics if the most enthusiastic competitors are living.
