start_hhmmss,end_hhmmss,text
00:00:00,00:00:11,[ inaudible ]
00:00:11,00:00:16,"Hello, and welcome to another episode of ""No Such Thing as a Fish"""
00:00:16,00:00:21,a weekly podcast this week coming to you from the Northwall Art Center in Oxford.
00:00:21,00:00:26,"My name is Dan Schreiber, and please welcome to stage Andy Murray Anichesinski and James Harkin."
00:00:26,00:00:43,[ Cheers and applause ]
00:00:43,00:00:48,"And once again, we have gathered around the microphones with our four favourite facts from the last seven days,"
00:00:48,00:00:52,"and in no particular order, here we go. Starting with you, Chuzinski."
00:00:52,00:00:57,"Yep, my fact this week is that the world's only Cornish Pasty Museum is in Mexico."
00:00:57,00:01:00,[ Laughter ]
00:01:00,00:01:06,These planning permission things are cool. So why and when did it go up?
00:01:06,00:01:11,"Well, so this is because there's actually a significant like Cornish diaspora in Mexico,"
00:01:11,00:01:16,"because Mexico needed miners in the early 19th century, a bunch of Cornish men emigrated out there,"
00:01:16,00:01:20,"and they brought their pasties with them, and pasties have been a delicacy in Mexico,"
00:01:20,00:01:26,"and it's particularly in these two areas. It's in the municipality of Real Del Monte,"
00:01:26,00:01:31,"and yeah, and a place called Pachuca. Pachusa. I don't know. Is there any Mexicans in here who"
00:01:31,00:01:37,"are going to correct me on that? No, cool. But yeah, it's 4,500 miles away from Cornwall,"
00:01:37,00:01:41,and it is a Cornish Pasty Museum. It was set off about five years ago.
00:01:41,00:01:45,What's in a Cornish Pasty Museum? I feel like the clue is in the title.
00:01:46,00:01:51,Some medieval helmets and a viking ship. It's actually miss me.
00:01:51,00:01:53,"I mean, once you've seen a Cornish Pasty, I'm Andy."
00:01:53,00:01:56,You have not seen a Cornish Pasty.
00:01:56,00:01:59,"Yeah, it seems like it's partly a culinary school disguises a museum."
00:01:59,00:02:04,"There's a pasty-making lessons, and in fact, so recent, I think, in 2014,"
00:02:04,00:02:08,a team of Mexican bakers took a trip to Cornwall so they could pick up some new tips
00:02:08,00:02:12,"about how to make pasties, specifically the art of crimping, which is, you know,"
00:02:12,00:02:17,"getting that little handhold bit on the side, right? There is actually going to be a Cornish Pasty"
00:02:17,00:02:21,Museum in the UK soon. Where will it be? Orkney?
00:02:21,00:02:29,"No, this is a guy called Malcolm Ball. He's hoping to open what he's calling a planet Hollywood"
00:02:29,00:02:36,with a Cornish Pasty twist. And he said he started to research whether there's any visitor
00:02:36,00:02:42,"attractions in the UK focusing on the Cornish Pasty, and that was absolutely staggered"
00:02:42,00:02:44,to find out that there wasn't a single one.
00:02:44,00:02:53,"Is the twist on the planet Hollywood thing that it's got no celebrities, no memorabilia,"
00:02:53,00:02:57,"and is just Cornish Pasty? There's going to be memorabilia, but it'll be pasty memorabilia."
00:02:57,00:03:03,"Pasties. Yeah, yeah. So if anyone listens to this in a year, I wanted to say, please don't"
00:03:03,00:03:07,write in and say my fact was wrong. It just will be wrong in about six months' time because
00:03:07,00:03:11,"there is going to be a second pasty museum. But, yeah, the Cornish had a really big influence"
00:03:11,00:03:17,"in Mexico. So they also imported football in the 1890s, I think it was about, set up the first"
00:03:17,00:03:24,"football team in Mexico. And in fact, FIFA's only football hall of fame is now in Patroosa,"
00:03:24,00:03:30,in that little town in Mexico. Wow. Yeah. I was looking into the history of Cornish Pasties.
00:03:30,00:03:35,"And in the early days, both husband and wife would initial the husband's name onto the end of"
00:03:35,00:03:40,"the Cornish Pasty so that they knew it was their lunchbox effectively. So you could go, that's my"
00:03:40,00:03:48,"Cornish Pasty. Look, Darren is written on it. And then also to test whether a good Cornish Pasty"
00:03:48,00:03:54,"is good as it can be, is that they would drop it down a mine and if it survives, then they're like,"
00:03:54,00:03:59,that's a damn good Cornish Pasty. They dropped it down a mine. They didn't drop it down a mine.
00:03:59,00:04:02,So are the internet. People do say that. That also implies that a good way to test for a good
00:04:02,00:04:08,"Cornish Pasty is try and bite into it. And if you can't, then it probably is good. The fact of"
00:04:08,00:04:12,"dropping a Cornish Pasty down a mine is much greater than biting it. So if it does survive, then it's"
00:04:12,00:04:18,inedible. Yeah. I read the other day that it's impossible to tell if an apple is ripe without biting
00:04:18,00:04:23,"into it. But I'm not sure anyone's ever thought of putting it down a mine. Yeah, just drop it down a"
00:04:23,00:04:28,"mine. Yeah. The thing with the, with the initials on the Pasty, what they used to do is they used to"
00:04:28,00:04:33,"hold it kind of, kind of upright and they would keep the initial at the bottom and then we'd eat"
00:04:33,00:04:38,it from the top. And so you would always kind of have the initial at the bottom for the whole thing.
00:04:38,00:04:42,"And then once you got down to the bottom with the initial, you would throw it away. And you'd throw"
00:04:42,00:04:48,"it for what they called the mining gremlins. Oh, they called them knockers. Did they? Yes. They were the"
00:04:48,00:04:53,"sort of little people in the mines who, if they, you gave them a bit of food, they wouldn't give you"
00:04:53,00:04:58,"bad luck. You also, some people say that they didn't eat the, the reason they have that handled"
00:04:58,00:05:03,"bit, the crimped handled bit was to hold on to. And that was discarded at the end because so Corn"
00:05:03,00:05:08,"was the, it had the largest tin mining, but it also had the largest arsenic mining. There's a lot"
00:05:08,00:05:13,"of arsenic down there. And so these miners hands were covered in arsenic, which they didn't want to eat."
00:05:13,00:05:19,"So I think they chucked away the bit they held on to. Mind for arsenic. Yeah, apparently Corn was one"
00:05:19,00:05:22,of the country's biggest providers of arsenic. Do you not get your arsenic supplies from Cornwall?
00:05:22,00:05:28,"We, I do, obviously, I do. And also they're throwing the food down into the arsenic mines before"
00:05:28,00:05:36,"they eat it. Yeah. Just pick it up, three-second rule, brush off the arsenic. They'd have a different"
00:05:36,00:05:44,"second rule. It takes a long time to get there. Right. You know the chant that goes oggy, oggy,"
00:05:44,00:05:49,"oggy, oggy, oggy, oggy. Yeah, there you go, but not in that tone of voice in like a different tone"
00:05:49,00:05:55,"of voice. So that chant is thought to come from the Cornish word for pasty, which is hoggan or"
00:05:55,00:05:59,"hoggan, and it's thought, and this again is probably just missed. It's been passed down the generations,"
00:05:59,00:06:05,"but at lunchtime the wives would come to the top of the mines and they'd shout out oggy, oggy, oggy,"
00:06:05,00:06:09,"and the miners downstairs would go, oh, oh, oh, oh, and they'd be like, all right, he wants it."
00:06:09,00:06:15,And then you do the drop test. And then you drop them. Countless miners were killed by their
00:06:15,00:06:21,"rock hard pasties. Goals of death, lunch, lunch, lunch."
00:06:23,00:06:30,"I read a dictionary of slang from 1811, the gross dictionary of slang, and the only thing for pasties"
00:06:30,00:06:37,"that I could find is that to deliver a flying pasty meant to take a poo, wrap it in paper, and throw"
00:06:37,00:06:49,it over a neighbor's wall. You didn't get that from a dictionary. I was going to mention I
00:06:49,00:06:55,"thought it would be a bit to like just juvenile to do, but since you bring it up, I read a story about,"
00:06:55,00:06:58,it was about a someone's housemate who got evicted from the house because they found them eating a
00:06:58,00:07:04,"pasty full of poo. And they said, yeah, so here's the thing, he wasn't feeding it to anyone else."
00:07:04,00:07:09,"He was just mining his own business, having a pasty on his own in the kitchen, and then they said,"
00:07:09,00:07:12,"we don't want someone eating poo. He said he wasn't feeding it to anyone, but she did make the good"
00:07:12,00:07:16,"point and she didn't want to use the oven afterwards, which I think is totally fair. Something else that's"
00:07:16,00:07:22,"disgusting that goes into college pasties. They used to put jam at the bottom and meat at the top,"
00:07:22,00:07:26,"didn't they? And so that was so that you could have a full meal, you'd have your first boss there,"
00:07:26,00:07:31,and you're putting at the end. But there must have been a bit in between that was kind of jammy meat.
00:07:31,00:07:36,"That was sorbet. Yeah, it's a nice palette cleanser for the gourmet miner."
00:07:36,00:07:43,"We're going to have to move on to the next bag. Soonish, if you guys have anything else?"
00:07:43,00:07:49,"Okay, can I just say a thing about museums? I found this thing the other day. Apparently in 1846,"
00:07:49,00:07:57,"a snail arrived at the British Museum. As I read that, and they said, you're late, where are you being?"
00:07:57,00:08:03,"Yeah, someone sent a snail into the British Museum, and it was stuck onto a piece of cardboard,"
00:08:03,00:08:10,and then they noticed four years later that the card was slightly discolored. They put it all into
00:08:10,00:08:15,"some warm water, and it turned out that the snail wasn't dead, and it woke up, and it became really"
00:08:15,00:08:20,"famous, and it was like the most famous snail in Britain in 1850. That's not a composition in that year,"
00:08:20,00:08:28,"1850. 1850, that was. It was so famous, it was painted by John William Waterhouse. What kind of?"
00:08:28,00:08:37,"I just like that that there was a most famous snail in Britain, and Waterhouse I like as well,"
00:08:37,00:08:43,"because he painted pre-Raphaelite style, but like decades after everyone's lights. He didn't really"
00:08:43,00:08:48,"want to do it anymore, so he was like a post-pre-Raphaelite. I think they just call them ""Raphaelites."""
00:08:48,00:08:55,Have we got any more on this? I think a good thing to look into if you fancy or researching more about
00:08:55,00:09:00,"Cornish pasties is the British newspaper archive, where I was reading up on other 19th century pasties"
00:09:00,00:09:05,"stories, and there were a couple of good ones, so one of them was a travel writer in the Leeds Times in"
00:09:05,00:09:11,"1861, a visited Cornwall, and said of the pasties, ""The name is generally applicable to anything that by"
00:09:11,00:09:15,"any stretch of the culinary imagination could be conceived as existing under a crust."""
00:09:15,00:09:23,"So he wasn't a fan, and in 1889 two Cornish miners got trapped in a mine, so they were stuck underground,"
00:09:23,00:09:28,and all they had to eat was four pasties that their wives had given them before. They got
00:09:28,00:09:32,"trapped underground. They were trapped underground for four and a half days, and they didn't even"
00:09:32,00:09:40,"finish the pasties, because they were unfit to eat apparently, so yeah. This one's been in"
00:09:40,00:09:46,"the ground for four seconds because of the Leeds. Okay, I'm going to move us on to our next fact,"
00:09:46,00:09:52,"and that is James Harkin. Okay, my fact this week is that 20% of people wake up wearing fewer"
00:09:52,00:09:58,clothes than they went to bed with. Do we know who's removing them? Do we know who's taking them on?
00:09:58,00:10:04,"We don't know. Well, we think probably them. Okay. All the clothes fairy. Well, there is one theory"
00:10:04,00:10:08,"that if you wake, if you go to bed wearing pajamas and you wake up not wearing them, you've been"
00:10:08,00:10:13,"abducted by aliens. There's a website called Abduct Anon, and it says, ""How to tell if you've been"
00:10:13,00:10:18,"abducted by aliens?"" And that's one of them. If you enter bed wearing pajamas and you woke up"
00:10:18,00:10:24,"nude, that's one of them. The other one is electronic appliances behave strangely when you pass by."
00:10:24,00:10:30,Another one is you have an uncontrollable urge to take vitamins. Don't really understand that one.
00:10:30,00:10:35,"Three out of three so far. And the other one, I really like this, the scene of your"
00:10:35,00:10:42,abduction has been staged to look as if nothing happened. So if you ever wake up in the morning
00:10:42,00:10:49,"and everything looks exactly the same, it's aliens I'm afraid. I was really that when aliens do"
00:10:49,00:10:54,"abduct humans, I don't believe it, by the way, but when they when they say they adopt them, the abductees"
00:10:54,00:11:00,"say that when they get up there, the aliens do some probes and they often have to do it in a sort of"
00:11:00,00:11:06,"slightly inappropriate kind of sexual manner, they try and transform their bodies so that they look"
00:11:06,00:11:11,"as if they're comfortable sights to you. So it just feels like, ""Oh, this is this is quite a nice"
00:11:11,00:11:18,"scene."" And the list of things that they dress up as body-wise is the Pope. That's the thing that's"
00:11:18,00:11:25,most likely to put something up your ass. The other is a deceased relative and that's what they say
00:11:25,00:11:32,"will make you feel like, ""Well, this is a pleasant experience."" I do this. I do this. I do what they say."
00:11:32,00:11:42,I'm drawing this. I can't bring it back to the conversation before. I wake up sometimes not
00:11:42,00:11:49,"wearing, if I have socks on, when I go to sleep, I wake up not wearing the socks. Yeah, um, 13. I'm so"
00:11:49,00:11:54,uncomfortable telling you that as well. I feel like you've all been left in now. You're not wearing
00:11:54,00:12:07,"the sock on your penis, are you? Look, my room is drafty and cold. And I'm a real man, I don't"
00:12:07,00:12:14,"wear pajamas. Oh, god. Do you actually wake up with no socks? Yeah. Thank you. What did you say?"
00:12:14,00:12:23,"I've got a friend and supporter in tonight. So anyway, so this was a, it was a survey by a memory foam"
00:12:23,00:12:28,mattress company called Ergo Flex. And they said that socks are the most commonly removed item
00:12:28,00:12:34,"with 31% of people who remove things saying that they don't keep them on at night. So you're in,"
00:12:34,00:12:39,"you know, a good company. One of the other things I found is that the average length of time"
00:12:39,00:12:45,"men wear pajamas before washing them is 13 nights. And women, it's 17 nights."
00:12:45,00:12:52,Whereas we all know the correct answer is you're in for one night and then you incinerate them.
00:12:52,00:12:58,"And you buy a new pen. So when you say you're a real man, you don't wear pajamas."
00:12:58,00:13:06,Are we so glossed over that? I think whether that's a thing because there was a survey done
00:13:06,00:13:10,"into who wears pajamas and who doesn't and far, far fewer men wear pajamas than women."
00:13:10,00:13:16,So I think it was something like 13% of men wear pajamas and about 30% of women do. So is this
00:13:16,00:13:21,something in the male community that sort of is emasculating? I think it's thought of as being not
00:13:21,00:13:30,"the act of a room and where I've got six pairs of soap operas, I'm fine. One sock. In the survey"
00:13:30,00:13:35,"they did, people were asked what they wore in bed and one percent of people said they had no opinion."
00:13:35,00:13:41,The aliens look after that stuff to be honest with you.
00:13:41,00:13:49,The idea of doing things while you're asleep is called parasomnia. And there have been examples
00:13:49,00:13:54,"of people doing various things. Texting while asleep, eating while asleep is a bad one because"
00:13:54,00:13:59,"you can put on a lot of weight. Driving cars while asleep, there's one or two people who've done that."
00:13:59,00:14:04,And there was one sleep doctor who described how he treated someone who dismantled
00:14:04,00:14:10,"grandfather clocks while asleep. There's, you know, you used to be able to text in their sleep."
00:14:10,00:14:18,"Yeah. There was a, the first example of someone using the internet while asleep was in 2008."
00:14:18,00:14:24,"And this was a 44-year-old woman who in her, in her sleep, she got out of bed, she went over to her"
00:14:24,00:14:29,"computer, she logged in and she fired off three emails. One of which read, ""Come tomorrow and"
00:14:29,00:14:33,"sort this hellhole out. Dinner and drinks 4pm. Bring wine and caviar only."""
00:14:33,00:14:37,"Awesome dream, was she?"
00:14:37,00:14:43,There's a really cool thing as well that they've noticed in recent times when they've been doing
00:14:43,00:14:49,studies that anyone playing video games and so younger children and really cool awesome adults.
00:14:49,00:14:57,"They have ability, they say, in their dream to suddenly take charge and control the dream"
00:14:57,00:15:01,as if they were playing called duty or something like that. So they don't have nightmares because
00:15:01,00:15:06,"nightmares for them are a challenge where they can then slaughter dragons and sort out, I don't know."
00:15:06,00:15:11,"Yeah, it's called lucid dreaming, right? Yeah. The idea is that you keep looking at your watch"
00:15:11,00:15:15,during the day and then you start dreaming that you're looking at your watch and you realise that
00:15:15,00:15:18,"it's not moving and then you can realise you're in a dream, as soon as you realise you're in a dream,"
00:15:18,00:15:21,then you can start doing things in there. And there are quite a few people who can do it.
00:15:21,00:15:25,"I've done it a couple of times, but only a couple of times my whole life I can remember having a lucid dream."
00:15:25,00:15:32,"Wow. It's really cool. Yeah, I bet. I just fly. Just a quick thing on pajamas."
00:15:32,00:15:38,"I was looking for information on astronaut pajamas, what they were in space, whether they were"
00:15:38,00:15:43,"wear pajamas, whether they take them. And so I googled do astronauts immediately type in wear"
00:15:43,00:15:49,pajamas. And the first thing that came up is do astronauts masturbate in space? So I clicked
00:15:49,00:15:56,"on that instead. There's a website called Quora where people write their own answers to questions,"
00:15:56,00:16:00,people post up. And there was an article on Quora which gave an answer and I just wanted to read it out.
00:16:00,00:16:05,"This is the answer on Quora. This is at least the tenth time I've answered a question about sex,"
00:16:05,00:16:11,"masturbation, or romance in space. Please search before posting. And it goes on, it gives the answer."
00:16:11,00:16:17,"He says, ""Yes, each astronaut has a private sleeping area."" No, there isn't a space just for masturbation."
00:16:17,00:16:24,"No, the guy's a NASA would have built that into a station."
00:16:24,00:16:29,"Well, we've got the sleeping quarters, the masturbatorium."
00:16:30,00:16:33,Sorry.
00:16:33,00:16:41,"There was an article in the Daily Mail which said, ""I should have really looked into whether this"
00:16:41,00:16:46,"could possibly be right."" But it said it had interviewed an independent sleep expert who said that"
00:16:46,00:16:51,"""Resist the temptation to strip off at nights when you're hot and muggy. It's actually cooler if"
00:16:51,00:16:56,you wear pajamas because the pajama fabric draws sweat away from your body and will make you feel a
00:16:56,00:17:00,"lot cooler and more comfortable."" So, doesn't that imply that whenever you're too hot, you should put more"
00:17:00,00:17:07,"clothes on? Can that be true? I don't know. It doesn't sound very true, does it? It really doesn't."
00:17:07,00:17:14,"Speaking of things that happen while you were asleep, a 64-year-old man has told how he passed out"
00:17:14,00:17:20,after a heavy night's drinking and woke up to find that his penis was missing. Neighbours of
00:17:20,00:17:26,Gerardo Ramos claimed that he was attacked by a dog as he stumbled around the Dominican Republic
00:17:26,00:17:34,naked while drunk. He has decided to stop drinking. Sounds like a good decision.
00:17:34,00:17:38,It sounds like a bit of a stable door and horse-bolted decision to be honest.
00:17:38,00:17:49,"We're going to have to move on very soon. Okay. In China, people were pajamas quite a lot. In"
00:17:49,00:17:55,"their evenings, people will just go out wearing pajamas. In 2010, they had pajama police in Shanghai"
00:17:55,00:18:01,to stop people from wearing pajamas because there was an expo in town and they didn't want people to
00:18:01,00:18:05,"think that they were sluvinely or whatever. So, they tried to stop anyone from wearing pajamas"
00:18:05,00:18:11,and they even had celebrities on TV saying that the idea of going out in pajamas was backward
00:18:11,00:18:18,and uncivilized. But what's the definition of pajamas? I just think that's really hard to police.
00:18:18,00:18:21,"But I think they do like in Japan. So, in the survey that was down asking if people wear"
00:18:21,00:18:25,"pajamas or wear something else in bed or sleep naked, the Brits love to sleep naked, actually."
00:18:25,00:18:31,"We're up there in the top naked sleeping countries, 30% of us, only 12% in the US. In Japan,"
00:18:31,00:18:37,"in the survey, it wasn't even a zero percent. It was just not applicable. I think the Japanese"
00:18:37,00:18:42,"were just like, ""I'm not going to answer that question."" That is disgusting. So, yeah, they're not"
00:18:42,00:18:48,"up for it. Okay, should we move on to our next panel? Okay, it is time for fact number three and"
00:18:48,00:18:54,that is Andrew Hunter Murray. My fact this week is that there are people who mine for jeans.
00:18:54,00:19:01,"They literally go into mines looking for jeans. Yeah, this is really amazing. So, it's basically"
00:19:01,00:19:06,"back in the day when people were doing mining, they would bring their jeans down, leave eyes were"
00:19:06,00:19:11,"made kind of specifically for mining. And then for some reason, this is the bit I haven't worked"
00:19:11,00:19:17,"out in the story. They would come up without their jeans. And so, you know, it's warm, isn't it?"
