start_hhmmss,end_hhmmss,text
00:00:00,00:00:07,"Hi everybody, today is a big day for us because we are releasing our first and probably last"
00:00:07,00:00:08,vinyl.
00:00:08,00:00:13,"And it's available to buy it now if you go to qi.com/vinyl, not only does it have on"
00:00:13,00:00:18,"it an exclusive vinyl podcast episode, there is a secret hidden track from the Slipknot"
00:00:18,00:00:20,frontman Cory Taylor.
00:00:20,00:00:24,It also contains a card which means you can download online that episode and you can also
00:00:24,00:00:29,"download the first 52 episodes for no such thing as a fish, so the first year of fish."
00:00:29,00:00:32,You do not need a record player to be able to play anything that's available on this
00:00:32,00:00:33,vinyl.
00:00:33,00:00:37,"You can just pin it to your wall, go online and actually listen like a modern human if"
00:00:37,00:00:38,you like.
00:00:38,00:00:42,What do you know about being a modern human?
00:00:42,00:00:47,But here is something and the bonus episode is also available online on iTunes and all
00:00:47,00:00:48,the other places.
00:00:48,00:00:52,"And we've been told that if enough listeners download it, we have a natural chance of"
00:00:52,00:00:55,getting into the UK album charts.
00:00:55,00:00:56,Yes.
00:00:56,00:00:59,And we will perform live on top of the pops.
00:00:59,00:01:00,Is that sort of thing?
00:01:00,00:01:04,"You know how I was saying about you, not being a modern human."
00:01:04,00:01:06,"OK, I'm with the show."
00:01:06,00:01:14,[MUSIC]
00:01:14,00:01:26,"Hello, and welcome to another episode of no such thing as a fish, a weekly podcast."
00:01:26,00:01:29,This week coming to you from the Lyric Theatre in London's West End.
00:01:29,00:01:33,"My name is Dan Schreiber, and please welcome to the stage the three regular elves."
00:01:33,00:01:41,"It's Andy Murray, Anna Chazinsky, and James Harkin."
00:01:41,00:01:46,"And once again, we have gathered around the microphones with our four favorite facts from"
00:01:46,00:01:50,"the last seven days, and in no particular order, here we go."
00:01:50,00:01:53,"Starting with you, Andrew Hunter Murray."
00:01:53,00:01:59,"My fact this week is that Lord Byron's nickname for William Wordsworth was ""William Terzworth."""
00:01:59,00:02:00,[LAUGHTER]
00:02:00,00:02:04,"He had a way with words, he was an engineer."
00:02:04,00:02:06,"They were living in the same time, they were mates."
00:02:06,00:02:07,"Yeah, yeah, yeah."
00:02:07,00:02:08,"Well, they weren't mates."
00:02:08,00:02:09,They weren't at all.
00:02:09,00:02:10,Yeah.
00:02:10,00:02:13,"Byron thought Wordsworth was very boring, and so he called him that."
00:02:13,00:02:16,There's this whole cache of letters they've just found from Lord Byron to a friend of his.
00:02:16,00:02:17,It was a clergyman.
00:02:17,00:02:21,"And yeah, he happens to slag off Wordsworth as Terzworth, and there you go."
00:02:21,00:02:22,[LAUGHTER]
00:02:22,00:02:26,"I was quite surprised that the word ""Therz"" existed so far back."
00:02:26,00:02:27,Really?
00:02:27,00:02:28,Yeah.
00:02:28,00:02:29,Did you-- I thought of it as more of a modern thing.
00:02:29,00:02:31,I don't think of it as a word like hyperlink or--
00:02:31,00:02:34,[LAUGHTER]
00:02:34,00:02:38,I thought they were exactly the same thing.
00:02:38,00:02:43,"I have a look on Hansard, which is the House of Parliament kind of transcripts, and nobody"
00:02:43,00:02:49,"has ever directly called another MP a ""Therz"" in the entire history of Parliament."
00:02:49,00:02:50,[LAUGHTER]
00:02:50,00:02:55,"The closest anyone came was in a hunting debate a few years ago, when the MP for Worcester,"
00:02:55,00:03:01,"Michael Foster, was described as a nasty snide little ""Therz,"" but in that case the MP was"
00:03:01,00:03:05,"quoting Harry M. Field, so it didn't look like that directly."
00:03:05,00:03:09,I think you're still calling someone something when you're quoting someone else.
00:03:09,00:03:10,Yeah.
00:03:10,00:03:12,"He was saying, isn't it bad that they called him this?"
00:03:12,00:03:13,"Yeah, basically."
00:03:13,00:03:16,"You're a real dickhead, said Rick Maill in bottom."
00:03:16,00:03:17,[LAUGHTER]
00:03:17,00:03:19,It's so called on the guy a dickhead.
00:03:19,00:03:23,"The world record for uttering the word ""Therz"" in Parliament."
00:03:23,00:03:24,What?
00:03:24,00:03:25,World record.
00:03:25,00:03:26,"Well, it's not really a world record."
00:03:26,00:03:31,"But most world records, you have to bring someone to record it, especially in, so that must"
00:03:31,00:03:34,"have been a phone call where they said, ""I've got a big idea I want to do in Parliament"
00:03:34,00:03:35,today.
00:03:35,00:03:36,Are you up for calming?
00:03:36,00:03:38,"Is it frequency or volume?"""
00:03:38,00:03:39,It was frequency.
00:03:39,00:03:44,"Frequency is Tony Banks, the former Minister for Sport, and he said, ""It's three times"
00:03:44,00:03:46,"in two years in the late 80s."""
00:03:46,00:03:47,[LAUGHTER]
00:03:47,00:03:49,So it's very visible.
00:03:49,00:03:52,"Yeah, you could say it ten times in ten seconds if you wanted to."
00:03:52,00:03:53,It's true.
00:03:53,00:03:56,All I'm saying to the current MPs that there is a chance of breaking that record.
00:03:56,00:03:57,Yeah.
00:03:57,00:04:01,"There was one time where he said, ""I've read every time MP has ever said ""Therz"" and there"
00:04:01,00:04:05,"was one when Tony Banks said it and he said, ""There was an occasion when I walked around"
00:04:05,00:04:12,the corner and was faced with a terrible dilemma of seeing a £1 coin embedded in a dog
00:04:12,00:04:17,"turd."""
00:04:17,00:04:24,"And then he said, ""I managed to find a small boy who for 50p was prepared to meet you."""
00:04:24,00:04:29,"Bill, were they debating at the time?"
00:04:29,00:04:31,It was about dog mess on the streets.
00:04:31,00:04:32,OK.
00:04:32,00:04:36,"George Bush used to call Carl Rove, ""Therz Blossom,"" didn't he?"
00:04:36,00:04:37,Yeah.
00:04:37,00:04:39,"Chief of Staff, Carl Rove, but it was a compliment."
00:04:39,00:04:40,OK.
00:04:40,00:04:45,"So Turd Blossom is a flower, apparently, in California, wherever that grows out of shit."
00:04:45,00:04:49,"And George Bush said, ""You know, you're so great, Carl Rove, you can turn a bad thing"
00:04:49,00:04:50,"into a good thing."""
00:04:50,00:04:51,So you're Turd Blossom.
00:04:51,00:04:55,"Also, I reckon that was an emergency meeting with the biggest minds of America going,"
00:04:55,00:04:57,"""OK, I just called Carl Rove Turd Blossom."
00:04:57,00:05:00,"I just want to turn this around on its head."""
00:05:00,00:05:03,I just got one more thing from Hansard.
00:05:03,00:05:07,I was so hoping to talk about Lord Byron about romantic verse.
00:05:07,00:05:11,"Yeah, well, tough."
00:05:11,00:05:18,"The first time that ever anyone said ""twat"" in Parliament was a guy called Bill Cash."
00:05:18,00:05:25,And he described Field Marshal Lord Carver as a boring old twat in 1986.
00:05:25,00:05:31,"And the second use of the word ""twat"" was immediately afterwards with an unnamed MP shouting,"
00:05:31,00:05:32,"""He said ""twat!"""
00:05:32,00:05:44,[LAUGHTER]
00:05:44,00:05:47,"Byron liked insult, his fellow poets a lot, didn't he?"
00:05:47,00:05:51,"And if it all romantic poets had all these rivalries between them, but he said about Keith,"
00:05:51,00:05:54,"he wrote ""piss a bed poetry,"" which I don't know what that means."
00:05:54,00:05:56,"Like, did it mean you were the best when you read it?"
00:05:56,00:05:59,"Well, ""piss a bed"" was an old name for Dundee Lion, so maybe it was another question."
00:05:59,00:06:01,I just didn't feel judging by the tone of it.
00:06:01,00:06:06,"And he goes on to say, ""No more keats I entreat, flay him alive."
00:06:06,00:06:08,"If some of you don't, I must skin him myself."
00:06:08,00:06:12,"There is no bearing the driveling idiotism of the mankin."""
00:06:12,00:06:14,So I don't think he was calling him a fan.
00:06:14,00:06:16,"I don't know if I called that, I must say."
00:06:16,00:06:20,He also said that his writing was a sort of mental masturbation.
00:06:20,00:06:21,Wow.
00:06:21,00:06:24,"I think he meant it, yeah."
00:06:24,00:06:28,"I have quite a good thing on a literary feud, which happened."
00:06:28,00:06:34,"So, A.N. Wilson, he's a famous author, and he was writing a book about John Becherman,"
00:06:34,00:06:35,just decades ago.
00:06:35,00:06:41,"And so was another person called Bevis Hylia, and A.N. Wilson was so rude about Bevis Hylia's"
00:06:41,00:06:43,"book, which came out first in a review."
00:06:43,00:06:47,"And when he was writing his, a little while later, he got this letter from a mysterious"
00:06:47,00:06:51,"French woman, which included this, like, gold dust for interviewers."
00:06:51,00:06:57,It was a hitherto unknown copy of a letter from John Becherman to one of his mistresses.
00:06:57,00:07:01,"And Wilson was so excited, and he printed the letter in full in his book, only for Bevis"
00:07:01,00:07:07,"Hylia to reveal that he had sent the letter, and that it was an acrostic, and that the first"
00:07:07,00:07:15,"letter of every sentence spelt out, A.N. Wilson is a shit."
00:07:15,00:07:20,I put it in his own book.
00:07:20,00:07:23,I found out something really rude about Lord Byron.
00:07:23,00:07:27,"When he died, he was buried in a really odd way."
00:07:27,00:07:30,"They removed his organs, and they put them in jars, and it was in a different country."
00:07:30,00:07:34,"And when he came back, he was buried, and they weren't quite sure if it was definitely"
00:07:34,00:07:35,him.
00:07:35,00:07:37,And so someone wanted to find out.
00:07:37,00:07:39,And they made a discovery that not many people have spoken about.
00:07:39,00:07:44,"So this was the sentence, basically, before replacing the lid, the vicar, who was the person"
00:07:44,00:07:50,"who was looking for him, noted that his sexual organ showed quite abnormal development."
00:07:50,00:07:55,"He began to tap the spot just above Byron's knee, and he said, he was built like a pony."
00:07:55,00:08:04,"That was in the tomb, that's not a horse."
00:08:04,00:08:07,"You know, we're being really critical."
00:08:07,00:08:14,"So when they got his body out of the tomb, there was seven people present."
00:08:14,00:08:17,"So there was Thomas Gerard Barber, who was the canon of the church."
00:08:17,00:08:24,"He was an unnamed doctor, a surveyor called Nathaniel Lane, a local archaeologist, a photographer"
00:08:24,00:08:30,"called Mr. Bullock, and the local MP was there, and I promise you, this was his actual name."
00:08:30,00:08:32,He was called Frederick Seymour Cox.
00:08:32,00:08:33,No.
00:08:33,00:08:34,No.
00:08:34,00:08:35,I promise.
00:08:35,00:08:36,Honestly.
00:08:36,00:08:37,"That's his name, honestly."
00:08:37,00:08:39,You know what they say?
00:08:39,00:08:42,"Seymour Cox, my name."
00:08:42,00:08:51,"Byron didn't wonder where, apparently, and apparently this is what was fashionable."
00:08:51,00:08:53,Just can't find them in his size.
00:08:53,00:08:58,Do you have that in pony?
00:08:58,00:09:02,"No, that was, and the reason was, and it was common, like people like Bob Rommel and"
00:09:02,00:09:05,"other fashionable people in Byron's era weren't wearing pants either, and it was because"
00:09:05,00:09:10,"tight trousers were in fashion at the time, and it was to avoid VPL, do people still"
00:09:10,00:09:11,say VPL?
00:09:11,00:09:13,They used to say when I was at school.
00:09:13,00:09:14,What's VPL?
00:09:14,00:09:16,A visible panty line.
00:09:16,00:09:17,They didn't say it was to avoid that.
00:09:17,00:09:22,"The historian, who's book I was reading, said, ""The line of the trousers was not to be interrupted"
00:09:22,00:09:25,"by underwear, and so he largely didn't wear any underwear."""
00:09:25,00:09:29,He bought white linen trousers and batches of 24 at a time.
00:09:29,00:09:30,Wow.
00:09:30,00:09:32,What was he doing to them?
00:09:32,00:09:33,Going through them.
00:09:33,00:09:40,"I did not think this fact would be this penicy, and I like to put them on the record."
00:09:40,00:09:43,We're going to have to move on very soon to our next facts.
00:09:43,00:09:44,"Oh, really?"
00:09:44,00:09:45,Yeah.
00:09:45,00:09:46,Do anything before we do?
00:09:46,00:09:47,I have a fact about nicknames.
00:09:47,00:09:48,Okay.
00:09:48,00:09:49,Yeah.
00:09:49,00:09:57,"At least ten kings of Serbia had the nickname ""The Crowned,"" as all they could think of for"
00:09:57,00:09:58,them.
00:09:58,00:09:59,It's imaginative.
00:09:59,00:10:03,"My favorite nickname of all time, there was a guy called Leo II, he was Roman Emperor, and"
00:10:03,00:10:05,he was known as Leo the Butcher.
00:10:05,00:10:07,That's not my favorite one.
00:10:07,00:10:11,"He was called the Butcher because he killed the patriarch of Alexandra's supporters, and"
00:10:11,00:10:17,"he was called Timothy the Cat, but that's not my favorite either."
00:10:17,00:10:24,"Because Timothy the Cat had replaced another guy called Timothy Wobble-Hat, and nobody"
00:10:24,00:10:26,knows why he was called Timothy Wobble-Hat.
00:10:26,00:10:28,There's two main theories.
00:10:28,00:10:32,"One of them is that he flip-flopped between religious positions, and the other one is"
00:10:32,00:10:39,he had a Wobble-Hat.
00:10:39,00:10:43,"Okay, let's move on to our second fact."
00:10:43,00:10:46,"It's time for our second fact, and that is James Harkin."
00:10:46,00:10:47,Okay.
00:10:47,00:10:55,"My fact this week is that if you grow a cost lettuce on a spaceship, it tastes like rocket."
00:10:55,00:11:01,"Yeah, so this is the first ever lettuce that's been grown in space."
00:11:01,00:11:06,"It was a red-remain lettuce, which is also known as a cos lettuce, and astronaut Scott Kelly"
00:11:06,00:11:12,"said it tastes good, kind of like arugula, and in this country we call arugula rocket."
00:11:12,00:11:17,"It's weird that he didn't manage to make that leap, though, from arugula to the word rocket"
00:11:17,00:11:20,as someone living on a rocket.
