start_hhmmss,end_hhmmss,text
00:00:00,00:00:11,(playing piano)
00:00:11,00:00:15,"Hello, and welcome to another episode of ""No Such Thing as a Fish"""
00:00:15,00:00:19,a weekly podcast coming to you from the QI offices in Covert Garden.
00:00:19,00:00:24,"My name is Dan Shriver, I am sitting here with Anna Chazinski, James Harkin and Andy Murray,"
00:00:24,00:00:29,"and once again we've gathered around the microphones with our four favorite facts from the last seven days,"
00:00:29,00:00:34,"and in no particular order, here we go. Starting with you, James."
00:00:34,00:00:40,"Okay, my fact this week is that the Great Wall of China is held together by Sticky Rice."
00:00:40,00:00:41,Right.
00:00:41,00:00:44,There's not sure. It's true. How's that possible?
00:00:44,00:00:47,"Well, it's the mortar that holds the bricks together."
00:00:47,00:00:52,"It must be extremely overcooks, because I don't think that's good Sticky Rice if it's like cement."
00:00:52,00:00:59,"Well, what they found is that they've got this kind of mortar, which is half organic and half inorganic,"
00:00:59,00:01:05,"and the organic compounds in it is something called Amelou Pectin, which is like a starchy stuff"
00:01:05,00:01:08,that you would get if you cooked potatoes or rice or whatever.
00:01:08,00:01:13,And they're pretty certain that they got that through cooking Sticky Rice and then extracting this stach
00:01:13,00:01:16,and then just mixing it with lime and making the mortar.
00:01:16,00:01:17,Wow. That's really cool.
00:01:17,00:01:23,"I've always thought food would make great cement, because have you ever left sort of the remnants of a wheat-a-bix bowl?"
00:01:23,00:01:24,"Yeah, wheat-a-bix."
00:01:24,00:01:26,Why are we not using wheat-a-bix to hold buildings together?
00:01:26,00:01:28,You're right. You leave it five minutes. You cannot wash that up now.
00:01:28,00:01:30,It's done. You might as well throw away the bowls.
00:01:30,00:01:33,That is why we're out of croquerie in the office.
00:01:33,00:01:37,It's very cool. So how much of the Great Wall was used?
00:01:37,00:01:44,"So the Great Wall started being built 2,200 years ago, and this mortar came in 1,500 years ago."
00:01:44,00:01:50,"And so it's not all of the wall, but the main bit, which was built by the Ming Dynasty,"
00:01:50,00:01:53,"the bit that you kind of see in the photos, that has Sticky Rice in it."
00:01:53,00:01:57,That's all the fancy towers and really good bits of wall.
00:01:57,00:01:59,It's not the like earth and mountains.
00:01:59,00:02:03,"Yeah, which aren't even really the Great Wall of China, are they?"
00:02:03,00:02:09,"I had them described as the Qi Wall, which is about the Qi Wall, which is quite nice."
00:02:09,00:02:14,"But it was built in 500 BC, and it's mostly just earth."
00:02:14,00:02:18,"But it was really quite effective, because if you're an infantry army trying to cross that,"
00:02:18,00:02:24,"you can cross it, but A, it'll take loads of time and B, you'll probably have to leave some supplies behind, and it's just a pain."
00:02:24,00:02:27,"Yeah, the thing is, that is great, and it's a wall, and it's in China."
00:02:27,00:02:30,"So I think we should call that the Great Wall of China, as well."
00:02:30,00:02:36,"Yeah, and that was by the Emperor who kind of created China, modern day China, I guess,"
00:02:36,00:02:39,who was credible character.
00:02:39,00:02:40,"Emperor Qi, Emperor Qi."
00:02:40,00:02:42,And he was a Terracotta warrior's guy.
00:02:42,00:02:47,He was amazing when you look at what he did in one lifetime.
00:02:47,00:02:50,"I mean, he killed a lot of people in the process, but it's..."
00:02:50,00:02:52,He shouldn't hold that against him.
00:02:52,00:02:54,He had an army of 1.5 million men.
00:02:54,00:02:55,Wow.
00:02:55,00:02:59,Imagine if the Grand Old Duke of York had an army of 1.5 million men.
00:02:59,00:03:00,The hill would be full.
00:03:00,00:03:01,"It would be very, very hard."
00:03:01,00:03:03,So we're going to go back down.
00:03:03,00:03:10,"Do you know that they've now, they've trying to combat the thing of everyone going on the wall and grafiting it?"
00:03:10,00:03:15,And so they've actually created a section that you can legally grafiting now on the Great Wall of China.
00:03:15,00:03:18,"Yeah, there's a graffiti corner."
00:03:18,00:03:19,That seems a crazy idea.
00:03:19,00:03:20,I saw that.
00:03:20,00:03:21,I can't quite believe it.
00:03:21,00:03:23,It seems very...
00:03:23,00:03:25,"But it does take the fun out of graffiti, though."
00:03:25,00:03:26,"Yeah, when it's allowed."
00:03:26,00:03:27,"Hey, guys."
00:03:27,00:03:30,Welcome to the cool graffiti area where you can draw what you like on the wall.
00:03:30,00:03:37,"So, you know, last week, I think I mentioned that they've just realised there are eight times as many trees as we thought they were on Earth."
00:03:37,00:03:40,"Which, if it was edited out, that's a fact for this week's podcast."
00:03:40,00:03:42,There are eight times as many trees as we thought they were.
00:03:42,00:03:43,We've just miscounted.
00:03:43,00:03:49,"So, in the same way, they recently measured the Great Wall of China, and it's like three times longer than we thought it was."
00:03:49,00:03:50,We're all the trees behind it.
00:03:50,00:03:52,It's not hiding.
00:03:52,00:03:55,But how did we get that wrong?
00:03:55,00:04:00,"So, we thought it was 9,000 kilometres, and then it turns out they've just announced it's 21,000."
00:04:00,00:04:02,So cool. That's half way round the Earth.
00:04:02,00:04:03,That's half the circumference of the Earth.
00:04:03,00:04:04,Wow.
00:04:04,00:04:05,If stretched out.
00:04:05,00:04:08,"And it's all sorts of different bits folded in and itself and so on, but yeah."
00:04:08,00:04:11,"Yeah, it's lots of different walls, isn't it? It's not actually one proper wall."
00:04:11,00:04:14,"Depending on whether you go with James, it's all definitely the Great Wall of China theory."
00:04:14,00:04:18,"Every single wall in China, which I consider to be great."
00:04:18,00:04:23,"Apparently, so I've been to the Great Wall of China."
00:04:23,00:04:24,Have you?
00:04:24,00:04:24,Yeah.
00:04:24,00:04:25,It's all by.
00:04:25,00:04:26,Have you?
00:04:26,00:04:26,Yeah.
00:04:26,00:04:27,I was reading.
00:04:27,00:04:28,"Actually, I wasn't reading."
00:04:28,00:04:33,"I saw this in a Carl Pilkington idiot abroad documentary episode where he visited there and he was reading a little pamphlet in it,"
00:04:33,00:04:40,"where it said, basically, that section most people go to has been renovated so much that it's basically a whole new wall."
00:04:40,00:04:42,It's just it's all new bricks.
00:04:42,00:04:48,"So since 1983, that's what people are visiting a sort of 1983 version of the Great Wall of China."
00:04:48,00:04:49,Yeah.
00:04:49,00:04:52,Which is probably safer because so many people are visiting it.
00:04:52,00:04:56,"I read somewhere saying it's really ironic that considering it was designed to keep people out,"
00:04:56,00:05:00,"it's now what are trying as big as tourist attractions, attracts millions of people to it every year."
00:05:00,00:05:01,Yeah.
00:05:01,00:05:03,Was it definitely to keep people out?
00:05:03,00:05:06,I remember once reading that it was a place to collect tax or something.
00:05:06,00:05:08,"Yeah, not sure."
00:05:08,00:05:09,Do you know what you're thinking of?
00:05:09,00:05:10,What?
00:05:10,00:05:11,The great hedge of India.
00:05:11,00:05:12,Am I?
00:05:12,00:05:13,Yeah.
00:05:13,00:05:14,Yeah.
00:05:14,00:05:15,So there's India.
00:05:15,00:05:20,There's a huge hedge that runs along and it was a borderline to collect tax on.
00:05:20,00:05:25,"And so you'd get to the hedge and there might be someone patrolling the hedge and they would collect tax, something like that."
00:05:25,00:05:27,Did they call the tax the hedge fund?
00:05:27,00:05:28,"Oh, nice."
00:05:28,00:05:29,Yeah.
00:05:29,00:05:34,Do you guys know who the first person to be filmed on the Great Wall of China was?
00:05:34,00:05:35,Just in Bieber.
00:05:35,00:05:36,No.
00:05:36,00:05:39,"For a movie, sorry, I should say."
00:05:39,00:05:40,Who's closer?
00:05:40,00:05:41,"James, James."
00:05:41,00:05:42,Yes.
00:05:42,00:05:43,Steven Segal.
00:05:43,00:05:44,It's so close.
00:05:44,00:05:45,In name.
00:05:45,00:05:46,Steven Segal.
00:05:46,00:05:47,"No, so."
00:05:47,00:05:48,Okay.
00:05:48,00:05:49,Steve Cougan.
00:05:49,00:05:50,What?
00:05:50,00:05:52,Steve Cougan was the first ever person to be filmed.
00:05:52,00:05:54,He made a movie called Around the World in 80 Days.
00:05:54,00:05:55,It was the Jules Verne movie.
00:05:55,00:05:57,He's the first person to be filmed in it for a movie.
00:05:57,00:06:00,They got access to it for the first time ever.
00:06:00,00:06:02,It had never been featured in a film before.
00:06:02,00:06:03,Like it had never been performed on it.
00:06:03,00:06:07,"Well, if it had been featured, it was just purely a shot as opposed to someone walking"
00:06:07,00:06:08,and doing dialogue on it.
00:06:08,00:06:09,"Oh, it would have been a set or something."
00:06:09,00:06:10,Exactly.
00:06:10,00:06:11,Yeah.
00:06:11,00:06:16,"So on the Great Wall of China, you know the whole thing about whether you can see it from space or not."
00:06:16,00:06:17,Yeah.
