start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(blues music)
00:00:02,00:00:05,(speaking in foreign language)
00:00:05,00:00:08,(blues music)
00:00:08,00:00:13,(cheering)
00:00:13,00:00:16,(cheering)
00:00:16,00:00:19,"And welcome to another episode of ""No Such Thing"""
00:00:19,00:00:22,"as a fish, a weekly podcast coming to you"
00:00:22,00:00:24,from the Up the Creek Comedy Club in Greenwich.
00:00:24,00:00:25,My name is Dan Schreiber.
00:00:25,00:00:27,"I'm sitting here next to Anna Chazinski,"
00:00:27,00:00:29,Andy Murray and James Harkin.
00:00:29,00:00:31,"Once again, we have sat around the microphones"
00:00:31,00:00:34,with our four favorite facts from the last seven days
00:00:34,00:00:37,"and in no particular order, here we go."
00:00:37,00:00:39,"Okay, time for fact number one,"
00:00:39,00:00:40,and that's my fact.
00:00:40,00:00:42,My fact this week is that even though we're not sure
00:00:42,00:00:45,"it exists, the new planet, planet number nine,"
00:00:45,00:00:48,is the most planetary planet of all the planets.
00:00:48,00:00:50,(laughing)
00:00:50,00:00:54,So this is a major discovery that we found.
00:00:54,00:00:55,"- Yeah, a new planet."
00:00:55,00:00:56,"- Oh, it didn't find."
00:00:56,00:00:57,"- Oh, it didn't find."
00:00:57,00:00:58,"Either way, it's big news."
00:00:58,00:01:01,"- Yeah, we think it exists because of computer modeling."
00:01:01,00:01:03,They've modeled the solar system.
00:01:03,00:01:05,They think this thing exists.
00:01:05,00:01:06,It's absolutely massive.
00:01:06,00:01:09,And one thing that is very important with planets
00:01:09,00:01:12,is that it clears out the area of its orbit.
00:01:12,00:01:14,So the round to other things going round with it.
00:01:14,00:01:16,"And they think according to their calculations,"
00:01:16,00:01:18,this planet has done that more than any other planet.
00:01:18,00:01:20,And that's what makes it the most planetary planet
00:01:20,00:01:21,of all the planets.
00:01:21,00:01:24,"According to the guy who discovered it,"
00:01:24,00:01:26,"or one of the two guys who discovered it, Doctor Brown."
00:01:26,00:01:27,- Right.
00:01:27,00:01:29,"- So a planet, a planet is a planet"
00:01:29,00:01:31,that no other things want to be close to.
00:01:31,00:01:32,"Really, right?"
00:01:32,00:01:33,"- Well, that's the case."
00:01:33,00:01:35,Then I and I have landed a planet.
00:01:35,00:01:38,(laughing)
00:01:38,00:01:39,- I read a description of it
00:01:39,00:01:42,that it was almost certain to be a fifth member
00:01:42,00:01:45,of the Jupiter Saturn Uranus Neptune quartet.
00:01:45,00:01:46,So it's like the fifth beetle.
00:01:46,00:01:49,But it's like the fifth beetle was cast into deep space.
00:01:49,00:01:50,(laughing)
00:01:50,00:01:52,"Yeah, the really cool thing about the new planet"
00:01:52,00:01:54,is you may have seen this in the news.
00:01:54,00:01:55,"The man who discovered it,"
00:01:55,00:01:57,"one of the two guys who wrote the paper on it,"
00:01:57,00:02:00,is the same man who killed Pluto.
00:02:00,00:02:01,- Yeah.
00:02:01,00:02:03,"- So it's like Brown, that is."
00:02:03,00:02:05,- It's like a grudge match.
00:02:05,00:02:05,(laughing)
00:02:05,00:02:06,It's so exciting.
00:02:06,00:02:08,- His Twitter account is @PlutoKiller.
00:02:08,00:02:09,"- Yeah, isn't it?"
00:02:09,00:02:10,- No.
00:02:10,00:02:11,"- It's actually, yeah."
00:02:11,00:02:12,"- And he says he still gets,"
00:02:12,00:02:17,"he gets abuse from, he gets letters"
00:02:17,00:02:20,and obscene phone calls from people who miss Pluto.
00:02:20,00:02:22,(laughing)
00:02:22,00:02:24,"He said, these are his exact words."
00:02:24,00:02:28,"He said, I got hate mail from young children for many years."
00:02:28,00:02:29,(laughing)
00:02:29,00:02:30,And he doesn't get any more now
00:02:30,00:02:31,because young children these days know
00:02:31,00:02:33,that Pluto is no longer a planet.
00:02:33,00:02:35,"- Pluto was named by a child, wasn't it?"
00:02:35,00:02:35,- Was it?
00:02:35,00:02:36,- Yeah.
00:02:36,00:02:38,"- By an 11-year-old girl, Venetian,"
00:02:38,00:02:40,"I read such a nice interview with her,"
00:02:40,00:02:42,"which was about five years ago, I think,"
00:02:42,00:02:45,about how exciting it was that she'd named Pluto.
00:02:45,00:02:48,And the interview kept on asking her why she'd named it Pluto.
00:02:48,00:02:49,It was a NASA interviewer.
00:02:49,00:02:50,"The NASA interviewer said,"
00:02:50,00:02:52,"""And you thought about it because of the Greek"
00:02:52,00:02:54,and Roman mythology about Pluto being the god
00:02:54,00:02:55,"of the underworld, yes?"""
00:02:55,00:02:57,"And she'd be like, ""No, no, I don't think it was as subtle"
00:02:57,00:03:00,"as that, no, it was just the name I knew hadn't been used."""
00:03:00,00:03:02,"Okay, but it was also because the first two letters,"
00:03:02,00:03:05,"PL, have a connection with Persevalal?"
00:03:05,00:03:06,(laughing)
00:03:06,00:03:08,"No, no, I certainly didn't realize that."
00:03:08,00:03:09,I appreciate it.
00:03:09,00:03:12,(laughing)
00:03:12,00:03:14,"- Point interviewer, give me something."
00:03:14,00:03:16,- She got five pounds for that.
00:03:16,00:03:18,- But they took that five pounds off her
00:03:18,00:03:19,when they demoted it from the planet.
00:03:19,00:03:22,(laughing)
00:03:22,00:03:23,- No?
00:03:23,00:03:25,(laughing)
00:03:25,00:03:27,"- She said, she was in her late 80s when it was demoted"
00:03:27,00:03:29,and they asked her about it at the time.
