start_hhmmss,end_hhmmss,text
00:00:00,00:00:10,[MUSIC]
00:00:10,00:00:17,">> Hello, and welcome to another episode."
00:00:17,00:00:20,"A no such thing as a fish, a weekly podcast."
00:00:20,00:00:23,This week coming to you live from Newport.
00:00:23,00:00:25,"My name is Dan Schreiber, and please welcome to the stage."
00:00:25,00:00:28,"It's Anich Zinski, James Harkin, and Andy Murray."
00:00:28,00:00:31,[APPLAUSE]
00:00:31,00:00:37,">> And once again, we have gathered around the microphones"
00:00:37,00:00:40,with our four favorite facts from the last seven days.
00:00:40,00:00:42,"And in a particular order, here we go."
00:00:42,00:00:44,"Starting with you, James Harkin."
00:00:44,00:00:48,">> Okay, my fact this week is that Grumpy from the Seven Dwarfs"
00:00:48,00:00:50,is not nearly Grumpy enough.
00:00:50,00:00:52,[LAUGHTER]
00:00:52,00:00:54,>> Sounds like an opinion.
00:00:54,00:00:55,[LAUGHTER]
00:00:55,00:00:56,">> It is an opinion, I'd say."
00:00:56,00:00:59,It's the opinion of some researchers from Duke University
00:00:59,00:01:00,and North Carolina.
00:01:00,00:01:02,And what they did is they looked in a load of movies
00:01:02,00:01:06,"that are aimed at children, so they would be rated you in the UK."
00:01:06,00:01:08,They split all the characters up in class.
00:01:08,00:01:11,"So you have your opera class, your middle class, and your lower class."
00:01:11,00:01:15,"And they decided that the depiction of working class was unrealistic,"
00:01:15,00:01:18,and that the Seven Dwarfs would not be singing cheerfully
00:01:18,00:01:20,as they walked down to the mind.
00:01:20,00:01:23,[LAUGHTER]
00:01:23,00:01:26,">> So James, who were the scientists?"
00:01:26,00:01:29,">> Yeah, they were just people at Duke University and North Carolina."
00:01:29,00:01:31,"To be honest, they are their cartoons, aren't they?"
00:01:31,00:01:34,You don't really expect them to be all that kind of realistic.
00:01:34,00:01:37,But scientists don't like it when you get things wrong.
00:01:37,00:01:41,"In the Lion King, they're hyenas in the Lion King and the bad guys."
00:01:41,00:01:45,And some of the artists for the film spent two days observing hyenas
00:01:45,00:01:48,in the hills above the campus of where they were.
00:01:48,00:01:51,"And the scientists who were with them said, look, hyenas are good guys."
00:01:51,00:01:54,"Don't depict them as idiots, as evil people."
00:01:54,00:01:55,And they did.
00:01:55,00:01:57,And then one of them sued.
00:01:57,00:01:58,>> What are the hyenas?
00:01:58,00:01:58,What are the hyenas?
00:01:58,00:01:59,>> One of the hyenas.
00:01:59,00:02:02,">> I mean, that is litigious."
00:02:02,00:02:05,And I think they are evil as a result of that.
00:02:05,00:02:07,">> Well, that wouldn't be very realistic either, would it?"
00:02:07,00:02:09,">> Now, it was one of the scientists sued, yeah."
00:02:09,00:02:11,">> I wouldn't watch that film, though."
00:02:11,00:02:14,"One of the hyenas from the original film, soos the mix."
00:02:14,00:02:17,">> This is the Lion King 3, which is like--"
00:02:17,00:02:19,so the Lion King's sort of based on Hamlet.
00:02:19,00:02:20,>> Yeah.
00:02:20,00:02:23,">> And then the Lion King 3 begins with Timon and Pumper,"
00:02:23,00:02:25,"the comedy characters, and they're based on"
00:02:25,00:02:29,Gildenstone and Rosencrantz in the original thing.
00:02:29,00:02:31,But then the Lion King 3 is based on Gildenstone and Rosencrantz
00:02:31,00:02:33,"and dead, the Tom Stopper play."
