start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(Bell)
00:00:02,00:00:04,(Bell)
00:00:04,00:00:06,(Bell)
00:00:06,00:00:08,(Bell)
00:00:08,00:00:10,(Bell)
00:00:10,00:00:12,(Bell)
00:00:12,00:00:14,(Bell)
00:00:14,00:00:16,Hello and welcome to another episode.
00:00:16,00:00:19,"A no-stutch thing is a fish, a weekly podcast."
00:00:19,00:00:21,This week coming to you live from Bristol.
00:00:21,00:00:24,My name is Dan Schreiber and please welcome to the stage.
00:00:24,00:00:27,"It's Anit Shazinski, Andy Murray and James Harkin!"
00:00:27,00:00:31,(Bell)
00:00:31,00:00:33,(Bell)
00:00:33,00:00:39,And once again we have gathered around the microphones with our four favorite facts from the last seven days.
00:00:39,00:00:42,"And in no particular order, here we go."
00:00:42,00:00:44,"Starting with me, my fact."
00:00:44,00:00:50,My fact this week is that the frog whose Latin name means blue frog is actually green.
00:00:50,00:00:52,(Bell)
00:00:52,00:00:56,It's very exciting. This is the Australian green frog.
00:00:56,00:01:05,And basically when it was sent from Australia to England for scientific purposes because of the preservatives and so on inside the glass that it was kept in it turned it blue.
00:01:05,00:01:08,So they named it blue frog.
00:01:08,00:01:12,"And then it was not until they saw a living one that they realized, oh actually this thing's green."
00:01:12,00:01:15,"But it is still, its Latin name is still blue frog."
00:01:15,00:01:17,That's good.
00:01:17,00:01:23,It might always turn blue when it dies.
00:01:23,00:01:30,I think that it is true because there was a study done wasn't there last year and it was about how certain animals make themselves look certain colors when they don't have the right pigments.
00:01:30,00:01:40,"And I think it was looking at birds and the shape of their feathers and how it's actually often about the shape of it, the structure of something and then how it makes the light reflect off it without using pigments."
00:01:40,00:01:46,And it said that that's why the Australian green frog turns blue after death is because I think the shape of it kind of changes and it gets floppy once it dies.
00:01:46,00:01:49,It could also be that all these scientists are colourblind.
00:01:49,00:01:53,To me it's kind of like a computer game where it's game over.
00:01:53,00:01:58,"Just a frog suddenly just living as green just, and it's blue."
00:01:58,00:02:05,It's just a really good way of letting you know that okay that's a dead green frog.
00:02:05,00:02:06,Do you not think?
00:02:06,00:02:09,"Because frogs, okay I was reading about other frogs."
00:02:09,00:02:21,"This is not necessarily the Australian green frog, but I went on a website about frogs and I went to the section of it called frog quently asked questions."
00:02:21,00:02:22,"Very, very, very."
00:02:22,00:02:32,And they wanted to know about how much sleep frogs get and the reply on the website was that frogs and toads will sit very still with their eyes closed.
00:02:32,00:02:43,And the assumption is that they are asleep but it is not clear how long they sleep per day. So we don't know they'll just sit looking like they're asleep and we they might just be hanging out.
00:02:43,00:02:45,"But they deny it, they deny it afterwards."
00:02:45,00:02:46,Right on the sleep.
00:02:46,00:02:50,They're very much like dads in that respect.
00:02:50,00:02:58,So I found out about a frog which changes colour called the more frog and it's brown but during the mating season all the males turn blue.
00:02:58,00:03:08,It's so that they can tell which ones are males and which ones are females because the males are very enthusiastic and they will just get mounting any frog which looks different to them.
00:03:08,00:03:11,So they think it's evolved because they're so stupid.
00:03:11,00:03:13,They can't tell whether they're...
00:03:13,00:03:14,What could you tell?
00:03:14,00:03:15,Going stupid.
00:03:15,00:03:17,What would you know if you saw two brown frogs?
00:03:17,00:03:20,"If I were to say, excuse me, I'm leaving brown frogs."
00:03:20,00:03:24,"I'm more excited by the term you use, get mounting."
00:03:24,00:03:27,That's an insight into your private life there.
00:03:27,00:03:33,"There's a tortoise that turns red as it's having sex, isn't there?"
00:03:33,00:03:34,What?
00:03:34,00:03:36,"Yeah, which kind of humans do as well?"
00:03:36,00:03:37,I can't.
00:03:37,00:03:39,In my experience.
00:03:39,00:03:41,But I think it turns redder.
00:03:41,00:03:45,"I just think, again, very useful because you're like, I'm just going over to see Barry."
00:03:45,00:03:46,"Barry, okay, busy."
00:03:46,00:03:48,You were just...
00:03:48,00:03:53,"How close do you usually get to people before going, are you guys having, you are having sex?"
00:03:53,00:03:58,"Hey, I think I put a flag up or something next time."
00:03:58,00:03:59,Jesus.
00:03:59,00:04:00,Wow.
00:04:00,00:04:03,But that is cool.
00:04:03,00:04:05,It's really cool.
00:04:05,00:04:06,Sorry.
00:04:06,00:04:07,Did I say it was a tortoise?
00:04:07,00:04:08,That's cool.
00:04:08,00:04:10,It's the golden tortoise beetle.
00:04:10,00:04:12,And it turns red having sex.
00:04:12,00:04:14,And it is.
00:04:14,00:04:17,You can see where I had trouble there.
00:04:17,00:04:19,"Yeah, sexual signaling apparently."
00:04:19,00:04:21,But I would have thought it turns red as it's having sex.
00:04:21,00:04:24,"Apparently it turns red to say, I am ready to make now."
00:04:24,00:04:28,"But I would have thought, by the time you're doing that, you don't really need the signaling anymore."
00:04:28,00:04:30,So there's a frog as well that is red.
00:04:30,00:04:33,And it's often called the tomato frog.
00:04:33,00:04:38,"Literally, it's color is meant to warn predators that it's not safe to eat because it is quite toxic."
00:04:38,00:04:44,"But there are lots of frogs on those little tiny Amazonian frogs that were sort of the very, very brightly colored yellow and blue ones."
00:04:44,00:04:45,They're really toxic.
00:04:45,00:04:46,Right.
00:04:46,00:04:47,Yeah.
00:04:47,00:04:52,"And so there's one that Ezra Frog, when it's young, it's black with bright yellow spots."
00:04:52,00:04:53,And it does look poisonous.
00:04:53,00:04:55,That's something we were recognise as being poisonous.
00:04:55,00:04:57,"But when it gets older, it completely transforms and look it up."
00:04:57,00:04:58,It's amazing.
00:04:58,00:05:03,It transforms into this lovely kind of translucent orangey peach color with these big green eyes.
00:05:03,00:05:05,And so it doesn't look toxic anymore.
00:05:05,00:05:09,But I would want all predators to think I was toxic throughout my life.
00:05:09,00:05:11,"It's kind of like saying, you can handle yourself now."
00:05:11,00:05:13,Because what if no one wants to hang out with you anymore?
00:05:13,00:05:14,Because you look scary.
00:05:14,00:05:17,You might have others frog-species friends you want to chill out with and they're just asking for you.
00:05:17,00:05:18,"No, no, no."
00:05:18,00:05:19,We don't want the toxic lad over here.
00:05:19,00:05:20,"Okay, good point."
00:05:20,00:05:21,Yeah.
00:05:21,00:05:23,"Well, you're still a good point, Anna."
00:05:23,00:05:26,And I think you say it as a reflex.
00:05:26,00:05:29,"Okay, green tree frogs."
00:05:29,00:05:30,Yeah.
00:05:30,00:05:31,They're an interesting species.
00:05:31,00:05:35,And they respond to sounds of other green tree frogs' coals.
00:05:35,00:05:37,So the males respond to the female coals.
00:05:37,00:05:40,But they'll also respond to other things that sound a bit like the females.
00:05:40,00:05:45,"So they found that they would respond to a washing machine, a popcorn popper,"
00:05:45,00:05:52,"a dog lapping water, cannon fire in a civil war movie,"
00:05:52,00:05:55,"and Scott Joplin, ragtime music."
00:05:55,00:05:59,"And they think that's all a female going, yeah, I'm ready to have sex."
00:05:59,00:06:02,The most optimistic of all species.
00:06:02,00:06:06,The sound of a cannon firing in a civil war movie.
00:06:06,00:06:11,"Either Ulysses-esque ground is just one another battle, or I'm about to get lucky."
00:06:11,00:06:13,Let's get counting.
00:06:13,00:06:19,"Do you know something really cool that frogs can do, which they've just found out?"
00:06:19,00:06:20,No.
00:06:20,00:06:23,They can urinate out anything that's stuck in their body.
00:06:23,00:06:27,"So this was, so this was originally found out"
00:06:27,00:06:30,because a scientist planted little radio transmitters under their skin
00:06:30,00:06:32,because they wanted to track frogs.
00:06:32,00:06:36,"And they realized that they'd all, like, they went to find the radio transmitters,"
00:06:36,00:06:37,and they'd disappear.
00:06:37,00:06:38,They couldn't track the frogs anymore.
00:06:38,00:06:42,And it turned out that it's because they can slowly transport foreign objects
