start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:16,- Hello and welcome to another episode
00:00:16,00:00:19,"of no such thing as a fish, a weekly podcast"
00:00:19,00:00:21,this week coming to you from Orrenmore in Glasgow.
00:00:21,00:00:24,My name is Dan Shriver and please welcome to stage
00:00:24,00:00:27,its Anitazinski James Harkin and Andy Murray.
00:00:27,00:00:30,(cheering and applause)
00:00:30,00:00:47,And once again we have gathered around the microphones
00:00:47,00:00:50,with our four favorite facts from the last seven days
00:00:50,00:00:53,"and in no particular order, here we go."
00:00:53,00:00:57,"Starting with my fact, my fact this week is that in Utah,"
00:00:57,00:01:00,it is illegal to wear a hat in your driving license photo
00:01:00,00:01:02,but you can wear a colander.
00:01:02,00:01:03,(cheering and applause)
00:01:03,00:01:08,"Yeah, one of those pasta strainers, you can wear them."
00:01:08,00:01:10,(laughing)
00:01:10,00:01:12,Who's genuinely true and it obviously pisses off
00:01:12,00:01:14,the authorities whenever someone says it's my right to
00:01:14,00:01:16,and the reason they say it's their right to
00:01:16,00:01:18,is they say they can do it on religious grounds.
00:01:18,00:01:19,"- Yeah, is it pasta fairy anism?"
00:01:19,00:01:21,- Pasta fairy anism.
00:01:21,00:01:23,- Such strong name.
00:01:23,00:01:26,- How many people know about pasta fairy anism?
00:01:26,00:01:29,- How many people are pasta fairings?
00:01:29,00:01:30,- I'm a minister.
00:01:30,00:01:32,"- Whoa, did someone just say you're a minister?"
00:01:32,00:01:34,- Oh no.
00:01:34,00:01:35,- What?
00:01:35,00:01:37,- If anyone would like to get married tonight.
00:01:37,00:01:39,(laughing)
00:01:39,00:01:42,"Which you can do, can you do it here in Glasgow?"
00:01:42,00:01:43,Can you get married?
00:01:43,00:01:46,- The legislation that brought in same sex marriages
00:01:46,00:01:50,"last year, part of that was to allow non-traditional"
00:01:50,00:01:52,religious groups to perform weddings well.
00:01:52,00:01:54,I'm not quite sure.
00:01:54,00:01:55,(laughing)
00:01:55,00:01:57,"- Wait, you're a minister mate."
00:01:57,00:02:00,You should have that covered.
00:02:00,00:02:02,"- Dan, do you know, I'm a minister"
00:02:02,00:02:06,of the priest of the church of the latter day dude.
00:02:06,00:02:07,- What?
00:02:07,00:02:08,- What?
00:02:08,00:02:09,"- Yeah, I signed up online."
00:02:09,00:02:12,(laughing)
00:02:12,00:02:14,"It's a very, very stringent thing you have to go through."
00:02:14,00:02:16,"You go onto their website, you put your email,"
00:02:16,00:02:18,"it's basically signing up to a mailing list,"
00:02:18,00:02:21,but they say that then you're a minister in their church.
00:02:21,00:02:23,- What do you get to do?
00:02:23,00:02:24,Apparently it's something.
00:02:24,00:02:25,- You get to dude.
00:02:25,00:02:27,(laughing)
00:02:27,00:02:30,"Dude, dude, dude, you take this woman."
00:02:30,00:02:32,(laughing)
00:02:32,00:02:33,I dude.
00:02:33,00:02:36,(laughing)
00:02:36,00:02:37,- I don't think you're taking my religion.
00:02:37,00:02:38,"- Very serious, sorry."
00:02:38,00:02:39,- Sorry.
00:02:39,00:02:42,- So it's from a movie with the dude.
00:02:42,00:02:43,"I don't know what, I've never seen it in my bioski."
00:02:43,00:02:44,- Oh my god.
00:02:44,00:02:45,- Think of the bioski.
00:02:45,00:02:48,"- You never see, it's like, it's like a Jew"
00:02:48,00:02:49,hasn't read the Ten Commandments.
00:02:49,00:02:52,(laughing)
00:02:52,00:02:56,"And when I signed up, I vowed to uphold the principles of dudeism"
00:02:56,00:02:59,"to take it easy, to be easy going to everyone I meet"
00:02:59,00:03:01,and to keep my mind limber.
00:03:01,00:03:04,And I had to promise that the ordination was for me
00:03:04,00:03:07,and not for someone else or my dog or whatever.
00:03:07,00:03:10,(laughing)
00:03:10,00:03:12,"- That's very cool, that's amazing."
00:03:12,00:03:12,- Wow.
00:03:12,00:03:14,- So what about paciferianism?
00:03:14,00:03:15,What's that all about?
00:03:15,00:03:16,"- Well, it was started in 2005, wasn't it?"
00:03:16,00:03:17,- Yeah.
00:03:17,00:03:19,"- And it's people who are protesting against teaching,"
00:03:19,00:03:21,intelligent design in schools in America
00:03:21,00:03:22,as an alternative to evolution.
00:03:22,00:03:25,"- And so they created their own kind of god,"
00:03:25,00:03:26,which was the spaghetti monster.
00:03:26,00:03:27,(laughing)
00:03:27,00:03:29,"Yeah, and it's becoming, this is the thing,"
00:03:29,00:03:31,it's becoming quite a large religion
00:03:31,00:03:34,to the point where people are ministers
00:03:34,00:03:37,and are wearing calendars on their head
00:03:37,00:03:38,because that's the religious headgear
00:03:38,00:03:40,that they wear in the photos.
00:03:40,00:03:42,"And they even have now, it's gone so far"
00:03:42,00:03:44,that there are some people who aren't quite sure
00:03:44,00:03:47,whether or not they believe in the flying spaghetti.
00:03:47,00:03:47,(laughing)
00:03:47,00:03:49,"- Yeah, there's spaghetti monster."
00:03:49,00:03:53,"- So, most paciferians believe that he's tomato based"
00:03:53,00:03:54,whereas others believe.
00:03:54,00:03:57,(laughing)
00:03:57,00:03:59,Whereas others believe that it is pesto or cream.
00:03:59,00:04:02,(laughing)
00:04:02,00:04:03,And they're called spagnostics.
00:04:03,00:04:05,(laughing)
00:04:05,00:04:12,- So I have a fact about things that are not hats.
00:04:12,00:04:14,(laughing)
00:04:14,00:04:17,I wanted to find out things that are not hats
00:04:17,00:04:18,that have been used as hats.
00:04:18,00:04:23,"So I googled the phrase worn as a hat, specifically that."
00:04:23,00:04:28,"And it turned out that in 2002, a 17-year-old girl"
00:04:28,00:04:31,wore a chameleon as a hat through Manchester Airport
00:04:31,00:04:34,and was stopped by the customs guys.
00:04:34,00:04:34,(laughing)
00:04:34,00:04:36,"The telegraph said, ""Despite its abilities,"
00:04:36,00:04:38,"a camouflage itself by changing color."""
00:04:38,00:04:40,(laughing)
00:04:40,00:04:42,But the chameleon attracted the attention
00:04:42,00:04:44,of people with a luggage carousel.
00:04:44,00:04:46,And she'd flown all the way from Dubai
00:04:46,00:04:47,with this thing on her head.
00:04:47,00:04:48,(laughing)
00:04:48,00:04:49,And it was a very endangered species.
00:04:49,00:04:52,So they took it off her and sent it to a safe house
00:04:52,00:04:53,and eventually sent it back this way.
00:04:53,00:04:57,- There's an Australian guy who once muggled a snake
00:04:57,00:05:00,in his underpants to Bali.
00:05:00,00:05:01,- Yeah.
00:05:01,00:05:02,"- On a plane, that's an early day."
00:05:02,00:05:03,- Is that how you used to do this?
00:05:03,00:05:04,(laughing)
00:05:04,00:05:06,"- Oh yeah, I might have misheard that story."
00:05:06,00:05:06,- Yeah.
00:05:06,00:05:09,(laughing)
00:05:09,00:05:10,"- Yeah, no, okay, back to you."
00:05:10,00:05:11,- Yeah.
00:05:11,00:05:13,(laughing)
00:05:13,00:05:15,- On wearing odd things on your head.
00:05:15,00:05:16,- I wouldn't put a snake in my pants.
00:05:16,00:05:17,"- Sorry, sorry."
00:05:17,00:05:19,"- No, please, I think this is a fruitful thing to pursue."
00:05:19,00:05:22,"- I would probably put it in, you know,"
00:05:22,00:05:25,there's ice cream lolly containers.
00:05:25,00:05:27,I'd put it in the ice cream lolly container
00:05:27,00:05:30,"and then I'd put the handle on, you know, the lid on."
00:05:30,00:05:30,- Right.
00:05:30,00:05:32,- I don't think anyone knows what you're talking about.
00:05:32,00:05:33,- Guys.
00:05:33,00:05:35,(laughing)
00:05:35,00:05:37,You know when you're making a lolly
00:05:37,00:05:39,and you pour the lolly stuff into the mold
00:05:39,00:05:40,"and then you put the mold in the freezer,"
00:05:40,00:05:41,I put it in one of those.
00:05:41,00:05:42,- But that'd be quite a small snake.
00:05:42,00:05:43,- Yeah.
00:05:43,00:05:44,- You see my lolly mold.
00:05:44,00:05:46,(laughing)
00:05:46,00:05:48,- And that is not the first time I've heard you use
00:05:48,00:05:49,that shelter one.
00:05:49,00:05:51,(laughing)
00:05:51,00:05:54,- And it won't be the last.
00:05:54,00:05:56,(laughing)
00:05:56,00:05:58,- So there's a guy in America
00:05:58,00:05:59,- Yeah.
00:05:59,00:06:01,- Who decided to wear a colander on his head
00:06:01,00:06:05,for his gun license and the police took his guns away.
00:06:05,00:06:07,(laughing)
00:06:07,00:06:09,- That's what you have to do to get your guns taken away.
00:06:09,00:06:11,(laughing)
00:06:11,00:06:14,- He said I was told I was mentally competent
00:06:14,00:06:17,and I've never misused my guns or intend to do so.
00:06:17,00:06:19,So it's a real kick in the guts
00:06:19,00:06:21,that if I was told that I was to go for another photo
00:06:21,00:06:23,"with a colander on my head,"
00:06:23,00:06:25,my guns will be taken away again.
00:06:25,00:06:27,"So apparently, if you wear a colander on your head"
00:06:27,00:06:30,"for your gun license, they're gonna take it off you."
