start_hhmmss,end_hhmmss,text
00:00:00,00:00:10,[soulful guitar music]
00:00:10,00:00:19,"Hello, and welcome to another episode of No Such Thing as a Fish, a weekly podcast"
00:00:19,00:00:22,"this week coming to you from Arnmore in Glasgow, Scotland."
00:00:22,00:00:27,"My name is Dan Schreiber, and please welcome to this stage its Adich Zinsky, Andy Murray"
00:00:27,00:00:40,and Judge Markins.
00:00:40,00:00:47,And once again we have gathered around the microphones with our four favorite facts from
00:00:47,00:00:52,"the last seven days, and in a particular order here we go, starting with you, Andrew"
00:00:52,00:01:01,Hunter Murray. My fact this week is that for just one penny you can rent a B for a month.
00:01:01,00:01:04,[laughter]
00:01:04,00:01:08,What are we doing here?
00:01:08,00:01:12,So what would you do with one B?
00:01:12,00:01:17,"Well you make friends, you take them on expeditions."
00:01:17,00:01:23,"So as we mentioned before on this podcast, a lot of bees in America live on trucks, and"
00:01:23,00:01:36,the reason they do is because they move around the country all the time because they rented
00:01:36,00:01:41,"out to pollinate crops, and they have this whole like basically a tall schedule where"
00:01:41,00:01:45,they move from area to area pollinating a new crop every few weeks.
00:01:45,00:01:51,"And there's a massive crop, the Californian Almond Crop, Almond, and that needs one and a half"
00:01:51,00:01:59,"million beehives, which is a total of at least 30 billion bees, which is amazing."
00:01:59,00:02:03,"They all arrive around the same time, and so they arrive, they pollinate the crop, and"
00:02:03,00:02:04,then they go.
00:02:04,00:02:11,"And an American beekeeper whose name is Randy Oliver has calculated the cost of it, and"
00:02:11,00:02:15,"he worked out that the cost is one penny, one US penny in fact, so a bit less than an English"
00:02:15,00:02:18,"penny, per bee per month."
00:02:18,00:02:24,"So one English penny would get you 1B for two months, I think it's about 1.6."
00:02:24,00:02:25,Six weeks.
00:02:25,00:02:26,Yeah.
00:02:26,00:02:27,"Oh, okay."
00:02:27,00:02:29,No worth it.
00:02:29,00:02:36,"It won't work for the holiday I'm thinking, I'm so happy."
00:02:36,00:02:42,"So you must get more than one, presumably, you must do it and there's no like number of"
00:02:42,00:02:47,"bees, and then the minimum option is one, so what I'm asking is, what is the minimum number"
00:02:47,00:02:49,of bees that I couldn't hire?
00:02:49,00:02:50,Don't know.
00:02:50,00:02:51,Okay.
00:02:51,00:02:52,You could probably...
00:02:52,00:02:53,I've got a tenor in my pocket.
00:02:53,00:02:55,It is a Scottish tenor.
00:02:55,00:02:56,That would get you.
00:02:56,00:03:01,They weren't except that James.
00:03:01,00:03:02,Trust me.
00:03:02,00:03:11,"Hang on, wait, if it's one penny, let's just say it's one penny, so wait, wait, wait, wait,"
00:03:11,00:03:12,it's a thousand.
00:03:12,00:03:17,"But I don't think that's enough for a hive, I think the minimum is probably at least one"
00:03:17,00:03:18,hive.
00:03:18,00:03:19,Okay.
00:03:19,00:03:24,"Do you know how bees collect pollen, I didn't know this, it's so cool."
00:03:24,00:03:29,"So they go and bees will go out, they'll either be collecting pollen or they'll be collecting"
00:03:29,00:03:32,"nectar, they never do both at once, you don't want to mix those two."
00:03:32,00:03:36,"And if they're collecting pollen, they get under a flower and they get covered in pollen"
00:03:36,00:03:40,"because they've got, you know, their hairy, their furry, and so pollen sticks all over"
00:03:40,00:03:41,them.
00:03:41,00:03:45,"But that's okay because they've got combs on their front four legs, so they use the combs"
00:03:45,00:03:50,"on their front two legs to comb the pollen out of their antennae, and they use the combs"
00:03:50,00:03:54,"on their middle legs to comb the pollen out of their fur on their body, and then they've"
00:03:54,00:03:58,"got these two kind of buckets on their back legs, which I think they're called pollen"
00:03:58,00:03:59,baskets.
00:03:59,00:04:02,"And they're like, I mean, they just look like little baskets on the back of their legs,"
00:04:02,00:04:06,and they crush the pollen once they've combed it out of their hair into these two little
00:04:06,00:04:09,"baskets, and then they carry it home in their pollen baskets."
00:04:09,00:04:10,Isn't that cool?
00:04:10,00:04:11,That's very cool.
00:04:11,00:04:12,Yeah.
00:04:12,00:04:13,That's amazing.
00:04:13,00:04:17,And the one really amazing thing about bees is that they have a positive charge.
00:04:17,00:04:18,They're electric.
00:04:18,00:04:20,Bees are electric.
00:04:20,00:04:25,"If you're putting them into a remote control, or do you get double bee and triple bee"
00:04:25,00:04:34,and that proves you.
00:04:34,00:04:36,So what happens?
00:04:36,00:04:41,"So the bee flies through the air, and it kind of hits particles in the air, and that gives"
00:04:41,00:04:42,it a positive charge.
00:04:42,00:04:45,"A bit like if you get a balloon and you rub it against yourself, and that gives the"
00:04:45,00:04:49,"balloon a charge, it's a bit like static, but the flowers have a negative charge, and that"
00:04:49,00:04:54,"means that when a bee goes into a flower, the pollen will actually jump, just jump from"
00:04:54,00:04:55,the flower to the bee.
00:04:55,00:04:56,Wow.
00:04:56,00:04:57,Using a lot of electricity.
00:04:57,00:05:04,"I've read today, bees don't pee or poo in space."
00:05:04,00:05:07,"Why would you go to, I don't go to space to poo, Eilah."
00:05:07,00:05:08,That was the thing.
00:05:08,00:05:12,"Yeah, but if you were in space, you would, at some point, so I see, so when we send bees"
00:05:12,00:05:13,up there.
00:05:13,00:05:14,Yes.
00:05:14,00:05:15,So they hold it in.
00:05:15,00:05:16,"Yeah, yeah."
00:05:16,00:05:20,"So a bunch of bees were sent to space, and in space, they actually started."
00:05:20,00:05:25,"So a lot of little insects have been sent to space, particularly flying insects to see how they"
00:05:25,00:05:31,"can cope with flying, and there's, I watched them amazing footage today, by the way, of"
00:05:31,00:05:35,opinions inside one of those vomit rockets that go down.
00:05:35,00:05:36,They let them loose.
00:05:36,00:05:40,"If you don't know the vomit rocket, it's where they film zero gravity without leaving the"
00:05:40,00:05:41,earth's atmosphere.
00:05:41,00:05:42,So you can do the weightlessness.
00:05:42,00:05:45,"And also, actual astronauts use it to practice being in zero energy."
00:05:45,00:05:46,"Yeah, exactly."
00:05:46,00:05:48,"So basically the plane is, what is it?"
00:05:48,00:05:52,"So it goes up in a parabola, and it kind of makes it feel like you're weightless."
00:05:52,00:05:53,Okay.
00:05:53,00:05:59,"So you fly around, and yeah, so on, and, you do."
00:05:59,00:06:03,"So they brought pigeons on board, and the pigeons just didn't know what was going on because"
00:06:03,00:06:06,"they couldn't, they couldn't just fly and bumping into walls."
00:06:06,00:06:12,"At one point, a pigeon is flying upside down, and the others are like, what the, it's really"
00:06:12,00:06:13,confusing.
00:06:13,00:06:20,"That's, that's where pigeons will get their alien abduction stories."
00:06:20,00:06:24,"So they brought, they brought a bunch of bees into space, and they, they brought houseflies,"
