start_hhmmss,end_hhmmss,text
00:00:00,00:00:11,We're going to go to the next room to take a look at what we're going to do.
00:00:11,00:00:15,"Hello and welcome to another episode of ""No Such Thing as a Fish"" a weekly podcast"
00:00:15,00:00:18,coming to you from the QI offices in Covert Garden.
00:00:18,00:00:19,My name is Dan Schreiber.
00:00:19,00:00:23,"I'm sitting here with Anna Chazinski, James Harkin, and Andy Murray."
00:00:23,00:00:27,And once again we have gathered around the microphones with our four favorite facts from the
00:00:27,00:00:32,"last seven days and in a particular order, here we go, starting with you, James."
00:00:32,00:00:37,"Okay, my fact this week is that in 1921, the news of the world offered a free tea tray"
00:00:37,00:00:41,to any mother on the birth of her 10th child.
00:00:41,00:00:43,Why was it doing that?
00:00:43,00:00:49,"Well, the reason was it had just been the war and also there was contraception, widespreadly"
00:00:49,00:00:54,"available now, which there wasn't before, and the newspapers had a bit of a kind of moral"
00:00:54,00:01:00,crisis about the being not enough children in the UK and so they wanted to encourage children.
00:01:00,00:01:04,"The daily express, for instance, had a Britain's largest family competition at the same time."
00:01:04,00:01:10,"But the idea of the news of the world was that a woman would genuinely be induced to think,"
00:01:10,00:01:12,"""Actually, I won't stop at three."
00:01:12,00:01:16,"I'll go all the way up to 10 children because once I get to 10, I'll get a tea tray."""
00:01:16,00:01:18,"It's interesting, isn't it?"
00:01:18,00:01:19,What stage?
00:01:19,00:01:20,After how many children do you go?
00:01:20,00:01:23,I might as well carry on for the tea tray now.
00:01:23,00:01:29,"I have a theory that the unless tea trays have massively depreciated in value, the cost"
00:01:29,00:01:35,of rearing a child would not be offset by the value of the tea tray.
00:01:35,00:01:37,"I think that's pretty solid theory, actually."
00:01:37,00:01:38,Do you think that's solid economics?
00:01:38,00:01:41,"Well, how often they made, I wonder how many tea trays they had to give away."
00:01:41,00:01:44,"Do you think they just no one actually went for it because in the end, it's only a tea"
00:01:44,00:01:47,"tray and when the news of the world shut down, what they had to clear out of their offices"
00:01:47,00:01:48,"were 50,000 tea trays."
00:01:48,00:01:53,"That's a good point though, when did that deal expire?"
00:01:53,00:01:56,"If they're running the competition for a year, say it, only applies to people who realistically"
00:01:56,00:02:01,got nine children and can get pregnant within the next three months.
00:02:01,00:02:05,Maybe it was running all the way until the news of the world closed last year or the year
00:02:05,00:02:06,before.
00:02:06,00:02:07,Maybe that's what sent them down.
00:02:07,00:02:10,Some have finally claimed the tea tray.
00:02:10,00:02:12,"No, it was massive phone hacking."
00:02:12,00:02:13,"Yeah, let's be clear."
00:02:13,00:02:17,"We should, for overseas listeners, news of the world was a massive newspaper here."
00:02:17,00:02:23,It came out every Sunday and they got caught for a big hacking scandal of people's mobile
00:02:23,00:02:26,phones and so Rupert Muradalk had to shut it down.
00:02:26,00:02:27,There was so much pressure.
00:02:27,00:02:31,I was looking into things that had been given away for free.
00:02:31,00:02:34,Here's one free thing that was given away that I'm very annoyed to learn because I've found
00:02:34,00:02:36,out it's no longer going.
00:02:36,00:02:43,"But Etti had had a promotion whereby if it rained while you were in Abu Dhabi, you would"
00:02:43,00:02:45,get a free trip off the back of it.
00:02:45,00:02:49,It had a guarantee sunshine or your next holiday free.
00:02:49,00:02:51,"You're going to Abu Dhabi soon, aren't you?"
00:02:51,00:02:52,"Yeah, I'm going in about two weeks."
00:02:52,00:02:56,"Well, maybe if you say Etti had enough time, you said, ""Well, you get a free trip, I do love"
00:02:56,00:02:57,"Etti had."""
00:02:57,00:02:58,"So, who was the company?"
00:02:58,00:02:59,Etti had.
00:02:59,00:03:00,Right.
00:03:00,00:03:01,What do they do?
00:03:01,00:03:02,They're an airline.
00:03:02,00:03:03,They're an airline.
00:03:03,00:03:04,They're the best out there.
00:03:04,00:03:05,"Actually, they've been voted number one airline."
00:03:05,00:03:06,"Actually, I think they're awful."
00:03:06,00:03:10,Good luck getting that free trip down.
00:03:10,00:03:12,Have you guys had a newspaper insurance?
00:03:12,00:03:13,No.
