start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,*Bell*
00:00:02,00:00:04,*Bell*
00:00:04,00:00:06,*Bell*
00:00:06,00:00:08,*Bell*
00:00:08,00:00:10,*Bell*
00:00:10,00:00:12,*Bell*
00:00:12,00:00:20,"Hello and welcome to another episode of no such thing as a fish, a weekly podcast coming to you from the QI offices in Covenant Garden."
00:00:20,00:00:36,*Bell*
00:00:36,00:00:48,"My fact is that when you are 30 meters underwater, your lungs are only a quarter of their normal size. That is incredible. Yeah. How? What's... because there's not enough air in them?"
00:00:48,00:00:58,"Well, there's the same number of air molecules if you just take one lungful and then you dive down, but the water pressure on them is much higher, meaning that you're lung strength."
00:00:58,00:01:10,"So if you're at sea level, all the air above you, if you imagine a column of air stretching all the way up to the edge of the atmosphere, one square inch of that column would weigh 14.7 pounds. Right?"
00:01:10,00:01:16,"So we say the pressure at sea level is 14 pounds per square inch, 14.7 pounds."
00:01:16,00:01:20,It is amazing actually to think all of that air pushing down on you whenever you're walking down the street.
00:01:20,00:01:34,"Yeah. We're all superhumanly strong. Well, we're all humanly strong. But in the sea, to get another 14.7 pounds pressing down on you, you only have to go down 10 meters. Right?"
00:01:34,00:01:42,"So that depth, if you had a balloon full of gas and you pulled it 10 meters underwater, 33 feet, it would be half the size because there are two atmospheres of pressure."
00:01:42,00:01:52,"So the same thing is happening to your lungs when you go underwater. And if you go three times that if you go 30 meters down, you would have to have four times as many gas molecules in your lungs to fill them to their original size."
00:01:52,00:02:01,"Now, it doesn't apply if you have, if you're breathing pressurized air, right? So scuba divers, they breathe in air, which is at a much higher pressure than normal air."
00:02:01,00:02:13,"So you're breathing in a higher number of molecules, four times as many gas molecules at that depth. So their lungs are the same. Yeah. So you're doing about free diving and you're talking about, yeah."
00:02:13,00:02:27,"When you get to about 300 feet under the surface of the water, there was a guy in 1996 who was called Francesco Ferras Rodriguez, his chest shrunk from a size 50 inches to 20."
00:02:27,00:02:33,"So what we're saying is, if you need to get a fit of a suit, don't get fitted 430 feet under the water."
00:02:33,00:02:41,Unless you're planning to wear that suit.
00:02:41,00:02:47,"So I was when you said this fact about the lungs, which is extraordinary, the idea that it can shrink down to that size."
00:02:47,00:02:53,"I started reading into, so James Nestor, I read this article by him, he wrote this book called Free Diving."
00:02:53,00:03:01,"So he talks a lot about this thing that they've been studying for about 50 years, which is called the master switch of life. That's the term for it."
00:03:01,00:03:09,"The idea is that when we go into the water, we slowly start turning into water-based animals, the deeper we go, as in our body adapts to in the way."
00:03:09,00:03:21,"So if you stay underwater for long enough, you turn into a fish. Yeah, basically. Yeah, yeah, yeah. So there's really fascinating things. So when you start diving down, you have to paddle down because gravity is trying to do a buoyancy thing of sending you back up."
00:03:21,00:03:34,"So you have to go down. As soon as you get to 40 feet, then the gravity shifts and it starts pulling you down. So free divers then just put their hands by their sides and they allow themselves to be pulled down because you need to save every single bit of oxygen that you have inside your body."
00:03:34,00:03:43,"And your heart rate goes down to something, some people, like this is very rare, but some people seven beats a minute. That's how much your body just relaxes into a different state."
00:03:43,00:03:51,"Is it called the cold water reflex or the dive reflex? Yeah, the mammalian dive reflex. Yeah, that's this master switch of life. That's the other term for it."
00:03:51,00:03:54,"But it happens as soon as you touch water. Yeah, yeah, yeah."
00:03:54,00:04:07,"So when you, I have a theory now that when you splash your face with cold water, the reason it can snap you out of like a panic attack or being anxious is because actually it gives you the dive reflex, which immediately slows your heart rate down."
00:04:07,00:04:20,"And it hugely slows it, doesn't it? So there was an experiment where people had to exercise to like synchronize something on the bottom of a deep pool or something and you know, it really doesn't increase at all in the same way that it would above water."
00:04:20,00:04:32,"But I don't think we know how it is that they've been, yeah, they've been, they've been researching someone wrote that free diving is the only sport in which the lung shrink and the heart slows down every other sport there is."
00:04:32,00:04:45,"Talking of heart slowing down, have we ever mentioned the guy that got in touch with us? No, no, we haven't. No, a guy emailed us called Martin Brady, email the podcast email address a few weeks ago."
00:04:45,00:04:53,"And he just sent me an email saying, I thought you might like to know that the world record for the lowest resting heartbeat is 27 beats a minute."
00:04:53,00:05:07,"And it's held by someone called Martin Brady and the condition of having a low heart rate is Brady Cardier and the two are completely unrelated. So he's called Martin Brady and the condition is Brady Cardier, weird coincidence, really cool fact."
00:05:07,00:05:18,"And I looked at his email address and replied, I was like, are you Martin Brady? He's like, yes, I am. So yeah, the guy with the Guinness World Record for the lowest heartbeat has been in touch."
00:05:18,00:05:31,"So that'll be the lowest resting heartbeat. Lowest resting. So this guy who goes in the water who can go down to seven beats a minute is slightly different. Yes, yeah, have you guys heard of the Aquaman crystal? No, this is new scientific."
00:05:31,00:05:42,"Because it sounds like it's from the Fantastic Four or something. No, it's real. This is real. So I don't fully understand it, but these are, and they're in prototype stage for the moment."
00:05:42,00:05:54,"They're crystals that absorb oxygen. They allow the idea is that they would allow you eventually if we can work out how to use them. Have you? Okay. So yeah, so they do what they take in the oxygen around them."
00:05:54,00:06:01,"So in a room they can suck it. They can absorb all the oxygen into them. So if you were able to take it down into the ocean, you wouldn't need the tank anymore."
00:06:01,00:06:12,"You'd be able just to breathe in through these crystals. But if you're a supervillain for instance, then you could get some of these crystals, put them in a room and it'll just suck all the oxygen out and then you kill everyone in the room."
00:06:12,00:06:22,"Oh, wow. That is a damn brown novel waiting to be written. I think I know people who have been using these for years, because whenever you're talking to them, it really feels like all the air has been sucked out of the food."
00:06:22,00:06:25,Why are you looking at me?
00:06:25,00:06:37,"Can I ask you a question about lungs? Yeah, ask me. I'll know. I think you will know. There have been a couple of news reports over the last few years about people having plants grow in their lungs."
00:06:37,00:06:52,So there was a guy who inhaled a fir tree seed and a fir tree started to grow in his lungs. And there was someone else who inhaled a pea seed and I think a pea plant started to grow in his lungs.
00:06:52,00:07:02,"Now a study was done, which said or a report was released, which said it is not possible for any plant to grow inside someone's lungs. It needs light, etc."
00:07:02,00:07:07,But nothing has explained to me how these people I've seen x-rays of their lungs.
00:07:07,00:07:13,"I don't agree with the second thing that you said, because if you have plants in the ground, they don't have the light."
00:07:13,00:07:16,"Yeah. So just for them to germinate, they wouldn't need the light."
00:07:16,00:07:25,"Yeah. And I assume that's what's happened. I think the like fir tree inside his lungs, it's not like a massive Christmas tree. It's just like a germination of their seeds."
00:07:25,00:07:30,Although they did say the pain was caused by the little fir tree needles poking into his arteries.
00:07:30,00:07:33,And the bobbles.
00:07:33,00:07:36,The angel on top really caused a choking hazard.
00:07:36,00:07:42,Imagine if one day he just found a bit of tinsel at the corner of his mouth. Start pulling on it.
00:07:42,00:07:46,"I'd rather it come out of your mouth, I think."
00:07:46,00:07:59,"Also, in underwater news, there's someone called Jim Dyke, Jr, who's testing out a new theory that you can actually age wine much better by dropping it to the bottom of or it's certainly quite deep into a notion."
00:07:59,00:08:04,Is that it takes so long to retrieve that it's quite a lot older.
00:08:04,00:08:18,"Well, so he was inspired by there was quite a few stories of shipwrecks coming up with all sorts of alcohols, champagne being one of them and they all tasted really good and he has a theory that the aging process through being underwater will actually be much more efficient and much better."
00:08:18,00:08:21,So it's an ongoing new theory.
00:08:21,00:08:27,It's going to be unbelievably inconvenient when majestic wine is stationed on the bottom of the ocean.
00:08:27,00:08:33,"I was actually just passing by to get my suit fitted, but I suppose I'll get some wine while I'm here."
00:08:33,00:08:46,"One of the long thing, do you guys remember the story of a doctor called Angus Wallace in the 1990s who was on an airplane and did an amazing thing?"
00:08:46,00:08:47,There are my clues.
00:08:47,00:08:49,"Oh, Traciotomy with the Biro."
