start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,One welcome to another episode and no such thing as a fish.
00:00:04,00:00:06,We have a very exciting day ahead of us.
00:00:06,00:00:10,We are on our way to the studio to record the very first episode of no such thing as the
00:00:10,00:00:11,news.
00:00:11,00:00:18,It's our BBC 2 TV show and it's going to air May 20th at 11.05 pm on BBC 2.
00:00:18,00:00:20,So we need you guys to watch it.
00:00:20,00:00:23,"We really need you to watch it because if you don't watch it, they'll cancel us."
00:00:23,00:00:25,We will lose the entire series.
00:00:25,00:00:29,"So please, if you like our show, if you're hearing this now, cancel your Friday night plans"
00:00:29,00:00:34,"and come to the TV, sit down, make yourself some tea and watch our show."
00:00:34,00:00:37,We'd really appreciate it and please spread the word.
00:00:37,00:00:41,"If you want to watch it on I Player a little bit later, that is also okay with us."
00:00:41,00:00:45,Just watch it at some point and you can go to the no such thing as a fish YouTube channel
00:00:45,00:00:48,and catch it there anytime from Sunday morning.
00:00:48,00:00:53,The episode you're about to hear now is the on-ed pilot which we recorded last week.
00:00:53,00:00:54,So enjoy.
00:00:54,00:01:17,Hello and welcome to another episode of no such thing as the news coming to you from
00:01:17,00:01:19,up the Crete Comby Club in Greenwich London.
00:01:19,00:01:23,"My name is Dan Schreiber and please welcome it's Anna Chazinski, Andrew Hunter Murray and"
00:01:23,00:01:33,James Harkin.
00:01:33,00:01:36,"And once again, we have gathered around the microphones with our favourite facts from"
00:01:36,00:01:43,"the last seven days of news and in no particular order, here we go, starting with you, Chazinski."
00:01:43,00:01:47,My fact this week is that the first thing that Ted Cruz did after dropping it out of the
00:01:47,00:01:52,Republican contest was Elba's wife in the face.
00:01:52,00:01:57,"And this was so you probably saw that about a week ago, Ted Cruz dropped out the Republican"
00:01:57,00:02:05,race leaving Donald Trump as the only contender for the throne of America.
00:02:05,00:02:07,"And yeah, it's just a great YouTube clip."
00:02:07,00:02:08,You should watch it.
00:02:08,00:02:11,He makes this speech in Indiana saying he's very sorry but he seems to have not gone that
00:02:11,00:02:12,well for him.
00:02:12,00:02:13,He turns away from the microphone.
00:02:13,00:02:18,Elba's his wife in the face as he's hugging his dad and then he sort of tries to compensate
00:02:18,00:02:22,for it by then trying to do a three-way hug with his dad and his wife and then sort of
00:02:22,00:02:26,slaps her about a bit as he goes back to do that.
00:02:26,00:02:28,And that was just seemed like an awkward end to an awkward campaign.
00:02:28,00:02:33,"I think he's got a very unfortunate time, Ted Cruz."
00:02:33,00:02:40,"First of all, Donald Trump made a reference to JFK's killing and accused Cruz at some point"
00:02:40,00:02:43,of having done in a photo with Lee Harvey Oswald to release.
00:02:43,00:02:44,I don't know.
00:02:44,00:02:45,I don't know.
00:02:45,00:02:46,"He was far, sorry."
00:02:46,00:02:48,He's just far though of being a photo of Lee Harvey Oswald.
00:02:48,00:02:49,Yeah.
00:02:49,00:02:50,So he's the spawn of the murderer.
00:02:50,00:02:54,And then everyone in America seems to think that he is the zodiac killer.
00:02:54,00:03:00,Even though his first murder was committed two years before Cruz was born.
00:03:00,00:03:05,"I find it like there was, he had a non-line story that had lots of odd products."
00:03:05,00:03:09,"If you were trying to eventually run for president, you wouldn't naturally have."
00:03:09,00:03:14,There was this one debate that he had with Donald Trump where he started telling Donald Trump
00:03:14,00:03:15,to breathe.
00:03:15,00:03:16,"And Trump was like, ""Well, you breathe."
00:03:16,00:03:17,I'm breathing.
00:03:17,00:03:18,"Why can't you breathe?"""
00:03:18,00:03:19,"And he was like, ""Oh, I'm breathing."
00:03:19,00:03:20,"Why don't you breathe?"""
00:03:20,00:03:23,"They just had this real kind of like, breathe-off kind of conversation."
00:03:23,00:03:27,"And then Rubio comes in and he's like, ""When you guys are done doing yoga."""
00:03:27,00:03:29,And it's like these weird calls.
00:03:29,00:03:35,"And then so, Ted Cruz, then a few days later, for 35 bucks on his website, you could buy"
00:03:35,00:03:42,the Ted Cruz Breathe Exercise Matt that you would just learn to breathe better on.
00:03:42,00:03:46,So he was just running with these gangs and then he got sued by a company who are a yoga
00:03:46,00:03:51,company who are called Breathe saying you can't suddenly start selling Breathe Yoga Matt on
00:03:51,00:03:52,your website.
00:03:52,00:03:54,So he had to take the whole Breathe thing away.
00:03:54,00:03:57,"So then he just was selling Exercise Matt, you know?"
00:03:57,00:04:02,"Just for no reason, it's just why not get an Exercise Matt of mine?"
00:04:02,00:04:06,"It's the whole joke, I guess we're now selling Exercise Matt."
00:04:06,00:04:14,"So it looks now it's going to be Trump versus Clinton, right, in the American presidential"
00:04:14,00:04:15,race.
00:04:15,00:04:19,"And it means it's going to be the most unpopular presidential candidates in my lifetime,"
00:04:19,00:04:26,"versus the second most popular candidate in my lifetime, and by a long, long way as well."
00:04:26,00:04:27,Yeah.
00:04:27,00:04:32,"I think PJ walked, tweeted a couple of days ago that this came out in support for Hillary"
00:04:32,00:04:36,"and it was a story and the tweet was everyone vote for Hillary, it's the second worst thing"
00:04:36,00:04:41,that could possibly happen to the world.
00:04:41,00:04:46,There was a poll this week by the public policy poll and they like tested how popular Donald
00:04:46,00:04:52,Trump is compared to various different things and it turned out that he is less popular than
00:04:52,00:05:04,"the traffic jams, used car salesmen, hipsters, jury duty, the band's nickel back, root canal"
00:05:04,00:05:08,surgery and lice.
00:05:08,00:05:12,"There's another on Ted Cruz's website, there's another product that he sold, which is a thing"
00:05:12,00:05:16,"that he started, a kind of what he was trying to guess to be a kind of meme going round,"
00:05:16,00:05:19,"which is about, he called it Trump or Tantrum."
00:05:19,00:05:23,"So the idea is, every time Donald Trump was throwing a tantrum, he was like, it's a Trump"
00:05:23,00:05:27,"or a tantrum and I looked at just the basic words and you think, why didn't you just call"
00:05:27,00:05:30,it a tantrum?
00:05:30,00:05:32,And I don't trust someone who doesn't recognise a good pun.
00:05:32,00:05:33,So...
00:05:33,00:05:36,Do you know how to tell if he's angry actually?
00:05:36,00:05:37,Donald Trump.
00:05:37,00:05:38,Yeah.
00:05:38,00:05:39,No.
00:05:39,00:05:42,"He, as I'm talking about, he starts building walls, he wears a red hat when he's angry."
00:05:42,00:05:48,"This is according to his butler, who I think wrote a book a couple of months ago, a few"
00:05:48,00:05:52,months ago and said that the way to tell his mood is by the colour of hat that he's wearing
00:05:52,00:05:57,"and when he's pissed off, he wears a red hat and that is when to leave Iran."
00:05:57,00:06:02,"So there's a fit, this is the American elections."
00:06:02,00:06:05,We have the British local elections this week.
00:06:05,00:06:08,"I was a few funny, amusing things that happened there."
00:06:08,00:06:13,"In Wolverhampton, the Conservative Party accidentally put two people up for elections, so they"
00:06:13,00:06:15,came first and third.
00:06:15,00:06:16,Welcome.
00:06:16,00:06:19,"Yeah, but the thing is, they took votes off each other."
00:06:19,00:06:23,"So one of them said no, no vote for him, vote for him but people didn't really pay any attention."
00:06:23,00:06:28,"And if the guy who came third got just 60 more votes, then Labour would have gotten."
00:06:28,00:06:33,"And also, there's election going on in the Philippines at the moment with the most unbelievably"
00:06:33,00:06:41,weird man who's just wanted and his campaign slogan is basically I will kill all the criminals.
00:06:41,00:06:51,"Well, do we go Duterte or Duterte, or the Punisher, as they call it."
00:06:51,00:06:55,"It is Duterte, I think, because his nickname and his old job was Duterte Harry."
00:06:55,00:06:58,"Oh, see, that is a good pun."
00:06:58,00:07:01,Ted Cruz could learn something up there.
00:07:01,00:07:02,And that's how he got into power.
00:07:02,00:07:08,"In an interview, many are asking what my credentials are and what I can do for the Philippines."
00:07:08,00:07:11,They're telling me that they have heard I will womanize her.
00:07:11,00:07:13,That is true.
00:07:13,00:07:17,That is very true.
00:07:17,00:07:21,"He said, well, in a press conference, he just said that."
00:07:21,00:07:25,"He's point, he's voted about his multiple affairs and the fact he uses a lot of my anger"
00:07:25,00:07:26,to keep himself going.
00:07:26,00:07:28,He's voted about his my anger use.
00:07:28,00:07:31,"Yeah, it's very confident, isn't it?"
00:07:31,00:07:37,You wait till you see the pills I have to take to sustain this.
00:07:37,00:07:45,"He's got an advertising contact with his side, but yeah, he's reassured the public after"
00:07:45,00:07:49,"boasting that all his affairs, that his mistresses won't cost the public a lot because he keeps"
00:07:49,00:07:56,them in sheen boarding house and he takes up to short stay hotels for sex.
00:07:56,00:07:57,He's quite a character.
00:07:57,00:08:02,"He's like one of these strong men, kind of presidents, that kind of coming in around the"
00:08:02,00:08:03,world.
00:08:03,00:08:04,I think he's one of those kind of guys.
00:08:04,00:08:05,Right.
00:08:05,00:08:07,We need to move on to our final facts soon.
00:08:07,00:08:08,So anyone got anything before we do?
00:08:08,00:08:12,Can I just quickly relate one thing about the recent UK election?
00:08:12,00:08:13,Yeah.
00:08:13,00:08:19,"In case you missed it, there was a Labour counsellor called Duncan N. Wright and he wanted"
00:08:19,00:08:24,to be the counsellor for Whitney in the West Oxfordshire area and he sent a tweet out after
00:08:24,00:08:29,"the elections just saying, lost by 70 votes or so, thanks for the opportunity to serve."
00:08:29,00:08:35,"The fight goes on and then about 20 minutes later he sent another tweet saying, actually,"
00:08:35,00:08:38,"it turns out I won, fondle of my votes under a Tory pile."
00:08:38,00:08:39,"Thanks, Whitney."
00:08:39,00:08:43,"And they just, that's how casual voting is in this country."
00:08:43,00:08:47,"Oh, we found a bunch more votes under this pile of paper."
00:08:47,00:08:48,Sorry.
00:08:48,00:08:51,The fight can stop immediately.
00:08:51,00:08:53,All right.
00:08:53,00:08:54,So there we have it.
00:08:54,00:08:57,"Ted Cruz, accidentally, elbows his wife in the face."
00:08:57,00:09:01,Now we are moving on to our second fact of the show and that is my fact.
00:09:01,00:09:06,My fact this week is that this week scientists have discovered that we still haven't discovered
00:09:06,00:09:11,99.99% of life on Earth.
00:09:11,00:09:12,That's a lot.
00:09:12,00:09:18,"Now, the big story that was in the news this week about this is that there's an estimate"
00:09:18,00:09:22,"of how much life on Earth there is and it changes all the time, but it's quite manageable"
00:09:22,00:09:24,in a way for counting purposes.
00:09:24,00:09:30,"So in 2011, they thought there was about 8.7 million different forms of life on the planet."
00:09:30,00:09:33,They just found out through this new study that they reckoned that that number has gone
00:09:33,00:09:42,"up from 8.7 million to one trillion, one trillion, what are these things that we haven't?"
00:09:42,00:09:43,They found it.
00:09:43,00:09:48,There's a lot of sports to be had.
00:09:48,00:09:50,"Is it very, very small things that we haven't?"
00:09:50,00:09:51,"Yeah, it's microbes."
00:09:51,00:09:52,It's microbes.
00:09:52,00:09:57,What they did is there's a way of kind of working things out called scaling laws and say
00:09:57,00:10:03,"you know how big an animal is, you can kind of tell what its metabolism is and if the"
