start_hhmmss,end_hhmmss,text
00:00:00,00:00:10,[MUSIC]
00:00:10,00:00:17,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming to you from the QI"
00:00:17,00:00:25,"offices in Covert Garden. My name is Dennis Schreiber. I'm sitting here with Anna Chazinski, Alex Bell and James Harkin, and once again we have gathered"
00:00:25,00:00:33,"around the microphones with our four favorite facts from the last seven days and in no particular order, here we go. Starting with you, Chazinski."
00:00:33,00:00:41,My fact this week is that the first performance enhancing drug to be used in baseball was pulverized guinea pig testicles.
00:00:41,00:00:42,[LAUGHTER]
00:00:42,00:00:42,Yeah.
00:00:42,00:00:44,Pulverized is such a scary word.
00:00:44,00:00:45,It's such a good word.
00:00:45,00:00:46,It's such a good word.
00:00:46,00:00:47,"Would you prefer them whole, though?"
00:00:47,00:00:51,"No, just the word. Pulverized them."
00:00:51,00:00:55,I know. I know. They should have just gone with crushed as too many syllables.
00:00:55,00:00:56,Yeah.
00:00:56,00:01:04,"So yeah, the baseball player in question was James Galvin, who was known as James Put Galvin, because I think he squashed everyone like puddings maybe."
00:01:04,00:01:07,Not that he used to put testicles in his body.
00:01:07,00:01:12,"And not it wasn't that no, because the pudding testicles in his body actually came after the nickname."
00:01:12,00:01:24,"So he was recruited by this incredible doctor called Charles Edward Browns-Sacard, who had come up with this idea and said that he tried it on himself and it had worked."
00:01:24,00:01:36,That ground up guinea pigs testicles or dog testicles mixed with blood and injected into a person could reverse the aging process and make someone fitter and healthier.
00:01:36,00:01:42,"And so this baseball player had these testicles injected into himself, and no one pulled it absolutely smashed the next game."
00:01:42,00:01:43,Really? Yeah.
00:01:43,00:01:50,Did they pick the guinea pig because just of that scientific thing of a guinea pig as in it's just like that's the thing that you use.
00:01:50,00:01:52,"Yeah, but that's why they used it is because it's a thing that you use."
00:01:52,00:01:55,You're kidding. They actually use guinea pigs when they say it's a guinea pig.
