start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,What do you think about it?
00:00:04,00:00:15,"Hello and welcome to another episode and no such thing as a fish, a weekly podcast coming"
00:00:15,00:00:18,to you from the QI offices in Covent Garden.
00:00:18,00:00:19,My name is Dan Triber.
00:00:19,00:00:23,"I'm sitting here with James Harkin, Andy Murray, Anna Chazinski, and special guest Tim"
00:00:23,00:00:24,mentioned.
00:00:24,00:00:28,"And once again, we have gathered around the microphones with our four favorite facts from the last"
00:00:28,00:00:33,"seven days, and in a particular order, here we go, starting with you, Tim."
00:00:33,00:00:45,"Okay, my fact is that Bulgaria has an agency that shoots rockets to kill Hale, to kill it."
00:00:45,00:00:46,To kill it.
00:00:46,00:00:47,"Well, to minimise it."
00:00:47,00:00:52,"It's a preemptive strike, Hale strike."
00:00:52,00:00:57,"So I thought all this weather manipulation technology was bollocks, but apparently it's"
00:00:57,00:00:58,not.
00:00:58,00:01:08,"So, Bulgaria has lots of agrarian, Bulgarian land, and they grow stuff, and Hale damages"
00:01:08,00:01:09,crops a lot.
00:01:09,00:01:14,"And because of its geography and its variable landscape, there's lots of Hale."
00:01:14,00:01:21,"And so they use seeding techniques to, well, there are various ways you can lower hailstones"
00:01:21,00:01:22,by seeding.
00:01:22,00:01:24,"So, do you want to know about it?"
00:01:24,00:01:25,It's super boring.
00:01:25,00:01:26,"Yeah, yeah."
00:01:26,00:01:29,I'll try and make it more boring than it actually is.
00:01:29,00:01:36,"So, you basically, they discovered in 1946 or something that if you put dry ice, solid"
00:01:36,00:01:43,"carbon dioxide into clouds, you can increase precipitation, basically, and later they found"
00:01:43,00:01:49,"out that something silver iodide and potassium iodide also do, there's various techniques,"
00:01:49,00:01:52,"and you can drop them from a plane or shoot them up from a rocket, which is what the Bulgarians"
00:01:52,00:01:53,do.
00:01:53,00:02:00,"But in terms of fighting too much Hale, the main technique is basically that you shoot these"
00:02:00,00:02:01,chemicals up.
00:02:01,00:02:05,"It changes the chemical structure of the stuff within the cloud, and it actually makes"
00:02:05,00:02:09,more small hailstones that compete for the available water.
00:02:09,00:02:12,"So, by the time they hit the ground, they're no longer hailstones because they started"
00:02:12,00:02:13,too small.
00:02:13,00:02:17,I think I've misunderstood the fact because I thought they were shooting rockets at falling
