start_hhmmss,end_hhmmss,text
00:00:00,00:00:10,"All right, let's move on to the next question."
00:00:10,00:00:17,"Hello, and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:00:17,00:00:20,to you from the QI offices in Covert Garden.
00:00:20,00:00:21,My name is Dan Schreiber.
00:00:21,00:00:27,"I am sitting here with Anna Chazinski, James Harkin, and Andrew Hunter Murray, and once again,"
00:00:27,00:00:30,we have gathered around the microphones with our four favorite facts from the last seven
00:00:30,00:00:34,"days, and in no particular order, here we go."
00:00:34,00:00:36,"Starting with you, James Harkin."
00:00:36,00:00:42,"OK, my fact this week is that the fear of lifts can be cured by starving the subject and"
00:00:42,00:00:47,forcing them to eat all of their meals in lifts.
00:00:47,00:00:50,How long do you have to eat all your meals in a lift for?
00:00:50,00:00:54,"I think they only did it for a day or two, but then they checked back on this person a few"
00:00:54,00:00:56,"years later, and it worked."
00:00:56,00:01:01,"And this is in an old paper from 1973 that I stumbled across this week, and the paper's"
00:01:01,00:01:07,"called ""A Brief Treatment of Elevator Fobia"" and it's by S. Brintwick and Leslie Soliom."
00:01:07,00:01:08,So what's the idea?
00:01:08,00:01:12,"You would sit inside an elevator and you'd be distracted, so they wouldn't know this."
00:01:12,00:01:17,"So what happens is, what you do is you've got someone who's scared of elevators or lifts,"
00:01:17,00:01:20,"and you say to them, ""You're not allowed to eat for 24 hours,"" and they go, ""OK, I'm"
00:01:20,00:01:21,"not going to eat."""
00:01:21,00:01:24,"And you say, ""You're not allowed to drink water either,"" and they say, ""OK."""
00:01:24,00:01:29,"And then you say to them, ""OK, well, you can have something to eat now, you can have some"
00:01:29,00:01:32,"conflites or whatever, but you can only have it if you're inside that lift."""
00:01:32,00:01:36,"And so they have to go in the lift because they're so hungry, and then I reckon just because"
00:01:36,00:01:39,"they've gone in there and they're kind of getting used to it, then they feel like-"
00:01:39,00:01:40,This is insane.
00:01:40,00:01:42,There's like pamphlet.
00:01:42,00:01:45,"Well, and then they're okay with being in the lift because they're enjoying the eating"
00:01:45,00:01:46,"process, so-"
00:01:46,00:01:51,"No, because what it is with fobias, one good way of getting over it is by forcing yourself"
00:01:51,00:01:55,to kind of go to these places or see these things or touch these things that you're scared
00:01:55,00:01:59,"of, and slowly you kind of build up resistance and you realise that not maybe as bad as you"
00:01:59,00:02:01,"think, and you kind of get over it."
00:02:01,00:02:04,"Really, the food is genuinely just to lure them into the lift."
00:02:04,00:02:05,It really is.
00:02:05,00:02:09,"Well, I mean, just pick the guy up and push him in, I think that might be a bit more humane."
00:02:09,00:02:11,Wouldn't that make the fobias a bit worse?
00:02:11,00:02:16,"Well, the thing is, they think a lot of it is something bad has happened that you associate"
00:02:16,00:02:21,"with this thing, and usually it happens when you're between four and seven as child,"
00:02:21,00:02:26,"and then later on you kind of, even if it's subconsciously, you put these two things together"
00:02:26,00:02:27,and so you're scared.
00:02:27,00:02:30,"I'm scared of mushrooms, so when I'm as four years old I must have been attacked by a mushroom"
00:02:30,00:02:31,or something.
00:02:31,00:02:32,I don't know.
00:02:32,00:02:33,Thank a lot of Mario.
00:02:33,00:02:38,"So, if I'm scared of spiders, do I have to eat all my food off a spider?"
00:02:38,00:02:40,Is that how it's going to work?
00:02:40,00:02:46,"Well, they think that one good way of stopping being scared of spiders is by to touch spiders,"
00:02:46,00:02:50,so you go to like a zoo and they put a tarantula on your hand and maybe it makes you feel
00:02:50,00:02:51,better.
00:02:51,00:02:56,"They call it in vivo exposure, but the problem is that people don't really like to go to the"
00:02:56,00:03:01,"spider house and have the spiders put on them, and I was reading an article in improbable.com"
00:03:01,00:03:07,"and they said that a way of doing this is by augmented reality, so say you're sat in front"
00:03:07,00:03:10,of a computer and you put your hand down and there's a camera looking at your hand.
00:03:10,00:03:14,The computer makes it look as if there's like cockroaches running across your hand.
00:03:14,00:03:18,"You'll think that they're running across your hand when they're not actually, and that"
00:03:18,00:03:21,can maybe kind of cure you have been scared of cockroaches.
00:03:21,00:03:23,"Wait, why is that better than just having the cockroaches run over your hand?"
00:03:23,00:03:27,"Because people don't like to go, if they see cockroaches, they'll just freak out, but"
00:03:27,00:03:32,"if they put the hand down and they're just looking at a computer, then it's easy to get someone"
00:03:32,00:03:35,in front of a computer then in front of a cockroach house.
00:03:35,00:03:36,Okay.
00:03:36,00:03:41,"There are more computers than cockroach houses for one, there's way more."
00:03:41,00:03:45,"There's quite an interesting theory about where Phobias come from, that scientists have"
00:03:45,00:03:49,"just come up with, so you were saying that it's probably a memory that you have, maybe"
00:03:49,00:03:53,"a memory that you have from childhood, but in 2013 there was some new research done that"
00:03:53,00:03:57,showed you could sort of inherit memories from your ancestors.
00:03:57,00:03:58,No.
00:03:58,00:04:01,"Yeah, so what happens is if one of your ancestors had a horrible experience, like they've"
00:04:01,00:04:06,"been bitten by a spider a long long time ago, then their response to that makes a chemical"
00:04:06,00:04:11,"imprint on your DNA, and that chemical imprint can then be passed down, so then you'll have"
00:04:11,00:04:12,this Phobias.
00:04:12,00:04:15,You knew research that was done in 2013.
00:04:15,00:04:21,Is this why I'm scared of Nazis?
00:04:21,00:04:24,That explains your totally rational phobia of the Nazi plastic.
00:04:24,00:04:28,"Just because my grandparents had to, you know, and sort of, there's a lot of deprivation and"
00:04:28,00:04:30,"I think that's definitely true in mice, isn't it?"
00:04:30,00:04:32,They showed that that was true in mice.
00:04:32,00:04:33,Yes.
00:04:33,00:04:34,I'm not sure it's true in humans.
00:04:34,00:04:37,"Yeah, it's weird that that can be imprinted into DNA."
00:04:37,00:04:38,"Yeah, so it is quite a new thing."
00:04:38,00:04:44,"To my sperm, the fact that I was attacked by a dog, my sperm will have that knowledge as it"
00:04:44,00:04:45,goes across.
00:04:45,00:04:46,Yeah.
00:04:46,00:04:48,"I mean, not the fact you're not going to have a grandchild who's like, ""Hey, I remember this"
00:04:48,00:04:51,"weird time in the QI offices when a dog bit my textbook."""
00:04:51,00:04:52,"No, I know a bit."
00:04:52,00:04:55,But is the response to that makes a chemical imprint on your DNA?
00:04:55,00:04:56,"Yeah, that's mad."
00:04:56,00:04:57,"Yeah, that's cool."
00:04:57,00:04:58,That's mad.
00:04:58,00:04:59,A fear of clowns.
00:04:59,00:05:00,That's a big thing.
00:05:00,00:05:01,Coolophobia.
00:05:01,00:05:02,"Yes, exactly."
00:05:02,00:05:06,"Sorry, I thought you were saying it was a cool phobia."
00:05:06,00:05:07,Coolophobia.
00:05:07,00:05:10,I thought you were saying it was a fear of coolers.
00:05:10,00:05:12,"Well, everyone's confused."
00:05:12,00:05:15,"So what they do now, circuses are starting to do this."
00:05:15,00:05:20,"They have sessions before the circus starts where if you're afraid of clowns, you can go"
00:05:20,00:05:24,"and watch the clown do their makeup, start from a normal person and do their makeup so"
00:05:24,00:05:28,"by the time the circus starts, you feel comfortable with them and they call it clounciling"
00:05:28,00:05:29,and use...
00:05:29,00:05:30,"Oh, God's sake."
00:05:30,00:05:31,It's true.
00:05:31,00:05:32,This is true.
00:05:32,00:05:35,You do clounciling and you can watch clowns get their makeup done and it's meant to
00:05:35,00:05:37,help you massively to see the transformation happen.
00:05:37,00:05:40,But it's quite obvious that the name preceded the actual idea.
00:05:40,00:05:41,So...
00:05:41,00:05:49,A good method is to starve someone for a day and then they can only custom-pise.
00:05:49,00:05:53,"There was, I read a report that for people who were afraid of elevators."
00:05:53,00:05:59,"In some cases, they will opt for a job that pays less if it's in a lower floor of a building."
00:05:59,00:06:00,Wow.
00:06:00,00:06:02,"So, this is the thing."
00:06:02,00:06:05,"Otis, the elevator company, they estimate that every"
00:06:05,00:06:10,five days the equivalent of the entire population of the planet uses a lift.
00:06:10,00:06:13,So seven billion journeys are made and left every five days.
00:06:13,00:06:15,I think it was even in their lifts.
00:06:15,00:06:16,Exactly.
00:06:16,00:06:17,Yes.
00:06:17,00:06:19,"So just the brand otis, not even a shindler."
00:06:19,00:06:23,"I read about an amazing lift that maybe the three of you have heard of, but I hint of."
00:06:23,00:06:24,And I discovered it.
00:06:24,00:06:29,"I discovered a great website called Elevatorpedia, which is just the Wikipedia of elevators."
00:06:29,00:06:34,"It's got 492 articles, 9 million registered users, over 9 million."
00:06:34,00:06:36,"Yeah, active users was about 22."
00:06:36,00:06:37,Right.
00:06:37,00:06:39,But 9 million registered users.
00:06:39,00:06:40,Yeah.
00:06:40,00:06:41,"They're just spumb up, is that they?"
00:06:41,00:06:42,Probably.
00:06:42,00:06:43,Yeah.
00:06:43,00:06:44,But they're proud.
00:06:44,00:06:48,"So yeah, so I started reading about, I pressed random page and just brought up different"
00:06:48,00:06:49,random pages.
00:06:49,00:06:51,And the first one that came up was the double-decker elevator.
00:06:51,00:06:52,Have you heard of that?
00:06:52,00:06:53,No.
00:06:53,00:06:54,No.
00:06:54,00:06:55,I like the idea of pressing random article in it.
00:06:55,00:06:56,You don't have to wait 30 seconds for it.
00:06:56,00:06:57,That's what it is.
00:06:57,00:06:58,Yeah.
00:06:58,00:07:05,"So, a double-decker elevator, it stops at two floors at a time, so you're able to cut the"
00:07:05,00:07:08,journey in half effectively.
