start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,"Hi everyone, Dan here, welcome to another episode of No Such Thing as a Fish."
00:00:04,00:00:08,"Before we get started, we just want to let you know that we have now completed our run"
00:00:08,00:00:11,for the first series of our TV show No Such Thing as the News.
00:00:11,00:00:15,"If you missed it and you want to see it, head to No Such Thing as the News.com,"
00:00:15,00:00:19,where we have all of the episodes either on iPlayer for viewers in the UK
00:00:19,00:00:21,or on YouTube for everyone who's international.
00:00:21,00:00:25,"Please watch them, we love making them, hopefully we'll get to make more."
00:00:25,00:00:27,"But in the meantime, here's another episode,"
00:00:27,00:00:31,"and you'll notice James is away this week, he's in Transylvania, so we have,"
00:00:31,00:00:34,"in his place, another QIL, Stephen Colgan."
00:00:34,00:00:38,"Steve's just actually published a book, it's called ""Why Did The policeman Cross the Road?"""
00:00:38,00:00:40,How to solve problems before they arise.
00:00:40,00:00:44,"It's in bookshops now, it's an amazing book, it's all about his time when he was a police officer"
00:00:44,00:00:49,and all the problems he had to solve as a part of Scotland Yards Problem Solving Unit.
00:00:49,00:00:52,"How cool is that sound? Okay, that's it, on with this week's show."
00:00:52,00:00:58,[Dance Music]
00:00:58,00:01:12,"Hello, and welcome to another episode of No Such Thing as a Fish, a weekly podcast"
00:01:12,00:01:15,coming to you from the QIL offices in Covenant Garden.
00:01:15,00:01:22,"My name is Dan Shriver, I am sitting here with Annachosinski, Andy Murray, and Stephen Colgan."
00:01:22,00:01:25,"And once again, we have gathered around the microphones with our four favorite facts"
00:01:25,00:01:29,"from the last seven days, and in no particular order, here we go."
00:01:29,00:01:35,"Starting with my fact, my fact this week is that heart surgeons now perform surgery"
00:01:35,00:01:37,while wearing 3D glasses.
00:01:37,00:01:40,"3D glasses, like the ones you get in the cinema."
00:01:40,00:01:44,"They're slightly more modern, but they are 3D glasses."
00:01:44,00:01:50,"To get other special effects as well, like, to someone blowing their faces while they're doing their final prayer bit of order."
00:01:50,00:01:54,"Then that's a 4D operating experience. That's true, yeah."
00:01:54,00:01:58,"The reason they do this is because with heart surgery, a lot of the way that they do heart surgery now"
00:01:58,00:02:04,"is via camera going in, because they can't get into such delicate spots, so they have to watch it on a camera."
00:02:04,00:02:09,"And so it's really hard to know if you're further than you think you are, or if you're not close enough,"
00:02:09,00:02:10,it's just hard to get perception.
00:02:10,00:02:16,So what they realize that they could do is by adding a 3D camera to the thing that goes into the body.
00:02:16,00:02:22,"You could then wear the 3D glasses, and you would have total immersive and proper experience of a 3D operation."
00:02:22,00:02:23,It's insane.
00:02:23,00:02:25,Plus you look awesome.
00:02:25,00:02:27,"These aren't the old red and green ones, are they?"
00:02:27,00:02:29,"So they're slightly more modern, so yeah."
00:02:29,00:02:32,I have been to the cinema to like to clarify since 2005.
00:02:32,00:02:37,"They said that, but even the ones in the cinema, they actually can reduce the brightness of the screen by up to 88%."
00:02:37,00:02:39,So should they be able to light it quite well?
00:02:39,00:02:41,"Yeah, yeah. Well, maybe that's the modification."
00:02:41,00:02:48,"But when they used to do it with the 2D normal operations, it would take something like two hours longer or four hours longer,"
00:02:48,00:02:51,"because it was so hard, you had to be so careful."
00:02:51,00:02:53,"And now with these glasses, they can do things at twice the speed."
00:02:53,00:02:56,They have the time of what the operation should be.
00:02:56,00:02:58,"So it's just, yeah, it's amazing."
00:02:58,00:03:03,"Well, the whole 3D things are very interesting area anyway, because a few years ago hearing Andy Neiman go out about this,"
00:03:03,00:03:07,"because Andy Neiman, the magician and Ratti, he's a huge fan of 3D movies."
00:03:07,00:03:13,"And he was saying that 3D was kind of brought into cinemas as a way of fighting back against new technologies,"
00:03:13,00:03:15,that the cinemas were worried that people would stop going to the cinemas.
00:03:15,00:03:20,"So like in the 1950s, it was because of the rise of television in the late 70s and early 80s,"
00:03:20,00:03:21,because of video coming along.
00:03:21,00:03:24,"And in the modern age, it was because of computers in the internet."
00:03:24,00:03:27,"And that's what I was saying. And people would go, oh my god, people aren't going to go to the cinema anymore."
00:03:27,00:03:30,So 3D kept coming back as a gimmick over and over again.
00:03:30,00:03:33,"But now they spent so much money on the infrastructure, we can't get rid of it now."
00:03:33,00:03:34,Wow. I didn't know that.
00:03:34,00:03:36,"It was kind of stuck with it, yeah."
00:03:36,00:03:38,"These people should have watched more knockoff DVDs and realized most of them,"
00:03:38,00:03:42,the sound is out of sync with the visions and it cuts off halfway through anyway.
00:03:42,00:03:43,So cinemas are safe.
00:03:43,00:03:44,Safe bet.
00:03:44,00:03:48,"Well, if you go to the cinema and you hate watching 3D movies,"
00:03:48,00:03:50,"but you happen to be in a 3D movie,"
00:03:50,00:03:56,you can now buy and it's been for a while 2D glasses that turn a 3D movie back into 2D.
00:03:56,00:03:58,So this is on.
00:03:58,00:04:03,"If you go to 2D-glasses.com, you can now buy these glasses."
00:04:03,00:04:07,"And it's basically the guy who invented them, his wife hated going to 3D movies."
00:04:07,00:04:11,"So he invented it so that she would still come to the movies, but get the 2D experience."
00:04:11,00:04:15,"Well, I was looking into this a bit more and looking at a few medical papers about this."
00:04:15,00:04:18,And apparently there's 12% of people who can't see 3D anyway.
00:04:18,00:04:20,"Well, when they were in the glasses, yeah."
00:04:20,00:04:20,Wow. Wow.
00:04:20,00:04:22,Is that due to visual impairment?
00:04:22,00:04:26,"Yeah, well not impairment, it's just that the rods and cones and the eyes can pick it up very clearly."
00:04:26,00:04:29,Wow. So these are people with 2020.
00:04:29,00:04:30,"Yeah, it's people who otherwise have got good vision."
00:04:30,00:04:35,"Amazing. The other thing is the rods and cones in your eyes, they discovered last year,"
00:04:35,00:04:38,your eyes actually do see 3D separately.
00:04:38,00:04:41,"So your eyes can actually see each eye, can actually see 3D on its own."
00:04:41,00:04:42,What?
00:04:42,00:04:47,"When that's combined with parallax, which is where you're seeing it from two slightly different viewpoints from each eye,"
00:04:47,00:04:48,that gives you perfect 3D vision.
00:04:48,00:04:54,So they don't reckon that the 3D vision that we see in cinemas is actually anywhere near as close to real 3D vision anyway.
00:04:54,00:05:00,That's really amazing because we obviously just think the only reason we see 3D is because we've got two.
00:05:00,00:05:02,"Well that's the parallax thing, isn't it? You see things from two slightly different viewpoints."
00:05:02,00:05:07,"The brain superimposes them, but apparently each one of your eyes can actually detect 3D anyway on its own."
00:05:07,00:05:10,Apparently there are three or four different things that come together to give us 3D vision.
00:05:10,00:05:13,"And a couple of those we've got anyway, because even if you shut one eye,"
00:05:13,00:05:16,you've still got a fairly good idea of how far things are away.
00:05:16,00:05:22,"It's only when things get close to your eye, like you're trying to thread a needle that it all goes completely to pot."
00:05:22,00:05:23,"Wow, yeah."
00:05:23,00:05:26,So I was distracted because Anna was launching her hand into her own face.
00:05:26,00:05:32,"I was practicing my one eye 3D vision, and all it made me think is I'm really short-sighted in my left eye."
00:05:32,00:05:39,I was looking into surgical innovations and things that surgeons are doing now that are improving medicine.
00:05:39,00:05:44,And I've been corresponding with a couple of doctors who have told me amazing things.
00:05:44,00:05:46,"And I just wanted to mention them, they're called Peter Brindley at Martin Beat."
00:05:46,00:05:49,"Well no, this isn't about personal ailments or anything, is it?"
00:05:49,00:05:54,"No, it's like, although they've assured me it will clear up in four to six weeks if I keep putting the ointment on."
00:05:54,00:06:01,"Okay, get this. To train surgeons, one thing you can do is simulate smells for them."
00:06:01,00:06:04,Smells of particular things in an operating room.
00:06:04,00:06:13,"So there are cookbooks available online where you can cook up the smell of internal organs or cerebral spinal fluid,"
00:06:13,00:06:19,or whatever it might be to sort of train surgeons more effectively for when they actually get under operating.
00:06:19,00:06:20,"Wow, that's cool."
00:06:20,00:06:22,Why is identifying a smell?
00:06:22,00:06:25,"Well, I don't think a smell is useful medically, is it?"
00:06:25,00:06:26,To identify a disease.
00:06:26,00:06:29,"So yeah, so a lot of people could diagnose while you're going."
00:06:29,00:06:30,"Oh, okay, you shut yourself."
00:06:30,00:06:39,"I was reading, there was an article on cracks written by a surgeon saying some secrets of the trade."
00:06:39,00:06:43,"And he was recounting, so he recounted two quite amusing things."
00:06:43,00:06:49,"One was that at one point a man woke up while he was restarting his heart because they'd have to give him,"
00:06:49,00:06:52,I think a dose of adrenaline to get his heart going and maybe it was too much the man woke up.
00:06:52,00:06:57,"And this surgeon said, ""When he saw a resident elbow deep in his organs, he gave us the exact look,"
00:06:57,00:07:01,"you picture somebody having when they wake up to find a stranger's hands inside their chest."""
00:07:01,00:07:03,"We all know that, though."
00:07:03,00:07:05,"I was like, the position of a masterful."
00:07:05,00:07:09,He looked at us exactly like we were doing the thing that we were doing.
00:07:09,00:07:15,"Yeah, I read a few articles about doctors revealing secrets about surgery and stuff."
00:07:15,00:07:17,"One weird one, I wish I wrote it down."
00:07:17,00:07:23,"This is just going from memory, but about how, with every surgery, if you're a man getting surgery,"
00:07:23,00:07:27,they have to hold and squeeze the penis just to make sure there's no urine in it.
00:07:27,00:07:32,"Dan, I think you've been had."
00:07:32,00:07:34,If that's the excuse he gave you.
00:07:34,00:07:35,Where were you at the time?
00:07:35,00:07:38,"If you weren't in a hospital, then he said he was a doctor."
00:07:38,00:07:43,"My mum's never going to consent to another general anesthetic, now she knows that's outrageous."
00:07:43,00:07:46,"Yeah, I don't know how they get it out of the ladies, actually."
00:07:46,00:07:47,"Yeah, that's true."
00:07:47,00:07:50,We probably have a doctor to pick him up and take him away from him for the fact.
00:07:50,00:07:56,"I did read some stuff about, I mean, you talked about a keyhole surgery earlier."
00:07:56,00:07:59,"There have been a number of scientific papers, people looking at whether people playing video games"
00:07:59,00:08:02,give them skills that will make them better surgeons in the future.
00:08:02,00:08:06,"And there's one particular paper I was looking at, which was called ""The Impact of"
00:08:06,00:08:10,"Video Games on Training Surgeons in the 21st Century,"" which was kind of looking at all the"
00:08:10,00:08:14,existing papers that have been written on it and bringing all the data together.
00:08:14,00:08:20,And apparently they found that current video game players made 32% fewer errors
00:08:20,00:08:24,when they were involved in doing surgical work and performed 24% faster.
00:08:24,00:08:27,It will be all that time spending in your bedroom.
00:08:27,00:08:30,It could mean you're going to be a really good keyhole surgeon one day.
00:08:30,00:08:33,"Yeah, you're not allowed to be stoned when you perform surgery, though."
00:08:33,00:08:34,So that's what I'll first of all.
00:08:34,00:08:39,"The worry about thing is cool, so there are surgeons who now perform operations routinely"
00:08:39,00:08:42,"from like 400 kilometres away from their patients, aren't they?"
00:08:42,00:08:45,There's this guy called Mr. Tickle.
00:08:45,00:08:52,"Yeah, no, there's this guy called Mecharan Anvari, who does almost all of his operations"
00:08:52,00:08:54,"on different continents, and he just does it."
00:08:54,00:08:56,But you put this sort of console on your head.
00:08:56,00:09:00,"It looks like one of those things that, when women get their hair permed in hairdressers,"
00:09:00,00:09:04,it's like one of those and then you just control that and you're remotely controlling.
00:09:04,00:09:06,Exactly.
00:09:06,00:09:11,"But there was one, so I think the most used one is the DaVinci surgical system,"
00:09:11,00:09:14,"and that's used in about 200,000 operations worldwide."
00:09:14,00:09:16,And it's a virtual reality thing.
00:09:16,00:09:19,"So you stick your head in a console and you can be in a different room,"
00:09:19,00:09:22,but your voice will blast into the patient's room while you're on the surgery.
00:09:22,00:09:24,So you can tell the nurse is what to do.
00:09:24,00:09:25,"Oh, blast clip."
00:09:25,00:09:28,This is the voice of the surgeon.
00:09:28,00:09:34,"Well, one doctor said, I've heard one surgeon get carried away while doing this in shout."
00:09:34,00:09:36,I'm Conan the fucking barbarian.
00:09:36,00:09:45,"Okay, it is time to move on to fact number two, and that is Steve."
00:09:45,00:09:50,"Okay, my fact is that one day we may all be drinking pigeon milk."
00:09:50,00:09:56,"First of all, I should say that pigeon milk isn't milk like we get from cows,"
00:09:56,00:09:58,because birds can't lactate.
00:09:58,00:10:02,"It's actually produced in the bird's crop, a little space between the throat and the stomach,"
00:10:02,00:10:06,"where birds will store food, sometimes to soften it up before swallowing."
00:10:06,00:10:11,"But sometimes, if they're looking after young, they can keep food in to regurgitate to the young later."
00:10:11,00:10:16,And there are some species of bird pigeons are one of them that actually can make
00:10:16,00:10:19,a kind of secretion in that crop to feed the young birds.
00:10:19,00:10:21,And they generally do it when the birds are first hatched.
00:10:21,00:10:23,"It's a bit like, you know, in humans, you get colostrum."
00:10:23,00:10:27,You get the stuff that mother first produces when babies are born.
00:10:27,00:10:32,"And it allows the baby to put on weight very quickly, and it also feeds their immune system."
00:10:32,00:10:35,"Well, this stuff does the same job, and they reckon it's part of the reason"
00:10:35,00:10:37,that pigeons are able to survive so well in cities.
00:10:37,00:10:39,So is this why we're going to be drinking it?
00:10:39,00:10:40,We need to survive in cities.
00:10:40,00:10:46,"What they're saying is that they might be able to switch on some parts of the DNA in pigeon milk,"
00:10:46,00:10:49,"and put it into other animals milk that we do drink,"
00:10:49,00:10:53,"which means that milk won't taste any different, but it'll actually boost our immune system."
00:10:53,00:10:54,"Oh, okay."
00:10:54,00:10:57,"So they sort of secrete it, don't they, pigeons, from the crop?"
00:10:57,00:11:00,"It's like curd, is she like?"
00:11:00,00:11:02,"Yeah, it's like cottage cheese, texture, isn't it?"
00:11:02,00:11:05,"Yeah, that's a pretty thick secretion."
00:11:05,00:11:07,"Yeah, well here it is."
