start_hhmmss,end_hhmmss,text
00:00:00,00:00:06,"They don't look at it, but it won't look at it."
00:00:06,00:00:14,"Hello, and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:00:14,00:00:17,to you from the QI offices in Covert Garden.
00:00:17,00:00:23,"My name is Dad Shriver, I'm sitting here with Anish Zinski, James Harkin, and Andy Murray,"
00:00:23,00:00:26,and once again we have gathered around the microphones with our four favorite facts from the last
00:00:26,00:00:33,"seven days, and in no particular order, here we go, starting with you Chazinski."
00:00:33,00:00:38,"My fact this week is that the first trampolines were made of wool or skin, and this is a thing"
00:00:38,00:00:42,"that's called blanket tossing, and it's been practiced for the..."
00:00:42,00:00:47,My teenage boys for thousands of years.
00:00:47,00:00:52,"Okay, so blanket tossing is something that's been practiced by the Anupiat Eskimos up in Alaska"
00:00:52,00:00:56,"for, we don't know exactly how long, but references to it go back to..."
00:00:56,00:01:01,"On Google Books, they go back to the very early 19th century, and that talks about it as a tradition"
00:01:01,00:01:07,"that's obviously been practiced for a long time, and it's a game they played where they'd get"
00:01:07,00:01:11,"a wool rust hide, and they'd attach it with ropes to four poles, and then they'd have lots"
00:01:11,00:01:14,"of holes drilled into the wool rust hide all around it, so people could get their hands"
00:01:14,00:01:18,"through the holes and pull on the holes, so they pull on the skin, and then they dump"
00:01:18,00:01:23,"somebody in the middle of the skin, and it's about waist height, it's suspended, and then"
00:01:23,00:01:26,"when everyone pulls on the holes at the same time, then obviously the skin flicks upwards,"
00:01:26,00:01:29,and it throws the person on them up in the end.
00:01:29,00:01:30,Wow.
00:01:30,00:01:32,"So we're going to say that counts as a trampoline, are we?"
00:01:32,00:01:38,"I think I am for the sake of this fact, no I think, because it's attached to things at"
00:01:38,00:01:39,the side.
00:01:39,00:01:40,People are holding...
00:01:40,00:01:43,"It sounds more like a, you know, when there's a fire in a building, and someone needs"
00:01:43,00:01:45,"to jump out, and there's people below with that fire net."
00:01:45,00:01:50,"Those are really interesting, I didn't really know about those, or you see them in old films"
