start_hhmmss,end_hhmmss,text
00:00:00,00:00:10,[Beat music]
00:00:10,00:00:15,"Hello and welcome to another episode of ""No Such Thing as a Fish"" a weekly podcast"
00:00:15,00:00:19,coming to you from the QI offices in Covent Garden. My name is Dan Schreiber.
00:00:19,00:00:24,"I'm sitting here with Anna Chazinski and Miller and James Harkin,"
00:00:24,00:00:28,and once again we have gathered around the microphones with our four favorite facts from the last
00:00:28,00:00:35,"seven days and in a particular order, here we go. Starting this week with my fact,"
00:00:35,00:00:40,my fact is that the Olympics used to have a race just for old ladies.
00:00:40,00:00:46,Exclusively for old ladies called the old ladies race or old women racing.
00:00:46,00:00:48,"They didn't put much thought into the name, did they?"
00:00:48,00:00:50,"It wasn't, yeah. The bronze seal approach."
00:00:50,00:00:54,There was a fuller name actually where it said old ladies racing for a pound of tea.
00:00:55,00:00:57,"That's much better, I'd watch that one."
00:00:57,00:01:04,"Well no, it turns out, you might as well be saying men doing the 100 meter sprint for a gold medal"
00:01:04,00:01:08,because the pound of tea was the prize. Because it wasn't like re-hound racing where it's on a
00:01:08,00:01:13,"screen, but they did get it right. They got the pound of tea, yeah. We should quickly say that this"
00:01:13,00:01:18,"is not what we all perceive as the kind of the modern Olympics, the Olympics that are going on in"
00:01:18,00:01:23,Rio right now. What this is is a much older version of the Olympics that started in a place called
00:01:23,00:01:29,"Much Wendlock. This was back in the 1800s. This was way, way before the modern Olympics started"
00:01:29,00:01:34,"again in Athens. One of the races was this. It wasn't that much before, was it? Was it not that"
00:01:34,00:01:39,the Kubitan who started the Modern Olympics visited much Wendlock and it kind of gave him a
00:01:39,00:01:44,bit of the idea? Yes. He actually credited William Penny Brooks who was the guy who set up the
00:01:44,00:01:48,Much Wendlock games as the originator of the Olympics. So even though everyone thinks of
00:01:48,00:01:53,"the Kubitan as being the guy who brought us a modern Olympics, he said, ""No, it was this chap. Get on him."""
00:01:53,00:01:59,"Yeah, and he also, they basically wanted to get him over at a time to actually see the"
00:01:59,00:02:03,"Olympics and full flow in Much Wendlock, but they ran out of time. He couldn't get over. So they just"
00:02:03,00:02:08,had to put on a few events when he eventually visited just as an example of what it looks like.
00:02:08,00:02:14,Is that what the hastily improvised old ladies race for? The only people who weren't at work that day.
00:02:14,00:02:20,"Yeah, exactly. I have to take issue with that race because you know how old the old ladies were."
00:02:20,00:02:27,"Go on. I mean, it's over 40s. Over 40s? Yeah. Anyone over 40 is an old lady. But you're not you're not"
00:02:27,00:02:34,thinking in terms of it's like dog years with athletes. So Michael Jordan retired from basketball
00:02:34,00:02:39,"for the first time at 30. Yeah. Technically, if you're in your 40s, you are a sports old person."
00:02:39,00:02:42,According to the sports. According to sports. Yeah. By sports rules.
00:02:42,00:02:47,"And by 19th century rules, life expectancy shorter. Even so, it hurts as someone who's only a decade"
00:02:47,00:02:54,off being 40 to read old ladies referring to 40 rules. Yeah. Not that far off. It's not. I won't be
00:02:54,00:03:00,"knocking on the door. I'm only 25 of course. To the nearest 25, I'm still 25. You're halfway there then."
00:03:00,00:03:07,"But yeah, so the in 1856, the race that you're talking about, the winner, 45 year old winner,"
00:03:07,00:03:14,"Mary Speak. And she defeated the person in second place, who was a 38 year old, called Anne Meredith."
00:03:14,00:03:19,Wait a minute. Hang on. She got a 40. How does she sneak in? Was it not even a 30 year old?
00:03:19,00:03:26,It wasn't over 40s. It was just people who look a bit rough. She didn't even win.
00:03:26,00:03:32,"Yes, came second. She got beat by a 45 year old. Yeah. Is embarrassing. Wow, 38. Yeah."
00:03:32,00:03:37,So I found this fact in this month's issue of the 40 in times. And there's an amazing article by
00:03:37,00:03:42,"guy called Rob Gandy called faster, higher, stronger, weirder, all about the much-when-lock Olympics."
00:03:42,00:03:46,"That sounds like a great deaf punk song, doesn't it? Yeah. Yeah, faster, stronger."
00:03:46,00:03:52,So they were pretty weird. A lot of the contests at those Olympics weren't they? And it grew
00:03:52,00:03:56,out of something which wasn't supposed to be specifically sport. So it was actually set up
00:03:56,00:04:01,"as more of an educational thing. And so in the 1950s, when the much-when-lock games were happening,"
00:04:01,00:04:08,a lot of the races or competitions were things like essay-writing or poetry or art.
00:04:08,00:04:12,"Oh, I always thought it was bad at sport. No, yeah, you'd nail this one."
00:04:12,00:04:19,"The other RT events that happened there, there was best Odes. You could enter the best Odes"
00:04:19,00:04:25,competition. Glee singing. That was one as well. A head of their time. Yeah. Glee singing.
00:04:25,00:04:29,"You just sing ""Don't Stop Believing"". That's exactly it. That was a ""Don't Stop Believing"""
00:04:29,00:04:34,"hadn't been invented yet. So they had to blow you an ode. Yeah. Yeah, really enthusiastic"
00:04:34,00:04:40,ode in a group. Knitting was another one. And then knitting stockings was another one.
00:04:40,00:04:46,That's not fun to watch. That's a category. But you can knit as well. You'd be a double-gold
00:04:46,00:04:52,better than a knitting victim. I would be kicking ass. Could you enter your knitted stockings
00:04:52,00:04:57,into both of those compositions? The knitting and the stockings knitting. Or was it all knitting
00:04:57,00:05:01,except stockings was allowed to enter knitting? I don't know if they were accepting finished
00:05:01,00:05:05,"knitwear. You know what, if they're allowing 38-year-olds in the over 40s race, I think they're not"
00:05:05,00:05:12,"sticklers for the rules. Just because James has mentioned the word ""stickle"", so there was another"
00:05:12,00:05:16,"kind of Olympic games that preceded these Olympic games and they were actually the Cotswold Olympics,"
00:05:16,00:05:23,"which started either in 1622 or 1612, we aren't quite sure. But I was reading that the Cotswold"
00:05:23,00:05:28,"Olympics, which had various weird sports like shin kicking. That's not that weird. I'm from Lancashire."
00:05:28,00:05:33,"We do that all the time. Prior traditions. Sorry. In barrels. Yeah, in barrels. How do you match"
00:05:33,00:05:37,"each other's shins when you're in barrels? You're in the same barrel. Oh, you're in the same barrel."
00:05:37,00:05:43,Tanner just brings his own barrel and sits in it alone. No one will kick me.
00:05:43,00:05:51,"But anyway, the umpire of these mainstream serious sports like shin kicking was called the stickler."
00:05:51,00:05:54,And I think there's a theory that maybe he was called the stickler because he held a staff or it
00:05:54,00:05:58,might just come from another old English word. But that's where we get stickler when we say he's
00:05:58,00:06:02,a stickler for the rules. It comes from that umpire. They were quite balanced as well these
00:06:02,00:06:08,contests. There was once a sword fight between Sir German pool and Mr Hutchinson and Mr Hutchinson
00:06:08,00:06:14,lost three of his fingers before he'd even drawn his sword. And then he responded by slicing off
00:06:14,00:06:21,"pools nose and pocketing it so it couldn't be reattached. Wait, we've gone an hour to reattach it."
00:06:21,00:06:26,That's in the guy's pocket. It's gone. That's as good as gone. But it's still going. It's this year.
00:06:26,00:06:32,They just in July. They just did the 130th much one lock case. And it's still got interesting
00:06:32,00:06:38,events. I look through the events that were uh done this year. Uh golf was one. So golf's just
00:06:38,00:06:43,joining isn't it? The Olympics. It's just done in the Olympics. Yeah. Um gliding was one. Oh yeah.
00:06:43,00:06:47,Gliding event. I reckon they're not going to have professional golfers. There are they.
00:06:47,00:06:52,"Down to it. So I wonder how good I'd have to get. Yes. And anyone can enter. James, you could"
00:06:52,00:06:56,genuinely enter the golfing tournament and win an Olympic medal. Yeah. Well. And if they're still
00:06:56,00:07:02,I don't know knitting and poetry and odes. There's no going for the writing rather than the odes
00:07:02,00:07:06,back and there go. You just need to speak the writing. That's all the odes. Yeah. I stick to
00:07:06,00:07:11,shink in the right line. Yeah. Then you can go and bring your own barrel. No one will kick you.
00:07:11,00:07:17,"I'll bring my own barrel, but I'll just be a spectator. Right. Stopping."
00:07:17,00:07:25,Oh ladies race. Oh. Given eight more years. I'm not risking second place.
00:07:25,00:07:31,"Should we move on shortly? Um, off when luck. Do you remember the really horrible London Olympic"
