start_hhmmss,end_hhmmss,text
00:00:00,00:00:20,"And welcome to another episode of no such thing as a fish, a weekly podcast coming to you"
00:00:20,00:00:24,"from the QI offices in Covert Garden. My name is Dan Shriver, I'm sitting here with"
00:00:24,00:00:30,"Anna Chazinski, Alex Bell and James Harkin. And once again we have gathered around the microphone"
00:00:30,00:00:35,"with our four favorite facts from the last seven days and in no particular order, here we go."
00:00:35,00:00:42,"Starting with you, Alex. My fact this week is that this episode of no such thing as a fish is going to"
00:00:42,00:00:51,"the moon. That's a bold claim, Mr Bell. It's absolutely true. What are you, how are we doing that?"
00:00:51,00:00:56,"Basically, a couple of years ago, I contributed to a Kickstarter campaign for a pro,"
00:00:56,00:01:02,a UK lander to go land on the moon around 2024. They hope it's called Lunar Mission 1.
00:01:02,00:01:06,"And the idea is that they're going to send it to the south pole of the moon, drill down a hundred"
00:01:06,00:01:10,meters and take some rock samples and do some science. And but also it's going to leave a time
00:01:10,00:01:14,"capsule there. And in that time capsule, people who've donated to the Kickstarter campaign"
00:01:14,00:01:17,get a little bit of digital space. And so I'm going to put this episode in.
00:01:17,00:01:22,So are you doing that because you just want to get this as far away from all things
00:01:22,00:01:26,"and existence as possible. Yep. Also, we got drunk last night and Dan had the idea and I didn't"
00:01:26,00:01:31,"reach out to say no. We got really drunk and I was like, what's definitely doing this?"
00:01:31,00:01:36,"Alex had all these plans of his family portraits to go up to the moon, my legacy gone."
00:01:36,00:01:40,"It's, it's interesting though, because it's not going up for the other eight years."
00:01:40,00:01:47,"Yeah. About, I don't know the word, about 2024 either. I've heard that before in big projects."
00:01:47,00:01:51,"But it's, it's an interesting Kickstarter because if they can pull this off, it actually just"
00:01:51,00:01:56,"completely alters how we can fund universal travel basically. I mean, we could, who knows,"
00:01:56,00:02:00,"maybe we'll be able to kickstart something tomorrow as well. Yeah, let's just try and get this"
00:02:00,00:02:06,podcast further and further away from planet rescue human society. Can I ask because they're
00:02:06,00:02:10,"drilling down and it's 150 degrees Celsius, I think, down there. Is it going to be protected in"
00:02:10,00:02:14,"some capsule? I don't know, I guess so. They haven't yet told just how much space they have"
00:02:14,00:02:18,"or anything like that. So it's still pretty vague, all the plans. God, so it might, we might have to"
00:02:18,00:02:21,just record a five minute podcast or something. We don't know how many megabytes we get. We'll just send
00:02:21,00:02:28,the Squarespace ad. Yeah. Do you know the first thing off the internet that was sent to space?
00:02:28,00:02:35,"Something off eBay. So close, but even Lamer, it is, it was a bunch of Craigslist adverts. Really?"
00:02:35,00:02:40,"Yeah, so it was in 2005 and Craigslist, the website, which I'm not sure is any longer in action."
00:02:41,00:02:48,"Oh, it is. Yeah, James is a frequent user. It's sent up about 138,000 ads. I think Craigslist ads,"
00:02:48,00:02:52,"and you could just tick a little box that said, please beam this into space and they beam them into"
00:02:52,00:02:58,"space. This was sort of digital stuff encoded onto light. Yes, exactly. Yeah, yeah, yeah,"
00:02:58,00:03:02,we're sending the data out there. Yeah. So I was looking this up and I found the reference on the
00:03:02,00:03:08,"Craigslist page to it after it happened, saying that they really wanted to remind people that you"
00:03:08,00:03:15,"could not cancel Craigslist ads that were beamed into space or retrieve them. So sorry guys,"
00:03:15,00:03:17,"so actually they're just going to be loads of pissed off aliens eventually coming going,"
00:03:17,00:03:23,"you said you had a sofa and I was saying, no, sorry, I sold that. That was actually what Independence"
00:03:23,00:03:28,"Day was, the fury of when they realised the sofa had now been sold. They just demolished her."
00:03:28,00:03:33,"I don't suppose lights the best thing to get your message into space, so is it? They think radio waves"
00:03:33,00:03:39,"is the best. I think it was my radio waves. Was it? Yeah. Yeah. Yeah. So 2024, obviously quite a"
00:03:39,00:03:44,"while away for stuff for us to make it to the moon. And I thought, is that the closest that we're"
00:03:44,00:03:49,"sending probes now? But actually, there's a lot of probes that seem to be set to go. The Google"
00:03:49,00:03:56,"Lunar X Prize has been set up and the idea is that they want someone to not only land on the moon,"
