start_hhmmss,end_hhmmss,text
00:00:00,00:00:05,"""Did you know what that would look like, isn't it?"""
00:00:05,00:00:08,"""Did you know what that would look like, isn't it?"""
00:00:08,00:00:19,"Hello, and welcome to another episode of ""No Such Thing As A Fish"" a weekly podcast"
00:00:19,00:00:22,coming to you from the QI offices in Covern Garden.
00:00:22,00:00:27,"My name is Dan Schreiber, and I am sitting here with Anichesinsky Alex Bell and James"
00:00:27,00:00:31,"Tarkin. And once again, we have gathered around the microphones with our four favorite"
00:00:31,00:00:37,"facts from the last seven days, and in no particular order, here we go. Starting with you, Alex"
00:00:37,00:00:38,Bell.
00:00:38,00:00:43,My fact this week is that the controls in the world's first combat submarine were lit up
00:00:43,00:00:44,with glowing mushrooms.
00:00:44,00:00:45,"""That is disgusting."""
00:00:45,00:00:46,"""Amazing."""
00:00:46,00:00:51,"""When you say the controls, with the controls themselves, the mushrooms? Or, I don't know"
00:00:51,00:00:52,"of the amazing."""
00:00:52,00:00:55,"""It was actually like in your car at nighttime when you're driving all the dials kind of"
00:00:55,00:00:56,"lights up."""
00:00:56,00:00:57,"""Yes."""
00:00:57,00:01:01,"""It was literally the little needles on the dials and things that had tiny bits of"
00:01:01,00:01:04,"foxfire, which is the type of bioluminescent fungi attached to them."""
00:01:04,00:01:09,"""I think foxfire is what Americans call any kind of glowing fungus, and it comes from"
00:01:09,00:01:12,"fox more like foe as in fake, fake fire."""
00:01:12,00:01:17,"""He used to call it cold fire, didn't they? I think maybe Aristotle or someone said"
00:01:17,00:01:18,it's cold fire.
00:01:18,00:01:19,"When was this submarine?"""
00:01:19,00:01:23,"""This was something called the turtle. It was more of a submersible, it looked like a"
00:01:23,00:01:28,"giant lemon, a one-man submersible. It was built in 1775 in America and it was to fight"
00:01:28,00:01:32,British Royal Navy ships. So if you imagine a kind of acorn or lemon-shaped thing that's
00:01:32,00:01:36,"big enough to keep one man in, and that floats just under the water, and then it's got a little"
00:01:36,00:01:39,"knobbly bit on the top that sticks above the water with windows in, and you put your head"
00:01:39,00:01:41,"up in that bit, so you can see the ships."
00:01:41,00:01:45,"And it's the first submarine to use water as ballast, so when it needed to sink, it has"
00:01:45,00:01:47,"water pumped in, and then you can pump it out again."""
00:01:47,00:01:51,"""But the person who would claim to have built the first submarine is Cornelius van"
