start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,"Hi guys, just before we start this show, we wanted to let you know about last week's show,"
00:00:04,00:00:09,on which you might remember we had a few facts about Leonardo da Vinci that we were slightly suspicious
00:00:09,00:00:13,"about, and we just asked someone if they could get in touch and provide us with a reliable source,"
00:00:13,00:00:18,"so that all these things that sounded too good to be true could be verified as true,"
00:00:18,00:00:24,and someone did get in touch to tell us that they weren't true. I'm afraid Leonardo da Vinci
00:00:24,00:00:30,"doesn't seem to have had a long and lustrous career as a chef, he may not have even made the giant"
00:00:30,00:00:37,"whisk. We fell for a hoax. This is a hoax book that was written in the 1980s, it's called Notast,"
00:00:37,00:00:44,"de Cocina, de Leonardo da Vinci, and it's full of lies, cruel lies that were then repeated in"
00:00:44,00:00:50,"biography, after book, after History magazine, throughout the decade solely for the purpose of"
00:00:50,00:00:56,"making me look like an idiot. Thanks so much to Pedro Almoda, who was the person who emailed in to"
00:00:56,00:01:02,"tell us about that original text, and who also managed to avoid writing in huge capital letters,"
00:01:02,00:01:07,"""You total and utter gullible morons."" Very grateful to him for being so restrained on that front,"
00:01:07,00:01:13,"and for letting us know, and I'm so sorry to the rest of you for saying these things that turned"
00:01:13,00:01:20,"out not to be true, won't happen again. I promise the upcoming podcast is almost entirely true,"
00:01:20,00:01:22,"okay, on with the show."
00:01:22,00:01:42,"Hello, and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming to you"
00:01:42,00:01:47,"from the QI offices in Covent Garden. My name is Dan Schreiber, I'm sitting here next to Andrew"
00:01:47,00:01:52,"Hunter Murray, and Edgesinsky, and James Harkin, and once again we have gathered around the microphones"
00:01:52,00:01:58,"with our four favorite facts from the last seven days, and in a particular order, here we go."
00:01:58,00:02:05,"Starting with you, James Harkin. Okay, my fact this week is that the least creepy job is that of a"
00:02:05,00:02:15,"weather forecaster. According to you, according to a new paper from this year, in the journal New"
00:02:15,00:02:22,"Ideas in Psychology, called ""On the Nature of Creepiness"" by two scientists called Francis"
00:02:22,00:02:27,T. McCandrew and Sarah S. Kerrnker. And what did they do that they personally meet up with
00:02:27,00:02:34,"creepy people? Yeah. No, what they did is they did a survey of 1,341 people, and they asked them,"
00:02:34,00:02:41,"they gave them a list of a load of jobs and said which of these is the most creepy, and the top creepy"
00:02:41,00:02:51,"job was clown, followed by taxidermist, followed by sex shop owner, now I'm friends with loads of those,"
00:02:51,00:02:57,"hi, and then funeral director and taxidriver. Is that taxidermist because it sounds like taxidermist?"
00:02:57,00:03:04,"Is that the confusion then? So this is only a small list of jobs, so there were 21 jobs in total."
00:03:04,00:03:08,"So things like weird butcher weren't on the list, which might be even the creepy of the clown,"
00:03:08,00:03:13,"yes, weird butcher. You've got the normal butcher and then the next shop is always the"
00:03:13,00:03:20,"weird butcher, who's always rubbing his hands on the awful. So who else is on the list?"
