start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,"Hi guys, just before we start this episode,"
00:00:02,00:00:04,"just to let you know, we will be recording"
00:00:04,00:00:07,the first episode of series two of no such things
00:00:07,00:00:08,the news next week.
00:00:08,00:00:10,And we're recording that live on Tuesday.
00:00:10,00:00:13,"And for the middle section of the TV show,"
00:00:13,00:00:15,we would like to use the most interesting facts
00:00:15,00:00:18,"that you guys, our audience, has learned from the news"
00:00:18,00:00:20,over the past seven days.
00:00:20,00:00:22,"So if you've seen anything interesting in the news,"
00:00:22,00:00:25,"tweet it to @QIPodcast, email podcast@QI.com"
00:00:25,00:00:29,or post it up on the no such things a fish Facebook page.
00:00:29,00:00:32,And we'll pick our favorites and news in the middle of the show.
00:00:32,00:00:33,"OK, hope you enjoyed this show, which"
00:00:33,00:00:36,is a recording of the dummy run for no such things
00:00:36,00:00:39,the news that we did live last week on with the show.
00:00:39,00:00:42,[MUSIC PLAYING]
00:00:42,00:00:57,"Now, hello, and welcome to another episode"
00:00:57,00:00:59,of no such thing as the news coming
00:00:59,00:01:01,"to you from Up the Creek in Greenwich, London."
00:01:01,00:01:03,"My name is Dan Shriver, and I'm sitting here"
00:01:03,00:01:07,"with Anna Chazinski, Andrew Hunter Murray, and James Harkin."
00:01:07,00:01:11,[APPLAUSE]
00:01:11,00:01:14,"Once again, we're here to present the most interesting stories"
00:01:14,00:01:16,we found in the news of the last seven days.
00:01:16,00:01:21,"And in no particular order, here we go, starting with you, Chazinski."
00:01:21,00:01:24,My fact this week is that one of these stalls
00:01:24,00:01:27,at the Conservative Party conference this week
00:01:27,00:01:28,is a grounds shooting simulator.
00:01:28,00:01:31,[LAUGHTER]
00:01:31,00:01:35,Sort of normal ordinary things as struggling families.
00:01:35,00:01:36,"So this is in the mirror, in fact."
00:01:36,00:01:39,So a mirror journalist went around the Conservative Party
00:01:39,00:01:40,conference and made a list of the most
00:01:40,00:01:43,Tory things at the Tory conference.
00:01:43,00:01:45,And that unsurprisingly made the list.
00:01:45,00:01:48,"Well, the grass simulator, you obviously"
00:01:48,00:01:49,saw what it looks like.
00:01:49,00:01:52,"It's like a little thing that you attach on this kind of fake gun,"
00:01:52,00:01:56,but you can attach it on your own gun if you want to.
00:01:56,00:01:58,It's so inclined.
00:01:58,00:02:01,"How many people at the Conservative conference went,"
00:02:01,00:02:03,"""Oh, actually, I've brought my own gun."""
00:02:03,00:02:05,"And actually, there's a lady called"
00:02:05,00:02:08,"Danka Batekeva, who's Slovakian, who"
00:02:08,00:02:10,used this grounds simulator when she was training
00:02:10,00:02:11,for the London Olympics.
00:02:11,00:02:14,And she won a medal at the London Olympics.
00:02:14,00:02:15,Really?
00:02:15,00:02:17,"Oh, cool."
00:02:17,00:02:19,"So it's a useful and interesting thing,"
00:02:19,00:02:21,and not just chance for landowners
00:02:21,00:02:24,to show off their shooting prowess.
00:02:24,00:02:27,"I have to say, reading about the Tory party conference,"
00:02:27,00:02:30,I just thought it looks so fun.
00:02:30,00:02:33,"I know, politically, you could sit on either side,"
00:02:33,00:02:35,"but as an event, it looks so much fun."
00:02:35,00:02:36,"And I went on Twitter and I thought,"
00:02:36,00:02:38,"I wonder if people are tweeting about this saying,"
00:02:38,00:02:39,this is really fun.
00:02:39,00:02:40,And they were.
00:02:40,00:02:41,So many people were just--
00:02:41,00:02:44,because it was a hashtag CPC16.
00:02:44,00:02:47,And I put CPC16 fun.
00:02:47,00:02:49,And it just came up with all these tweets going.
00:02:49,00:02:53,"If you search CPC16 crap, you would have got a lot of these."
00:02:53,00:02:57,"Well, I search CPC16 boring."
00:02:57,00:03:00,"And actually, today, there was a lot of boring stuff going on,"
00:03:00,00:03:01,mainly about Hammond speech.
00:03:01,00:03:03,I don't know if you heard about Hammond speech.
00:03:03,00:03:05,"So there were a few tweets, I saved."
00:03:05,00:03:07,"One that said, Hammond so boring, TFL"
00:03:07,00:03:10,wants to use him on the tunnels for the London Crossrail.
00:03:10,00:03:11,Project.
00:03:11,00:03:12,Good.
00:03:12,00:03:13,"And then on the fun side, because there"
00:03:13,00:03:14,were lots of fun tweets.
00:03:14,00:03:16,"This guy said, fucking hell."
00:03:16,00:03:18,"It's 1/3 in the morning, and I'm listening to two men"
00:03:18,00:03:21,arguing about the Turnstile Act of 1963.
00:03:21,00:03:23,And the CPC16 is so fun at eggs.
00:03:23,00:03:27,[LAUGHTER]
00:03:27,00:03:28,I think you might be missing a note of sarcasm
00:03:28,00:03:30,because that was his speech.
00:03:30,00:03:33,"I am here to tell you, having been to party conference"
00:03:33,00:03:35,"or two, that they are all lying."
00:03:35,00:03:38,The people who want to be promoted within the Tory party
00:03:38,00:03:40,"are going, so it is not in their interest to go,"
00:03:40,00:03:42,"this is a fucking waste of time, isn't it?"
00:03:42,00:03:45,"I think they have to say, I'm having the time of my lying."
00:03:45,00:03:47,"I don't know, because there was an owl"
00:03:47,00:03:48,that you could hold on your arm.
00:03:48,00:03:50,[LAUGHTER]
00:03:50,00:03:52,It's a real owl.
00:03:52,00:03:52,It's a real owl.
00:03:52,00:03:54,"Unfortunately, a lot of Tories brought their own guns,"
00:03:54,00:03:56,and that owl didn't like that.
00:03:56,00:03:57,It wasn't mixed up.
00:03:57,00:04:00,They shouldn't put those two things next to each other.
00:04:00,00:04:02,"One person, I'm not sure he was having a great time,"
00:04:02,00:04:04,"is Camden Councillor Johnny Bucknell,"
00:04:04,00:04:07,who spent the conference sleeping in his car.
00:04:07,00:04:10,"And what he thinks is, these conferences shouldn't"
00:04:10,00:04:12,"be held in big cities, where all the hotels are really"
00:04:12,00:04:13,expensive.
00:04:13,00:04:14,"They should be held in like Blackpool,"
00:04:14,00:04:16,where it's £10 a night or something.
00:04:16,00:04:18,That's what he said.
00:04:18,00:04:20,And so I looked at the other things that he's
00:04:20,00:04:21,done in the last year or so.
00:04:21,00:04:23,And this is all that's in the news about him.
00:04:23,00:04:27,"He was £30,000 for being a Shiny landlord."
00:04:27,00:04:29,And he was told off for eating roast duck
00:04:29,00:04:36,"during a town hall meeting, after which he vowed to campaign"
00:04:36,00:04:38,for the right to have a roast meal during meetings.
00:04:38,00:04:42,[LAUGHTER]
00:04:42,00:04:44,Do you know what you could get at the Lib Dem conference?
00:04:44,00:04:45,This year.
00:04:45,00:04:46,There's another bit of murder.
00:04:46,00:04:47,A seat?
00:04:47,00:04:50,[LAUGHTER]
00:04:50,00:04:54,[APPLAUSE]
00:04:54,00:04:55,I think you'll find James seats are the one thing.
00:04:55,00:04:57,The Lib Dem conference's struggling way.
00:04:57,00:04:59,[LAUGHTER]
00:04:59,00:05:04,"No, they also have--"
00:05:04,00:05:05,"I mean, all the party conferences are there in March."
00:05:05,00:05:08,"But the Lib Dem conference, you can get branded"
00:05:08,00:05:10,"18th birthday cards, Lib Dem themed,"
00:05:10,00:05:17,"in a pack of 50, for someone who has 50,"
00:05:17,00:05:20,young nephews or nieces.
00:05:20,00:05:20,"Don't worry, darling."
00:05:20,00:05:22,You can sell them to pay off your student loan.
00:05:22,00:05:25,[LAUGHTER]
00:05:25,00:05:28,"It was the Looney conference this week,"
00:05:28,00:05:31,"earlier this week, for the Monster Raven Looney party."
00:05:31,00:05:36,"They held it in Blackpool, Uncle Tom's cabin pub."
00:05:36,00:05:38,"And I went on the website, and they"
00:05:38,00:05:40,had a whole load of things that was going to happen there.
00:05:40,00:05:43,"And they said, very sorry to say that Vince Cornwall"
00:05:43,00:05:46,and his rodent rap show will not be appearing this year.
00:05:46,00:05:48,[LAUGHTER]
00:05:48,00:05:51,"Vince has had surgery and been told to take it easy,"
00:05:51,00:05:54,"although he is open about, I will be attending with Andrew"
00:05:54,00:05:55,the Rat.
00:05:55,00:05:59,[LAUGHTER]
00:05:59,00:06:01,"There was an incident at the UKIP party conference,"
00:06:01,00:06:03,which was in September.
00:06:03,00:06:05,One of the failed leadership candidates
00:06:05,00:06:06,called Lisa Duffy went out for dinner.
00:06:06,00:06:08,The conference was in Bournemouth.
00:06:08,00:06:11,And the place was raided by immigration officials
00:06:11,00:06:14,who wanted to check the visa status of the people working
00:06:14,00:06:15,in the restaurant.
00:06:15,00:06:18,"And apparently, the chef she said ran away into the night."
00:06:18,00:06:20,"So she said, watching our chef running away into the night"
00:06:20,00:06:24,is apron flapping in the wind with a surreal moment.
00:06:24,00:06:26,"Turned out, they were all completely legally working in the UK."
00:06:26,00:06:28,So I have no idea why he ran away.
00:06:28,00:06:30,[LAUGHTER]
00:06:30,00:06:33,Could be the idea of having to serve a whole bunch of UKIP candidates
00:06:33,00:06:35,at the end of the day.
00:06:35,00:06:38,[LAUGHTER]
00:06:38,00:06:40,The journalists and politicians
00:06:40,00:06:42,have a football match at every Labour and Tory party
00:06:42,00:06:44,"conference, which I didn't realise."
00:06:44,00:06:48,"So this year, the lobby 11, which is the team of journalists,"
00:06:48,00:06:50,played the Tory MPs.
00:06:50,00:06:52,And a Tory's lost five to this year.
00:06:52,00:06:54,"In 2014, they lost seven to."
00:06:54,00:06:56,That's because they're all on the right wing.
00:06:56,00:06:57,[LAUGHTER]
00:06:57,00:07:02,Another thing that's been in the news
00:07:02,00:07:06,and is related to football this week is the Hungarian referendum.
00:07:06,00:07:09,So this is a referendum as to whether Hungary wants
00:07:09,00:07:11,to allow the EU to force that they take in.
00:07:11,00:07:15,"Only another 1,300, I think, asylum seekers."
00:07:15,00:07:16,And they voted against it.
00:07:16,00:07:19,"But the Prime Minister of Hungary, Victor Orban,"
00:07:19,00:07:21,"who brought this referendum, is a former footballer,"
00:07:21,00:07:26,and he features in the 2006 edition of Football Manager.
00:07:26,00:07:28,"So if anyone has that, he's there."
00:07:28,00:07:31,He plays for Feltzut FC.
00:07:31,00:07:34,"He-- yeah, yeah."
00:07:34,00:07:37,"Speaking of games and also simulators,"
00:07:37,00:07:41,the top app at the moment is a simulator.
00:07:41,00:07:44,"This is PewDiePie's YouTuber simulator,"
00:07:44,00:07:47,where you get to pretend to be a YouTuber.
00:07:47,00:07:48,It's a great game.
00:07:48,00:07:51,"What, so do you-- you wear a simulator"
00:07:51,00:07:54,"and you're just looking into a camera and going,"
00:07:54,00:07:56,"oh, my life's so crazy, I just--"
00:07:56,00:08:00,"Amazingly, it's even more boring than that."
00:08:00,00:08:01,"You're a character on your phone,"
00:08:01,00:08:03,"and you're in your bedroom with a computer,"
00:08:03,00:08:06,and you have to make videos.
00:08:06,00:08:07,You don't get to really make videos.
00:08:07,00:08:10,You just get to pretend to make videos.
00:08:10,00:08:12,"And then they get views, and you get money for that,"
00:08:12,00:08:16,and you can buy more things to decorate your bedroom with.
00:08:16,00:08:17,Your fake bedroom?
00:08:17,00:08:18,"Your fake bedroom, yeah."
00:08:18,00:08:22,"I played it this morning, which is why my research"
00:08:22,00:08:25,is a bit kind of short this week.
00:08:25,00:08:26,"No, I made a video."
00:08:26,00:08:29,"It got 13 views and three subscribers,"
00:08:29,00:08:32,and it got me enough money to buy a cardboard box.
00:08:32,00:08:34,It was quite in my bedroom.
00:08:34,00:08:36,"And then I had to wait for it to get delivered,"
00:08:36,00:08:39,"and it certainly would take 30 seconds, and my app crashed,"
00:08:39,00:08:41,and it took me three minutes.
00:08:41,00:08:44,"And then I just got bored, and I stopped playing."
00:08:44,00:08:46,And this app is made by the same people
00:08:46,00:08:53,"who made goats simulator, a game in which players can drag things,"
00:08:53,00:08:57,"wiggle things, throw things, and lick things."
00:08:57,00:09:01,I think it needs to be specifying what thing.
00:09:01,00:09:04,"There's a new virtual reality simulator out as well,"
00:09:04,00:09:05,so you put it on your head.
00:09:05,00:09:09,"And what it is, the game is your lonely cow"
00:09:09,00:09:10,in a field.
00:09:10,00:09:12,"Yeah, genuinely."
00:09:12,00:09:13,And there's no other cows.
00:09:13,00:09:19,"And people come, and they taser you, and force you into a truck."
00:09:19,00:09:21,And it's meant to raise awareness about how cows
00:09:21,00:09:24,are being treated in the world today.
00:09:24,00:09:25,It doesn't sound that fun.
00:09:25,00:09:26,Does it now? I say that now.
00:09:26,00:09:28,"Well, the pictures look amazing, because you're on all fours,"
00:09:28,00:09:30,"and you're just walking around your living room,"
00:09:30,00:09:35,"occasionally going, oh, when you're tasered."
00:09:35,00:09:39,"And there's another one where you can be a piece of coral,"
00:09:39,00:09:42,"it's another virtual reality simulator, and you sit,"
