start_hhmmss,end_hhmmss,text
00:00:00,00:00:19,"""Hello and welcome to another episode of no such thing as a fish, a weekly podcast"
00:00:19,00:00:22,coming to you from the QI offices in Covent Garden.
00:00:22,00:00:23,My name is Dan Schreiber.
00:00:23,00:00:28,"I am sitting here with Alex Bell, Andy Murray and Anna Chazinski and once again we have gathered"
00:00:28,00:00:33,around the microphones with our four favorite facts from the last seven days and in no particular
00:00:33,00:00:37,"order, here we go, starting with you, Andy."
00:00:37,00:00:41,My fact is that scientists have developed barcodes for zebras.
00:00:41,00:00:44,"Hmm, no zebras."
00:00:44,00:00:48,They've also developed a separate and identical system for zebras.
00:00:48,00:00:52,We should get on to how to say the name of the thing in a bit.
00:00:52,00:00:57,But this is a team of scientists at Princeton and what they've done is this is a particular
00:00:57,00:01:03,species of zebra called the gravies zebra and it's the rarest of the species of zebra.
00:01:03,00:01:09,"And they've persuaded volunteers to take 40,000 photos of different animals and the scientists"
00:01:09,00:01:14,have then used this software on them because they've all got completely unique strike patterns
00:01:14,00:01:18,and it combines barcode technology and facial recognition software.
00:01:18,00:01:23,"And so you can now identify an individual animal from it, Leven Skiro, who's been on as"
00:01:23,00:01:24,a guest.
00:01:24,00:01:28,"He has a show in Belgium and one of the games because when you go to a supermarket in Belgium,"
00:01:28,00:01:32,they give you a scanning gun to take around now so you can just scan as you go along the
00:01:32,00:01:37,items and then you hand the scan gun in at the end and then they tally up what you've
00:01:37,00:01:40,found in your badge as well.
00:01:40,00:01:46,So he convinced the supermarket in allowing him to have him and his friends have barcodes printed
00:01:46,00:01:52,up on t-shirts and they ran around the supermarket like laser quest and we're trying to scan each
00:01:52,00:01:55,other's shirts and they had to collect all the kills as it were.
00:01:55,00:01:56,Very cool game.
00:01:56,00:02:00,"Well I've got three zebras, I don't know where I am."
00:02:00,00:02:05,"It's really, I had no idea this is how it works but each gap and space combo is a number"
00:02:05,00:02:09,and so each digit is a combination of seven black and white bars.
00:02:09,00:02:14,"So to say one in a barcode, it's white, white, black, white, white, black."
00:02:14,00:02:18,"You put those all together so it's slightly thicker, white and black width and that is..."
00:02:18,00:02:19,It's kind of like more code.
00:02:19,00:02:22,Did you read about the guy who invented it and how he came up with it?
00:02:22,00:02:26,It was several people who developed it but one of the people in charge of developing the
00:02:26,00:02:30,idea was a guy called Norman Joseph Woodland and he was thinking about it when he was at the
00:02:30,00:02:36,beach and he drew a sort of Morse code pattern in the sand by doing dots and dashes poking
00:02:36,00:02:41,them in the sand and then pulled down those dots and dashes into bars and came up with
00:02:41,00:02:42,the barcode.
00:02:42,00:02:46,But then the developers turned it into the shape of a bullseye so the first barcodes were
00:02:46,00:02:47,actually bullseyes.
00:02:47,00:02:51,"Oh yeah, I don't know they took up loads of space, didn't it? So it's actually much more efficient"
00:02:51,00:02:54,to just go with the long line.
00:02:54,00:02:58,"You know that guy Joe Woodland who you just mentioned, so one of the pioneers, supposedly"
00:02:58,00:03:03,he came up with the idea indirectly because of the Atlantic City Mafia.
00:03:03,00:03:04,Go on.
00:03:04,00:03:09,"Okay, so he got the idea when he was at Drexel University in Philadelphia and he was doing"
00:03:09,00:03:14,"a master's degree there and he hadn't originally wanted to do a master's, he wanted to start"
00:03:14,00:03:19,"a business where he made a music system for lifts, but anyone to set up this whole phone"
00:03:19,00:03:26,"and his father said no, the mob controlled the music it lifts you in Atlantic City or on"
00:03:26,00:03:30,"the east coast of the USA, you're not allowed to go into that because they'll get you."
00:03:30,00:03:32,So instead he went off and did a master's and came up with a barcode instead.
00:03:32,00:03:36,"Oh, a weird industry to decide to control if you're a mafia."
00:03:36,00:03:37,I think they have a whole range.
00:03:37,00:03:40,It wasn't just lift music that they controlled.
00:03:40,00:03:45,"That feels like it was really like the mobster's baby brother, they needed to give him something."
00:03:45,00:03:51,Have you seen that in Venezuela's supermarkets since last year you've had to scan in your
00:03:51,00:03:57,thinker prints to get to buy anything because so you know Venezuela is going through a very
00:03:57,00:04:00,horrible time at the moment and there's a lot of food shortages and so the governments
