start_hhmmss,end_hhmmss,text
00:00:00,00:00:15,[MUSIC]
00:00:15,00:00:20,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:00:20,00:00:23,to you from the QI Officers in Covenant Garden.
00:00:23,00:00:28,"My name is Antigensky, I am here with Andrew Hunter Murray, and this week we are joined"
00:00:28,00:00:36,"by two great pillars of QI, the producer of QI, Piers Fletcher, and one of QI's longest"
00:00:36,00:00:42,"serving been there for a million years, researchers and historian Justin Pollard."
00:00:42,00:00:45,"And once again, we've gathered around the microphones with our four favourite facts in the last"
00:00:45,00:00:50,"seven days, and in no particular audit here we go, starting with you Justin."
00:00:50,00:00:57,"Okay, so the first person recorded ever buying a pornographic book in England was Samuel"
00:00:57,00:00:59,Peep's.
00:00:59,00:01:02,So how was he recorded?
00:01:02,00:01:06,"Typically idiotically, he managed to record it himself, because he knows Peep's wrote"
00:01:06,00:01:11,"this sort of 10-year diary, which is great, he records a great fire of London and the"
00:01:11,00:01:14,"plague and all sorts of big events, but the main use of it is he records the details"
00:01:14,00:01:19,"of his everyday life, and he wrote in his diary that he'd seen the idol Rogish book Les"
00:01:19,00:01:26,"Shoulder Fee which I have bought in plain binding, and he takes it home and he reads it, but"
00:01:26,00:01:29,"then he promises himself in his diary, which is written in short-hand, so nobody else can"
00:01:29,00:01:34,"read it, that as soon as I've read it, I will burn it, which as far as we know he did."
00:01:34,00:01:37,There's only one copy left of this book in the world.
00:01:37,00:01:38,Wow.
00:01:38,00:01:43,So he burned it in order to save himself the embarrassment of having it found among his
00:01:43,00:01:45,"collection, but then he recorded the fact that he'd read it in his diary."
00:01:45,00:01:49,He felt the clearest prose of history.
00:01:49,00:01:51,"When he bought it, he wrote in his diary, well I was thinking about getting it, because"
00:01:51,00:01:56,"in French, it would be a good translation tool for my wife, and then I think he saw what"
00:01:56,00:01:58,was in it and thought maybe not.
00:01:58,00:02:02,"Yeah, but the great thing is that he found it and then he went away for a month nearly."
00:02:02,00:02:07,"It's obviously been praying on his mind, he could have gone, ""I might just go down the"
00:02:07,00:02:08,"strand."""
00:02:08,00:02:11,"And then eventually, ""Oh, look, is that bookshop again?"""
00:02:11,00:02:17,And then he's apparently stayed there and he hang about in the bookshop for an hour before
00:02:17,00:02:18,actually buying it.
00:02:18,00:02:21,In a plane binding.
00:02:21,00:02:22,Exactly.
00:02:22,00:02:26,"So sorry, was the plane binding in the same way as the adults read Harry Potter with a different"
00:02:26,00:02:27,binding?
00:02:27,00:02:28,"Yeah, exactly."
00:02:28,00:02:33,"It was just so that, you know, when he's got only a shelf at home, it doesn't say pornographic"
00:02:33,00:02:34,book.
00:02:34,00:02:39,He says the reason is because he was cheaper in plane binding and he only took it home in order
00:02:39,00:02:40,to destroy it.
00:02:40,00:02:41,No one destroyed it.
00:02:41,00:02:42,This is a diary.
00:02:42,00:02:45,"He tends to know what else to read, but he's lying to himself, and it's the only thing."
00:02:45,00:02:48,"It is work, because at the end of his diaries, because he gave up after about ten"
00:02:48,00:02:51,"years, the personal diary, because of his eyesight was failing."
00:02:51,00:02:53,He was making him blind.
00:02:53,00:02:54,Yeah.
00:02:54,00:02:55,That's right.
00:02:55,00:02:56,Yeah.
00:02:56,00:02:59,"And he said, ""I'm going to keep going with my other diary,"" because he kept another diary"
00:02:59,00:03:01,"going, but it was just official engagements and things like that."
00:03:01,00:03:03,And it was being kept for him by other people.
00:03:03,00:03:08,"So he said, ""I'll have to put in only what I can decently tell other people, and which"
00:03:08,00:03:09,"I will be sure won't get out."""
00:03:09,00:03:11,Did he mean that for it to be seen?
00:03:11,00:03:12,Do we know?
00:03:12,00:03:13,We don't know for his private diary.
00:03:13,00:03:17,"Certainly it is, not during his lifetime, not by his wife, obviously."
00:03:17,00:03:20,"So he does recall sort of every detail in it, and he has numerous affairs."
00:03:20,00:03:24,"But the funny thing is, he obviously must be very conflicted, because he's writing it,"
00:03:24,00:03:26,"as you say, in code."
00:03:26,00:03:30,"But at the same time, he copies it out in fair, and puts it into leatherbounds, I think,"
00:03:30,00:03:31,and makes sure that it's...
