start_hhmmss,end_hhmmss,text
00:00:00,00:00:18,"""Hi everybody. Welcome back to No Such Thing as a Fish, a weekly podcast coming to you"
00:00:18,00:00:23,from the QI offices in Covent Garden. My name is Andrew Hunter Murray. I am sitting here
00:00:23,00:00:28,"with Anna Tijinski, James Harkin and Anne Miller. And once again, we have gathered around"
00:00:28,00:00:32,"the microphones with our four favourite facts, not from the last seven days, from our new"
00:00:32,00:00:38,"book. Oh my goodness, we've written a book. It's called One, Three, Four, Two, QI Facts"
00:00:38,00:00:44,"to leave you flabbergasted and it is out now. To celebrate that and plug the book, we have"
00:00:44,00:00:49,"each brought our favourite fact from the book. And starting in no particular order, we begin"
00:00:49,00:00:58,"with James. Okay, my fact is that four-year-old mice are less common than 100-year-old humans."
00:00:58,00:01:05,"Nice. Might as well do all 100-year-old humans are very posh, aren't they? So, I see."
00:01:05,00:01:10,It's a play on the word common. I don't know how you class a mouse though. What do you
00:01:10,00:01:21,"mean? Do they like Cheddar or Ementel or Yark? So yeah, this is just simply a fact that mice"
00:01:21,00:01:26,"don't live very long. Yeah, it's unbelievable that they're so short-lived. It's not extraordinary."
00:01:26,00:01:31,"They're tiny. That's interesting what you say, Andy, because you're equating smallness"
00:01:31,00:01:38,"with lack of longevity. Do you think that's true in general? No, I guess because they're"
00:01:38,00:01:44,"smallnesses. It was like tiny grades. Yeah, true. All right, I take it all back."
00:01:44,00:01:50,Parrots? They're quite small. They're bigger than a mouse as well.
00:01:50,00:01:54,"They live a long time, Parrots. Oh, yeah. Yeah, there's one parrot called Charlie the Parrot"
00:01:54,00:01:59,who's owner claims he's 117 and used to belong to Winston Churchill. But what I like is
00:01:59,00:02:04,if one's looked into this and so Mr. Oram who owns him now says his father-in-law sold
00:02:04,00:02:10,him to Churchill in 1937 and then got him back when Churchill died and the Churchill family
00:02:10,00:02:14,and all historians have questioned this and say they can't find any evidence that Churchill
00:02:14,00:02:18,"owned a parrot. And I would have just thought, like obviously we'd know if Churchill had"
00:02:18,00:02:22,"a pet parrot, right? No, I don't think we would because. Do you remember there was that thing"
00:02:22,00:02:25,when Frobe's came out and they were banned from government offices because they could repeat
