start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,[ you can hear the music ]
00:00:02,00:00:04,- [ you can hear the music ]
00:00:04,00:00:06,- [ you can hear the music ]
00:00:06,00:00:08,- [ you can hear the music ]
00:00:08,00:00:10,- [ you can hear the music ]
00:00:10,00:00:12,[ you can hear the music ]
00:00:12,00:00:14,[ you can hear the music ]
00:00:14,00:00:19,"- Hello, and welcome to another episode of ""No Such Thing as a Fish"""
00:00:19,00:00:23,a weekly podcast coming to you from the QI offices in Covern Garden.
00:00:23,00:00:27,"My name is Dan Schreiber, and I am sitting here with James Harkin,"
00:00:27,00:00:30,"I am Richard Zinsky, and Andrew Hunter Murray."
00:00:30,00:00:32,"And once again, we have gathered around the microphones"
00:00:32,00:00:35,"with our four favorite facts from the last seven days,"
00:00:35,00:00:38,"and in no particular order, here we go."
00:00:38,00:00:41,"Starting with fact number one, and that is my fact."
00:00:41,00:00:45,My fact this week is that the White House's Oval Office
00:00:45,00:00:48,is a giant weighing scale.
00:00:48,00:00:51,- What do they use it for normally?
00:00:51,00:00:53,- Wailing the President.
00:00:53,00:00:55,"- No, to see how heavy he is."
00:00:55,00:00:56,"- No, it's not."
00:00:56,00:00:58,"- So are you waving? - Yeah, that's what I thought."
00:00:58,00:01:00,"- Yeah, it's to see that he's there full stop."
00:01:00,00:01:02,So the secret service need a monitor
00:01:02,00:01:04,where the President is at all times.
00:01:04,00:01:06,"However, they're not allowed into the Oval Office."
00:01:06,00:01:09,"He doesn't want them in there, so they have to stand outside."
00:01:09,00:01:11,"Now, when the doors open, they can see where he is,"
00:01:11,00:01:14,"but when the door is shut, they can't see where the President is."
00:01:14,00:01:16,"So if you look at pictures of the Oval Office,"
00:01:16,00:01:19,there is a giant oval carpet that literally spans the entire office room
00:01:19,00:01:21,except for a few inches to the wall.
00:01:21,00:01:25,And underneath it are weighing pads that are connected to a line
00:01:25,00:01:26,that goes outside.
00:01:26,00:01:30,So the secret service can see where he is in the Oval Office
00:01:30,00:01:32,purely by where he's standing.
00:01:32,00:01:34,- I think I would get a load of objects
00:01:34,00:01:36,that weighed exactly the same as me
00:01:36,00:01:38,and just keep moving them around the office
00:01:38,00:01:39,just to blind up the secret service.
00:01:39,00:01:41,- Like Indiana Jones at the beginning of the first film.
00:01:41,00:01:42,- Yeah.
00:01:42,00:01:44,"- But it's kind of like, if you've seen Harry Potter,"
00:01:44,00:01:47,"the Marauder's Map, where they just follow the footsteps on the map."
00:01:47,00:01:49,That's what the secret service have to have.
00:01:49,00:01:50,"- Except it's not a Marauder's Map,"
00:01:50,00:01:52,because the things are labeled as the President.
00:01:52,00:01:54,"It's just someone who weighs roughly the same amount as the President, right?"
00:01:54,00:01:56,"So it's definitely Obama's in the Oval Office,"
00:01:56,00:01:59,or someone who is also human sized as in the Oval Office.
00:01:59,00:02:01,"- Yeah, or two people in the Oval Office."
00:02:01,00:02:04,"It's just way of making sure that no one kidnaps him through a window, maybe."
00:02:04,00:02:06,"- Well, they allowed him to the Oval Office."
00:02:06,00:02:07,"- I don't know, actually."
00:02:07,00:02:10,"This is a fact, which I haven't seen in many places."
00:02:10,00:02:13,"It's from Brad Meltzer, who is a best-selling novelist,"
00:02:13,00:02:15,but also works at the White House and gives tours.
00:02:15,00:02:17,"And he did a Huffington Post piece where he said,"
00:02:17,00:02:19,"""Here is secret service secrets."""
00:02:19,00:02:21,And that was the top one.
00:02:21,00:02:24,- 'Cause he got lots of randomers into the Oval Office.
00:02:24,00:02:27,I'd be a bit insulted as his secret service if I wasn't allowed in.
00:02:27,00:02:29,"- Well, I think it's more, they're probably allowed in at some point."
00:02:29,00:02:31,I don't think it's like a total ban on secret service people.
00:02:31,00:02:33,"I think when he's working on a day-to-day basis,"
00:02:33,00:02:34,he doesn't want secret service people.
00:02:34,00:02:36,"- Let's say they're doing something really important,"
00:02:36,00:02:38,"which is quite classified,"
00:02:38,00:02:40,"and only the people who need to know are in there,"
00:02:40,00:02:43,"so the other guys just stood outside, like playing cards or something."
00:02:43,00:02:45,"- Do you think if he puts on a bit of weight,"
00:02:45,00:02:47,they start giving him a slide look?
00:02:47,00:02:48,- Right.
00:02:48,00:02:52,"- So, are you sure about that biscuit, Mr. President?"
00:02:52,00:02:54,(laughing)
00:02:54,00:02:56,- This article by Brad Meltzer also mentions
00:02:56,00:03:00,that anytime we hear about the White House going under renovations
00:03:00,00:03:02,"of an old room, it's actually that the secret service"
00:03:02,00:03:04,"are conducting an investigation,"
00:03:04,00:03:06,and it's the only way of giving an excuse
00:03:06,00:03:10,to allow for the first family to be out of the White House
00:03:10,00:03:11,"while renovations are going on,"
00:03:11,00:03:13,but it actually means they're conducting an investigation.
00:03:13,00:03:14,- Is that right?
00:03:14,00:03:15,- This will always be that.
00:03:15,00:03:17,"- No, no, but I think there's been a few cases."
00:03:17,00:03:19,"It's a sort of, like, inside knowledge thing"
00:03:19,00:03:21,"that if there's an investigation by the secret service,"
00:03:21,00:03:23,they will say currently unobenerate.
00:03:23,00:03:24,- What are they investigating?
00:03:24,00:03:26,- That needs the President to be away.
00:03:26,00:03:28,"- It's hard to research them,"
00:03:28,00:03:30,"because they're quite open about some things,"
00:03:30,00:03:32,but then other things are surprisingly secretive.
00:03:32,00:03:33,"- It is surprising, isn't it?"
00:03:33,00:03:36,It's not that they would want to keep anything from us.
00:03:36,00:03:37,- It's controversial.
00:03:37,00:03:38,Are they telling the truth?
00:03:38,00:03:39,Is the author telling the truth?
00:03:39,00:03:42,"We know a bit too much about the secret service, it seems, recently."
00:03:42,00:03:44,- I thought it would just be called the service.
00:03:44,00:03:46,"- Exactly, yeah, the open service."
00:03:46,00:03:49,- You know that we have a lot of presidents and leaders
00:03:49,00:03:51,who like exercise and like jogging.
00:03:51,00:03:53,"Obviously, when they go out on a jog,"
00:03:53,00:03:56,they have to be accompanied by their little secret service cabal
00:03:56,00:03:57,who have to jog with them.
00:03:57,00:03:59,"For instance, there was an article, I think this is in the Atlantic,"
00:03:59,00:04:01,"by someone who'd been in the secret service under Clinton,"
00:04:01,00:04:03,"and he said it was a complete nightmare,"
00:04:03,00:04:05,"because Clinton loved running,"
00:04:05,00:04:07,and they even built him his own little running track
00:04:07,00:04:09,"inside the White House grounds,"
00:04:09,00:04:11,"but he didn't like it, he liked to be out there with the people."
00:04:11,00:04:13,"Whenever Clinton went for a run,"
00:04:13,00:04:15,"a bunch of them all had to go for a run as well,"
00:04:15,00:04:16,but not just for a run.
00:04:16,00:04:19,"They had to go for a run carrying like all their guns and weapons,"
00:04:19,00:04:20,"and it'd be super alert,"
00:04:20,00:04:22,and always be ready to attack someone
00:04:22,00:04:24,if they attacked the president.
00:04:24,00:04:25,And so it sounds like absolutely hell.
00:04:25,00:04:27,- Imagine if Moll Farrah became president.
00:04:27,00:04:29,(laughing)
00:04:29,00:04:32,"- Oh my gosh, who would you, that's true."
00:04:32,00:04:35,"There are five people to qualify from being president,"
00:04:35,00:04:37,"and they're the five fastest people in the world,"
00:04:37,00:04:39,because surely you need five people faster than the president.
00:04:39,00:04:42,"- But Moll's not in the five fastest people in the world, is he?"
00:04:42,00:04:43,"- For running distances,"
00:04:43,00:04:45,which is what Moll's was doing.
00:04:45,00:04:48,"I mean, it's hardly, you say ball becomes president,"
00:04:48,00:04:51,"and you can only run 100 metres, 200 metres."
00:04:51,00:04:53,What trouble could he get in?
00:04:53,00:04:55,"- But he won't be able to get away,"
00:04:55,00:04:57,because at least the secret time is busing more people
00:04:57,00:05:00,"to start running after the first 5,000 metres,"
00:05:00,00:05:02,but no president Farrah has been running.
00:05:02,00:05:04,"- So when president Farrah is running,"
00:05:04,00:05:07,"what they'll do is they'll all be running in like a relay,"
00:05:07,00:05:09,and they pass the gun.
00:05:09,00:05:12,(laughing)
00:05:12,00:05:15,"- Yeah, they do have to, it's quite funny,"
00:05:15,00:05:17,when you look into sort of odd little things
00:05:17,00:05:19,"that they have to prepare for in the safety of a president,"
00:05:19,00:05:21,like Clinton going for his runs.
00:05:21,00:05:23,So do you remember that famous incident
00:05:23,00:05:25,where George Bush swallowed a pretzel
00:05:25,00:05:27,and started choking on it?
00:05:27,00:05:30,"Apparently, that was a thing that they had to try and work out"
00:05:30,00:05:31,"how to avoid from ever happening again,"
00:05:31,00:05:33,because-- - So did they all suck the pretzel?
00:05:33,00:05:35,So called the pretzel first.
00:05:35,00:05:37,"- Exactly, what do you do in that situation?"
00:05:37,00:05:39,So the only thing-- - The only thing--
00:05:39,00:05:41,- The only thing-- (laughing)
