start_hhmmss,end_hhmmss,text
00:00:00,00:00:14,[Theme Music]
00:00:14,00:00:22,"Hello, and welcome to another episode of ""No Such Thing as a Fish"" a weekly podcast coming to you from the QI offices in Culvernt Garden."
00:00:22,00:00:28,"My name is Dan Schreiber, I am sitting here with Anichesinski, James Harkin, and Alex Bell."
00:00:28,00:00:33,"And once again, we have gathered around the microphones with our four favorite facts from the last seven days,"
00:00:33,00:00:39,"and in an open-tacular order, here we go, starting with you, James."
00:00:39,00:00:46,"My fat this week is that scientists at MIT have invented an artificial intelligence that can see into the future,"
00:00:46,00:00:49,but it can only tell two seconds into the future.
00:00:49,00:00:51,[Laughter]
00:00:51,00:00:53,Totally useless.
00:00:53,00:00:54,What's it reported about?
00:00:54,00:00:55,It knew you were going to say that.
00:00:55,00:00:56,[Laughter]
00:00:56,00:01:07,"So this is really cool, so what they did was, they got this algorithm to watch TV shows like the office and the Big Bang Theory."
00:01:07,00:01:14,"Okay, and it watched what people did when they met each other, so did you go in for a hug or a kiss or a handshake or a high-five,"
00:01:14,00:01:20,"and then when you showed them a picture of two people coming near each other, it could work out what they were going to do,"
00:01:20,00:01:23,"whether they were going to high-five, whether they were going to hug, whether they were going to kiss, or whatever."
00:01:23,00:01:26,So that's basically as far as this has gone so far.
00:01:26,00:01:28,It's still pretty good for an AI.
00:01:28,00:01:33,"Yeah, and I'm surprised it was able to do this based on the office and the Big Bang Theory, both of which are about totally socially inept people."
00:01:33,00:01:35,I wouldn't have thought given those correct views.
00:01:35,00:01:38,It's not the best source material to use for an AI.
00:01:38,00:01:45,"Maybe it may be AI feel more comfortable watching something closer to their kind of robotic way, so it's like, okay, we're not so different."
00:01:45,00:01:46,You and us humans.
00:01:46,00:01:55,"Yeah, and also, I think that is quite a useful thing, because how many times have you gone in for a hug to someone and they tried to high-five you and slap you in the face or..."
00:01:55,00:02:00,Or the kiss/hanshake thing is pretty awkward at times.
00:02:00,00:02:09,"Well, in the article, it said that the AI could only get it right 42% of the time, which I was reading wasn't very high, but then I realized I get it right about maybe 2% of the time."
00:02:09,00:02:14,"Apparently, normal humans get it right 71% of the time, but obviously that doesn't apply to you."
00:02:14,00:02:18,I think as Alex goes in for the kiss every single time.
00:02:18,00:02:26,"And it will get better, won't it, because it'll keep on watching. It'll get better, and 43% of the time versus 71% of the time is not that bad."
00:02:26,00:02:35,"Considering all they've done is got it to watch these two things, whereas most humans have had a lot of social interaction to get to where we are, which is still not that good."
00:02:35,00:02:46,"The thing it might do in hospitals, if it gets really good, is anticipate a couple of seconds in advance, whether someone, for instance, is about to fall over, like an old person on the way to the loo, and then swoop in and catch them."
00:02:46,00:02:54,"Maybe they should show him lots of episodes of Miranda, where she falls down all the time, would you like to learn that?"
00:02:54,00:02:56,"Intermediate level, you can see it coming right off."
00:02:56,00:02:59,"If it weren't Miranda, it would try to save you every step you took."
00:02:59,00:03:07,"Yeah, if you sort of missed a bean episode, it would probably either explode or not let you out the house, so check this out."
00:03:07,00:03:16,"There's another AI robotic thing, which plays scissors paper, rock, and beats humans 100% of the time."
00:03:16,00:03:22,"- No, it has 100%. - 100% breaks the rules, though. It makes me so angry at this machine."
00:03:22,00:03:26,"- It doesn't break the rules. - Yeah, it does. It waits to see what you're doing, and then very quickly..."
00:03:26,00:03:36,"No, no, no, no, no. No, that's not quite right, because it technically is doing that, but if you're a good game player as well, you would be looking at someone's hand to monitor where you think they're going to go."
00:03:36,00:03:46,"So it has a camera on it, which is able to work out hand movements of people and what most likely handshake they're about to take, but it can make a split second decision so that it's at the same time."
00:03:46,00:03:51,"It's a microsecond afterwards, because it's seen the way your hand is moving, so it's decided a microsecond afterwards."
00:03:51,00:03:54,"- Is it not indistinguishable to humans? - Of course, but it is cheating."
00:03:54,00:04:00,"- It is because rock paper scissors is fundamentally a game of chance. It's like a coin source, you're supposed to try and..."
00:04:00,00:04:07,"- You use it to decide things that way. - No, because all it's doing is it's calling your tell, it's seeing the handshake that you're bringing."
00:04:07,00:04:12,"- It's not cheating. - It is. A hundred percent of the time becomes cheating, because you can work out what's more or less likely."
00:04:12,00:04:17,"- I mean, it's cracked it. It knows how to win a game. It's done the impossible."
00:04:17,00:04:19,"- This is war. - Wait, what did James say? What do you think?"
00:04:19,00:04:22,- Do you know how we should decide it? - I think it is.
00:04:22,00:04:27,"It does look like you're about to high-five done, but I'm not sure what's going to happen."
00:04:28,00:04:34,"- So, Robot was arrested recently in September for taking part in a political rally."
00:04:34,00:04:38,"It seems a bit dodgy. This was in Russia, and this is actually a robot that I think might have come up before."
00:04:38,00:04:46,"You guys might have heard about its promo bot, and it's the one that escaped from its enclosure twice in, I think, about July this year."
00:04:46,00:04:50,"- Oh, yeah, but didn't we work out that that was actually... - That's done."
00:04:50,00:04:53,"- ...the clues in the name, promo. - Yeah, the clues in the name."
00:04:53,00:04:59,"But then it did it again, and then the mechanics at promo bot said that they were trying to reprogram it to stop it escaping."
00:04:59,00:05:01,"- Okay. - So, they're just really sticking to their story."
00:05:01,00:05:03,"- Right. - But now it's taken part in a political rally,"
00:05:03,00:05:07,"because this robot-supported parliamentary candidate, Valerie Kalachev,"
00:05:07,00:05:12,"so he went to Moscow and started collecting people's views on politics, asking them what they thought."
00:05:12,00:05:15,"- Again, it escaped you did it by itself. I was just going around interviewing people."
00:05:15,00:05:19,- I believe it might have been programmed to do this part. - A dream to be a political correspondent.
00:05:19,00:05:21,"- After it was arrested, did it escape from prison?"
00:05:21,00:05:26,"- It probably has done now, yeah. - They did put handcuffs on it, apparently."
00:05:26,00:05:29,"- They must have, like, idiots, those policemen handcuffing a robot."
00:05:29,00:05:32,"- That would have been a fun moment of, and otherwise,"
00:05:32,00:05:35,"probably depressing, arresting situation."
00:05:35,00:05:38,- I guess you're right. - That's one of the hardest-to-career.
00:05:38,00:05:42,"- I mean, I had to handcuff, you know, 25 people at a political protest,"
00:05:42,00:05:46,"but I did handcuff a robot, and that actually really made me smile."
00:05:46,00:05:49,- This is just one bit of delay. - You're right.
00:05:49,00:05:56,"- Also, in robot news, they have set this year in July a new dancing robot"
00:05:56,00:06:02,"Guinness World Record, 1,000 and 7 robots danced together for a minute,"
00:06:02,00:06:03,and that was what was needed.
00:06:03,00:06:06,And so it was synchronized. You can see a video online.
00:06:06,00:06:12,"- It did. - It was in China, and it was a Qingdao beer festival."
00:06:12,00:06:14,So I guess they were trying to just get headlines for it.
00:06:14,00:06:16,"But you can see all these tiny little robots,"
00:06:16,00:06:19,lots of kinds that you would buy in a shop that make sort of small movements.
00:06:19,00:06:23,"They're all doing a dance, and some fall over, so they're discounted,"
00:06:23,00:06:25,but they're still dancing while they're top there.
00:06:25,00:06:28,"- You know those like flour, and when you play music,"
00:06:28,00:06:30,they just kind of dance to the music.
00:06:30,00:06:32,Do you remember them from the 90s? - Yes.
00:06:32,00:06:36,"- If you put 1,050 of those down, would that be able to technically beat the record?"
00:06:36,00:06:38,"- I think they're effectively, that's the robots,"
00:06:38,00:06:41,"effectively, that they used anyway. - They were built to dance."
00:06:41,00:06:44,"They can't do anything else. - Yeah, so they put down 1,040,"
00:06:44,00:06:49,but they lost 33. - I have danced with a robot.
00:06:49,00:06:51,"- You have a robot? - You have Asimov, right?"
00:06:51,00:06:53,"- Asimov. - Sorry, Asimov."
00:06:53,00:06:59,"No, yeah, we had Asimov who was built by Honda, I think, was he?"
00:06:59,00:07:02,"And he came on QI, and during the warm-up,"
00:07:02,00:07:06,"I did a little dance with him, and he kind of just follows your dance patterns,"
00:07:06,00:07:08,I think. I think that's how it worked.
00:07:08,00:07:12,"- I know a thing about Asimov, which a guest on our show,"
00:07:12,00:07:16,"from quite a few episodes ago, ""Leave and Skyra"", Belgian comedian and scientist."
00:07:16,00:07:19,"He was telling me that Asimov, they've programmed him to speak something like,"
00:07:19,00:07:22,"I don't know, let's say 30 languages, it might be less,"
00:07:22,00:07:25,"so that whenever they bring him over to different countries for conferences,"
00:07:25,00:07:28,he's able to do a lecture in their language.
00:07:28,00:07:30,"But he has one special setting for when he's in Italy,"
00:07:30,00:07:34,"which is that they've programmed his arms to gesticulate,"
00:07:34,00:07:35,"so that when he's talking, it feels more,"
00:07:35,00:07:39,"because that's how in Italy, they feel more humanized"
00:07:39,00:07:41,than the robot standing still. - That's quite cool.
00:07:41,00:07:44,"- Yeah, I love it. - And he's also worships the office,"
00:07:44,00:07:45,so you can do the David Brent dance.
00:07:45,00:07:50,"- Okay, here's something amazing about telling the future."
00:07:50,00:07:55,- Okay. - There was a study done by a US intelligence group
00:07:55,00:07:59,"called the Good Judgment Project, and what they did is they got a load of people,"
00:07:59,00:08:02,"about more than 2,000 people, and they started asking them"
00:08:02,00:08:06,"of things about world events, like, will Robert Mugabi still be"
00:08:06,00:08:09,"the head of Zimbabwe in two years' time, or whatever?"
00:08:09,00:08:13,"Like, a load of different things, and a load of people may guess is,"
00:08:13,00:08:17,"and eventually they siphoned off the top 2% who were doing the best,"
00:08:17,00:08:21,"and then they put them in a separate group and compared them to everyone else,"
00:08:21,00:08:25,"and found that that group was four times more accurate than anyone else,"
00:08:25,00:08:28,"and they're saying that this proves that in humans,"
00:08:28,00:08:31,"there is a thing called super forecasters,"
00:08:31,00:08:34,and these are people who are better than normal humans
00:08:34,00:08:37,at first seeing the future. - Wow.
00:08:37,00:08:39,"- And are they all on bright and pure with a crystal ball,"
00:08:39,00:08:42,charging people £10 to make their fortune?
00:08:42,00:08:44,"- It's weird, they all had different jobs, like,"
00:08:44,00:08:46,"one of the best ones was a pharmacist,"
00:08:46,00:08:48,they come from different walks of life and everything.
00:08:48,00:08:50,"- So when you surround these people up and take them out of the met office,"
00:08:50,00:08:52,"they should all be the weather forecasters,"
00:08:52,00:08:54,"if they're gentle, it's definitely better."
00:08:54,00:08:57,"- Well, God, is that how you would use people who have this incredible,"
00:08:57,00:08:58,the right new world order?
00:08:58,00:09:02,- Without a human who could see into the future.
00:09:02,00:09:03,- Take him to the met office immediately.
00:09:04,00:09:08,"- His warning is about a massacre, and no, no, is it going to be cloudy?"
00:09:08,00:09:15,"- Apparently what these guys are particularly good at is being open-minded,"
00:09:15,00:09:20,"which you can kind of imagine, it means that they don't let their world views"
00:09:20,00:09:26,"judge their predictions, and also they change their mind fast and often."
00:09:26,00:09:27,So whenever...
00:09:27,00:09:30,- To correct their wrong prediction?
00:09:30,00:09:33,"- Yeah, well it is, kind of like that."
00:09:33,00:09:38,"So they get something wrong, one time, and a normal human might kind of stubbornly stick"
00:09:38,00:09:41,"with the same similar kind of predictions, but then these people go, well actually,"
00:09:41,00:09:45,"you know, I've seen that that happens in the past now, so I'm going to change my mind this time."
00:09:45,00:09:47,"- Oh, okay, I was thinking more like football matches, where they're like,"
00:09:47,00:09:50,"okay Manchester United is going to win this one, Liverpool School night."
00:09:50,00:09:51,"- Do you know what, I'm actually thinking that maybe..."
00:09:51,00:09:54,"- Oh, I'm going to go for rock, no scissors."
00:09:54,00:09:59,- We need to put one of those people against the machine.
00:09:59,00:10:01,- (laughs)
00:10:01,00:10:09,"- Okay, it is time for fact number two, and that is Alex."
00:10:09,00:10:12,- My fact this week is that Big Ben is falling over.
00:10:12,00:10:14,- We should get out of here.
00:10:14,00:10:16,- We're not that close.
00:10:16,00:10:17,"- No, we're out of reach."
00:10:17,00:10:19,"- Yeah, yeah, what do you mean?"
00:10:19,00:10:24,"- Okay, well technically the Elizabeth Tower, not Big Ben, obviously, don't write in."
00:10:24,00:10:27,"But when they built it, when they built the House of Parliament,"
00:10:27,00:10:30,"they built it straight obviously, and then I think as soon as the building settled,"
00:10:30,00:10:33,"it was a little bit leany, and it's got linear and linear, as in,"
00:10:33,00:10:36,"it's been leaning over more and more away from the House of Parliament,"
00:10:36,00:10:41,"and they've worked out that if it keeps falling over, at the rate it is falling over,"
00:10:41,00:10:45,"in about 4,000 years time it'll be leaning as much as the leaning tower of Pisa."
00:10:45,00:10:46,- Really? How many years?
00:10:46,00:10:50,"- 4,000, so it's not like super urgent."
00:10:50,00:10:51,"- So they are going to restore it now, aren't they?"
00:10:51,00:10:55,"There's this big House of Parliament restoration going on, which is costing billions,"
00:10:55,00:10:58,"and they're about to start working on that as well, the Elizabeth Tower."
00:10:58,00:11:03,"So anyone overseas who wants to see it, and it's pure unscatholded form,"
00:11:03,00:11:06,"you better get over quick, because beginning of January 2017,"
00:11:06,00:11:07,they're going to start scaffolding it.
00:11:07,00:11:09,"Yeah, and it's going to be scaffolded for three years,"
00:11:09,00:11:12,but it's going to take six months to just put the scaffolding up.
00:11:12,00:11:15,"- Is that nice? Yeah, six months."
00:11:15,00:11:17,"- What, and they're going to push it back the right way?"
00:11:17,00:11:18,"- No, I think they're doing basic restoration."
00:11:18,00:11:20,I don't think they can do anything about that.
00:11:20,00:11:24,"- I don't know, but it's causing cracks in the offices next to it,"
00:11:24,00:11:26,because it's basically pulling the wall away.
00:11:26,00:11:28,So they're going to fill those up for a start.
00:11:28,00:11:32,- The Big Ben Tower has a prison in it that they keep naughty MPs in.
00:11:32,00:11:33,- Does it?
00:11:33,00:11:34,"- Yes, it does."
00:11:34,00:11:37,"- They have a prison room, if an MP breaches codes of conduct,"
00:11:37,00:11:39,they'll get put in there.
00:11:39,00:11:40,"And the last time it was used in 1880,"
00:11:40,00:11:44,was when Charles Bradlaw and atheist refused to swear allegiance
00:11:44,00:11:46,to Queen Victoria on the Bible.
00:11:46,00:11:47,- Wow.
00:11:47,00:11:49,- And he was kept in the prison room overnight.
00:11:49,00:11:49,- And no MP.
00:11:49,00:11:50,- And no MP.
00:11:50,00:11:53,"- Every hour, every quarter of an hour, it rings."
00:11:53,00:11:53,- You're right. You're right.
00:11:53,00:11:55,"- You're not going to get my sleep, are you?"
00:11:55,00:11:57,"- I'll be tortured, that's like a torture."
00:11:57,00:11:59,"It's like how they play Barney, Guantanamo, yes."
00:11:59,00:12:01,- That'll be why MPs behave so well.
00:12:01,00:12:04,"These days, it's terrified of the noise."
00:12:04,00:12:07,"It used to make a different sound, didn't it?"
00:12:07,00:12:10,"When it was originally built, it chimed differently."
00:12:10,00:12:12,So it was built in May 1859.
00:12:12,00:12:13,- Did it go bonk?
00:12:13,00:12:17,"- No, so it was made and the thing that crashes into the bell"
00:12:17,00:12:20,to make the bonking sounds worked for a few weeks
00:12:20,00:12:21,and then immediately broke the bell.
00:12:21,00:12:23,And the crack in the bell is still there
00:12:23,00:12:24,from where it broke it.
00:12:24,00:12:25,"And so they had to realign it, didn't they?"
00:12:25,00:12:27,"Which, for some reason, took them three or four years."
00:12:27,00:12:30,And then they made it bang the bell on a different point of it.
00:12:30,00:12:33,So we'll never hear the tone that Big Ben originally made.
00:12:33,00:12:35,- Did you know that the Big Ben Chimes have words?
00:12:35,00:12:36,They have lyrics.
00:12:36,00:12:37,"- No, they mean words."
00:12:37,00:12:38,"- Yeah, they do."
00:12:38,00:12:39,It's...
00:12:39,00:12:41,- It's half past two.
00:12:41,00:12:43,"It's quarter two, nine."
00:12:43,00:12:46,"- It's all through this hour, Lord be my guide"
00:12:46,00:12:49,"and by thy power, no foot shall slide."
00:12:49,00:12:51,"- Hang on, but it doesn't say that"
00:12:51,00:12:53,I've never heard those words broadcasting
00:12:53,00:12:54,"and often performed, no, here that's true."
00:12:54,00:12:56,"- Here's another one, play up Pompey."
00:12:56,00:12:59,"The partsmith fans sing, play up Pompey."
00:12:59,00:13:00,"Pompey, play up."
00:13:00,00:13:01,Like that.
00:13:01,00:13:02,- Oh really?
00:13:02,00:13:03,- Same tune.
00:13:03,00:13:04,"Just, play up has him play better."
00:13:04,00:13:04,Sorry.
00:13:04,00:13:05,"- Oh, Pompey."
00:13:05,00:13:07,"- Oh, Pompey is a nickname for partsmith FC."
00:13:07,00:13:08,- Got it.
00:13:08,00:13:10,- Did you know that you can hear Big Ben Chimes
00:13:10,00:13:11,before it chimes?
00:13:11,00:13:13,"- Oh, is that those future predicting people?"
00:13:13,00:13:14,"- No, it's not."
00:13:14,00:13:15,"- No, it's not."
00:13:15,00:13:16,"- No, it's not."
00:13:16,00:13:17,- Because that's an easy prediction.
00:13:17,00:13:20,I feel like it's gonna chime in about five seconds.
00:13:21,00:13:24,"It's not, no, so the BBC, for anyone who doesn't know,"
00:13:24,00:13:29,the BBC broadcast the Bongs Live at six o'clock every day.
00:13:29,00:13:31,So they have a speaker installed inside the tower
00:13:31,00:13:34,and that has direct link to the BBC broadcasting center.
00:13:34,00:13:38,So if you have an FM radio
00:13:38,00:13:40,"and you go and stand even really close to Big Ben,"
00:13:40,00:13:41,"so like on Westminster Bridge, for example,"
00:13:41,00:13:43,"and you listen to the FM radio,"
00:13:43,00:13:45,the FM radio signals are so much faster
00:13:45,00:13:46,"than the sound waves in the air,"
00:13:46,00:13:49,that the sound of the Bongs will go into the microphone
00:13:49,00:13:51,all the way to the BBC
00:13:51,00:13:53,and be broadcast always your radio faster
00:13:53,00:13:55,than it just coming through the air at you.
00:13:55,00:13:57,So if you were standing on Westminster Bridge
00:13:57,00:13:59,"and you listened to an FM radio and Big Ben Chimes,"
00:13:59,00:14:01,you would hear it on the radio a split second
00:14:01,00:14:03,before you would actually hear it in your other ear.
00:14:03,00:14:04,- That's really cool.
00:14:04,00:14:05,- It's really cool.
00:14:05,00:14:06,- Yeah.
00:14:06,00:14:06,"Well done, the radio."
00:14:06,00:14:09,Doesn't get enough appreciation today for you tonight.
00:14:09,00:14:11,- This is so impressive.
00:14:11,00:14:12,"- Do you know on Wikipedia,"
00:14:12,00:14:15,there's a big long list of leaning towers.
00:14:15,00:14:17,So you can just see every leaning tower in the world.
00:14:17,00:14:18,- That's good.
00:14:18,00:14:19,- There's a nice one in Australia.
00:14:19,00:14:21,This is called the leaning tower of Jingen.
00:14:21,00:14:23,It's purposefully built to be leaning
00:14:23,00:14:26,and it's built at the gravity discovery center
00:14:26,00:14:28,and they wanted to make it so that when you went
00:14:28,00:14:29,to the gravity discovery center
00:14:29,00:14:32,that you could replicate by climbing the top Galileo's
00:14:32,00:14:34,experiments on the leaning tower pizza.
00:14:34,00:14:35,"Yeah, so you could actually go up"
00:14:35,00:14:38,and you drop stuff down a sheet.
00:14:38,00:14:41,"- So the idea with Galileo is that he supposedly,"
00:14:41,00:14:42,"although we don't think this happens,"
00:14:42,00:14:45,dropped two balls from the leaning tower of pizza
00:14:45,00:14:46,"and there were different weights,"
00:14:46,00:14:48,but they landed at the same time
00:14:48,00:14:50,and that was proof that things will fall at the same rate
00:14:50,00:14:53,not dependence on the mass.
00:14:53,00:14:56,- You know buildings in Amsterdam tilt deliberately as well.
00:14:56,00:14:58,And do you know where that is?
00:14:58,00:14:59,- No.
00:14:59,00:15:01,- So these are buildings in Amsterdam that face the canal.
00:15:01,00:15:02,They're many hundreds of years old
00:15:02,00:15:04,and the reason they're built at a slight tilt
00:15:04,00:15:06,is that they're tilting towards the canal
00:15:06,00:15:08,and that's so that they could winch goods up
00:15:08,00:15:10,from the canal to the upper windows.
00:15:10,00:15:12,"And it's also so that if houses flooded,"
00:15:12,00:15:13,"which they often did,"
00:15:13,00:15:16,then the first couple of floors might get full of water
00:15:16,00:15:18,and you need to evacuate your goods really quickly.
00:15:18,00:15:21,And faster than carrying them all upstairs
00:15:21,00:15:24,was if you just got them onto a platform outside the window
00:15:24,00:15:26,and winch those goods up to a higher level.
00:15:26,00:15:26,And the only way you can do that
00:15:26,00:15:28,without breaking the windows on the way up
00:15:28,00:15:29,and having it crashed into the wall
00:15:29,00:15:31,is to have the building lean
00:15:31,00:15:33,so that you can pull the goods up directly.
00:15:33,00:15:34,"- Yeah, 'cause if you go to Amsterdam,"
00:15:34,00:15:36,you see that a lot of the houses have got winches
00:15:36,00:15:37,"on the front of them, haven't they?"
00:15:37,00:15:40,"At the very top, they got a little winch."
00:15:40,00:15:42,"And the reason was, I think this is right,"
00:15:42,00:15:45,"I might be wrong, but I think they came up with their law"
00:15:45,00:15:47,that the amount of tax you paid was dependent
00:15:47,00:15:50,"on the front of your house, how wide that was."
00:15:50,00:15:52,"And so people wanted really, really thin houses"
00:15:52,00:15:54,so they paid less tax.
00:15:54,00:15:55,And so they would be thin and long
00:15:55,00:15:57,and they would be tall as well.
00:15:57,00:16:00,"So that was fine, but then they needed to get,"
00:16:00,00:16:02,"if you need to get a sofa up to the top floor,"
00:16:02,00:16:03,that's gonna be really tough
00:16:03,00:16:06,because you're gonna have a really thin staircase going up there.
00:16:06,00:16:08,And so the way they did it was to winch it all up.
00:16:08,00:16:10,"And if you look now in Amsterdam,"
00:16:10,00:16:11,they have all these winches at the top of the houses.
00:16:11,00:16:13,- This is so cool.
00:16:13,00:16:16,I feel like our facts have just married each other.
00:16:16,00:16:17,And married.
00:16:17,00:16:18,"They also actually in Amsterdam,"
00:16:18,00:16:20,they had to have a law preventing houses
00:16:20,00:16:21,from being too tilted in the end
00:16:21,00:16:23,"'cause everyone was going, you know, 45 degree angles."
00:16:23,00:16:27,"- Actually, it's a really thin house,"
00:16:27,00:16:29,but it's tilted 90 degrees there.
00:16:29,00:16:31,(laughing)
00:16:31,00:16:34,There's a tilted structure in Yucatrinburg in Russia.
00:16:34,00:16:35,It's a massive TV tower.
00:16:35,00:16:39,And it is the tallest abandoned structure in the world.
00:16:39,00:16:41,- Oh really? - And they started building it.
00:16:41,00:16:42,"They got it really, really high."
00:16:42,00:16:44,And then the Soviet Union fell.
00:16:44,00:16:45,"And then they were like, okay,"
00:16:45,00:16:46,we're not gonna do this anymore.
00:16:46,00:16:47,And it's still there.
00:16:47,00:16:48,- I'm intentionally leaning.
00:16:48,00:16:49,"- Yeah, I'm unintentional."
00:16:49,00:16:51,It's very slightly leaning.
