start_hhmmss,end_hhmmss,text
00:00:00,00:00:20,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:00:20,00:00:22,to you from the QI offices in Covern Garden.
00:00:22,00:00:27,"My name is Dan Shriver and I am sitting here with James Harkin, Alex Bell and Andrew"
00:00:27,00:00:31,Hunter Murray and once again we have gathered around the microphones with our four favorite
00:00:31,00:00:36,"facts from the last seven days and in a particular order, here we go."
00:00:36,00:00:39,"Starting with you, Andy Murray."
00:00:39,00:00:46,"My fact is that in 1851, all of the 436,800 sandwiches sold on the streets of London were"
00:00:46,00:00:48,ham.
00:00:48,00:00:50,Just ham sandwiches.
00:00:50,00:00:53,That's so obviously not true.
00:00:53,00:00:55,"Well, I think it is."
00:00:55,00:00:58,Was it just ham or did they have ham and pickle or ham and mustard or?
00:00:58,00:00:59,Add to mustard.
00:00:59,00:01:00,Okay.
00:01:00,00:01:04,Had other sandwiches been invented at that point and they thought we don't actually like
00:01:04,00:01:05,those will stick with ham.
00:01:05,00:01:07,I think they have because I think they had cheese sandwiches because we've said before
00:01:07,00:01:10,on this podcast these people called bread and meat or bread and cheese.
00:01:10,00:01:11,Yeah.
00:01:11,00:01:15,So I'll tell you basically ham sandwiching was a thing as in you didn't have a sandwich
00:01:15,00:01:16,shop.
00:01:16,00:01:20,You would be a sandwich seller and you have your own ham and you would boil it and then
00:01:20,00:01:23,you would sell it from your car so it's quite hard to have a big range and we only know
00:01:23,00:01:28,about this because there was a guy called Henry Mayhew who was a social investigator and
00:01:28,00:01:32,he wrote this huge work called London Labor and the London Poor.
00:01:32,00:01:36,And he calculated that that number of sandwiches was sold and the only ones he came across
00:01:36,00:01:38,were ham ones.
00:01:38,00:01:40,So he's pretty amazing this guy.
00:01:40,00:01:41,He is.
00:01:41,00:01:42,I hadn't heard of him.
00:01:42,00:01:47,He co-founded Punch which was the original British satirical magazine that ran for a
00:01:47,00:01:48,"God, hundreds of years."
00:01:48,00:01:49,So might this have been satire?
00:01:49,00:01:50,What are you talking about?
00:01:50,00:01:51,No.
00:01:51,00:01:55,"And B Wilson, who's a food writer and her book is very good."
00:01:55,00:01:59,She also has written an essay on the subject and she said that all the sandwiches were ham.
00:01:59,00:02:02,If B Wilson says it then I do believe it.
00:02:02,00:02:06,But even before the went and did punch he had the most ridiculous childhood.
00:02:06,00:02:09,He ran away from home and he was 12 to join the East India company.
00:02:09,00:02:10,Wow.
00:02:10,00:02:14,And worked on their ships and then he came back and tried to law and then he went as journalists
00:02:14,00:02:15,and but 12.
00:02:15,00:02:16,He ran away and he was 12.
00:02:16,00:02:17,But you know how people used to die younger?
00:02:17,00:02:18,Is it like dog years?
00:02:18,00:02:21,"Well, actually like 18 back then."
00:02:21,00:02:25,"Well, I guess kind of but also it was he ran away because he didn't want to follow the same"
00:02:25,00:02:26,career as his father.
00:02:26,00:02:27,It's a pretty early age.
00:02:27,00:02:28,What did his father do?
00:02:28,00:02:29,He was a sailor.
00:02:29,00:02:30,Yeah.
00:02:30,00:02:31,I think he was an accountant.
00:02:31,00:02:33,"Well, I can understand that."
00:02:33,00:02:37,"He was a very fertile accountant because Henry May, he was one of 17 children."
00:02:37,00:02:38,"Well, I see."
00:02:38,00:02:39,17.
00:02:39,00:02:40,Wow.
00:02:40,00:02:44,He did report on his sandwich investigation that one seller told him that sometimes
00:02:44,00:02:50,cab drivers would offer to fight them for a sandwich instead of paying for it.
00:02:50,00:02:53,Doesn't really feel like it would be a good idea.
00:02:53,00:02:58,"Well, it doesn't work in print when I try it because as a sandwich seller, the best outcome"
00:02:58,00:03:04,"is that you've won a fight and kept your sandwich, but you've had to fight someone not"
00:03:04,00:03:05,to lose a sandwich.
00:03:05,00:03:06,Exactly.
00:03:06,00:03:10,It feels like it would be better for you to do nothing at all than to get involved in
00:03:10,00:03:11,this fight.
00:03:11,00:03:12,Yeah.
00:03:12,00:03:13,Yeah.
00:03:13,00:03:16,This isn't the best hand-based story from 1851.
00:03:16,00:03:19,"It was a good deal, wasn't it?"
00:03:19,00:03:20,"It was a very, very strong idea."
00:03:20,00:03:22,"Basically, when I was half in 1851, just give it a second."
00:03:22,00:03:23,"Yeah, sure."
00:03:23,00:03:24,Great exhibition happened in London.
00:03:24,00:03:25,And it was just ham sandwiches on the way.
00:03:25,00:03:26,Yeah.
00:03:26,00:03:28,"Well, didn't they have tin food as one of the attractions?"
00:03:28,00:03:30,I guess ham may have been there.
00:03:30,00:03:31,Ah.
00:03:31,00:03:32,"And also, Moby Dick was published."
00:03:32,00:03:36,"I've got to say the best Moby Dick fact ever, which we all know because it was found"
00:03:36,00:03:42,"by one of our colleagues, Edward Kitchens, this last week, which is that he got a rejection"
00:03:42,00:03:47,"letter from one publisher saying, ""The whale is obviously a nice idea, but maybe you could"
00:03:47,00:03:50,replace it by something more popular.
00:03:50,00:03:51,"Maybe young voluptuous maiden."""
00:03:51,00:03:55,Why would you want to harpoon young voluptuous maiden?
00:03:55,00:03:56,That's true.
00:03:56,00:03:57,Like any sense?
00:03:57,00:03:58,"I would've been like, ""Carry."""
00:03:58,00:03:59,It would've just been horror.
00:03:59,00:04:00,Horror dolls.
00:04:00,00:04:01,"Hang on, hang on, Dan."
00:04:01,00:04:04,You said you had a better ham anecdote from 1851.
00:04:04,00:04:05,Yeah.
00:04:05,00:04:06,"Well, OK."
00:04:06,00:04:07,Alex.
00:04:07,00:04:08,Alex.
00:04:08,00:04:09,Alex.
00:04:09,00:04:10,Alex.
00:04:10,00:04:11,"We all did it in our heads, James."
00:04:11,00:04:13,A podcast like that.
00:04:13,00:04:14,Yeah.
00:04:14,00:04:18,"So, other news, Alex mentions the great exhibition, Moby Dick."
00:04:18,00:04:22,Two other things that happened in 1851 is that the New York Times was founded and Reuters
00:04:22,00:04:24,News was founded as well.
00:04:24,00:04:29,"So obviously, a lot more outlet to report ham-based stories were erupting that year."
00:04:29,00:04:33,"So, Christmas in 1851, have you heard about this in London?"
00:04:33,00:04:38,It was a sort of super great giveaway to all the poor of London to feed them on Christmas
00:04:38,00:04:39,day.
00:04:39,00:04:45,"And it was over 22,000 people who were fed in one single place, and that place was called"
00:04:45,00:04:46,Ham Yard.
00:04:46,00:04:50,"And Ham Yard in London, they had benefactors from all the richest people in London who gave"
00:04:50,00:04:55,"one guy called Mr. Richard Cooper, supplied 200 pounds of beef."
00:04:55,00:05:00,And they did a massive Christmas meal for all the less privileged of London.
00:05:00,00:05:04,"So, over 22,000 people fed in one go by a very famous chef."
00:05:04,00:05:08,"He's often called the first celebrity chef, Alexis Sawyer."
00:05:08,00:05:11,"And it was his idea, and he put it together, and he fed all these people."
00:05:11,00:05:12,Wow.
00:05:12,00:05:13,Yeah.
00:05:13,00:05:14,I've been to Ham Yard.
00:05:14,00:05:15,It's all for Regent Street.
00:05:15,00:05:16,"Yes, it's all there, right?"
00:05:16,00:05:17,It's still there.
00:05:17,00:05:18,Yeah.
00:05:18,00:05:21,The best ham sandwich related story of the mid-19th century.
00:05:21,00:05:24,"Okay, that's cheating a bit."
00:05:24,00:05:25,"Well, it is."
00:05:25,00:05:30,"This comes from around 1840, so it's about 10 years before both of your ham-sandwich stories."
00:05:30,00:05:32,"Oh, and there's way better than if you've got predated."
00:05:32,00:05:33,It's true.
00:05:33,00:05:36,"So, the town of Swindon was invented by a ham sandwich."
00:05:36,00:05:37,What?
00:05:37,00:05:40,"It was founded by a ham sandwich, let's say."
00:05:40,00:05:45,"The story goes, I don't know if this is true, that Izanbar Kinden Brunel was on the railway,"
00:05:45,00:05:48,and he knew that they had to found a town somewhere on the railway because they needed to have
00:05:48,00:05:50,a stop there.
00:05:50,00:05:54,"And he started eating his ham sandwich, and then he thought, ""Well, as soon as I've had"
00:05:54,00:05:56,"enough of this sandwich and I throw it out of the window, wherever it lands, that's"
00:05:56,00:05:59,"where I'm going to start my new town."""
00:05:59,00:06:01,And it landed where currently Swindon is.
00:06:01,00:06:02,Anyway.
00:06:02,00:06:04,But I'm paying on.
00:06:04,00:06:10,Because you'd have to stop the train immediately and go back and find the sandwich.
00:06:10,00:06:12,That is true.
00:06:12,00:06:13,Unless you remember.
00:06:13,00:06:17,"Oh, we were passing through Swindon when I threw my sandwich out of the window, and I threw"
00:06:17,00:06:22,"my sandwich out right next to that sign that says, ""Welcome to Swindon."""
00:06:22,00:06:23,The swindon was tiny.
00:06:23,00:06:26,"It was absolutely tiny before the railway arrived, and then it became huge."
00:06:26,00:06:29,"So there's another town that's sort of further south in what it's called, Mulbra."
00:06:29,00:06:33,"And it's absolutely tiny, but it could as easily have gone the other way."
00:06:33,00:06:36,"And if it isn't about King Dubin-Elford, you know, been a bit hungry, or had not a banana"
00:06:36,00:06:40,"or breakfast, and he wanted a bit more of his sandwich."
00:06:40,00:06:43,So ham sandwiches are still extremely popular.
00:06:43,00:06:44,"Oh, right."
00:06:44,00:06:45,Yeah.
00:06:45,00:06:50,The British Sandwich Association says that ham sandwiches is the most popular sandwich in
00:06:50,00:06:51,the UK.
00:06:51,00:06:52,Really?
00:06:52,00:06:55,Do you think they'll look back in 100 years at 2016 and think it was a great age of ham
00:06:55,00:06:56,sandwiches as well?
00:06:56,00:07:00,"I think finally, back to the great times of 1851."
00:07:00,00:07:01,So this is an old survey.
00:07:01,00:07:02,I can't imagine though.
00:07:02,00:07:06,"In 2001, I can't imagine, in 15 years, it's changed that much."
00:07:06,00:07:10,But they said that the favourite filling wasn't ham though.
00:07:10,00:07:13,"It was cheese, but a ham sandwich on its own taught."
00:07:13,00:07:14,But the favourite filling.
00:07:14,00:07:15,Yeah.
00:07:15,00:07:18,"I always like my ham sandwiches without ham, but with cheese."
00:07:18,00:07:19,Yeah.
00:07:19,00:07:22,I think what they mean is what's your favourite filling?
00:07:22,00:07:24,"Well, if I'm having a sandwich, I love it if there's cheese in there."
00:07:24,00:07:27,"And they said, ""Would you be happy with just a cheese sandwich?"""
00:07:27,00:07:28,"No, no."
00:07:28,00:07:29,I think I'll go for ham.
00:07:29,00:07:30,I think that's how the conversation works.
00:07:30,00:07:31,Wait.
00:07:31,00:07:33,Is that because you have it outside the sandwich?
00:07:33,00:07:36,"No, you have it in the sandwich, but you might have it with ham, so you have a ham and cheese"
00:07:36,00:07:37,sandwich.
00:07:37,00:07:40,So you're saying ham is not a filling because it's the base ingredient of the sandwich.
00:07:40,00:07:41,No.
00:07:41,00:07:42,If anything extra is a filling?
00:07:42,00:07:43,"No, no."
00:07:43,00:07:44,There's two questions.
00:07:44,00:07:45,What is this bread-added item in it?
00:07:45,00:07:46,Yeah.
00:07:46,00:07:47,And you could have at least one item in it.
00:07:47,00:07:48,They've gone for ham sandwich.
00:07:48,00:07:49,That works best as a sandwich.
00:07:49,00:07:50,Yeah.
00:07:50,00:07:52,What's your favourite filling to go in a sandwich?
00:07:52,00:07:53,"Oh, okay."
00:07:53,00:07:56,"Well, if I'm having a ham sandwich, rather than pickle, I'll have cheese."
00:07:56,00:07:57,Cheese is the favourite added on.
00:07:57,00:08:01,What's your favourite filling for two slices of bread is ham?
00:08:01,00:08:02,Yeah.
00:08:02,00:08:06,"Of all the things that people have voted on in 2016, this makes me the most annoyed."
00:08:06,00:08:11,"Well, this is 2001, people say 2016 to shit you."
00:08:11,00:08:16,Imagine you were presented with a lot of different sandwiches that had base meats in
00:08:16,00:08:17,them.
00:08:17,00:08:18,Right?
00:08:18,00:08:20,"Let's say, or no meat, or like a salad or whatever."
00:08:20,00:08:21,Base meat.
00:08:21,00:08:23,Like the alchemy of the sandwich.
00:08:23,00:08:24,There's base 10.
00:08:24,00:08:28,And then base meat to which is what our sandwiches are based on.
00:08:28,00:08:33,Turned ham into cheese.
00:08:33,00:08:38,Two thirds of ham and cheese pizzas tested by trading standards officers in Derbyshire
00:08:38,00:08:40,failed to contain ham or cheese.
00:08:40,00:08:41,No.
00:08:41,00:08:42,Yeah.
00:08:42,00:08:43,How many?
00:08:43,00:08:44,Two thirds.
00:08:44,00:08:45,Two thirds of the pizza.
00:08:45,00:08:47,"Oh, my God."
00:08:47,00:08:51,"What it was is when people thought it was ham, it was actually turkey ham, which is"
00:08:51,00:08:55,"made of turkey not ham, and the cheese was often cheese substitutes."
00:08:55,00:08:59,"I'm not sure what cheese substitute is, but it doesn't sound great."
00:08:59,00:09:02,"Well, ham apparently."
00:09:02,00:09:09,"So Henry Mayhew did a load of, just to drag us back to Henry Mayhew for a bit."
00:09:09,00:09:11,"He did a load of calculations, basically."
00:09:11,00:09:14,So he calculated how many sellers there were of each thing on the streets of London.
00:09:14,00:09:19,"So he calculated, for example, that there were 60 ham sandwich sellers in London, 200"
00:09:19,00:09:25,"baked potatoes sellers, 300 people who sell pea, soup and hot eel, six people apparently"
00:09:25,00:09:27,specialised in plum puddings.
00:09:27,00:09:28,Yeah.
00:09:28,00:09:32,And he would work it out by estimating the number of miles of street in the city and then multiplying
00:09:32,00:09:35,that by the number of traders he found per mile.
00:09:35,00:09:36,Yeah.
00:09:36,00:09:38,I think it sounds like the most fascinating book.
00:09:38,00:09:39,I really want to read it.
00:09:39,00:09:40,It's what's it called again?
00:09:40,00:09:42,It's called London Leibat and the London poor.
00:09:42,00:09:43,Yeah.
00:09:43,00:09:48,"And he basically documented 1851 in London, in down to every bit of clothing that people,"
00:09:48,00:09:51,it would be like us just going out on the street and just recording what's going on as a time
00:09:51,00:09:52,capsule.
00:09:52,00:09:53,And it's pretty amazing work.
00:09:53,00:09:54,That'd be comprehensive.
00:09:54,00:09:55,Really?
00:09:55,00:09:56,Yeah.
00:09:56,00:09:57,That's a big impact.
00:09:57,00:10:01,"He pissed off a lot of people with this book, particularly the street traders."
00:10:01,00:10:06,And they actually set up a street trader's protection association against this kind of
00:10:06,00:10:10,"journalism, specifically because how they were presented in the book."
00:10:10,00:10:13,"They were presented like these sandwich sellers, they're like, well, actually we do have"
00:10:13,00:10:14,a bit more than ham.
00:10:14,00:10:18,"Yeah, exactly."
00:10:18,00:10:19,Really?
00:10:19,00:10:20,Yeah.
00:10:20,00:10:21,Some of the sandwiches didn't even have ham in.
00:10:21,00:10:22,Did they not?
00:10:22,00:10:23,No.
00:10:23,00:10:24,Just cheese.
00:10:24,00:10:27,"They had a bit of beef dripping and that was it, between two bits of bread."
00:10:27,00:10:28,What is beef dripping?
00:10:28,00:10:29,It's fat.
00:10:29,00:10:30,Yeah.
00:10:30,00:10:31,Sort of.
00:10:31,00:10:32,It's a congeal fat.
00:10:32,00:10:36,"When you've caught beef, you get all the fat kind of drops down when you roast it."
00:10:36,00:10:40,And then you can take that and you can kind of spread it on bread and it's what people
00:10:40,00:10:41,used to eat.
00:10:41,00:10:42,That sounds like cheese substitute.
00:10:42,00:10:47,"It does, but it doesn't taste anything like cheese, it tastes more like kind of fatty gravy."
00:10:47,00:10:49,"Oh, so delicious."
00:10:49,00:10:53,"Also, he collected a load of data with his brother Augustus Mayhew and yet 20 years after"
00:10:53,00:10:58,"the book was published, Augustus Mayhew has had up in court on charges of attacking a"
00:10:58,00:11:01,female peddler or woman going on selling things.
00:11:01,00:11:02,Really?
00:11:02,00:11:06,And his defense in court was that people would knock on his door up to 38 times a day selling
00:11:06,00:11:07,things.
00:11:07,00:11:14,He just snapped and he said there were shouting things like crockery or fine young rabbits
00:11:14,00:11:17,"or roots all are blowing, all are growing."
00:11:17,00:11:21,Fine young rabbits sounds like a great band doesn't he?
00:11:21,00:11:22,Yeah.
00:11:22,00:11:27,Did you know that there's a latitude around the earth that's sometimes referred to as the
00:11:27,00:11:32,"ham belt and it's 40 degrees latitude and it's not so much these days, but it used to"
00:11:32,00:11:35,be the climates at which all the best ham came from.
00:11:35,00:11:40,"So like Kentucky ham, Virginia ham, Italian, prosciutto ham, Spanish, Serrano ham, all"
00:11:40,00:11:43,"of those places are along the same last student, it's because the climate is sort of ideal"
00:11:43,00:11:47,"for ham curing and it's not so important nowadays because you know, you have climate control"
00:11:47,00:11:48,factors and whatnot.
00:11:48,00:11:49,Yeah.
00:11:49,00:11:53,And it was discovered by Alexander von Humbel.
00:11:53,00:12:01,"Okay, it is time for fact number two and that is Alex."
00:12:01,00:12:07,"My fact is that since 2003, the UK has eaten one and a half million pounds in cash."
00:12:07,00:12:08,Okay.
